company_num,Organization Name,Industry Groups,Industry_Index
1102,Chili Technology,Manufacturing,24
1122,Briggs & Stratton,Manufacturing,24
1404,Volvo Trucks North America,Manufacturing,24
1440,Soltec Trackers,Manufacturing,24
1542,Synchrony,Manufacturing,24
1543,SamaCare,Manufacturing,24
1556,Liqui-Box,Manufacturing,24
1565,Nekoosa Coated Products,Manufacturing,24
1665,Adaptive3D,Manufacturing,24
1736,Octal,Manufacturing,24
1749,NewTropic,Manufacturing,24
1826,Consolidated Machine & Tool,Manufacturing,24
1870,Von Drehle Corp.,Manufacturing,24
1876,Calnetix Technologies,Manufacturing,24
1925,Inklocker,Manufacturing,24
1963,Micropore,Manufacturing,24
1971,Mallinda LLC,Manufacturing,24
1996,The Davlyn Group,Manufacturing,24
2160,A-LIGN,Privacy and Security,30
2309,Deepfence Inc,Privacy and Security,30
2315,Finite State,Privacy and Security,30
2574,xDai,Privacy and Security,30
2590,RaySecur,Privacy and Security,30
2817,Accipiter Radar,Privacy and Security,30
2917,Sectigo,Privacy and Security,30
2958,Active Guardian,Privacy and Security,30
3431,Bolt Mobility,Information Technology,22
3494,Blameless,Information Technology,22
3502,TierPoint,Information Technology,22
3934,Clairvolex,Professional Services,31
3950,K2 Intelligence,Professional Services,31
3981,Legal.io,Professional Services,31
4025,EasyExpunctions,Professional Services,31
4046,eScribers,Professional Services,31
4047,Spire Law,Professional Services,31
4051,JustLegal,Professional Services,31
4068,Simon & Schuster,Professional Services,31
4161,A New Way of Life Reentry Project,Professional Services,31
4162,Corporation Service Company,Professional Services,31
4176,MGO (Macias Gini & O'Connell LLP),Professional Services,31
4184,Law Insider,Professional Services,31
4217,"Garden City Group, LLC",Professional Services,31
4230,DTI,Professional Services,31
4252,TMpros,Professional Services,31
4253,Innovate/Protect,Professional Services,31
4260,Perkins Coie,Professional Services,31
4262,Harbor Compliance,Professional Services,31
4272,Kimelberg,Professional Services,31
4276,Prime Clerk,Professional Services,31
4279,Jones Day,Professional Services,31
4282,Sidley Austin LLP,Professional Services,31
4284,Nimbus Legal,Professional Services,31
4311,DocJuris,Professional Services,31
4315,ABC Legal Services,Professional Services,31
4325,Avaaz.org,Professional Services,31
4327,Stretto,Professional Services,31
4328,"Rigrodsky & Long, P.A.",Professional Services,31
4335,BizCounsel,Professional Services,31
4347,Greenberg Traurig,Professional Services,31
4348,DoeLegal,Professional Services,31
4364,Willkie Farr & Gallagher LLP,Professional Services,31
4374,"Gibson, Dunn & Crutcher LLP",Professional Services,31
4375,Barnes Law LLP,Professional Services,31
4378,Alcorn Immigration Law,Professional Services,31
4379,King & Spalding,Professional Services,31
4385,Fish & Richardson P.C.,Professional Services,31
4396,The Perazzo Law Firm,Professional Services,31
4397,Baker & Hostetler,Professional Services,31
4400,"Kisling, Nestico & Redick",Professional Services,31
4409,Siegfried & Jensen,Professional Services,31
4411,XLPAT Labs,Professional Services,31
4413,Arnold & Porter,Professional Services,31
4423,WeissLaw LLP,Professional Services,31
4431,LegiScan,Professional Services,31
4432,Rimon Law,Professional Services,31
4438,JPG Legal,Professional Services,31
4457,Southern Farm Bureau,Professional Services,31
4480,Greenspoon Marder LLP,Professional Services,31
4481,Complete Discovery Source,Professional Services,31
4494,Intelliteach,Professional Services,31
4499,Packard Packard & Johnson,Professional Services,31
4501,TandemHR,Professional Services,31
4505,NightOwl Discovery,Professional Services,31
4512,iDiscovery Solutions,Professional Services,31
4516,"Faruqi & Faruqi, LLP",Professional Services,31
4525,ProVest LLC,Professional Services,31
4542,Innovative Discovery,Professional Services,31
4543,Gemini Legal,Professional Services,31
4546,Shareholder Representative Services,Professional Services,31
4552,Landon IP,Professional Services,31
4558,Katten Muchin Rosenman,Professional Services,31
4563,Stenovate,Professional Services,31
4572,Nationwide Legal LLC,Professional Services,31
4573,"LawHQ, LLC",Professional Services,31
4575,Troutman Sanders LLP,Professional Services,31
4581,Kwok Daniel,Professional Services,31
4583,Barnes & Thornburg,Professional Services,31
4586,Kelley Drye & Warren,Professional Services,31
4592,McGuireWoods,Professional Services,31
4597,GeoStabilization International,Professional Services,31
4604,Mindcrest,Professional Services,31
4607,Quinn Emanuel Urquhart & Sullivan,Professional Services,31
4614,Conexa,Professional Services,31
4622,Buck & Fish Ltd.,Professional Services,31
4634,Thoughts to Paper,Professional Services,31
4635,BEC Legal Systems,Professional Services,31
4640,CitizenPath,Professional Services,31
4655,Northwest Registered Agent,Professional Services,31
4657,ASG LegalTech,Professional Services,31
4663,DSicovery,Professional Services,31
4667,goodcounsel,Professional Services,31
4669,Howard & Howard Attorneys PLLC,Professional Services,31
4673,Flora Templeton Stuart Accident Injury Lawyers,Professional Services,31
4677,Steptoe & Johnson,Professional Services,31
4682,Reiff Law Firm,Professional Services,31
4685,Kramer Levin Naftalis & Frankel LLP,Professional Services,31
