token_num,term_str,n,num,stop,p_stem
0,,3343,0,0,
1,0,4,1,0,0
2,00,1,1,0,00
3,000,1,1,0,000
4,0003,1,1,0,0003
5,01,1,1,0,01
6,012,2,1,0,012
7,013,1,1,0,013
8,014,1,1,0,014
9,01852,1,1,0,01852
10,01906,1,1,0,01906
11,02,2,1,0,02
12,02114,1,1,0,02114
13,02115,1,1,0,02115
14,02121,1,1,0,02121
15,02149,1,1,0,02149
16,025,1,1,0,025
17,03,1,1,0,03
18,03070,1,1,0,03070
19,033,1,1,0,033
20,034motorsport,1,1,0,034motorsport
21,040243,1,1,0,040243
22,05,2,1,0,05
23,050,2,1,0,050
24,0500,1,1,0,0500
25,0500pm,1,1,0,0500pm
26,050acyr,1,1,0,050acyr
27,05m,1,1,0,05m
28,06,1,1,0,06
29,0600,2,1,0,0600
30,06333,1,1,0,06333
31,07013,1,1,0,07013
32,07092,1,1,0,07092
33,0800,7,1,0,0800
34,0800am,1,1,0,0800am
35,081,1,1,0,081
36,08260,1,1,0,08260
37,0830,1,1,0,0830
38,08757,1,1,0,08757
39,08like,1,1,0,08like
40,0900,5,1,0,0900
41,093,1,1,0,093
42,094,1,1,0,094
43,095,1,1,0,095
44,0s,1,1,0,0s
45,1,218,1,0,1
46,10,184,1,0,10
47,100,345,1,0,100
48,1000,81,1,0,1000
49,10000,34,1,0,10000
50,100000,17,1,0,100000
51,1000000,6,1,0,1000000
52,100000000,1,1,0,100000000
53,10000mg,1,1,0,10000mg
54,10000seat,1,1,0,10000seat
55,10000user,1,1,0,10000user
56,10002,1,1,0,10002
57,1000month,1,1,0,1000month
58,1000pm,1,1,0,1000pm
59,1000s,6,1,0,1000
60,10016,1,1,0,10016
61,10017,1,1,0,10017
62,10023,1,1,0,10023
63,10038,1,1,0,10038
64,100500,1,1,0,100500
65,1007,1,1,0,1007
66,100ate,1,1,0,100ate
67,100b,1,1,0,100b
68,100bed,1,1,0,100bed
69,100foot,1,1,0,100foot
70,100g,1,1,0,100g
71,100hr,1,1,0,100hr
72,100k,7,1,0,100k
73,100m,4,1,0,100m
74,100miles,1,1,0,100mile
75,100mm,1,1,0,100mm
76,100s,1,1,0,100
77,100unit,1,1,0,100unit
78,101,4,1,0,101
79,1015,2,1,0,1015
80,1017,1,1,0,1017
81,1019,2,1,0,1019
82,101yearold,1,1,0,101yearold
83,102,3,1,0,102
84,1020,2,1,0,1020
85,10200,1,1,0,10200
86,103,3,1,0,103
87,1030,1,1,0,1030
88,1031,2,1,0,1031
89,1033,1,1,0,1033
90,104,1,1,0,104
91,1040,1,1,0,1040
92,10453,1,1,0,10453
93,1046,1,1,0,1046
94,1048,1,1,0,1048
95,105,2,1,0,105
96,1054,1,1,0,1054
97,105k,1,1,0,105k
98,106,3,1,0,106
99,1061,1,1,0,1061
100,10632,1,1,0,10632
101,107,3,1,0,107
102,1070,1,1,0,1070
103,107000,1,1,0,107000
104,1075,1,1,0,1075
105,108,1,1,0,108
106,1082,1,1,0,1082
107,10855,1,1,0,10855
108,1095,1,1,0,1095
109,1097,1,1,0,1097
110,1099,7,1,0,1099
111,1099s,1,1,0,1099
112,10am,1,1,0,10am
113,10am7pm,1,1,0,10am7pm
114,10b,3,1,0,10b
115,10cent,1,1,0,10cent
116,10cmreduced,1,1,0,10cmreduc
117,10day,1,1,0,10day
118,10e21,1,1,0,10e21
119,10figure,1,1,0,10figur
120,10g,3,1,0,10g
121,10gbs,1,1,0,10gb
122,10gigabit,1,1,0,10gigabit
123,10jumps,2,1,0,10jump
124,10k,5,1,0,10k
125,10m,1,1,0,10m
126,10million,1,1,0,10million
127,10percentagency,1,1,0,10percentag
128,10percentagencycom,1,1,0,10percentagencycom
129,10person,1,1,0,10person
130,10plus,1,1,0,10plu
131,10q,1,1,0,10q
132,10rule,1,1,0,10rule
133,10s,1,1,0,10
134,10test,1,1,0,10test
135,10th,1,1,0,10th
136,10times,1,1,0,10time
137,10web,3,1,0,10web
138,10week,1,1,0,10week
139,10x,6,1,0,10x
140,10x50x,1,1,0,10x50x
141,10year,4,1,0,10year
142,10zig,5,1,0,10zig
143,11,53,1,0,11
144,110,13,1,0,110
145,1100,10,1,0,1100
146,11000,5,1,0,11000
147,110000,4,1,0,110000
148,1107,1,1,0,1107
149,11082001,1,1,0,11082001
150,110thlargest,1,1,0,110thlargest
151,111,3,1,0,111
152,1111,1,1,0,1111
153,1112,3,1,0,1112
154,111500,1,1,0,111500
155,111617the,1,1,0,111617the
156,112,1,1,0,112
157,11203,1,1,0,11203
158,11204,1,1,0,11204
159,11214,1,1,0,11214
160,11220,1,1,0,11220
161,1125000,1,1,0,1125000
162,1129,1,1,0,1129
163,113,3,1,0,113
164,1130,1,1,0,1130
165,11361,1,1,0,11361
166,11373,1,1,0,11373
167,1143,1,1,0,1143
168,115,6,1,0,115
169,115000,2,1,0,115000
170,11527,1,1,0,11527
171,11560,1,1,0,11560
172,115year,1,1,0,115year
173,116,1,1,0,116
174,117,1,1,0,117
175,117000,1,1,0,117000
176,117001,1,1,0,117001
177,118,2,1,0,118
178,119,2,1,0,119
179,1194,1,1,0,1194
180,11954,1,1,0,11954
181,11965,1,1,0,11965
182,11998,1,1,0,11998
183,11am,1,1,0,11am
184,11th,2,1,0,11th
185,11trees,1,1,0,11tree
186,12,79,1,0,12
187,120,30,1,0,120
188,1200,16,1,0,1200
189,12000,10,1,0,12000
190,120000,3,1,0,120000
191,1200000000,1,1,0,1200000000
192,120000year,1,1,0,120000year
193,12000sq,1,1,0,12000sq
194,12037,1,1,0,12037
195,1209,1,1,0,1209
196,120b,2,1,0,120b
197,120wateraudit,1,1,0,120wateraudit
198,120waterauditcom,1,1,0,120waterauditcom
199,121,3,1,0,121
200,1212,1,1,0,1212
201,1214,2,1,0,1214
202,122,2,1,0,122
203,12240,1,1,0,12240
204,123,1,1,0,123
205,123landlord,1,1,0,123landlord
206,123lumpsum,1,1,0,123lumpsum
207,124,1,1,0,124
208,1240,1,1,0,1240
209,1241,1,1,0,1241
210,125,13,1,0,125
211,125000,4,1,0,125000
212,125m,1,1,0,125m
213,126,1,1,0,126
214,1268,1,1,0,1268
215,126pm,1,1,0,126pm
216,126th,1,1,0,126th
217,127,3,1,0,127
218,127000,1,1,0,127000
219,128,1,1,0,128
220,12lead,1,1,0,12lead
221,12m,1,1,0,12m
222,12month,3,1,0,12month
223,12pm,1,1,0,12pm
224,12quarter,1,1,0,12quarter
225,12state,1,1,0,12state
226,12th,2,1,0,12th
227,12u,1,1,0,12u
228,12v,2,1,0,12v
229,12volt,1,1,0,12volt
230,12volttravel,2,1,0,12volttravel
231,13,44,1,0,13
232,130,18,1,0,130
233,1300,11,1,0,1300
234,13000,9,1,0,13000
235,1302,1,1,0,1302
