Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Infor,https://www.crunchbase.com/organization/infor,http://www.infor.com,"Apps, CRM, Enterprise Resource Planning (ERP), SaaS, Software","Apps, Information Technology, Sales and Marketing, Software","Infor provides enterprise software and services in the licensing, maintenance, and consulting industries.","Infor provides enterprise software and services in the licensing, maintenance, and consulting industry. The company offers CloudSuite industry suites, which provides integrated applications to manage various business processes for customers in specific industries, enterprise resource planning products, and enterprise asset management products to monitor and manage the deployment, performance, and maintenance of company assets, as well as to provide customers with financial and physical controls to control their energy consumption, and asset and operating infrastructure. It also offers financial management products for budgeting, forecasting, financial reporting, expense management, and compliance, human capital management products to manage their workforce; and customer resource management products to plan, execute, and monitor outbound marketing campaigns.  Moreover, Infor provides supply chain management products to manage their supply chain activities, GT Nexus platform to help companies manage production and monitor goods in transit and at rest, Birst Analytics, a cloud-based platform for networked business intelligence, maintenance and technical support programs, such as product upgrades, updates, and corrections for the software under maintenance, as well as other technical support services, and consulting services. It offers its industry-specific and other enterprise software products and related services primarily to large enterprises and small-to-midsize companies in various industries, such as manufacturing, distribution, healthcare, public sector, retail, and hospitality industries.  Jim Schaper founded the New York, New York-based company in 2012.",http://www.linkedin.com/company/infor,Exited Unicorn,http://twitter.com/Infor,http://www.facebook.com/infor,622
Flourish Software,https://www.crunchbase.com/organization/flourish-software,https://www.flourishsoftware.com,"AgTech, Cannabis, Enterprise Resource Planning (ERP), Software, Supply Chain Management","Agriculture and Farming, Community and Lifestyle, Food and Beverage, Health Care, Software, Transportation",Flourish Software is a supply chain management “seed to sale tracking” platform built for cannabis and hemp.,"Flourish Software is a supply chain management “seed to sale tracking” platform built for cannabis and hemp. The platform is used by cannabis and hemp cultivators, manufacturers, processors, and retailers to track products from seed to sale, manage operations, and leverage advanced analytics. It is designed to manage the day to day operations better, gain valuable insights for cannabis operation, and helps make data-driven decisions. Bennett Adams, Colton Griffin, and Juan Carlos Garcia established the company in Atlanta, Georgia in 2017.",https://www.linkedin.com/company/flourishsoftware/,,https://twitter.com/flourishgrows,https://www.facebook.com/FlourishGrows/,"2,264"
Onapsis,https://www.crunchbase.com/organization/onapsis,http://www.onapsis.com,"Cloud Data Services, Cyber Security, Enterprise Resource Planning (ERP), Network Security, Security","Information Technology, Internet Services, Privacy and Security, Software",Onapsis provides cybersecurity and compliance solutions for cloud and on-premise ERP and business-critical applications.,"Onapsis provides cybersecurity and compliance solutions for cloud and on-premise ERP and business-critical applications. Its solutions include the Onapsis Security Platform, a widely-used SAP-certified cyber-security solution in the market. Unlike generic security products, Onapsis’ context-aware solutions deliver both preventative vulnerability and compliance controls, as well as real-time detection and incident response capabilities to reduce risks affecting critical business processes and data.  The company was founded in 2019 and is headquartered in Boston, Massachusetts. Onapsis has offices in Heidelberg, Germany, and Buenos Aires, Argentina.",http://www.linkedin.com/company/onapsis,,http://twitter.com/onapsis,http://www.facebook.com/pages/Onapsis/123936657687440,"2,390"
Sovos Compliance,https://www.crunchbase.com/organization/sovos-compliance,http://sovos.com/,"Enterprise Resource Planning (ERP), Enterprise Software, Financial Services, Software","Financial Services, Software",Sovos Compliance is a global leader in tax compliance and business-to-government reporting software.,"Sovos is a global leader in tax compliance and business-to-government reporting software, safeguarding businesses from the burden and risk of compliance around the world. As governments go digital, businesses face increased risk and complexity. The Sovos Intelligent Compliance Cloud combines world-class regulatory analysis with a cloud software platform to create an adaptable, connected and global compliance solution that keeps businesses ahead of the ever-changing regulatory environment. Sovos supports 4,500 companies, including half of the Fortune 500, and integrates with a wide variety of business applications. Based in Boston, Sovos has offices throughout North America, Latin America and Europe.",https://www.linkedin.com/company/sovos/,,https://www.twitter.com/sovoscompliance,https://www.facebook.com/sovoscompliance,"4,004"
Plex Systems,https://www.crunchbase.com/organization/plex-systems,http://www.plex.com,"Cloud Computing, Enterprise Resource Planning (ERP), Manufacturing, Software","Internet Services, Manufacturing, Software","Plex Systems, Inc.® is a global leader in smart manufacturing.","Plex Systems, Inc.® delivers the first smart manufacturing platform that empowers the world’s leading innovators to make awesome products. Plex gives process and discrete manufacturers the ability to connect, automate, track and analyze every aspect of their business—from the shop floor to the top floor —to drive business transformation. Built in the cloud, the Plex Smart Manufacturing Platform includes MES, ERP, supply chain planning, Industrial IoT, quality and analytics to connect people, systems, machines, and supply chains, enabling them to lead with precision, efficiency and agility in an ever-changing market. For more information, visit www.plex.com.",http://www.linkedin.com/company/plex-systems-inc.,,http://twitter.com/PlexSystems,http://www.facebook.com/PlexSystems,"4,688"
Workday Adaptive Planning,https://www.crunchbase.com/organization/adaptive-insights,https://www.adaptiveplanning.com/,"Business Intelligence, Cloud Computing, Data Visualization, Enterprise, Enterprise Resource Planning (ERP), Enterprise Software, Finance, SaaS, Software","Data and Analytics, Design, Financial Services, Information Technology, Internet Services, Other, Software",Workday Adaptive Planning is powering a new generation of business planning with the Business Planning Cloud.,"Workday Adaptive Planning is powering a new generation of business planning. Driving business agility in a fast-moving world, the Workday Adaptive Planning leads the way for people in companies to collaborate, gain insights, and make smarter decisions faster. Powerful modeling for any size organization, yet so easy for everybody who plans.  Workday Adaptive Planning enables a comprehensive set of cloud-based software solutions supported by a powerful, in-memory technology platform that enables functional and company-wide business planning and built-in analytics on a large scale. Today, the company offers Adaptive Insights for Finance, and Adaptive Insights for Sales, purpose-built solutions that allow those closest to the business to plan.  Recognized for ease of use, Workday Adaptive Planning ranks #1 in customer satisfaction in independent industry surveys from leading market analysts such as Gartner, Forrester, and BPM Partners, and from leading customer review sites such as Gartner Peer Review, Trust Radius, G2Crowd, and Capterra. Workday Adaptive Planning is a privately held company with headquarters in Palo Alto, CA.",http://www.linkedin.com/company/29762,Exited Unicorn,http://twitter.com/AdaptiveInsight,https://www.facebook.com/AdaptiveInsight/,"6,461"
Rootstock Software,https://www.crunchbase.com/organization/rootstock-software,http://www.rootstock.com/,"Cloud Computing, Enterprise Resource Planning (ERP), Enterprise Software, Information Technology, Manufacturing, SaaS, Software","Information Technology, Internet Services, Manufacturing, Software",Rootstock Software develops a cloud-based enterprise resource planning software providing solutions to manufacturers and distributors.,"Rootstock Software is a developer of cloud-based enterprise resource planning software providing solutions to manufacturers and distributors. The company's enterprise resource planning solution elevates operational performance and controls costs for mid-market to large manufacturers, distributors, and supply chains. It offers sales order management, purchase order management, production engineering, inventory control, material requirements planning, and other similar services that enable manufacturers, supply chains, and distributors to efficiently operate and grow their businesses. The company was founded in 2008 and is headquartered in San Ramon, California.",http://www.linkedin.com/company/rootstock-software,,http://twitter.com/RootstockMFG,http://www.facebook.com/RootstockSoftware,"9,483"
Fulcrum,https://www.crunchbase.com/organization/fulcrumpro,https://www.fulcrumpro.com,"Blockchain, Enterprise Resource Planning (ERP), Enterprise Software, Logistics, Manufacturing, SaaS, Small and Medium Businesses, Software","Manufacturing, Other, Software, Transportation",Networkable Operating System (ERP) for Manufacturing,"Fulcrum is a SaaS manufacturing platform designed and built from scratch to bring modern and futuristic concepts to mid-sized production shops. Their long term mission is to create a connected manufacturing supply chain, reducing tedious data entry, and increasing the speed and efficiency of the entire network supported by the most kickass system available. It was founded in 2015 and headquartered in Minneapolis, Minnesota.",https://www.linkedin.com/company/fulcrumpro,,https://twitter.com/fulcrumhq,https://www.facebook.com/fulcrumpro,"9,745"
Skubana,https://www.crunchbase.com/organization/skubana,http://www.skubana.com,"E-Commerce, E-Commerce Platforms, Enterprise Resource Planning (ERP), Enterprise Software, Retail, Retail Technology, SaaS","Commerce and Shopping, Hardware, Internet Services, Software","Skubana is a commerce operations platform powering fulfillment, inventory, and business intelligence for multi-channel retailers.","Skubana is a distributed order management platform powering fulfillment, inventory, and business intelligence for brands looking to achieve multi-channel profitability. Skubana synchronizes data from sales channels, warehouses, 3PLs, POS systems and more so merchants can stay focused on providing the best customer experience.",http://www.linkedin.com/company/skubana,,http://twitter.com/skubana_ERP,http://www.facebook.com/skubana,"10,353"
DiCentral,https://www.crunchbase.com/organization/dicentral,http://www.dicentral.com,"Data Integration, Enterprise Resource Planning (ERP), Enterprise Software, Software","Data and Analytics, Information Technology, Software",DiCentral is an IT services firm that provides supply chain management and data integration services for businesses.,"Founded in 2000, today DiCentral is a leading global innovator in EDI (Electronic Data Interchange) software and service solutions. Our broad range of solutions enables a seamless exchange of data throughout the entire supply chain, creating a seamless communication stream from source to last mile. DiCentral's integration solutions are scalable to the size, growth, and unique requirements of each business. In addition, DiCentral develops and markets a complementary suite of supply chain applications for retailers and suppliers, including MFT software, WMS software, POS analytic software, outlier management software, managed EDI services, and more.",http://www.linkedin.com/company/dicentral,,http://twitter.com/dicentral_edi,https://www.facebook.com/dicentral,"11,186"
