Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Expensify,https://www.crunchbase.com/organization/expensify-com,http://use.expensify.com,"Accounting, Apps, Credit Cards, Financial Services, FinTech, Freemium, Information Technology, Mobile, Small and Medium Businesses, Software","Apps, Financial Services, Information Technology, Lending and Investments, Mobile, Other, Payments, Professional Services, Software",Expensify is a financial services startup that provides an integrated expense management and corporate card product for customers worldwide.,"Expensify is a financial services startup that provides an online expense management service for businesses worldwide. Expensify is a great solution for both solopreneurs, start ups, SMBs, mid-market companies, and the enterprise.    Expensify’s expense management service does expense reports by importing expenses and receipts from credit cards and emails in conjunction with the Expensify mobile app to take pictures of receipts. Expense reimbursement can be done in-product through ACH Direct Deposit or by exporting reports to a payroll solution. Expensify's patented SmartScan technology reads receipts and automatically creates expenses or matches them to transactions imported from a credit card. Expensify was founded by David Barrett in May 2008. It is based in San Francisco, California.",http://www.linkedin.com/company/expensify,,http://twitter.com/expensify,http://www.facebook.com/expensify,516
Tipalti,https://www.crunchbase.com/organization/tipalti,https://tipalti.com,"Accounting, Financial Services, FinTech, Payments, Software","Financial Services, Payments, Professional Services, Software",Tipalti is a global payables automation platform that provides a cloud solution to scale and automate global payables operations.,"Tipalti streamlines and automates the way companies make payments to their suppliers, partners, publishers, and crowd. Tipalti provides a comprehensive cloud-based solution that addresses all phases of the payables workflow, from self-service supplier onboarding and management to tax compliance, invoice processing, global funds disbursement, early payments, and AP reporting and payment reconciliation, while helping to ensure the payer in full tax and regulatory compliance. With Tipalti, companies can eliminate up to 80% of their supplier payment workload, helping them scale their business efficiently with global growth while strengthening financial and compliance controls and while improving the partner payment experience. Tipalti was founded on 2010 and is headquartered in San Mateo, California.",https://www.linkedin.com/company/tipalti/,Unicorn,http://twitter.com/tipalti,http://www.facebook.com/Tipalti,552
Brex,https://www.crunchbase.com/organization/brex,https://brex.com,"Accounting, Banking, Credit Cards, Finance, Financial Services, FinTech, Life Science","Biotechnology, Financial Services, Lending and Investments, Payments, Professional Services, Science and Engineering","Brex is the financial OS for growing companies, with credit cards, cash management, and controls in a single account.","Brex is reimagining financial systems so every growing company can realize their full potential. With the financial OS, new customers can get up and running in minutes with corporate credit cards and cash management in a single, strategic account. Plus, companies save hours every month with built-in tools and integrations to track spend, and earn points on every card purchase. Launched in 2018, Brex has raised $315M in equity funding alongside $350M in debt financing, and is backed by the likes of Y Combinator Continuity, Kleiner Perkins, and the founders of PayPal. Headquartered in San Francisco, Brex also has offices in Vancouver, B.C. and the Salt Lake valley. Brex was founded by Henrique Dubugras and Pedro Franceschi, two engineers who previously founded Pagar.me, one of the largest payment processors in Brazil with over $1.5 billion in GMV.",https://www.linkedin.com/company/brexhq/,Unicorn,https://twitter.com/brexHQ,https://www.facebook.com/BrexHQ/,631
TenantCloud,https://www.crunchbase.com/organization/tenantcloud-2,https://www.tenantcloud.com/,"Accounting, Building Maintenance, Financial Services, Lending, Mobile, Mobile Payments, Property Management, Real Estate, Real Estate Investment, Task Management","Financial Services, Mobile, Payments, Professional Services, Real Estate, Software",Rental Accounting and Management Made Easy,"TenantCloud is a cloud-based platform that enables landlords and tenants to manage their rentals. The portal offers online payments, market rentals, accounting, tracking, information storage, and maintenance requests to tenants. Renters are able to share their profiles in order to obtain new homes. TenantCloud is based in Texas.",https://www.linkedin.com/company/tenantcloud,,https://www.twitter.com/tenantcloud,https://www.facebook.com/tenantcloudsystem,875
AppZen,https://www.crunchbase.com/organization/appzen,http://www.appzen.com/,"Accounting, Artificial Intelligence, Big Data, Enterprise Software, FinTech, Machine Learning, SaaS","Artificial Intelligence, Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",AppZen is an artificial intelligence platform for modern finance teams.,"AppZen is an artificial intelligence platform for modern finance teams, helping them to reduce spend, comply with policy, and streamline process. It automates manual process, uncovers problems, and optimizes decision making for enterprises around the globe, including one-fourth of the Fortune 500.  The platform combines patented deep learning, computer vision, and semantic analysis with intelligence from thousands of online data sources to understand financial transactions in business context and make decisions before those transactions happen. AppZen was founded in 2012.",https://www.linkedin.com/company/appzen/,Emerging Unicorn,https://twitter.com/appzen,https://www.facebook.com/Appzeninc/,"1,169"
FinancialForce,https://www.crunchbase.com/organization/financialforce-com,http://www.financialforce.com,"Accounting, Cloud Computing, Human Resources, SaaS, Software","Administrative Services, Financial Services, Internet Services, Professional Services, Software",FinancialForce develops cloud back-office applications for salesforce CRM.,"FinancialForce develops cloud back-office applications for salesforce CRM. It unifies data across the enterprise in real-time, enabling companies to rapidly evolve their business models with customers at the center. FinancialForce is backed by Salesforce Ventures, Technology Crossover Ventures, Advent International, and UNIT4.  The company was founded in 2009 and headquartered in San Francisco, California.",https://www.linkedin.com/company/financialforce/?originalSubdomain=ph,Pledge 1%,http://twitter.com/FinancialForce,http://www.facebook.com/FinancialForce,"1,419"
Lukka,https://www.crunchbase.com/organization/libra,http://www.lukka.tech,"Accounting, Bitcoin, Blockchain, Computer, Cryptocurrency, FinTech, Information Services, Information Technology, Software, Virtual Currency","Consumer Electronics, Financial Services, Hardware, Information Technology, Other, Payments, Professional Services, Software",Lukka is a next-generation software company that delivering to the leading middle and back office solutions for the crypto asset ecosystem.,"Lukka is a leading technology and data services provider for middle and back-office crypto asset processing. Its crypto-native products connect, standardize, reconcile, process, and report audit-ready information within a highly secure SOC 1 Type 2 enterprise-grade infrastructure. Lukka was founded in 2014 and headquartered in New York, United States.",https://www.linkedin.com/company/lukka-inc/,,https://twitter.com/LukkaTech,,"1,488"
Taxfyle,https://www.crunchbase.com/organization/tickmark-dba-taxfyle,https://www.taxfyle.com,"Accounting, Android, iOS","Financial Services, Mobile, Platforms, Professional Services, Software",Tickmark develops disruptive accounting-based applications for iOS and Android platforms.,"Tickmark dba Taxfyle develops accounting-based applications for iOS and Android platforms as well as newly designed web app. The company developed Taxfyle, to make tax calculations with ease.",https://www.linkedin.com/company/10308579?trk=tyah&trkInfo=clickedVertical%3Acompany%2CentityType%3AentityHistoryName%2CclickedEntityId%3Acompany_10308579%2Cidx%3A0,,https://twitter.com/taxfyle,https://www.facebook.com/taxfyle/?pnref=lhc,"1,721"
Canopy,https://www.crunchbase.com/organization/beanstalk-tax,https://www.getcanopy.com/,"Accounting, SaaS, Small and Medium Businesses, Software","Financial Services, Other, Professional Services, Software",Canopy develops an online tax workflow management software that manages the tax workflow of tax practitioners.,"Canopy develops an online tax workflow management software that manages the tax workflow of tax practitioners. It is designed to streamline tax resolution for tax professionals. The company's platform provides cloud-based practice management and tax resolution software to thousands of accounting professionals nationwide. The modern, easy-to-use software cuts out tax practice busywork, enabling efficient client experience and brings all the different tools a practitioner needs under one roof.",https://www.linkedin.com/company/canopy-inc/,,https://twitter.com/canopytax,https://www.facebook.com/canopytax/,"1,790"
CFO,https://www.crunchbase.com/organization/cfo-com,http://www.cfo.com,"Accounting, Finance, FinTech","Financial Services, Professional Services","CFO offers daily stories specifically for finance executives, covering new accounting standards, recent capital-raisings, and more.","CFO is a finance executives focused almost exclusively on control issues and capital raising. Today, CFOs are expected to be strategic business partners with operating units and close confidants to the CEO. They also, often, oversee the legal, human resources, and IT departments. With responsibility for managing top- and bottom-line growth, ensuring that technology is evaluated and deployed productively, and communicating financial performance and strategy to external stakeholders as well as to board members and other shareholders, the CFO's job has changed more than that of any other corporate executive.",http://www.linkedin.com/company/cfo/products,,http://twitter.com/cfo,https://www.facebook.com/cfoconferences,"2,206"
