Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
1on1,https://www.crunchbase.com/organization/1on1,https://1on1.today,"Advertising Platforms, E-Commerce Platforms, E-Learning, Education, Human Resources, Internet, Language Learning, Marketplace, Skill Assessment","Administrative Services, Advertising, Commerce and Shopping, Education, Internet Services, Software",1on1 is a global C2C online platform for matching Educators(Experts) and Learners(Clients).,"1on1 (One on one Inc.) is a Global Tutor Resource Sharing Platform, you can now use 1on1 to search for any kind of providers with specific skill-sets in over 120+ countries to help you accomplish your goals, or if you have skills to provide, you can also choose to become a tutor and start teaching internationally. In addition, 1on1 is standing in a third party to assist users of the transaction, security, certification, and other strict checks, we are striving to provide a good learning & skills exchanging environment for all members.",https://www.linkedin.com/company/one-on-one-inc,,https://twitter.com/1on1official1,https://www.facebook.com/1on1.today
4C Insights,https://www.crunchbase.com/organization/4c-insights,http://www.4cinsights.com,"Advertising, Advertising Platforms, Analytics, Marketing, Social Media, Software, TV","Advertising, Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Software, Video",Scope by 4C™ is the leading self-service intelligence platform for marketers to drive business outcomes across closed ecosystems.,"4C is building the leading self-service intelligence platform for marketers to drive business outcomes across closed ecosystems. Brands, agencies, and media owners around the world trust Scope by 4C™ to surface insights about their most valuable consumers and creatives, and activate them across channels and devices. With over $2 billion in annualized advertising spend running through Scope, 4C bridges linear television, streaming video, digital commerce, and social media. Founded in 2011 and based in Chicago, 4C has staff in the United States, United Kingdom, the Netherlands, and Singapore. Visit www.4Cinsights.com for more information.",https://www.linkedin.com/company-beta/5021850/,,https://twitter.com/4cinsights,https://www.facebook.com/4Cinsights/
Abakus,https://www.crunchbase.com/organization/abakus,http://abakus.me,"Advertising, Advertising Platforms, Analytics, Software","Advertising, Data and Analytics, Sales and Marketing, Software",Abakus provides online and offline media marketing software solutions for advertisers and consumers.,"Abakus, Inc. provides software solutions to increase the effectiveness of marketing campaigns. It offers data and insights that allow media agencies and advertisers to optimize their campaigns; and enable them to take better media planning and buying decisions by calculating the true marginal value of marketing channels, providers, and placements. The company was founded in 2013 and is based in Emeryville, California. Abakus operates as a subsidiary of Exponential Interactive.",,,,
Ad Badger,https://www.crunchbase.com/organization/ad-badger,https://www.adbadger.com/,"Advertising, Advertising Platforms, Digital Marketing, E-Commerce, E-Commerce Platforms, Marketing, Marketing Automation, Productivity Tools, SaaS, Software","Advertising, Commerce and Shopping, Internet Services, Sales and Marketing, Software","The Smartest, Most Effective Amazon PPC Tool",Ad Badger uses intelligent automation to help Amazon sellers dramatically improve their Amazon PPC campaigns. Its quick customization abilities save sellers tons of time managing paid traffic campaigns and produces superior results compared to manually managing campaigns.,https://www.linkedin.com/company/18210460/,,https://twitter.com/AdBadgerApp,https://www.facebook.com/adbadgerapp
Ad Sales Genius,https://www.crunchbase.com/organization/ad-sales-genius,http://www.adsalesgenius.com,"Accounting, Advertising, Advertising Platforms, CRM, Enterprise Resource Planning (ERP)","Advertising, Financial Services, Information Technology, Professional Services, Sales and Marketing, Software",SaaS,"Advertising sales ERP and management software for publishers, out of home and digital advertising. Complete with CRM, billing, project management, asset management, publishing automation and more.",https://www.linkedin.com/company/ad-sales-genius/,,,https://www.facebook.com/Ad-Sales-Genius-1452520358353925
Ad Server Solutions - Ad Server,https://www.crunchbase.com/organization/ad-server-solutions,http://adserversolutions.com,"Ad Server, Advertising, Advertising Platforms, Mobile, Mobile Advertising, SaaS","Advertising, Mobile, Sales and Marketing, Software",Ad Server Solutions - Ad Server offers solutions that enable publishers and advertisers to manage all their advertising campaigns.,"Ad server for display, video, apps, mobile and IPTV.  Run your own ad server, mobile ad network, ad exchange, rtb, Dsp, Ssp, real time bidding platform using ad server solutions. Ad server platform, adserver technology provider of display, video, apps, iptv, xml, search and mobile for advertising in one place, enabling businesses to manage and maximize their ad revenue through ad network and real time bidding. Providing a comprehensive ad platform by combining ad serving, an ad exchange and a breakthrough approach to yield optimization. Develops and markets one of the main ad serving technologies for the management of online campaigns for media agencies and publishers. Ability to deliver billions of highly targeted impressions per day.  SDK's for in app mobile advertising included for Iphone, iOs, Android, Flash. Source codes available. Provides a real time auction bidding ad server platform that seamlessly integrates with Google Adx, Admeld, Pubmatic, MediaMath, Openx, Rubicon, AppNexus, Criteo, RightMedia, Mopub, Mojiva, AdMob, Nexage and more  SaaS ad serving available as well. SaaS services For more information, please visit http://adserversolutions.com  Ad Exchange  RTB Auction Engine  ad network  adserver RTB  Real Time Bidding  Ad Server  Optimization  Mobile Ad Network  geo targeting  advertising platform  Ad Serving  app marketplace  ad marketplace  Ad Targeting  Ad Serving Engine  behavioral targeting  Hyperlocal targeting  retargeting  Yield Optimization  Adserver  ad platform  adnetwork  supply side platform  Mobile Ad Exchange  demand side platform  mobile advertising  Web Development  ad management  affiliate software  affiliate network  ad optimization  hyperlocal ad server Mobile Application Development  Mobile RTB  DSP  SSP  SAAS RTB traffic sources  rtb optimizer  Mobile Auction Engine  Online Advertising Systems  Always interested in partnerships, investors, Ventures and Business opportunities",https://www.linkedin.com/company/ad-server-solutions,,http://twitter.com/AdServer1,http://www.facebook.com/justinmnorris
Adadyn,https://www.crunchbase.com/organization/adadyn,http://www.adadyn.com,"Ad Targeting, Advertising, Advertising Platforms, E-Commerce, Internet, Marketing Automation, Mobile Advertising, Real Time, Retail Technology","Advertising, Commerce and Shopping, Hardware, Internet Services, Other, Sales and Marketing, Software",Adadyn is a global advertising technology platform that facilitates end-to-end campaign management.,"Adadyn is a global advertising technology platform that facilitates end-to-end campaign management. Its self-service user interface enables users to launch advertising campaigns with retargeting, prospecting, and personalized creative optimization options. The platform’s audience segmentation and data management functionality allows marketers to customize and differentiate ad creative based on goals, audiences, products, and more. The universal Adadyn pixel differentiates between those who bounced off the homepage, viewed a product page or dropped off the shopping cart page. Its solutions include Adadyn for Retail and Adadyn for Travel. Adadyn partners with a number of ad tech solution providers in the ecosystem such as fraud and malware protection agencies, DSPs and SSPs, trading desks, and more, to help its clients produce targeted ads. Adadyn was launched in 2006 by Kiran Gopinath and its operations are based in San Francisco, California.",https://www.linkedin.com/company/adadyn?trk=ppro_cprof,,https://twitter.com/adadyn,https://www.facebook.com/adadynplatform
Adcoin,https://www.crunchbase.com/organization/adcoin,http://adcoin.com/,"Advertising, Advertising Platforms, App Marketing, Brand Marketing, Digital Marketing, Digital Media, Marketing, Marketing Automation","Advertising, Media and Entertainment, Sales and Marketing, Software","Adcoin platform turns attention into digital currency giving users access to content, advertisers brand lifts and publishers revenue streams","Adcoin is a self-serve ad platform, which converts attention into currency. We provide users access to premium content and services in exchange for their attention, advertisers verified brand lifts and media owners a way to effectively monetize their digital assets.",https://www.linkedin.com/company/adcoin,,https://www.twitter.com/adcoinhq,https://www.facebook.com/pages/AdCoin/364866607006176
AdCritter,https://www.crunchbase.com/organization/adcritter,https://www.adcritter.com,"Ad Exchange, Ad Network, Ad Retargeting, Ad Server, Ad Targeting, Advertising, Advertising Platforms, Local Advertising, Mobile Advertising, SaaS","Advertising, Sales and Marketing, Software",AdCritter is a SaaS company delivering Ad Tech for SMBs,"AdCritter provides comprehensive, self-serve programmatic ad software designed specifically for small businesses.",https://www.linkedin.com/company/adcritter,,https://twitter.com/ad_critter,https://www.facebook.com/adcritter
AdDaptive Intelligence,https://www.crunchbase.com/organization/datapoint-media,http://www.addaptive.com,"Ad Targeting, Advertising, Advertising Platforms, Artificial Intelligence, Big Data, Machine Learning","Advertising, Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software","AdDaptive Intelligence transforms real-world, offline data into actionable targeting segments for digital advertising.","AdDaptive Intelligence helps brands and marketers target valid offline data. By analyzing billions of ad impressions per day, we deliver precise targeting solutions to reach unique business and consumer audiences at scale.   Our adaptive intelligence technology combines the power of big data and advertising automation, while capitalizing on the human knowledge and expertise that artificial intelligence can't duplicate.   AdDaptive Intelligence is headquartered on Boston's Route 128 Tech Corridor in Waltham, Massachusetts.",https://www.linkedin.com/company/addaptive-intelligence/,,http://twitter.com/addaptive,https://www.facebook.com/Addaptive/
