Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
ZZAlpha,https://www.crunchbase.com/organization/zzalpha,http://www.zzalpha.com,"Artificial Intelligence, Machine Learning","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Machine learning stock recommendations,"ZZAlpha LTD provides daily recommendations of stocks and ETFs that are likely to go up (or down) in value over the next week, using an objective, proprietary machine learning technique.   It supplies four key forecasts for large ETFs: In or Out of market, Value or Growth, Large or Small Cap, and Best Sector, with historic returns over 13%.  It supplies recommendation portfolios across 40 market segments (3000 stocks) with historic returns over 20%.  Only liquid, US exchanged traded stocks and ETFs are considered. Each night the ZZAlpha machine learning technique processes over half a billion pieces of market data to learn the current dynamics of the market, and to place those in historical context. Historic returns have statistical confidence exceeding 3 sigma (ETFs) and 8 sigma (stocks), calculated from large Monte Carlo simulations. The ZZAlpha work proves the efficient market hypothesis is false, and that market timing can be effective. Subscribers are professional investors.",https://www.linkedin.com/in/kevin-pratt-709b033a,,,
ZypMedia,https://www.crunchbase.com/organization/extendtv,http://www.zypmedia.com/,"Advertising, Advertising Platforms, Artificial Intelligence, Local Advertising","Advertising, Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software",ZypMedia is a programmatic media buying platform for local advertising.,"Zypmedia provides local ad sales executives and their customers an opportunity to grow their business and evolve with a changing media environment. ZypMedia is a full-stack digital advertising technology platform that combines the power of machine learning with the intelligence of human experts to specialize in local-focused advertising. The company's innovative, intelligent tools enable you to bridge the audience gap between traditional and digital worlds, expand your offerings to better reach your local audience, and significantly grow your revenue.",https://www.linkedin.com/company/3484916,,https://twitter.com/zypmedia,https://www.facebook.com/pg/zypmedia
Zymergen,https://www.crunchbase.com/organization/zymergen,http://www.zymergen.com,"Artificial Intelligence, Big Data, Bioinformatics, Biotechnology, Machine Learning, Robotics","Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Science and Engineering, Software","Zymergen is a biotechnology company that specializes in machine learning, big data, and artificial intelligence.","Zymergen is a biotechnology company that specializes in the fields of machine learning, big data, and artificial intelligence. The company partner with nature to create materials and products across industries from agriculture to electronics, consumer care to pharmaceuticals, and more. It was founded in 2013 and headquartered in Emeryville, California.",https://www.linkedin.com/company/zymergen-inc-/,Unicorn,http://twitter.com/zymergen,https://www.facebook.com/pages/Zymergen/1698233397064137
Zylotech,https://www.crunchbase.com/organization/dataxylo,http://zylotech.com,"Analytics, Artificial Intelligence, Big Data, Software","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Self-learning customer data platform that enables clients to cross-sell / up-sell to their customers.,"Zylotech’s Self-Learning CDP provides B2B organizations with a complete, unified view of all customer data empowering cross-functional teams with greater agility, efficiency, and consistency. This approach is leading to new operational strategies that address each stage of the customer journey to meet evolving requirements. Zylotech has developed its Revenue Operations (RevOps) Framework to provide the necessary guidance for B2B organizations to meet these evolving requirements and to break through marketing, sales and customer operations silos to establish alignment across customer-facing teams.",http://www.linkedin.com/company/zylotech,,http://twitter.com/zylotweet,https://www.facebook.com/zylotech/
Zya,https://www.crunchbase.com/organization/zya-inc,http://www.zyamusic.com,"Artificial Intelligence, Audio, Digital Entertainment, Mobile Apps, Music, Social Network","Apps, Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Music and Audio, Science and Engineering, Software",Zya builds next-generation musical artificial intelligence for everyone.,"Zya is building next-generation musical artificial intelligence for everyone. Zya’s music experts, innovative engineers, and award-winning product developers are based in Los Angeles.  Zya was founded by CEO Matt Serletic. Matt is a former Chairman and CEO of Virgin Records as well as a Grammy-award winning producer, songwriter, record label owner, and entrepreneur. He founded Zya to change the way people interact with music.",https://www.linkedin.com/company/zya,,https://www.twitter.com/ditty_it,https://www.facebook.com/ditty.co
Zweispace,https://www.crunchbase.com/organization/zweispace,https://en.zweispace.co.jp,"Architecture, Artificial Intelligence, Blockchain, FinTech, Internet of Things, Legal Tech, Predictive Analytics, Real Estate Investment, Smart Building","Artificial Intelligence, Data and Analytics, Financial Services, Internet Services, Other, Professional Services, Real Estate, Science and Engineering, Software","Top PropTech Company in APAC region,  awarded blockchain, Smartcontract patents, AI Architect, IoT, earthquake solution, Fintech & LegalTech","Zweispace is helping real estate industry with the power of technology and to improve the customers beyond. We develop real estate applications, include in Robot Architect AutoCalc and Earthquake Resistant Measurement Application Namazu, and patented blockchain applications in real estate industry. In 2019, we are awarded Top PropTech Company in APAC region, also awarded Smart Contract patens, Robot Architect AI and IoT patents, including earthquake solution technologies. We developed inheritance smart contract with our Smarter Contract platform, and started to provide solutions in construction and financial industry as well. Zweispace was selected as Plug and Play batch in 2020 and won the start up award in real estate and construction domain at the summer summit. Zweispace will keep providing industry standard solutions in blockchain and AI industry, with our ability to invent and build to fit.",https://www.linkedin.com/company/zweispace/,,https://twitter.com/zweispace,https://www.facebook.com/zweispace
Zuzu AI,https://www.crunchbase.com/organization/zuzu-ai,https://zuzu.ai,"Artificial Intelligence, Information Technology, Machine Learning, SaaS, Sales, Software","Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",Knowledge Assistant for your Workplace,"Get trusted and verified Knowledge everywhere you work! Hi, I am Zuzu AI, Knowledge Assistant for your Workplace Improve customer experience by delivering information when and where your team needs it. *Improved Customer experience* Boost your customer experience with our AI assistant for teams which provides consistent and accurate answer to customer queries. *Increase Team's productivity* Repetitive questions can eat up your agent’s valuable time. Let an AI assistant help your agents answer customer FAQs and close leads faster. *Improved Customer Satisfaction and Sales Velocity* Zuzu reduces time it takes to respond to customers by upto 65 percent, ultimately improving customer satisfaction and sales velocity. *Trusted and Up-to-date Knowledge for Everyone* Build knowledge-bases based on your product categories. Share team with always updated knowledge, trained over customer data by everyone.",https://in.linkedin.com/company/zuzu.ai,,https://twitter.com/zuzudotai,https://www.facebook.com/zuzuai/
Zumo Labs,https://www.crunchbase.com/organization/zumo-labs,http://zumolabs.ai,"Artificial Intelligence, Big Data, Database, Machine Learning, Software","Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Zumo Labs uses game engines to produce synthetic training data for computer vision models.,"Zumo Labs uses game engines to produce synthetic training data for computer vision models. Zumo Labs also uses new ML-techniques like domain randomization to improve model performance. The company delivers unbiased, diverse, perfectly-labeled data, free from privacy concerns.",https://www.linkedin.com/company/zumolabs/,,https://twitter.com/ZumoLabs,
Zugata,https://www.crunchbase.com/organization/zugata,http://www.zugata.com/,"Artificial Intelligence, Human Resources, Mobile, Software","Administrative Services, Artificial Intelligence, Data and Analytics, Mobile, Science and Engineering, Software",Zugata is a performance management system designed to improve employee and organizational performance.,"Zugata is a performance management system designed to improve employee and organizational performance. It has the vision to use data to understand employees and to use those insights to empower employees to reach their fullest potential. The company helps employers to gather continuous feedback about individual employees in order to foster a corporate culture that empowers each employee to reach his or her full potential. Its deep learning and advanced analytics algorithms allow managers to aggregate and summarize ratings for key skills by the organization, team, or individual. This allows managers to view workforce strengths and weaknesses holistically, as well as individually, and use data to determine future training needs. Zugata was founded in 2014 and is based in Palo Alto, California.",https://www.linkedin.com/company/zugata,,https://www.twitter.com/zugatainc,https://www.facebook.com/811977725492101
Zpoken AI,https://www.crunchbase.com/organization/protokol-inc,https://zpoken.ai/,"Artificial Intelligence, Big Data, Biometrics, Business Intelligence, Computer Vision, Intelligent Systems, Machine Learning, Software","Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Science and Engineering, Software","Data science company, focused on innovative solutions in the cognitive solutions area",Zpoken AI is a data science company that delivers products and services based on the complex of own developed neural networks. Zpoken provides custom on-demand solutions for clients.  Zpoken AI focuses on computer vision and speech recognition/analytics solutions.,https://www.linkedin.com/company/zpokenai/,,,
