Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
#Fly,https://www.crunchbase.com/organization/fly,https://beta.fly.me,"Artificial Intelligence, Information Technology, Machine Learning, Travel","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software, Travel and Tourism",#Fly is an exciting AI startup disrupting the travel market using patent-pending technology.,#Fly is an exciting AI startup disrupting the travel market using patent-pending technology.,,,,
&insurance,https://www.crunchbase.com/organization/insurance-cbf6,https://www.andinsurance.com,"Artificial Intelligence, Financial Services, Insurance, InsurTech, Machine Learning","Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",&insurance is a licensed insurance agency powered by AI and reimaging what’s possible to help us all manage risk and insurance in new ways.,"&insurance is a licensed insurance agency filled with a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all manage risk and insurance in new ways.  Our products also apply to our practices — strengthening our commitment to leave the insurance world better than we found it. Every new product we create, client we service, or company we partner with is the result of people working together to make each other’s ideas stronger. That happens here because every one of us strives toward a common goal — creating the best customer insurance experiences.",https://www.linkedin.com/company/and-insurance,,,
10by10.io,https://www.crunchbase.com/organization/10-by-10,https://www.10by10.io/,"Artificial Intelligence, Developer Platform, Human Resources, Internet, Machine Learning, Recruiting, Software","Administrative Services, Artificial Intelligence, Data and Analytics, Internet Services, Professional Services, Science and Engineering, Software",10by10 uses AI to quickly match qualified candidates with companies by aggregating data across recruitment agencies.,"Not enough qualified candidates apply through your job site and job boards are full of mediocre unqualified candidates. 10by10 uses technology, AI and automation, hand in hand with the best technical recruiters to source highly qualified candidates in half of the time. Contact us to see our sample A+ candidates. *For Employers* -Simply provide us with your job req and with our in-take process, we'll immediately start aggregating top talent. We'll ONLY send you candidates who are vetted, qualified, and interview-ready. 70% of the candidates we send to our clients go straight through to the interview process. Time is money and we don't like wasting yours. *For Recruiters* -Once vetted to join our platform you are able to submit ideal candidates to our open job reqs.  You get high placement fee for only souring and vetting candidates.",https://www.linkedin.com/company/tenbyteninc,,,
10th Magnitude,https://www.crunchbase.com/organization/10th-magnitude,http://www.10thmagnitude.com/,"Artificial Intelligence, Information Technology","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","10th Magnitude is a Digital Transformation services firm, helping organizations innovate, lead, and disrupt.","10th Magnitude creates the path for organizations to stay competitive, become industry disruptors, and reach new heights through cloud-enabled innovation.  As a digital transformation consultancy, we use a DevOps mindset in all that we do. We architect, we build, we guide, and we empower. We offer end-to-end services including: Data Center Transformation, Site Reliability Engineering, Application Modernization, Data Intelligence, and Managed Services.  Our Managed Services offerings cover the foundational services around Microsoft Azure. Additionally, we reach into software delivery & DevOps support with VSTS Managed Services and span across data and intelligence to provide AI Managed Services. 10th Magnitude was founded in 2010 by Alex Brown (CEO) and is headquartered in Chicago, IL. All we have ever done has been in the cloud. In fact, we launched our business the same month Microsoft launched Azure and we’ve been alongside Microsoft ever since.",http://www.linkedin.com/company/10th-magnitude-inc.,,http://twitter.com/10thmagnitude,http://www.facebook.com/10th-Magnitude/127794857338922
10XTS,https://www.crunchbase.com/organization/10xts,https://10xts.com,"Artificial Intelligence, Blockchain, Enterprise Software, FinTech, Machine Learning, Software, Software Engineering","Artificial Intelligence, Data and Analytics, Financial Services, Other, Science and Engineering, Software","We make governance, risk, and compliance simple.","10XTS combines advanced enterprise architecture, software development, data science, and artificial intelligence with product management, capital, and marketing – to launch new platforms, business models and products. Our flagship product XDEX is a crypto asset management cloud that allows the tokenization of real-world assets.",https://www.linkedin.com/company/22325712/,,https://www.twitter.com/go10xts,
12th Wonder,https://www.crunchbase.com/organization/12th-wonder,https://www.12thwonder.com/,"Analytics, Artificial Intelligence, Information Technology, Robotics, Software","Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software","Enterprise Software, Data Analytics, SaaS, Robotic process automation, Big data, Artificial Intelligence, Custom Application, Cloud","Established in 2012, 12th Wonder is a California-based Software development company developing cutting edge applications to accelerate digital transformation. Our engineers and data scientists specialize in product engineering, designing and developing custom applications using both open source and propriety software technologies. We have successfully transformed many manual processes to flexible automated workflows. Our products, deployed in three continents, are intuitive to use and engineered for simplicity. We have a proven track record of delivering complex products and applications that have exceeded our customers’ expectations.",https://www.linkedin.com/company/12thwonder,,https://www.twitter.com/theme_fusion,https://www.facebook.com/12th-Wonder-LLC-1861367877417167/
1build,https://www.crunchbase.com/organization/1build,https://www.1build.com/,"Artificial Intelligence, Construction, Machine Learning","Artificial Intelligence, Data and Analytics, Real Estate, Science and Engineering, Software",1build utilizes machine intelligence to convert building blueprints into material shopping lists and cost estimates.,"1build helps builders win more bids by automating their construction cost estimates with a combination of human and machine intelligence. The founding team is made up of engineers and builders with experience in construction and at top tech companies. The company was founded in 2019 and is headquartered in Mountain View, California.",https://www.linkedin.com/company/1build/,,,https://www.facebook.com/hello1build/
"21Squared, Inc.",https://www.crunchbase.com/organization/21squared-inc,https://21squared.com,"Artificial Intelligence, Fashion","Artificial Intelligence, Clothing and Apparel, Data and Analytics, Design, Science and Engineering, Software",21Squared is the first fashion app dedicated to help plus-size women find the perfect outfit,"21Squared combines artificial intelligence with user-generated content to help plus-size women find the perfect outfit. 65% of American women are considered plus-size but they only account for 18% of the entire women's fashion market revenue, because it is very difficult for them to find clothes that fit. Through our 21Squared engine, women are matched with other women who share a similar body shape and style preferences, thus giving them a better shopping experience, while helping them build a community.",https://www.linkedin.com/company/21squared-inc.,,https://www.twitter.com/21squaredinc,https://www.facebook.com/21squared
2338 Technologies,https://www.crunchbase.com/organization/2338-technologies,http://www.2338tech.com/,"Artificial Intelligence, Internet, Machine Learning, Travel","Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software, Travel and Tourism",Improving everyday life using machine learning.,Ever have a moment when you thought that some everyday task was very inefficient? Ever have a moment when you thought it would be great if someone developed a technology to handle a mundane everyday task? 2338 Technologies is a software company on a mission to improve everyday life through the innovative use of machine learning technologies.,https://www.linkedin.com/company/2338-technologies,,https://twitter.com/2338tech,https://www.facebook.com/2338tech
30sec,https://www.crunchbase.com/organization/30sec,https://30sec.io,"Artificial Intelligence, Computer, Software","Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",30sec.io is developing an artificial intelligence platform to deliver sports audio content to fans on all voice enabled connected devices.,30sec.io is an artificial intelligence that delivers live and on-demand sports content to fans through voice platforms like Amazon’s Alexa and Google Home. Their system allows fans to get updates on their favorite teams and get their questions answered immediately without ever having to look at a screen or touch a machine anywhere in the world.,https://www.linkedin.com/company/30sec.io/,,https://twitter.com/30secio,
