Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Citigroup,https://www.crunchbase.com/organization/citigroup,https://www.citigroup.com,"Banking, Credit Cards, Financial Services, Wealth Management","Financial Services, Lending and Investments, Payments",Citigroup is a diversified financial services holding company that provides various financial products and services.,"Citigroup is a diversified financial services holding company that provides various financial products and services. The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services. Citigroup Inc. was founded in 1812 and is based in New York, United States.",https://www.linkedin.com/company/citi,,https://twitter.com/citi,https://www.facebook.com/citi,6
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,http://www.goldmansachs.com/,"Banking, Finance, Financial Services, Security, Venture Capital","Financial Services, Lending and Investments, Privacy and Security","Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.","The Goldman Sachs Group, Inc. provides investment banking, securities, and investment management services, as well as financial services to corporations, financial institutions, governments, and high-net-worth individuals worldwide. Its Investment Banking segment offers financial advisory services, including advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions. The company’s Institutional Client Services segment provides client execution services, such as fixed income, currency, and commodities client execution related to making markets in interest rate products, credit products, mortgages, currencies, and commodities; and equities related to making markets in equity products, as well as executes and clears institutional client transactions on stock, options, and futures exchanges. This segment also engages in securities services business providing financing, securities lending, and other brokerage services to institutional clients, including hedge funds, mutual funds, pension funds, and foundations. Its Investing and Lending segment originates longer-term loans; and invests in debt securities, loans, public and private equity securities, real estate, consolidated investment entities, distressed assets, currencies, commodities, and power generation facilities. The company’s Investment Management segment provides investment products and services, as well as offers wealth advisory services, including portfolio management and financial counseling, and brokerage and other transaction services. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.",http://www.linkedin.com/company/goldman-sachs,,http://twitter.com/goldmansachs,https://www.facebook.com/goldmansachs,76
BlackRock,https://www.crunchbase.com/organization/blackrock,http://www.blackrock.com,"Asset Management, Banking, Consulting, Crowdfunding, Finance, Financial Services, FinTech, Internet, Risk Management","Financial Services, Internet Services, Lending and Investments, Professional Services","BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.","BlackRock's business is investing on behalf of our clients, from large institutions to parents and grandparents, doctors and teachers who entrust their savings to us. We work only for our clients—period. Our promise is to offer them the clearest thinking about what to do with their money and the products and services they need to secure a better financial future.  That's why investors of all kinds have made us the world’s largest asset manager, entrusting us with trillions of dollars, and it’s why companies, institutions and global governments come to us for help meeting their biggest financial challenges.  Important disclosures: http://www.blackrock.com/corporate/en-us/compliance/social-media-guidelines",http://www.linkedin.com/company/blackrock,,http://twitter.com/blackrock,http://www.facebook.com/BlackRock,120
Modern Treasury,https://www.crunchbase.com/organization/modern-treasury,https://www.moderntreasury.com/,"Banking, Finance, FinTech, Payments","Financial Services, Lending and Investments, Payments",Modern Treasury offers a payment operations platform used to simplify and modernize business payments.,"Modern Treasury enables its clients to marry bank statements with the company’s business logic to provide an enriched history of the company’s financial transactions. This view will empower the company’s finance teams to focus on solving the mission-critical problems of the business and not piecing together the jigsaw puzzle of bank transactions by hand. Modern Treasury will help answer those questions faster and with more confidence. The company's tools automate the full cycle of money movement—from payment initiation, through approvals, to reconciliation—and are accessible through a web application or API.",https://www.linkedin.com/company/modern-treasury/,,https://twitter.com/moderntreasury,https://www.facebook.com/moderntreasury/,123
MX Technologies,https://www.crunchbase.com/organization/moneydesktop,http://www.mx.com,"Banking, Finance, Financial Services, FinTech","Financial Services, Lending and Investments",MX Technologies is a fintech company that aims to connect people with their financial data in a way that automates their money experience.,"MX is a fintech data company that aims to connect people with their financial data in a way that automates their money experience. It enables fintech and all financial institutions with aggregating, enhancing, analyzing, presenting, and acting on financial data. MX enables banks and credit unions to achieve record-breaking growth by winning their competitor's most profitable account holders. As one of the fastest-growing fintech providers, MX drives customer-centric banking relationships by gathering and providing data upon which online and mobile banking partners and financial institutions can create and deliver next-generation banking applications and solutions. Founded in 2010, MX delivers data aggregation, data cleansing, auto-categorization, classification, money management, custom API, data analytics, marketing, UI, and more. In addition, MX offers an extensive array of client services, ranging from training to custom marketing services. MX currently partners with more than 600 financial institutions and more than 30 digital, online, and mobile banking providers — designating MX as a proven powerhouse in the fintech space.",https://www.linkedin.com/company/mxenabled/,Unicorn,https://twitter.com/mx,https://www.facebook.com/MXenabled/,131
Oxygen,https://www.crunchbase.com/organization/oxygen-5cc0,https://www.oxygen.us,"Banking, Financial Services, FinTech, Lending","Financial Services, Lending and Investments",Oxygen is a neobank that develop tools for consumers and small businesses through financial platform designed for the 21st century economy.,"Oxygen is a digital banking platform. It is the first and only challenger in the US that offers both personal and business banking. The bank of the 21st-century economy, serving consumers, small businesses, and freelancers. Available on iOS and Android, Oxygen users enjoy no monthly fees, no paperwork, early direct deposit, simple transfers, and cashback rewards on everyday purchases from approved merchants. Businesses can easily control their finances with solutions that are elegant, simple, and secure.",https://www.linkedin.com/company/getoxygen/,,https://twitter.com/OxygenBanking,https://www.facebook.com/oxygenbanking/,183
Circle,https://www.crunchbase.com/organization/circle-2,https://www.circle.com/en/,"Banking, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Payments, Personal Finance","Financial Services, Lending and Investments, Other, Payments, Software","Circle is a global internet finance company, built on blockchain technology and powered by crypto assets.","Circle provides an online platform that enables users to send money quickly and easily. Circle uses blockchain technology with Circle Pay to ease and improve how users send money.  Circle expands its services with a crypto-currency investment product with Circle Invest, enabling anyone to buy and sell crypto assets. It provides crypto-coins and offer OTC trading services via Circle Trade. Its crypto-trading desk provides one of the largest global liquidity pools for digital asset trading and averages $2 billion in monthly volume. Jeremy Allaire and Sean Neville founded Circle in 2013. $140 million from investors including Jim Breyer (Facebook), Goldman Sachs, IDG Capital (Baidu, Tencent), General Catalyst (AirBnB, Snapchat) and Accel Partners backs the company, with its headquarters in Boston, and branches in New York, San Francisco, Dublin, London, and Hong Kong.",http://www.linkedin.com/company/3509899,Unicorn,https://twitter.com/circlepay,https://www.facebook.com/pg/circle/,274
Aura Financial,https://www.crunchbase.com/organization/insikt-inc-,http://myaura.com,"Banking, Financial Services, FinTech, Lending, Software","Financial Services, Lending and Investments, Software","Aura is a financial service company that provides affordable, credit-building loans to working families.","Aura is a technology-powered, Community Development Financial Institution that provides fair, affordable loans to working families in America. Aura's mission is to build financially healthy low-income communities, by providing empowering financial services to underbanked and unbanked. Aura uses its proprietary scoring algorithms to review and approve credit applications and offers free credit scores and personalized expense management guidance to borrowers, allowing the working population to access loans in a simplified manner. Aura was founded in 2014 and is headquartered in San Francisco, California, USA.",https://www.linkedin.com/company/my-aura/,,https://twitter.com/aura_fair_loans,https://www.facebook.com/aura.fair.loans/,347
BNY Mellon,https://www.crunchbase.com/organization/bnymellon,http://www.bnymellon.com,"Banking, Financial Services","Financial Services, Lending and Investments","BNY Mellon is an investments company provide investment management, investment services and wealth management.","BNY Mellon's history of providing distinguished service spans 225 years. Founded in 1784, soon after the birth of the new American republic, their history is inextricably woven into the broader history of the nation. BNY Mellon is a global leader in investment management and investment services. They are focused on helping clients manage and service their financial assets. BNY Mellon is the corporate brand of The Bank of New York Mellon Corporation. BNY Mellon is a global investments company dedicated to helping its clients manage and service their financial assets throughout the investment lifecycle. Whether providing financial services for institutions, corporations or individual investors, BNY Mellon delivers informed investment management and investment services in 35 countries and more than 100  markets.  As of December 31, 2013, BNY Mellon had $27.6 trillion in assets under custody and/or administration, and $1.6 trillion in assets under management. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments.",http://www.linkedin.com/company/bny-mellon,,http://twitter.com/bnymellon,http://www.facebook.com/bnymellon,455
Bank of America,https://www.crunchbase.com/organization/bank-of-america,http://www.bankofamerica.com,"Asset Management, Banking, Finance, Financial Services, FinTech, Small and Medium Businesses","Financial Services, Lending and Investments, Other","Bank of America offers banking, investing, and other financial and risk management services to individuals, SMBs and large corporations.","Bank of America is a financial institution, serving individual consumers, small- and middle-market businesses, and large corporations with a full range of banking, investing, asset management, and other financial and risk management products and services. They serve approximately 51 million consumer and small business relationships with approximately 5,300 retail banking offices and approximately 16,350 ATMs and award-winning online banking with 30 million active users and more than 13 million mobile users. It offers industry-leading support to approximately 3 million small business owners through a suite of innovative, easy-to-use online products and services. The company serves clients through operations in more than 40 countries. Bank of America is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading across a broad range of asset classes, serving corporations, governments, institutions, and individuals around the world. Bank of America Corporation stock (NYSE: BAC) is a component of the Dow Jones Industrial Average and is listed on the New York Stock Exchange. It was founded in 1998 and is headquartered in Charlotte, North Carolina, United States.",https://www.linkedin.com/company/bank-of-america,Crunchbase Venture Program,http://twitter.com/BofA_Help,https://www.facebook.com/BankofAmerica,572
