Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
10X Genomics,https://www.crunchbase.com/organization/10x-genomics,http://10xgenomics.com,"Biotechnology, Genetics, Health Care, Medical","Biotechnology, Health Care, Science and Engineering",10X Genomics provides an innovative genomics platform.,10x Genomics is creating revolutionary DNA sequencing technology to help researchers better identify subtle variations that are overlooked by technologies that shred biological samples into tiny fragments before sequencing the short stretches and using computers to assembling them into a genome.,https://www.linkedin.com/company/10x-technologies,Exited Unicorn,https://www.twitter.com/10xgenomics,
10xBio,https://www.crunchbase.com/organization/10xbio,http://10xbio.com/,"Biotechnology, Health Care, Therapeutics","Biotechnology, Health Care, Science and Engineering","10xBio, LLC, a privately-held biotechnology company","10xBio is a biotechnology company that focuses on new uses for existing therapies and technologies. This strategy allows us to build on existing safety profiles and leverage known mechanisms of action, resulting in a streamlined development and regulatory process. Their most advanced asset, 10XB101, is a pharmaceutical product that addresses unmet needs in dermatologic medicine. ",,,,
11 Biomics,https://www.crunchbase.com/organization/11-biomics,https://www.11biomics.com/,"Biotechnology, Communities, Life Science","Biotechnology, Community and Lifestyle, Science and Engineering","11 Biomics is an early-stage, community-focused biotech company.","11 Biomics is an early-stage, community-focused biotech company.",https://www.linkedin.com/company/11biomics/,,https://twitter.com/11BIOMICS,https://www.facebook.com/11BIOMICS/
1200 Pharma,https://www.crunchbase.com/organization/1200-pharma,,"Biotechnology, Health Care, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Breakthrough medicinal chemistry technology to dramatically accelerate pre-clinical drug discovery and clinical approval timelines.,1200 Pharma uses breakthrough medicinal chemistry technology from Caltech and proprietary biomarker-driven assays from UCLA to dramatically accelerate pre-clinical drug discovery and clinical approval timelines.,,,,
123Compliance,https://www.crunchbase.com/organization/123compliance,http://123compliance.com/,"Biotechnology, Customer Service, Document Management, Information Technology, Pharmaceutical, Software","Biotechnology, Health Care, Information Technology, Other, Professional Services, Science and Engineering, Software",123Compliance has more than 20 years of experience in the life science industry.,"123Compliance has more than 20 years of experience in the life science industry, with a focus on compliance. The company has built and implemented Global complaint handling, quality management, regulatory reporting, and document management systems for small and large pharmaceutical and medical device companies. As a Salesforce partner, 123Compliance deploys new technologies intelligently to help pharmaceutical and medical device companies simplify operations, reduce waste and unnecessary cost, and maintain compliance in today’s challenging regulatory environment.",,,https://www.twitter.com/123compliance,https://www.facebook.com/188658467956433
180 Therapeutics,https://www.crunchbase.com/organization/180-therapeutics,http://www.180therapeutics.com,"Biotechnology, Health Care, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering",180 Therapeutics is a clinical stage drug discovery and development company.,"180 Therapeutics is a therapeutics company that is focused on the development of novel biologic therapies for the treatment of fibrosis. It develops anti-TNF therapeutics. It mainly focuses on fibrosis in the liver, lung, and musculoskeletal system. 180 Therapeutics is focused on the research and evaluation of human disease tissues to understand how scarring and fibrosis occurs to produce diseases. 180 Therapeutics was founded by Glenn Larsen and is headquartered in Cambridge, Massachusetts.",,,,
1859,https://www.crunchbase.com/organization/1859,https://www.eighteenfiftynine.com/,"Biotechnology, Product Research, Therapeutics","Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",1859 is a biotechnology company focusing on the discovery and development of next-generation therapeutics.,"1859 is a biotechnology company focusing on the discovery and development of next-generation therapeutics.  The company was founded in 2019 and is headquartered in San Diego, California.",https://www.linkedin.com/company/1859-inc/,,https://twitter.com/18fiftynine,
1molar,https://www.crunchbase.com/organization/1molar,http://www.1molar.com/,"Biotechnology, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",1molar inc. is a biomedical technology company.,"1molar inc. is a biomedical technology company focused on neural protection and regeneration. It strives to impact lives through the discovery, development, commercialization, and manufacturing of novel therapeutics and diagnostic tools on this area. The company leverages its expertise in neuroscience, synthetic biology and tissue engineering to produce product candidates designed to increase neural plasticity and stimulate regeneration. 1molar inc. is a privately held company incorporated in Delaware since 2012.",https://www.linkedin.com/company/1molar/about/,,https://twitter.com/1molar_inc,https://www.facebook.com/1molar/
1st Human Therapeutics,https://www.crunchbase.com/organization/1st-human-therapeutics,http://1sthuman.com,"Biotechnology, Health Care","Biotechnology, Health Care, Science and Engineering",1st Human Therapeutics is a biotechnology company focused on developing first-in-human therapeutics.,1st Human Therapeutics is a biotechnology company focused on developing first-in-human therapeutics. They are interested in advancing therapeutics that do not have a traditional development path.,,,,
2 River Labs,https://www.crunchbase.com/organization/2-river-labs,https://2riverlabs.com/,"Biotechnology, Cannabis","Biotechnology, Community and Lifestyle, Food and Beverage, Health Care, Science and Engineering","2 River Labs is an analytical cannabis testing laboratory based in Sacramento, California.","2 River Labs is an analytical cannabis testing laboratory based in Sacramento, California serving the Bay Area, Salinas, Humboldt, Mendocino, Shasta, Coalinga & Sacramento.",,,https://twitter.com/2riverlabs/,https://www.facebook.com/2riverlabs/
