Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
1 EDI Source,https://www.crunchbase.com/organization/1-edi-source,http://www.1edisource.com/,"Computer, SaaS, Software","Consumer Electronics, Hardware, Software",1 EDI Source is a provider of EDI software and SaaS designed to help organizations transform B2B operations.,"1 EDI Source, Inc. is the leading provider of EDI software and SaaS designed to help organizations transform business-to-business operations. For more than 25 years, companies ranging in size from startups to Fortune 500 corporations in various industries have come to rely on 1 EDI Source for innovative, easy-to-use software and cloud-based solutions to improve customer relationships and drive operational excellence.",http://www.linkedin.com/company/1-edi-source-inc.,,https://www.twitter.com/1edisource,http://www.facebook.com/pages/1-EDI-Source/476814522340178
1 Second Everyday,https://www.crunchbase.com/organization/1-second-everyday,https://www.1se.co,"Computer, Enterprise Software, Information Technology","Consumer Electronics, Hardware, Information Technology, Software",1 Second Everyday is a private diary app that creates a movie that includes everyday lives.,1 Second Everyday is a private diary app that creates a movie that includes everyday lives. It is a video diary that makes it easy to take a day to day moments and create a meaningful movie of a life story. It is awarded by Webby Award as Best Use of Mobile Camera. It was launched in 2011 and is based in New York.,https://www.linkedin.com/company/6931285?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A6931285%2Cidx%3A2-1-4%2CtarId%3A1447518777527%2Ctas%3A1%20Second%20Everyday,,https://twitter.com/1secondeveryday,https://www.facebook.com/1SecondEveryday/
1 SPOT Tech,https://www.crunchbase.com/organization/1-spot-tech,https://www.1spottech.com/,"Computer, SaaS, Software","Consumer Electronics, Hardware, Software","One Spot was designed by property managers, for property and facility managers.","One Spot was designed by property managers, for property and facility managers.  Applying a user-centered design approach, they interviewed property and facility management teams for several years, and continue to do so today.  Since 2014, because of this robust user-feedback, their Team was able to then evolve One Spot into a unique SaaS (Software as a Service) based technology that saves their clients time and money, and reduces errors.  Their Team embraces the philosophy of providing a customer experience that ensures success.  They provide client services such as onboarding and training that creates immediate confidence and comfort.  Through their strong commitment to service and support, they deliver from day one of the client journey.  All in One Spot.    They realize that technology needs can change, too.  Client needs change.  The property management world changes.   They are committed to innovation.  Their feedback discipline with theirusers creates a product roadmap that turns ideas and needs into additional value.  Therefore, they help their clients service their very own clients, effectively and efficiently.  One Spot is the only project management platform built specifically by commercial property managers and owners, and for commercial property managers and owners, ensuring projects are delivered on time, and on budget. Come join us today – you will experience the change that creates value.",https://www.linkedin.com/company/1spot/,,https://twitter.com/OneSpotSoftware,https://www.facebook.com/OneSpotTech/
1 Touch Designs,https://www.crunchbase.com/organization/1-touch-designs,http://1touchdesigns.com/,"Computer, Data Center Automation, Software","Consumer Electronics, Hardware, Information Technology, Software",1 Touch is an AV automation and programming company.,"Founded in 2004, 1Touch Designs began with a wholistic industry perspective. Our 20+ years in AV Automation has given us a unique perspective on the many parts of system integration. This insight inspired us to create a company that offers value to each phase of a project, from design to installation.1Touch Designs' process-led approach starts with communication and ends with on-point deliverables. They learn the specifics of each project, prioritize their client's objectives, and create a plan for real world hangups. And we offer exceptional person-to-person support at every part of the process. ",,,,https://www.facebook.com/pg/1Touch-Designs-1173620119401536/
1.0 Innovations,https://www.crunchbase.com/organization/1-0-innovations,http://xflexstand.com/,"Computer, Information Technology, Software","Consumer Electronics, Hardware, Information Technology, Software",1.0 Innovations is a tech solutions company.,"1.0 Innovations is a tech solutions company based in Tulsa, OK. They pride ourselves on making necessities, not accessories for mobile computing. They are also proud to say that their XFLEX Tablet Stands are Made In The USA.",https://www.linkedin.com/company/8266159,,,
10wire Computing Solutions,https://www.crunchbase.com/organization/10wire-computing-solutions,http://www.10wire.com/,"Computer, Information Services, Information Technology","Consumer Electronics, Hardware, Information Technology",10wire Computing Solutions goal is to simplify information technology.,"10wire Computing Solutions goal is to simplify information technology. 10wire provides a vast array of technology services, for the individual computer user to the largest of corporations.",,,https://twitter.com/10wireCS,https://www.facebook.com/10wire/
11 Bridges,https://www.crunchbase.com/organization/11-bridges,http://11-bridges.com/,"Computer, Software","Consumer Electronics, Hardware, Software",11 Bridges is a web service company.,"11 Bridges is a web marketing and design firm located in Portland, Oregon. They create simple, effective websites, applications, and marketing campaigns for companies all across the USA. When you hire us you're not just paying for standard web services.  You're making a lasting investment in your brand and company's success.",https://www.linkedin.com/company/11-bridges/,,https://twitter.com/11bridges,
123Proposal Automation Software,https://www.crunchbase.com/organization/123proposal-automation-software,https://www.123pas.com/,"Computer, Industrial Automation, Software","Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software","123Proposal Automation Software, Inc. (123PAS.com) specializes in a ""Different Type"" of Proposal Automation.","123Proposal Automation Software, Inc. (123PAS.com) specializes in a ""Different Type"" of Proposal Automation. Their Software helps your Proposal Team improve response times for RFPs and other types of proposal requests, and relieves your Team of ""Tedious and Repetitive"" Production Tasks. Their tools can also be used as a ""Companion"" to software applications like SharePoint, Privia, VPC, Qvidian and other ""Content Management"" software applications with ""Little to No Overlap"" in Features. Using thier Automation Tools, simply put, allows their company to spend more time “Polishing” your Proposal to make it more “Compelling” and less time on the overall production of the proposal.",https://www.linkedin.com/company-beta/3374591/,,,
1440 Security,https://www.crunchbase.com/organization/1440-security,https://www.1440security.com/,"Computer, Network Security","Consumer Electronics, Hardware, Information Technology, Privacy and Security",1440 Security is a nationally recognized managed security service provider with a Colorado-based 24/7 security operations center.,1440 Security is a nationally recognized managed security service provider with a Colorado-based 24/7 security operations center.,https://www.linkedin.com/company/1440-security,,https://twitter.com/1440Security,https://www.facebook.com/Fourteen-Forty-Security-1823580727911693/
1530 Technologies,https://www.crunchbase.com/organization/1530-technologies,http://www.1530technologies.com/,"Computer, Customer Service, Electronics, Information Technology, Service Industry, Software","Consumer Electronics, Hardware, Information Technology, Other, Professional Services, Software",1530 Technologies is a customer focused solutions company.,1530 Technologies is a customer focused solutions company. That means your problems get solved first. Sometimes that means a lot of work needs to be done & sometimes it doesn't.,https://www.linkedin.com/in/griffincaprio,,https://www.twitter.com/gcaprio,
