Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Thoughtworks,https://www.crunchbase.com/organization/thoughtworks,http://www.thoughtworks.com,"Consulting, Information Technology, Open Source, Software","Information Technology, Professional Services, Software","Thoughtworks is a community of passionate individuals whose purpose is to revolutionize software design, creation, and delivery.","Thoughtworks is a community of passionate individuals whose purpose is to revolutionize software design, creation, and delivery. It has invested in organic growth, building on the strategy, design, data, and engineering capabilities required to bring a truly integrated approach to solving its client's toughest challenges. Its collaborative, cross-functional teams deliver real results, fast. The company was founded in 1993 and is based in Chicago, Illinois.",http://www.linkedin.com/company/thoughtworks,,http://twitter.com/thoughtworks,http://www.facebook.com/ThoughtWorks,37
Cognizant,https://www.crunchbase.com/organization/cognizant-technology-solutions,https://www.cognizant.com/,"Consulting, Industrial Automation, Software","Manufacturing, Professional Services, Science and Engineering, Software","Cognizant is a professional services company, transforming clients’ business, operating and technology models for the digital era.","Cognizant (Nasdaq-100: CTSH) is a  professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 195 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant",https://www.linkedin.com/company/cognizant,,https://twitter.com/cognizant,https://www.facebook.com/Cognizant,93
BlackRock,https://www.crunchbase.com/organization/blackrock,http://www.blackrock.com,"Asset Management, Banking, Consulting, Crowdfunding, Finance, Financial Services, FinTech, Internet, Risk Management","Financial Services, Internet Services, Lending and Investments, Professional Services","BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.","BlackRock's business is investing on behalf of our clients, from large institutions to parents and grandparents, doctors and teachers who entrust their savings to us. We work only for our clients—period. Our promise is to offer them the clearest thinking about what to do with their money and the products and services they need to secure a better financial future.  That's why investors of all kinds have made us the world’s largest asset manager, entrusting us with trillions of dollars, and it’s why companies, institutions and global governments come to us for help meeting their biggest financial challenges.  Important disclosures: http://www.blackrock.com/corporate/en-us/compliance/social-media-guidelines",http://www.linkedin.com/company/blackrock,,http://twitter.com/blackrock,http://www.facebook.com/BlackRock,120
Talkspace,https://www.crunchbase.com/organization/talkspace,https://talkspace.com,"Consulting, Health Care, Psychology, Therapeutics","Health Care, Professional Services",Talkspace is an online therapy startup that offers confidential therapy with a network of licensed therapists.,"Talkspace is an online therapy startup that offers confidential therapy with a network of licensed therapists. Talkspace's mission is to make a billion people happy. With unlimited messaging therapy, users have access to a licensed, professional therapist with no appointment needed. With the growth of the internet and the ease of technology that we now have access to, several fields have now been able to switch over to online formats. Online therapy is one sector in particular that has grown because of the accessibility that people often experience. Online therapy functions in a similar manner when compared to regular face to face therapy options that currently exist, except through a chat. A lot of times, people have difficulties opening up to people in person and have a much better time communicating through text and messages. Going to regular forms of therapy can also prove to be incredibly expensive, which some people find incredibly hard to budget for, which results in them not getting the kind of care that they need. Talkspace is one platform in particular that people across the world have opted to go in for when trying to seek help for any kind of mental issues that they might be facing. The app was designed with the intention of offering quality level therapy services that can guide their patients on the routes that they should take on how to improve their mental state and lead a better life.",https://www.linkedin.com/company/talkspace-online-therapy,,https://twitter.com/talkspace,https://www.facebook.com/Talkspacetherapy,244
Enfusion,https://www.crunchbase.com/organization/enfusion,https://www.enfusion.com/,"Consulting, Finance, Financial Services, Information Technology, Service Industry, Software","Financial Services, Information Technology, Other, Professional Services, Software","Enfusion is a provider of a cloud-based portfolio management and risk system, as well as middle and back office services.","Enfusion is a provider of cloud-based portfolio management and risk system, as well as middle and back-office services. Enfusion believes that clients are the cornerstone of our business. The company provides exceptional client service, best-in-class software, and outsourced fund services. Enfusion aims to be an extension of our clients’ operational teams, not just another software vendor.",https://www.linkedin.com/company/enfusion-systems-llc,Unicorn,https://twitter.com/enfusionsystems,https://www.facebook.com/EnfusionSystems/,299
Andela,https://www.crunchbase.com/organization/andela,https://andela.com/,"B2B, Consulting, Human Resources, Information Technology, Internet, Recruiting, Small and Medium Businesses, Software, Training","Administrative Services, Education, Information Technology, Internet Services, Other, Professional Services, Software",Andela is a global talent network that connects companies with engineering talent in emerging markets.,"Andela is a global talent network that connects companies with engineering talent in emerging markets. Hundreds of leading companies like GitHub, Cloudflare, and ViacomCBS leverage Andela to scale their engineering teams quickly and cost-effectively. A distributed organization spanning four continents, Andela is backed by investors including Generation Investment Management, Chan Zuckerberg Initiative, Spark Capital, and Google Ventures.",https://www.linkedin.com/company/andela/,Emerging Unicorn,https://twitter.com/andela,http://www.facebook.com/thisisandela/info,401
Fractal Analytics,https://www.crunchbase.com/organization/fractal-analytics,http://www.fractal.ai,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Consulting, Machine Learning","Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",Fractal partners with Fortune 500 companies to power every human decision in the enterprise.,"Founded in 2000, Fractal Analytics is a strategic analytics partner to the most admired Fortune 500 companies globally and helps them power every human decision by bringing analytics & AI to the decision-making process. Fractal Analytics has presence across 15 global locations including the United States, UK, Ukraine and India and has been recently featured as a leader on Forrester Wave™: Customer Analytics Service Providers, 2017. Fractal has also been recognized as “Hot Artificial Intelligence (AI)” company by Forbes and a “Cool Vendor” and a “Vendor to watch” by Gartner.",http://www.linkedin.com/company/fractal-analytics,,http://twitter.com/fractalites,http://www.facebook.com/pages/Fractal-Analytics/92102048615,707
Marathon Patent Group,https://www.crunchbase.com/organization/marathon-patent-group,http://marathonpg.com,"Consulting, Intellectual Property, Real Estate","Professional Services, Real Estate",Intellectual property (“IP”) company that serves patent owners ranging from individual inventors to Fortune 500 corporations.,"Marathon Patent Group is a patent and patent rights acquisition and licensing company. They acquire patents and patent rights from patent holders ranging from individual inventors to Fortune 500 companies. Their strategy of acquiring patents that cover a varied scope of subject matter allows them to achieve diversity within our patent asset portfolio. They generate revenue with their diversified portfolio through actively managed concurrent licensing campaigns. This approach is expected to result in a long-term, diversified revenue stream.",http://www.linkedin.com/company/marathon-patent-group,,https://www.twitter.com/marathonpatent,http://www.facebook.com/MarathonPatentGroup,"1,576"
LegalZoom,https://www.crunchbase.com/organization/legalzoom-com,http://www.legalzoom.com,"Consulting, Legal, Legal Tech, Professional Services","Other, Professional Services",LegalZoom is a technology platform giving access to professional legal advice so people can protect what matters most.,"LegalZoom is the nation's most recognized name in law, the alternative to the traditional law firm.   The leading provider of online legal document services and legal plans to families and small businesses, LegalZoom offers high quality, affordable legal services, marrying cutting-edge technology with access to experienced attorneys. LegalZoom was founded on the idea that all Americans deserve access to the law;  and as of 2011 the company has helped close to two million small businesses and families with their legal needs.  Our high quality documents have been accepted in all 50 states, and 94% of customers would refer LegalZoom to their family and friends.",http://www.linkedin.com/company/legalzoom,Unicorn,http://twitter.com/LegalZoom,http://www.facebook.com/LegalZoom,"1,591"
Cylance,https://www.crunchbase.com/organization/cylance,https://www.cylance.com,"Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Professional Services, Science and Engineering, Software",Cylance is a global provider of cybersecurity products and services using A.I. and machine learning to solve security problems.,"Cylance is the first company to apply artificial intelligence, algorithmic science, and machine learning to cybersecurity and improve the way companies, governments, and end-users proactively solve the world’s most difficult security problems.  Using a breakthrough mathematical process, Cylance quickly and accurately identifies what is safe and what is a threat, not just what is in a blacklist or whitelist. By coupling sophisticated math and machine learning with a unique understanding of a hacker’s mentality, Cylance provides the technology and services to be truly predictive and preventive against advanced threats.",https://www.linkedin.com/company/cylanceinc,Exited Unicorn,https://twitter.com/cylanceinc,https://www.facebook.com/CylanceInc,"1,670"
