Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Outreach,https://www.crunchbase.com/organization/outreach,https://www.outreach.io/,"CRM, Enterprise, Enterprise Software, SaaS, Sales","Information Technology, Other, Sales and Marketing, Software",Outreach is a sales engagement platform that accelerates revenue growth by optimizing interactions throughout the customer lifecycle.,"Outreach is a sales engagement platform that accelerates revenue growth by optimizing every interaction throughout the customer lifecycle. The platform manages all customer interactions across email, voice and social, and leverages machine learning to guide reps to take the right actions. Thousands of customers, including Cloudera, Glassdoor, Pandora, and Zillow, rely on Outreach to drive predictable and measurable growth, increase efficiency and effectiveness of customer-facing teams, and improve visibility into sales activity and performance. It was founded in 2014 and is headquartered in Seattle, Washington.",https://www.linkedin.com/company/outreach-saas/,Unicorn,http://twitter.com/outreach_io,https://www.facebook.com/Outreach.io/,167
IBM,https://www.crunchbase.com/organization/ibm,http://www.ibm.com/,"Business Development, Business Information Systems, CRM, Software","Information Technology, Professional Services, Sales and Marketing, Software","IBM is an IT technology and consulting firm providing computer hardware, software, and infrastructure and hosting services.","IBM is a global technology and innovation company. It is the largest technology and consulting employer in the world, with more than 400,000 employees serving clients in 170 countries. IBM offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development, and systems management; and the world's most advanced servers and supercomputers. Utilizing its business consulting, technology, and R&D expertise, IBM helps clients become ""smarter"" as the planet becomes more digitally interconnected.",https://www.linkedin.com/company/ibm/,,http://twitter.com/IBM,https://www.facebook.com/IBM/,171
Freshworks,https://www.crunchbase.com/organization/freshworks,https://www.freshworks.com/,"CRM, Information Services, Information Technology, SaaS, Software","Information Technology, Sales and Marketing, Software",Freshworks provides businesses with SaaS customer engagement solutions.,"Freshworks provides innovative customer engagement software for businesses of all sizes, making it easy for teams to acquire, close, and keep their customers for life. Freshworks SaaS products provide a 360-degree view of the customer, are ready to go, easy to use, and oﬀer quick return on investment.  It was founded in 2010 and Headquartered in San Mateo, USA.",https://www.linkedin.com/company/freshworks-inc/,Unicorn,https://twitter.com/freshworksinc,https://www.facebook.com/FreshworksInc/,375
Okta,https://www.crunchbase.com/organization/okta,http://www.okta.com,"CRM, Enterprise, Enterprise Software, Identity Management, Information Technology, SaaS, Security, Software, Telecommunications","Hardware, Information Technology, Other, Privacy and Security, Sales and Marketing, Software",Okta is a management platform that secures critical resources from cloud to ground for workforce and customers.,"Okta is the provider of identity for the enterprise. The Okta Identity Cloud connects and protects employees of many of the world's largest enterprises. It also securely connects enterprises to their partners, suppliers, and customers.With deep integrations to over 5,000 apps, the Okta Identity Cloud enables simple and secure access from any device. Thousands of customers, including Experian, 20th Century Fox, LinkedIn, Flex, News Corp, Dish Networks, and Adobe trust Okta to work faster, boost revenue, and stay secure. Okta helps customers fulfill their missions faster by making it safe and easy to use the technologies they need to do their most significant work.",https://www.linkedin.com/company/okta-inc-/,"Exited Unicorn, Pledge 1%",http://twitter.com/okta,http://www.facebook.com/oktaidentity,378
Gong,https://www.crunchbase.com/organization/gong-io,https://www.gong.io/,"Artificial Intelligence, CRM, Information Technology, Machine Learning, Sales, Software","Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",Gong.io is a revenue intelligence platform that delivers insights at scale.,"Gong.io provides a sales conversation intelligence platform created to improve calls and demos for sales teams. Its sales platform is cloud-based and utilizes artificial intelligence automatically to record, transcribe, and analyzes every sales conversation and calls and also analyze conversations from audio sources and web-conferencing platforms such as Cisco WebEx, GoToMeeting, and Zoom, and then links the results to CRM systems, enabling organizations to save time, increase win rates, improve strategic decision-making, and increase revenue. Founded in 2015, the company is headquartered in San Francisco, California.",https://www.linkedin.com/company/gong-io/,Unicorn,https://www.twitter.com/gong_io,https://www.facebook.com/To.Gong.IO/,428
G2,https://www.crunchbase.com/organization/g2-crowd,https://www.g2.com/,"B2B, Business Intelligence, CRM, Enterprise Software, Internet, Marketing Automation, Software","Data and Analytics, Information Technology, Internet Services, Other, Sales and Marketing, Software",G2 is a platform to share business software reviews in real-time.,"G2 is a platform to share business software reviews in real-time. It leverages more than 425,000 user reviews to drive better purchasing decisions. G2 is used by business professionals, buyers, investors, and analysts to select the best software and services based on peer reviews and synthesized social data. The company was founded in 2012 and is based out of Chicago, Illinois.",https://www.linkedin.com/company/g2dotcom/,Emerging Unicorn,https://twitter.com/g2crowd,https://www.facebook.com/G2dotcom,429
Genesys,https://www.crunchbase.com/organization/genesys,http://www.genesys.com,"Business Intelligence, Call Center, Cloud Infrastructure, Contact Management, CRM, Customer Service, Enterprise Software, SaaS, Software, Text Analytics","Administrative Services, Data and Analytics, Hardware, Information Technology, Internet Services, Other, Professional Services, Sales and Marketing, Software",Genesys is a global leader in providing omnichannel customer experience (CX) and contact center solutions in the cloud and on-premises.,"Genesys® powers more than 25 billion of the world’s best customer experiences each year. Their success comes from connecting employee and customer conversations on any channel. Every day, 11,000 companies in more than 100 countries trust the industry’s #1 customer experience platform to drive great business outcomes and create lasting relationships. Combining the best of technology and human ingenuity, Genesys builds solutions that mirror natural communication and work the way you think. Their industry-leading solutions foster true omnichannel engagement because they perform equally well across channels, on-premise and in the cloud. Experience communication as it should be: fluid, instinctive and profoundly empowering.",http://www.linkedin.com/company/genesys,,http://twitter.com/Genesys,http://www.facebook.com/genesys,525
Intercom,https://www.crunchbase.com/organization/intercom,http://www.intercom.com,"Apps, CRM, Customer Service, Marketing Automation, Messaging, SaaS, Sales Automation, Software","Apps, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Software","Conversational Relationship Platform helping businesses build customer relationships through personalized, messenger-based experiences.","Intercom is a Conversational Relationship Platform (CRP) that helps businesses build better customer relationships through personalized, messenger-based experiences. It’s the only platform that delivers conversational experiences across the customer journey, with solutions for Conversational Marketing, Conversational Customer Engagement and Conversational Support. Intercom is bringing a messenger-first experience to all business-to-customer communication, powering 500 million conversations per month and connecting 4 billion unique end users worldwide across its more than 30,000 paying customers, including Atlassian, Sotheby’s and New Relic.The company was founded in 2011 in San Francisco by Eoghan McCabe, Des Traynor, Ciaran Lee and David Barrett, with the mission to make internet business personal. Intercom was valued at $1.275 billion in 2018 and has secured $241 million in funding from investors including Kleiner Perkins, Bessemer Venture Partners and Social Capital.",http://www.linkedin.com/company/2491343,Unicorn,http://twitter.com/intercom,http://www.facebook.com/intercominc,529
Pipedrive,https://www.crunchbase.com/organization/pipedrive,https://www.pipedrive.com,"CRM, Marketing Automation, SaaS, Sales Automation, Software","Information Technology, Sales and Marketing, Software",Pipedrive is the first CRM platform developed from the salesperson’s point-of-view.,"Founded in 2010, Pipedrive is the first CRM platform developed from the salesperson’s point-of-view. Inspired by proven methods of experienced salespeople, Pipedrive engineers developed a platform that helps salespeople and teams focus on learning and repeating their most effective process to close deals. By bringing together tools and data, the platform focuses sales professionals on fundamentals to advance deals through their pipelines. Pipedrive helps to provide management and sales teams with more timely, detailed, and accurate sales reporting and revenue projections. Today, Pipedrive is helping more than 90,000 sales teams in more than 150 countries to get more qualified leads into their pipelines and take quicker action on the most promising deals.",http://www.linkedin.com/company/1876917,,http://twitter.com/pipedrive,http://www.facebook.com/pipedrive,546
Braze,https://www.crunchbase.com/organization/braze,https://www.braze.com,"Analytics, CRM, Marketing, Marketing Automation, Mobile, SaaS, Software","Data and Analytics, Information Technology, Mobile, Sales and Marketing, Software","Braze is a customer engagement platform that delivers messaging experiences across push, email, in-product, and more.","Braze is a comprehensive customer engagement platform that powers relevant and memorable experiences between consumers and the brands they love. Context underpins every Braze interaction, helping brands foster human connection with consumers through interactive conversations across channels that deliver value quickly and continuously. The company was named a Leader in the 2019 Gartner Magic Quadrant for Mobile Marketing Platforms and was recognized as one of Inc Magazine's 2019 Best Workplaces. Braze is headquartered in New York with offices in Chicago, London, San Francisco, and Singapore. Learn more at braze.com.",https://www.linkedin.com/company/braze-/,Emerging Unicorn,https://www.twitter.com/Braze,https://www.facebook.com/brazetechnology,555
Talkdesk,https://www.crunchbase.com/organization/talkdesk,http://talkdesk.com,"Call Center, Cloud Computing, CRM, Customer Service, SaaS, Software","Administrative Services, Information Technology, Internet Services, Other, Professional Services, Sales and Marketing, Software",Talkdesk offers an enterprise contact center platform helps support and sales teams for customer satisfaction and cost savings.,"Talkdesk offers an enterprise contact center platform that empowers companies to make the customer experience a competitive advantage. Talkdesk easily adapts to the evolving needs of sales and support teams and their end-customers, resulting in increased customer satisfaction, productivity, and cost savings. Over 1,400 innovative enterprises around the world, including IBM, Acxiom, and Zumiez rely on Talkdesk to power their customer interactions.",http://www.linkedin.com/company/talkdesk,Unicorn,http://twitter.com/talkdesk,http://www.facebook.com/pages/Talkdesk/242599085821571,589
Infor,https://www.crunchbase.com/organization/infor,http://www.infor.com,"Apps, CRM, Enterprise Resource Planning (ERP), SaaS, Software","Apps, Information Technology, Sales and Marketing, Software","Infor provides enterprise software and services in the licensing, maintenance, and consulting industries.","Infor provides enterprise software and services in the licensing, maintenance, and consulting industry. The company offers CloudSuite industry suites, which provides integrated applications to manage various business processes for customers in specific industries, enterprise resource planning products, and enterprise asset management products to monitor and manage the deployment, performance, and maintenance of company assets, as well as to provide customers with financial and physical controls to control their energy consumption, and asset and operating infrastructure. It also offers financial management products for budgeting, forecasting, financial reporting, expense management, and compliance, human capital management products to manage their workforce; and customer resource management products to plan, execute, and monitor outbound marketing campaigns.  Moreover, Infor provides supply chain management products to manage their supply chain activities, GT Nexus platform to help companies manage production and monitor goods in transit and at rest, Birst Analytics, a cloud-based platform for networked business intelligence, maintenance and technical support programs, such as product upgrades, updates, and corrections for the software under maintenance, as well as other technical support services, and consulting services. It offers its industry-specific and other enterprise software products and related services primarily to large enterprises and small-to-midsize companies in various industries, such as manufacturing, distribution, healthcare, public sector, retail, and hospitality industries.  Jim Schaper founded the New York, New York-based company in 2012.",http://www.linkedin.com/company/infor,Exited Unicorn,http://twitter.com/Infor,http://www.facebook.com/infor,622
