Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Glia,https://www.crunchbase.com/organization/salemove,https://www.glia.com,"Customer Service, Information Technology, SaaS","Information Technology, Other, Professional Services, Software","Glia is a digital customer service provider connecting online retailers with customers through voice, video, and collaborative browsing.","Glia enables companies to deliver in-person customer experience online. With a single line of code, companies can identify and engage their highest-value web visitors through video, voice, chat, and co-browsing to increase online conversions and improve customer support. The company was founded in 2012 and is headquartered in New York.",https://www.linkedin.com/company/gliainc,,https://twitter.com/gliainc,https://www.facebook.com/GliaInc/,119
Uniphore,https://www.crunchbase.com/organization/uniphore,http://uniphore.com,"Analytics, Artificial Intelligence, Biometrics, Call Center, Customer Service, Machine Learning, Software, Speech Recognition, Telecommunications, Virtual Assistant","Administrative Services, Artificial Intelligence, Biotechnology, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software",Uniphore is a customer service platform that is powered by AI and automation technologies.,"Uniphore is a global Conversational AI technology company that offers a customer service platform that is powered by AI and automation technologies. The Company’s vision is to bridge the gap between people and machines through voice. Uniphore enables businesses globally to deliver transformational customer service by providing a platform of Conversational Analytics, Conversational Assistant and Conversational Security that changes the way enterprises engage their consumers, build loyalty and realize efficiencies. Uniphore was founded in 2008 and has offices in the U.S., India, and Singapore.",https://www.linkedin.com/company/uniphore/,,http://twitter.com/uniphore,http://www.facebook.com/Uniphore,311
Medallia,https://www.crunchbase.com/organization/medallia,http://www.medallia.com,"Analytics, Customer Service, Enterprise Software, Loyalty Programs, SaaS, Software, Text Analytics","Data and Analytics, Other, Professional Services, Sales and Marketing, Software",Medallia offers a SaaS platform that captures experience data from signal fields emitted by customers and employees.,"Medallia helps companies win through customer and employee experience.	It offers a SaaS platform that captures experience data from signal fields emitted by customers and employees. The platform utilizes AI technology to analyze structured and unstructured data from these signal fields across human, digital, and internet of things, or IoT, interactions. Using Medallia Experience Cloud, customers can reduce churn, turn detractors into promoters and buyers, and create in-the-moment cross-sell and up-sell opportunities, providing clear and potent returns on investment. The company was founded in 2001 and is headquartered in San Francisco, California.",http://www.linkedin.com/company/49697,Exited Unicorn,http://twitter.com/Medallia,http://www.facebook.com/MedalliaInc,357
Sparkcentral,https://www.crunchbase.com/organization/sparkcentral,http://www.sparkcentral.com,"Apps, Customer Service, Enterprise Software, SaaS, Social Media","Apps, Internet Services, Media and Entertainment, Other, Professional Services, Software",Sparkcentral is a customer engagement tool that enables one-on-one messaging via social channels.,"Consumers today engage with brands and companies on social channels by sending tweets and messages stating their customer service needs openly and publicly. Many companies choose to respond to these consumers via the same channels in order to address their concerns. The Sparkcentral Platform helps customer support teams manage large volumes of social inquiries in a streamlined and efficient manner. The platform pulls in the messages from these social channels and presents them to customer care teams via a secure agent console that automatically assigns the messages to the first available agent. Sparkcentral’s client roster includes Delta Air Lines, Emirates, Netflix, Nordstrom, Dropbox, Uber, and T-Mobile. The company’s client portfolio includes [Uber](https://www.crunchbase.com/organization/uber#/entity), [Dropbox](https://www.crunchbase.com/organization/dropbox#/entity), [Delta Air Lines](https://www.crunchbase.com/organization/delta-air-lines#/entity), [Netflix](https://www.crunchbase.com/organization/netflix#/entity), Jetblue, Discover, [Nordstrom](https://www.crunchbase.com/organization/nordstrom#/entity), and many others. Formerly known as TwitSpark, Sparkcentral was incorporated in 2012 and is based in San Francisco, California.",http://www.linkedin.com/company/sparkcentral,,http://twitter.com/Sparkcentralhq,http://www.facebook.com/sparkcentral,379
Sprinklr,https://www.crunchbase.com/organization/sprinklr,http://www.sprinklr.com,"Advertising Platforms, Analytics, Customer Service, Digital Marketing, Enterprise Software, Social CRM, Social Media, Social Media Advertising, Social Media Management, Software","Advertising, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Other, Professional Services, Sales and Marketing, Software",Sprinklr provides enterprise software for customer experience management.,"Sprinklr is a provider of enterprise software for customer experience management. Its software aims to help brands understand the conversations that matter most on channels such as social media, messaging, blogs, and review sites.  Companies like Microsoft and McDonald's rely on Sprinklr to help them manage social media marketing, advertising, research, customer care, and engagement by using the company's products in one Modern CXM platform which is the Modern Marketing, Modern Advertising, Modern Research, Modern Care, and Modern Engagement. The insights Sprinklr uncovers from public conversations and comments help brands catch a crisis before it goes viral, develop new products, optimize creative content, and reduces customer care costs. The company was founded in 2009 by Ragy Thomas in New York.",http://www.linkedin.com/company/sprinklr,Unicorn,http://twitter.com/sprinklr,http://www.facebook.com/sprinklr,497
Genesys,https://www.crunchbase.com/organization/genesys,http://www.genesys.com,"Business Intelligence, Call Center, Cloud Infrastructure, Contact Management, CRM, Customer Service, Enterprise Software, SaaS, Software, Text Analytics","Administrative Services, Data and Analytics, Hardware, Information Technology, Internet Services, Other, Professional Services, Sales and Marketing, Software",Genesys is a global leader in providing omnichannel customer experience (CX) and contact center solutions in the cloud and on-premises.,"Genesys® powers more than 25 billion of the world’s best customer experiences each year. Their success comes from connecting employee and customer conversations on any channel. Every day, 11,000 companies in more than 100 countries trust the industry’s #1 customer experience platform to drive great business outcomes and create lasting relationships. Combining the best of technology and human ingenuity, Genesys builds solutions that mirror natural communication and work the way you think. Their industry-leading solutions foster true omnichannel engagement because they perform equally well across channels, on-premise and in the cloud. Experience communication as it should be: fluid, instinctive and profoundly empowering.",http://www.linkedin.com/company/genesys,,http://twitter.com/Genesys,http://www.facebook.com/genesys,525
Intercom,https://www.crunchbase.com/organization/intercom,http://www.intercom.com,"Apps, CRM, Customer Service, Marketing Automation, Messaging, SaaS, Sales Automation, Software","Apps, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Software","Conversational Relationship Platform helping businesses build customer relationships through personalized, messenger-based experiences.","Intercom is a Conversational Relationship Platform (CRP) that helps businesses build better customer relationships through personalized, messenger-based experiences. It’s the only platform that delivers conversational experiences across the customer journey, with solutions for Conversational Marketing, Conversational Customer Engagement and Conversational Support. Intercom is bringing a messenger-first experience to all business-to-customer communication, powering 500 million conversations per month and connecting 4 billion unique end users worldwide across its more than 30,000 paying customers, including Atlassian, Sotheby’s and New Relic.The company was founded in 2011 in San Francisco by Eoghan McCabe, Des Traynor, Ciaran Lee and David Barrett, with the mission to make internet business personal. Intercom was valued at $1.275 billion in 2018 and has secured $241 million in funding from investors including Kleiner Perkins, Bessemer Venture Partners and Social Capital.",http://www.linkedin.com/company/2491343,Unicorn,http://twitter.com/intercom,http://www.facebook.com/intercominc,529
Talkdesk,https://www.crunchbase.com/organization/talkdesk,http://talkdesk.com,"Call Center, Cloud Computing, CRM, Customer Service, SaaS, Software","Administrative Services, Information Technology, Internet Services, Other, Professional Services, Sales and Marketing, Software",Talkdesk offers an enterprise contact center platform helps support and sales teams for customer satisfaction and cost savings.,"Talkdesk offers an enterprise contact center platform that empowers companies to make the customer experience a competitive advantage. Talkdesk easily adapts to the evolving needs of sales and support teams and their end-customers, resulting in increased customer satisfaction, productivity, and cost savings. Over 1,400 innovative enterprises around the world, including IBM, Acxiom, and Zumiez rely on Talkdesk to power their customer interactions.",http://www.linkedin.com/company/talkdesk,Unicorn,http://twitter.com/talkdesk,http://www.facebook.com/pages/Talkdesk/242599085821571,589
Zipari,https://www.crunchbase.com/organization/zipari,http://zipari.com,"CRM, Customer Service, Health Care, Health Insurance, InsurTech, Software","Financial Services, Health Care, Information Technology, Other, Professional Services, Sales and Marketing, Software",Zipari is a company developing a customer experience platform designed specifically for health insurance.,"Zipari is a customer experience platform developed specifically for health insurance. The customer experience platform provides deep analytics and real-time recommendations to optimize the consumer experience and improve customer satisfaction in the healthcare industry. Zipari's breakthrough technology enables the type of member relationship that insurers want and consumers seek. Its InsureCX integrates with major CRM solutions providing industry-specific workflow management for healthcare companies to improve customer acquisition and retention. The company was incorporated in 2014 and is headquartered in Brooklyn, New York.",http://www.linkedin.com/company/zipari,,http://twitter.com/ziparico,http://www.facebook.com/ziparico,756
ASAPP,https://www.crunchbase.com/organization/asapp,http://www.asapp.com,"Artificial Intelligence, Customer Service, Enterprise Software, Machine Learning, Software","Artificial Intelligence, Data and Analytics, Other, Professional Services, Science and Engineering, Software",ASAPP is an artificial intelligence customer service software that helps call center agents work more efficiently.,"Asapp provides customer care and sales agents with a platform to know the right thing to say and the right action to take, in real time. Its machine learning models are continuously learning and predicting from every customer interaction, effectively turning every agent into the best agent without the need for manual programming or extensive training. Many of the world’s largest companies in telecom, financial services, and travel use the solution. The company also has offices in Silicon Valley, Raleigh, London and Buenos Aires.",https://www.linkedin.com/company/asappco/,Emerging Unicorn,https://twitter.com/asapptech,https://www.facebook.com/ASAPPInc,799
