Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Ideanomics,https://www.crunchbase.com/organization/you-on-demand-holdings,http://www.ideanomics.com/,"AgTech, Blockchain, Digital Marketing, Electric Vehicle, FinTech, Information Technology, Marketing Automation, Payments, Real Estate","Agriculture and Farming, Financial Services, Information Technology, Other, Payments, Real Estate, Sales and Marketing, Software, Transportation",Ideanomics is a global company focused on the convergence of financial services and industries experiencing technological disruption.,"Ideanomics is a global company focused on the convergence of financial services and industries experiencing technological disruption. Our Mobile Energy Global (MEG) division is a service provider which facilitates the adoption of electric vehicles by commercial fleet operators through offering vehicle procurement, finance and leasing, and energy management solutions under our innovative sales to financing to charging (S2F2C) business model. Ideanomics Capital is focused on disruptive fintech solutions and services across the financial services industry. Together, MEG and Ideanomics Capital provide our global customers and partners with leading technologies and services designed to improve transparency, efficiency, and accountability, and our shareholders with the opportunity to participate in high-potential, growth industries. The company is headquartered in New York, NY, with offices in Beijing, Hangzhou, and Qingdao, and operations in the U.S., China, Ukraine, and Malaysia.",http://www.linkedin.com/company/1801444,,https://twitter.com/ideanomicshq,https://www.facebook.com/ideanomicshq/,290
AppsFlyer,https://www.crunchbase.com/organization/appsflyer,http://www.appsflyer.com,"Advertising Platforms, Analytics, Business Intelligence, Digital Marketing, Mobile Advertising","Advertising, Data and Analytics, Sales and Marketing",AppsFlyer is a mobile ad attribution platform that allows advertisers to analyze which campaigns drive results.,"AppsFlyer is a mobile ad attribution platform that allows advertisers to analyze which campaigns drive results. AppsFlyer empowers marketers to grow their business and innovate with a suite of comprehensive measurement and analytics solutions. Built around privacy by design, AppsFlyer takes a customer-centric approach to help 12,000+ brands and 5,000+ technology partners make better business decisions every day.",http://www.linkedin.com/company/2233984,Unicorn,http://twitter.com/appsflyer,http://www.facebook.com/AppsFlyer,341
Sprinklr,https://www.crunchbase.com/organization/sprinklr,http://www.sprinklr.com,"Advertising Platforms, Analytics, Customer Service, Digital Marketing, Enterprise Software, Social CRM, Social Media, Social Media Advertising, Social Media Management, Software","Advertising, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Other, Professional Services, Sales and Marketing, Software",Sprinklr provides enterprise software for customer experience management.,"Sprinklr is a provider of enterprise software for customer experience management. Its software aims to help brands understand the conversations that matter most on channels such as social media, messaging, blogs, and review sites.  Companies like Microsoft and McDonald's rely on Sprinklr to help them manage social media marketing, advertising, research, customer care, and engagement by using the company's products in one Modern CXM platform which is the Modern Marketing, Modern Advertising, Modern Research, Modern Care, and Modern Engagement. The insights Sprinklr uncovers from public conversations and comments help brands catch a crisis before it goes viral, develop new products, optimize creative content, and reduces customer care costs. The company was founded in 2009 by Ragy Thomas in New York.",http://www.linkedin.com/company/sprinklr,Unicorn,http://twitter.com/sprinklr,http://www.facebook.com/sprinklr,497
DoubleVerify,https://www.crunchbase.com/organization/doubleverify,http://www.doubleverify.com,"Advertising, Analytics, Digital Marketing, Software","Advertising, Data and Analytics, Sales and Marketing, Software","DoubleVerify is a software platform for digital media measurement, data, and analytics.","DoubleVerify is a software platform for digital media measurement, data, and analytics. DoubleVerify provides online media verification and campaign effectiveness solutions for brand marketers, agencies, advertising networks, demand-side platforms, exchanges, and digital publishers looking to ensure quality advertising environments, campaign transparency, and performance. DoubleVerify technology platform provides advertisers with consistent and unbiased data and analytics that can be used to optimize the quality and return on digital ad investments.  The company was founded in 2008 and headquartered in New York City, New York.",http://www.linkedin.com/company/745720,,http://twitter.com/doubleverify,http://www.facebook.com/pages/DoubleVerify/129650610434547,575
Avenue 8,https://www.crunchbase.com/organization/avenue-8,http://www.avenue8.com,"Digital Marketing, Information Technology, Real Estate, Residential","Information Technology, Real Estate, Sales and Marketing",Avenue 8 is a digital and mobile-first residential real estate brokerage developed for modern real estate agents.,"Avenue 8 is a digital and mobile-first residential real estate brokerage for modern agents, helping them to be more entrepreneurial, to close from anywhere, and to keep substantially more of their income. With an emphasis on simplicity and design, the company provides premium services at scale through a mix of automation and human expertise, from marketing a home to making an offer.",https://www.linkedin.com/company/avenue-8,,https://twitter.com/avenue8inc,https://www.facebook.com/avenue8re/,902
HYP3R,https://www.crunchbase.com/organization/hyp3r,http://hyp3r.com,"CRM, Customer Service, Digital Marketing, Enterprise Software, Location Based Services, Marketing, Marketing Automation, SaaS, Social CRM, Social Impact, Social Media Advertising, Social Media Management, Social Media Marketing","Advertising, Data and Analytics, Information Technology, Internet Services, Navigation and Mapping, Other, Professional Services, Sales and Marketing, Software","HYP3R is a location-based marketing platform that surfaces powerful geosocial data to analyze, engage and acquire high-value customers.","HYP3R develops a marketing platform that allows businesses and brands to identify influential customers at their locations and engage them in real-time. Carlos Garcia, Jorge Luis Suarez Rodriguez, Juan Carlos Hernandez, and Omar Ramos founded it on March 1, 2015, with its headquarters in San Francisco in California.",http://www.linkedin.com/company/hyp3r/,,https://twitter.com/hyp3r,https://www.facebook.com/hyp3rapp,946
SEMrush,https://www.crunchbase.com/organization/semrush,https://www.semrush.com,"Analytics, Content Marketing, Digital Marketing, Market Research, SaaS, Search Engine, Semantic Search, SEO, Social Media Marketing, Software","Data and Analytics, Design, Internet Services, Sales and Marketing, Software",SEMrush is a an online visibility management and content marketing SaaS platform.,"SEMrush is online visibility management and content marketing SaaS platform that ensures businesses get measurable results from online marketing. Trusted by more than 5,000,000 marketing professionals, SEMrush offers insights and solutions for companies in any industry to build, manage, and measure campaigns across all marketing channels.  With 40+ tools for search, content, social media and market research in the platform, data for more than 140 countries, seamless integration with Google and task management platforms, SEMrush is now a must-have solution for all companies who are serious about online.",https://www.linkedin.com/company/semrush,,https://twitter.com/semrush,https://www.facebook.com/SEMrush,"1,413"
Punchh,https://www.crunchbase.com/organization/punchh,https://punchh.com,"Artificial Intelligence, CRM, Digital Marketing, Loyalty Programs, Machine Learning, Marketing Automation, Mobile","Artificial Intelligence, Data and Analytics, Information Technology, Mobile, Sales and Marketing, Science and Engineering, Software","Punchh is a company providing digital marketing products for brick and mortar retailers, combining AI and machine learning technologies.","Punchh creates the consistent, modern experiences consumers expect by bringing the power of identity resolution into physical retail. Punchh is the leader in delivering one-to-one customer engagement and loyalty beyond mobile devices for a consistent brand experience through every channel. The Punchh Loyalty and Engagement Platform, powered through artificial intelligence, guides consumers through their lifecycle from first-time customer to superfan, building meaningful relationships and dramatically increasing lifetime customer value. Nearly 200 global enterprise brands rely on Punchh to grow revenue by building customer relationships. The company is based in Silicon Valley, California with a second US office in Austin, TX and global offices across Canada, India, the United Kingdom, and Singapore. The Punchh marketing platform integrates with an entire ecosystem of third party systems including Point of Sale (POS) systems, WiFi vendors, kiosks, payments systems and mobile payment providers, e-commerce and online ordering systems, email service providers, and gift card systems. Learn more at punchh.com",https://www.linkedin.com/company/punchh,,http://twitter.com/getpunchh,http://www.facebook.com/getpunchh,"1,635"
Hello Alice,https://www.crunchbase.com/organization/circular-board,https://helloalice.com/,"Digital Marketing, Information Services, Information Technology","Information Technology, Sales and Marketing","Hello Alice helps businesses launch and grow. This free multi-channel platform guides owners by providing funding, networks, and services.","Hello Alice (helloalice.com) helps businesses launch and grow.  A free multi-channel platform, Hello Alice guides business owners by providing funding, networks, and services.  Through supporting hundreds of thousands of companies a day in all 50 states and globally, Hello Alice is building the largest community of owners in the country, while tracking data and trends to increase the success rate for entrepreneurs. Our partners include enterprise business services, government agencies, and institutions looking to serve small- and medium-business owners to ensure increased revenues. Founded by Carolyn Rodz and Elizabeth Gore, we believe in business for all by providing access to all owners, including women, people of color, veterans, and every American with an entrepreneurial spirit.",https://www.linkedin.com/company/helloalice/,Crunchbase Venture Program,https://www.twitter.com/helloalice,https://www.facebook.com/aliceconnects,"1,647"
MightyHive,https://www.crunchbase.com/organization/mightyhive,http://www.mightyhive.com/,"Advertising, Consulting, Digital Marketing, Information Technology, Marketing, Software","Advertising, Information Technology, Professional Services, Sales and Marketing, Software",MightyHive is a programmatic solutions provider that simplifies complicated programmatic media buying for advertising organizations.,"MightyHive is the premier Programmatic Solutions Partner for forward-thinking marketers and agencies, wherever they are on the path to programmatic self-sufficiency. MightyHive empowers clients to build data-driven organizations that drive results through programmatic insourcing, full-service management, and strategic advisory services. One of the largest and fastest-growing programmatic buyers in the world, MightyHive has helped hundreds of clients adopt programmatic, and has a global presence with offices in San Francisco, New York, Sydney, London, and Singapore.",http://www.linkedin.com/company/3002314,,http://twitter.com/mightyhive,http://www.facebook.com/mightyhive,"1,704"
