Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
DocuSign,https://www.crunchbase.com/organization/docusign,http://www.docusign.com,"Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software","Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software","DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.","DocuSign operates a cloud-based electronic signature platform that helps small- and medium-sized businesses, enterprises, and individuals collect information, automate data workflows, and sign on various devices. The company’s platform automates manual and paper-based processes that allow users to manage various aspects of documented business transactions, including identity management, authentication, digital signature, forms and data collection, collaboration, and workflow automation and storage. The company also provides training and support services. Its platform serves the sales, human resources, finance, information technology, operations, legal, marketing, facilities, support, product management, and procurement departments in the financial services, healthcare, technology, higher education, insurance, real estate, life sciences, and government sectors in the United States and internationally. DocuSign was incorporated in 2003 and is based in San Francisco, California with additional offices in London, Sydney, Sao Paulo, and Dublin.",http://www.linkedin.com/company/docusign,"Exited Unicorn, Pledge 1%",http://twitter.com/DocuSign,http://www.facebook.com/DocuSign,210
HelloSign,https://www.crunchbase.com/organization/hellosign,http://www.hellosign.com,"B2B, Developer APIs, Developer Platform, Document Management, E-Signature, Enterprise Applications, Enterprise Software, Legal, Mobile, SaaS, Software","Apps, Information Technology, Mobile, Other, Privacy and Security, Professional Services, Software","HelloSign offers fast, secure, and legally binding eSignatures for businesses.","We believe that the way business gets done today is broken. That’s why we’re dedicated to simplifying work for everyone - from small startups to large enterprise companies. Millions of individuals and over 60,000 companies world-wide trust the HelloSign platform – which includes eSignature, digital workflow and eFax solutions – to automate and manage their most important business transactions. With a sharp focus on user experience and a lust for innovation, HelloSign is on a mission to Simplify Work.",https://www.linkedin.com/company-beta/953240/,,http://twitter.com/HelloSign,http://www.facebook.com/hellosignapp,"5,161"
PactSafe,https://www.crunchbase.com/organization/pactsafe,https://www.pactsafe.com,"Developer APIs, Developer Tools, E-Signature, Legal, Software","Information Technology, Privacy and Security, Professional Services, Software","PactSafe is a clickwrap transaction platform that enables the creation, management, acceptance/signature, and archiving of legal agreements","PactSafe is a contract acceptance platform that prepares and finds contracts and gets acceptance for high-velocity businesses. Customers like DoorDash, Wayfair, Formstack, BMC, and Angie's List trust PactSafe to automate and optimize their signing workflows.",https://www.linkedin.com/company/3238224,,https://twitter.com/pactsafe,https://www.facebook.com/Pactsafe,"12,454"
GetAccept,https://www.crunchbase.com/organization/getaccept,https://www.getaccept.com,"Direct Sales, Document Management, E-Signature, Enterprise Software, SaaS, Sales, Sales Automation","Information Technology, Privacy and Security, Sales and Marketing, Software",GetAccept is an all-in-one sales enablement solution that assists B2B sales reps in closing remote deals.,"Founded and developed by salespeople, GetAccept helps sales reps accelerate the sales process from the first conversation to a sealed contract. It provides the best all-in-one sales platform where video, live chat, sales content, proposal design, document tracking, and e-signatures come together to simplify the life of every sales team. With GetAccept, sales reps forge relationships and build trust with the buyer in a remote and digital-first world.",https://www.linkedin.com/company/getaccept,,https://twitter.com/getaccept,https://www.facebook.com/GetAccept,"15,710"
Signix,https://www.crunchbase.com/organization/signix,http://signix.com,"E-Signature, SaaS, Software","Information Technology, Privacy and Security, Software","SIGNIX offers an online service that enables the online signing of forms, contracts, or business documents with digital signatures.","SIGNiX, Inc. provides electronic signature solutions. It offers Digital Signature Software that enables individuals to sign documents online; and SIGNIX MyDoX, an online signature service that enables the online signing of forms, contracts, or business documents with the digital signatures. The company also provides E Signature Software products for electronic signatures; and ESignatures for businesses. It serves financial services, banking, insurance, health care, government, real estate, and education industries; and broker/dealers and corporations. The company was incorporated in 2002 and is based in Chattanooga, Tennessee. Signix, Inc. operates as a subsidiary of ProNvest, Inc.",http://www.linkedin.com/company/248078,,http://twitter.com/signixsolutions,http://www.facebook.com/SIGNiXDigitalSignatures,"21,337"
Paperless Transaction Management,https://www.crunchbase.com/organization/paperless-transaction-management,https://www.paperlesstrans.com,"E-Signature, Enterprise Software, Financial Services, Service Industry","Financial Services, Information Technology, Other, Privacy and Security, Software","Paperless Transaction Management, Inc., through its subsidiaries, offers electronic signature services.","Paperless Transaction Management, Inc., through its subsidiaries, offers electronic signature services. The company was incorporated in 2009 and is based in Baltimore, Maryland.",,,,,"28,339"
Verdocs,https://www.crunchbase.com/organization/realster,http://www.verdocs.com,"Document Management, Document Preparation, E-Signature, Information Technology, Internet, Real Estate, SaaS, Software","Administrative Services, Information Technology, Internet Services, Privacy and Security, Real Estate, Software","SaaS, Cloud, eSignature, Digital Documents","Verdocs is an investor backed, early stage technology startup that offers a unique and highly scalable platform for digital document management and eSignature solution. Verdocs enables companies to use digital documents to accelerate their internal processes and transactions with clients and customers.",https://www.linkedin.com/company/verdocs,,http://www.twitter.com/verdocs,http://www.facebook.com/verdocs,"32,418"
DocHub,https://www.crunchbase.com/organization/dochub,http://dochub.com,"Document Management, E-Signature, Information Technology, Internet, SaaS, Software","Information Technology, Internet Services, Privacy and Security, Software","DocHub is a free online PDF editor that lets you view, edit and sign PDFs on browser.","DocHub is a free online PDF editor that lets you view, edit, and sign PDFs on the browser. It specializes in the fields of information technology, internet, and software. The company was founded in 2014 and headquartered in Mckinney, Texas.",,,https://www.twitter.com/dochubapp,,"42,031"
Smart Eye Technolog,https://www.crunchbase.com/organization/smart-eye-technology,http://www.smarteyetechnology.com,"Computer, Cyber Security, Document Management, E-Signature, Enterprise Applications, Information Technology, Mobile Apps, Software, Web Apps","Apps, Consumer Electronics, Hardware, Information Technology, Mobile, Privacy and Security, Software",Smart Eye Technology is a document privacy company that uses biometrics to open documents.,"Smart Eye Technology is a document privacy company that uses biometrics such as your iris, face, voice, and fingerprint to open documents!  When an unauthorized person looks at the document inside the Smart Eye app while you are viewing the document, Smart Eye shuts the document down immediately because it detected an unauthorized viewer looking at your document!",https://www.linkedin.com/company/48929312/admin/,,https://twitter.com/GetSmartEye,https://www.facebook.com/GetSmartEye/,"47,520"
SignOnTheGo,https://www.crunchbase.com/organization/signonthego,https://signonthego.us/,"E-Commerce, E-Signature, Information Technology, Internet, Software","Commerce and Shopping, Information Technology, Internet Services, Privacy and Security, Software","SignOnTheGo, blockchain-based e-signature platform designed users to edit, sign, and send official e-documents.","SignOnTheGo is a blockchain-based e-signature platform that allows users to edit, sign digitally, and send official e-documents to all prospective business partners. SignOnTheGo was created to fulfill a series of needs for businesses of all sizes.  Our solution provides unlimited access to all features to users at every plan level.  Our unique platform allows users to negotiate the contents of their document and store these changes as part of the historical record.  Users can irrefutably authenticate their document using our blockchain integration, from anywhere in the world.",https://www.linkedin.com/company/signonthego/,,https://twitter.com/SignOnTheGo,https://www.facebook.com/SignOnTheGo/,"53,799"
