Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
zyBooks,https://www.crunchbase.com/organization/zybooks,http://www.zybooks.com,"E-Learning, Education, Publishing","Content and Publishing, Education, Media and Entertainment, Software",zyBooks publishes interactive textbooks that utilizes animations and embedded tools.,"zyBooks was started in 2012 by Smita Bakshi and Frank Vahid. Frank is a Computer Science and Engineering professor at the University of California, Riverside, and Smita, prior to her 10 years in the high-tech industry, and was a UC Davis Electrical Computer Engineering professor.We started zyBooks to help college STEM (Science, Technology, Engineering, and Math) students graduate. More than half of STEM students don't achieve their STEM degrees, and many students are tripped up by their early STEM classes. Part of the problem is the huge mismatch between today's students and traditional (and increasingly expensive and bloated) textbooks, forcing instructors to teach with one hand tied behind their back. Meanwhile, the real power of the web for learning—interactivity—has barely been tapped.  So, we started creating zyBooks—STEM material native for the web—using ""less text, more action."" zyBooks have minimal text, and instead consist of question sets, animations, interactive tools, and embedded homework, so students can learn by doing. We developed a platform to author, deliver, and continually support and improve zyBooks, vowing to always do right by the student and instructor.  We keep prices as low as possible, provide the best support we can, and make the zyBook platform easy to use for students and instructors. zyBooks are collaboratively authored by talented teams of professors, content developers and software engineers.  Professors include Roman Lysecky (University of Arizona), Sandy Irani (UC Irvine), and Andre Knoesen & Raj Amirtharajah (UC Davis). Starting with just a handful of universities in 2012, our computer science and engineering zyBooks are now used at over 200 colleges and universities and a few dozen high schools.",https://www.linkedin.com/company/zyante,,https://twitter.com/zybooks,https://www.facebook.com/zyBooks/
ZURB,https://www.crunchbase.com/organization/zurb,https://zurb.com/,"Consulting, Education, Internet, Mobile Apps, Product Design, Training","Apps, Design, Education, Internet Services, Mobile, Professional Services, Software","ZURB helps companies design better websites, services and products through services that include design strategy and interaction design.","ZURB is a close-knit team of product designers who help companies design better websites, services and online products. The team has worked with over 200 startups since 1998, generating more than $1 billion dollars in market capitalization. ZURB’s clients have included Facebook, Yahoo!, Trapit, Zazzle, Netflix, Salesforce, Reuters and McAfee, among many others. Their client services include Design Strategy (project definition), Interaction Design (project framing) and Implementation. ZURB also has several apps which help users quickly design great products through rapid prototyping, iteration and user feedback. Verify (http://www.verifyapp.com) is the fastest way to collect and analyze user feedback on screens and mockups. Notable (http://www.notableapp.com) allows a user to gather annotated feedback off of any interface screenshot, sketch or wireframe for faster iteration. Solidify (http://www.solidifyapp.com) helps you quickly create, test and share prototype screens to get actionable feedback. Influence (http://www.influenceapp.com) is the most effective way to present design mockups, visuals, and presentation for feedback from your team and clients. ZURB also has a variety of free apps that help design teams get stuff done. Foundation (http://foundation.zurb.com), created by ZURB, is the most advanced responsive front-end framework in the World. The latest version of Foundation, V3, was released in June 2012. In addition to services and product, ZURB hosts Soapbox, a speaking series highlighting local Bay Area entrepreneurs and thought leaders; Speak, a speaking series featuring talks on various product design topics; and the Blog, where the team shares thoughts on a variety of topics in product design and entrepreneurship. In June 2012, ZURB acquired Pattern Tap, a design database and community, for an undisclosed sum.",https://www.linkedin.com/company/zurb/,,https://twitter.com/zurb,http://www.facebook.com/ZURB
Zunos,https://www.crunchbase.com/organization/zunos,https://www.zunos.com,"Corporate Training, E-Learning, Gamification, Gaming, Training","Education, Gaming, Software",Zunos is a digital learning platform that offers gamified employee training programs.,"Zunos is a digital learning platform that offers gamified employee training programs. Its gamification training software is designed for the modern business and encourages competition, boost engagement, and inspire employees to learn daily so they can always stay at the top of their game. Zunos was founded in 2012 and is based in San Francisco, California.",https://www.linkedin.com/company/zunos/,,https://twitter.com/GetZunos,https://www.facebook.com/zunosapp/
Zuni Learning Tree,https://www.crunchbase.com/organization/zuni-learning-tree,https://zunilearningtree.com/,"E-Learning, Education","Education, Software",Zuni Learning Tree is a Provider of an educational cloud-based platform,"Provider of an educational cloud-based platform designed to assist teachers and parents. The company's platform provides district, teacher and student resources in one easy-to-use location. ZUNI harnesses the power of free and open educational resources (OER), and makes it easy to differentiate and personalize instruction, to learn about new initiatives, to locate resources to support building positive classrooms and school cultures, and to collaborate with colleagues, students, and parents. Inside the platform, users learn about tools to engage with science, technology, engineering, and math (STEM), audio and ebooks, games, videos, interactives, girls in science, coding, technology tools, holiday and cultural resources, and tools to strengthen English language acquisition. Each piece of content can be easily shared on social media to engage parents. Parents can utilize the resources to support classroom instruction, to clearly understand what is being taught at each grade level, and to inspire the love of learning in the home. In addition, lessons can be created and assigned through ZUNI's learning management system or shared via Google Classroom or into other learning management systems. ZUNI's platform can be customized to include resources schools and districts have already purchased and by doing so, districts get more value from monies they have already spent.",https://www.linkedin.com/company/zuni-learning-tree/,,https://twitter.com/zunilearning,https://www.facebook.com/zunilearningtree/
Zulama,https://www.crunchbase.com/organization/zulama,http://zulama.com,"E-Learning, Education, Video Games","Education, Gaming, Software",Zulama brings cost-effective yet high-tech computer science education into K-12 classrooms through video game design.,"Zulama Modern Learning is the first platform to combine game design technologies and project-based strategies. Faculty at Carnegie Mellon University’s Entertainment Technology Center helped us develop a way to bring game design, programming, art, and screenwriting to middle and high schoolers. Zulama provides extensive mentor-based professional development so teachers learn to become “Creative Directors” and facilitate our rigorous new curriculum in their own classrooms. We help teachers see how both building and playing games satisfies state and national curriculum standards, develops 21st Century Skills, and promotes higher-order Blooms. We combine STEM with the Arts (STEAM) to give students not only the skills but also the creativity they need to thrive in the global digital workplace. Zulama is leading a movement away from the current industrial-era educational model towards interest-driven deeper learning that prepares students for success in the 21st Century. The payoff we are seeing with current schools includes improvement in statewide school rankings, fewer dropouts and behavioral problems, and improved student math and reading proficiency levels. With Zulama, students are building games. They are building enthusiasm. They are building skills that lead to high-tech careers … and that’s how, together, the Zulama community is building tomorrow’s workforce.",http://www.linkedin.com/company/zulama,,http://twitter.com/ZulamaLearn,http://www.facebook.com/ZulamaFB
zSpace,https://www.crunchbase.com/organization/zspace,http://zspace.com/,"Education, Innovation Management, Social Impact, Software, STEM Education, Virtual Reality","Education, Hardware, Other, Professional Services, Science and Engineering, Software",zSpace offers a system that enables its users to integrate their normal lives with a desktop-based virtual reality system.,"zSpace is a system that integrates into users’ normal lives with desktop virtual reality and allows them to move in and out of zSpace back to the real world. This experience is enabled by a combination of polarized eyewear with high definition stereopsis, integrated head tracking with full-motion parallax, and a precision interactive stylus. The system is focused on the learning market, specifically STEM education, medical instruction, corporate training, research, and design. zSpace was launched in 2007 and headquartered in Sunnyvale, California.",https://www.linkedin.com/company/zspace-3d,,https://twitter.com/zspace,https://www.facebook.com/zSpace3D
zpod.app,https://www.crunchbase.com/organization/zpod-app,https://zpod.app/,"Audiobooks, E-Commerce Platforms, E-Learning, Education, Podcast","Commerce and Shopping, Education, Internet Services, Media and Entertainment, Music and Audio, Software",M Commerce,"Find podcast show. We make it easier for Persian people to find and listen. We got everything you want to hear LISTEN TO PODCASTS, AUDIOBOOKS, AUDIO CONTENT ANYWHERE, ANYTIME Find a listen for every moment. GET STARTED TODAY: 1. Download the free ZPOD app. 2. Sign up for free. 3. Pick a podcast or audiobook from our catalog of over thousand titles. 4. Begin learning or listening right away. 5. Enjoy anytime. FEATURES: • Enjoy a massive selection of thousands of audiobooks at great discounts • Listen to select FREE audiobooks • Get FREE samples of most audiobooks. Explore the best of fiction, sci-fi, mystery, romance, and more • Allows you to listen to audiobooks in your Bluetooth®-enabled car • Customize your narration speed • Set a sleep timer • Download audiobooks to listen offline • Your next favorite podcast is waiting for you • Subscribe to your favorite podcasts and get notified when a new episode is out • Easily download or stream every new episode from any podcast • Add multiple podcast episodes to your playlist for interruption-free listening",https://www.linkedin.com/in/zpod-app-9240a11b9/,,https://twitter.com/zpod_app,https://www.facebook.com/ZpodApp
Zovio,https://www.crunchbase.com/organization/bridgepoint-education,http://zovio.com/,"Analytics, EdTech, Education, Higher Education, Internet, STEM Education","Data and Analytics, Education, Internet Services, Science and Engineering, Software",Zovio is an education technology services company that helps everyone be in a class of their own.,"Zovio (formerly Bridgepoint Education) is an education technology services company that partners with higher education institutions and employers to deliver innovative, personalized solutions to help learners and leaders achieve their aspirations. Zovio leverages its core strengths and applies its technology and capabilities to priority market needs. Using advanced data and analytics, Zovio identifies the most meaningful ways to enhance the learner experience and deliver strong outcomes for higher education institutions, employers, and learners. Zovio’s purpose is to help everyone be in a class of their own.",https://www.linkedin.com/company/zovio/,,https://twitter.com/ZovioSolutions,https://www.facebook.com/ZovioSolutions/
ZooWho,https://www.crunchbase.com/organization/zoowho,https://zoowho.com,"Apps, CRM, Personal Development, Productivity Tools, Social CRM","Apps, Education, Information Technology, Sales and Marketing, Software",Mobile App,ZooWho is a free personal CRM app available on iOS and Android. People are more than contacts; ZooWho is a tool for busy people to nurture and grow their relationships with others.,https://www.linkedin.com/company/19141010/admin/,,https://twitter.com/ZooWhoApp,https://www.facebook.com/zoowho/
Zoosa,https://www.crunchbase.com/organization/zoosa,http://www.zoosa.org,"EdTech, Education, Enterprise Software, GreenTech, Non Profit","Education, Other, Software, Sustainability","Zoosa provides a single destination for professionals to learn about and engage in the clean-tech, education and nonprofit sectors.","[Zoosa](www.zoosa.org) aggregates social enterprise resources (news, blogs, tweets, & opportunities) to create a single destination for professionals to learn about and get involved in the clean-tech, education, and nonprofit sectors.   To realize our vision, the company collects the best nonprofit jobs, green jobs, teaching jobs & professional skills-based volunteering opportunities.  These social enterprise opportunities are either paid (full-time/part-time/contract) or unpaid (volunteer/internship). Zoosa's marketing platform lets you search for organizations (non-profits & for-profits) having a social impact in the areas you care about so you allocate your resources wisely.  Itâ€™s your social impact | personalized.",,,http://twitter.com/zoosa,
