Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Pluralsight,https://www.crunchbase.com/organization/pluralsight,http://www.pluralsight.com,"E-Learning, EdTech, Education, Enterprise, Information Technology, Software","Education, Information Technology, Other, Software","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals.","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals. With 3,000+ courses and new ones added daily, Pluralsight serves as a career catalyst for customers in more than 150 countries and provides tech-savvy businesses with training on the three key areas they need to thrive. The platform expert courses, skill assessments, and one-of-a-kind analytics make it possible to align the organization around digital initiatives, upskill people into modern tech roles, and build adaptable teams that deliver faster.  It was founded in 2004 and is headquartered in Farmington, Utah.",http://www.linkedin.com/company/pluralsight,Exited Unicorn,http://twitter.com/PluralSight,http://www.facebook.com/pluralsight,70
Encantos,https://www.crunchbase.com/organization/encantos,http://www.encantosbrands.com,"Apps, Children, Consumer, Digital Entertainment, EBooks, Education, Subscription Service, Video","Apps, Community and Lifestyle, Content and Publishing, Education, Media and Entertainment, Other, Software, Video",Encantos is an edtech company creating direct-to-consumer brands for kids powered by a subscription-led blended learning platform.,"Encantos is an ed-tech company creating direct-to-consumer brands for kids powered by a subscription-led blended learning platform. Focused on teaching 21st-century learning, literacy, and life skills, Encantos builds direct-to-consumer brands with its unique “story teaching” approach that kids and parents love. Its brands come to life using a blended learning approach via digital and physical products, including subscription apps and boxes, animated series, books, puzzles, and games that all work together to entertain, educate and inspire kids of all ages. Encantos' family brands include the Emmy-nominated and 2x Kidscreen award-winning #1 bilingual preschool brand Canticos, the Day of the Dead-inspired resilience brand Skeletitos, and the adventure-based travel brand Tiny Travelers. Encantos has received numerous industry awards and accolades from the AP, ASU GSV, CNN, Common Sense Media, Forbes, Kidscreen, Kirkus Reviews, NBC News, The New York Times, NPR, Parents Magazine, Publishers Weekly, Romper, School Library Journal, Univision and USA Today.  In 2016, Carlos Hoyos, Nuria Santamaria Wolfe, Steven Wolfe Pereira, and Susie Jaramillo headquartered it in Culver City, California.",https://www.linkedin.com/company/encantosbrands,,https://www.twitter.com/encantosbrands,https://www.facebook.com/encantosbrands,116
Nearpod,https://www.crunchbase.com/organization/nearpod,http://www.nearpod.com,"Education, Mobile Apps, Skill Assessment, Virtual Reality","Apps, Education, Hardware, Mobile, Software",Nearpod is a mobile app that enables teachers to create and share interactive multimedia presentations with their students.,"Nearpod is an all-in-one solution for the synchronized use of iPads in the classroom that makes lectures more engaging through interactive multimedia presentations.  With Nearpod, teachers can create mobile presentations, engage students in class, and assess them in real time. The fast adoption of tablet computing and mobile devices is having a profound impact on education. Nearpod allows educators to very easily take their existing presentations, convert them into mobile-friendly content, and engage all students to convert them into active classroom participants. Teachers can deliver their existing content through mobile (iOS or Android) devices and get instant feedback from students through interactive features like polls, quizzes, drawing activities, and others.",https://www.linkedin.com/company/nearpod,,http://twitter.com/nearpod,http://www.facebook.com/nearpod,180
Caribu,https://www.crunchbase.com/organization/caribu,https://caribu.com,"EdTech, Education, Software","Education, Software",Caribu is a family interactive video-calling platform that provides an engaging communication experience integrating books and activities.,"Caribu is a family video calling and reading platform that provides an engaging long-distance communication experience for kids. It integrates children’s picture books into a simple, child-friendly video calling app. It also brings together interactivity and education to create a communication tool for the modern family. Caribu was founded in 2016 and is headquartered in Miami, Florida.",https://www.linkedin.com/company/caribu,,https://twitter.com/Caribu,https://www.facebook.com/Caribu,255
MasterClass,https://www.crunchbase.com/organization/masterclass,http://www.masterclass.com,"EdTech, Education, Training","Education, Software",MasterClass is the streaming platform where anyone can learn from the world's best across a wide range of subjects.,"Founded in 2015, MasterClass is the platform that makes it possible for anyone to learn from the best. With MasterClass, step into Anna Wintour’s office, Timbaland’s recording studio, and Neil Gaiman’s writing retreat. Improve your serve with Serena Williams, perfect your pitch with Shonda Rhimes, and leave the atmosphere with Chris Hadfield. Hundreds of video lessons from 85+ of today’s most brilliant minds are available anytime, anywhere with the All-Access Pass ($180 per year). Subscribe to greatness with MasterClass.",https://www.linkedin.com/company/masterclassinc/,Emerging Unicorn,https://twitter.com/masterclass,https://www.facebook.com/masterclassofficial/,282
BetterUp,https://www.crunchbase.com/organization/betterup,http://www.betterup.co/,"Corporate Training, Education, Personal Development, Training",Education,BetterUp is a mobile-based leadership development platform used by Fortune 500 companies.,"Founded in 2013, BetterUp is a mobile-based leadership development platform used by Fortune 500 companies. With a holistic, science-backed methodology, BetterUp develops new behaviors and mindsets that enable high performance amid constant and accelerating change. Through on-demand, virtual coaching sessions, users practice and reinforce new behaviors and skills. Individual growth is measured and tracked. With a diverse range of customers, including Genentech, Logitech, and Workday, BetterUp inspires employees to build the skills to thrive personally and professionally.",https://www.linkedin.com/company/betterup,Emerging Unicorn,https://www.twitter.com/betterup,https://www.facebook.com/betterupco/,283
Flockjay,https://www.crunchbase.com/organization/flockjay,https://flockjay.com,"Communities, Education, Internet, Sales, Training","Community and Lifestyle, Education, Internet Services, Sales and Marketing",Flockjay is an online academy that empowers job seekers with the tools and training they need to break into tech.,Flockjay connects startups with sales professionals and educates job seekers through remote learning. Flockjay provides training and support for in-demand tech jobs and provides final round interviews for high-paying jobs at top companies. The company's mission is to make tech accessible for people from underrepresented communities.,https://www.linkedin.com/company/flockjay/,,https://twitter.com/flockjayschool,https://facebook.com/flockjayschool,376
Wonderschool,https://www.crunchbase.com/organization/wonderschool,http://www.wonderschool.com,"Child Care, Children, EdTech, Education, Parenting, Primary Education, Sharing Economy","Community and Lifestyle, Education, Health Care, Other, Software",Wonderschool offers a platform where people can start infant and toddler programs and preschools out of their homes.,"Started in 2016 by a group of educators and technologists in California, Wonderschool offers a platform where people can start infant and toddler programs and preschools out of their homes. Wonderschool supports experienced educators and childcare providers to start their own childcares or preschools out of their homes, whether they live in apartments, condos, or homes that they rent or own. Wonderschool provides assistance with licensing, program setup, marketing and everything in between. The company’s software platform allows teachers to manage their students, parents, and their program from one dashboard. Along with this, Wonderschool has built a marketplace for parents to search Wonderschool programs, schedule visits, enroll their children, and make payments. It’s been proven time and time again that children should start developing cognitive, motor, behavioral, and social skills from as early as 6 months and Wonderschool is committed to increasing families’ access to high quality care and learning environments for children.",https://www.linkedin.com/company/wonderschool/,,https://twitter.com/Wonderschools,https://www.facebook.com/joinwonderschool/,393
Massachusetts Institute of Technology - MIT,https://www.crunchbase.com/organization/massachusetts-institute-of-technology-mit,http://web.mit.edu/,"Art, Education, Health Diagnostics, Innovation Management, Medical, Medical Device, Product Research, Training","Data and Analytics, Design, Education, Health Care, Media and Entertainment, Professional Services","MIT is a research university that conducts research and offers educational courses in science, technology, and engineering.","Massachusetts Institute of Technology (MIT) is a research university that conducts research and offers educational courses in science, technology, and engineering. Its five schools and one college encompass numerous academic departments, divisions, and degree-granting programs as well as interdisciplinary centers, laboratories, and programs. Degrees earned at MIT include bachelor’s, master’s, and doctorates. Students from MIT are regularly named Fulbright Fellows, Marshall Scholars, Rhodes Scholars, Truman Scholars, and Gates Scholars. The faculty of MIT has won numerous awards, including the Nobel Prize, Medal of Science, John Bates Clark Medal, Fields Medal, PECASE awards, MacArthur ’genius’ grants, and more. Many faculty members are of the AAAS, IEEE, American Academy of Arts and Sciences, and other prestigious societies. Massachusetts Institute of Technology was incorporated by the [Commonwealth of Massachusetts](https://www.crunchbase.com/organization/commonwealth-of-massachusetts) on April 10, 1861, and is based in Cambridge, Massachusetts.",http://www.linkedin.com/edu/school?id=18495,,http://twitter.com/MIT,http://www.facebook.com/MITnews,449
CareAcademy,https://www.crunchbase.com/organization/care-academy,http://www.careacademy.com/,"Education, Health Care, Home Health Care, Training","Education, Health Care","CareAcademy develops online training for senior care professionals, in an effort to allow the aged population to stay in their homes.","CareAcademy is a B2B platform providing evidence-based online classes to help direct care workers provide excellent care and improve their lives at home. Delivered through a proprietary curation platform that navigates licensure requirements in all 50 states, content needs down to individual caregivers, and text notification for employees, CareAcademy has certified 40000 caregivers throughout the US.  By high touch coaching and excellent customer service, it supports professional caregivers who work with older adults. Their online classes range from nutrition to protecting seniors' ability to live independently in their homes.  They teach caregivers new ways to provide excellent care, give employers peace of mind, and work with home care agencies to ensure that their caregivers are certified and prepared. It was founded in 2013 by Helen Adeosun while encountering issues and difficulties as a nanny and caregiver of older adults.",http://www.linkedin.com/company/2660620,,http://twitter.com/careacademyco,http://www.facebook.com/CareAcademy,615
