Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
4aBetterBusiness,https://www.crunchbase.com/organization/4abetterbusiness,http://www.4abetterbusiness.com/,"Apps, Employee Benefits, Software","Administrative Services, Apps, Health Care, Software",Develop Immediate Enthusiastic Employee Engagement.,"4aBetterBusiness helps companies : Develop, with management and employees, immediate, enthusiastic engagement, with buy-in, participation and contribution to change Use the engagement and buy-in developed, and our experience, to rapidly discover and implement solutions that support and enable growth and resolve underperformance Achieve an improvement-seeking culture, and a working environment that supports attracting and retaining employees ",,,,
Accolade,https://www.crunchbase.com/organization/accolade,http://www.accolade.com,"Apps, Employee Benefits, Health Care, Health Diagnostics, Personal Health","Administrative Services, Apps, Health Care, Software","Accolade features personalized health and benefits solutions that help to improve experience, outcomes, and healthcare cost for employers.","Accolade is a health, wellness, and fitness company that features personalized health and benefits solutions that help to improve the experience, outcomes, and cost of healthcare for employers. It specializes in healthcare process improvement, healthcare savings, employee engagement, and personalized advocacy. The company was founded in 2007 and headquartered in Plymouth Meeting, Pennsylvania.",https://www.linkedin.com/company/accolade-inc-/,,http://twitter.com/accolade,http://www.facebook.com/AccoladeInc
Amelia,https://www.crunchbase.com/organization/amelia-d4f5,https://www.itsamelia.com,"Computer, Employee Benefits, Health Care, Mobile Apps, Software, Wellness","Administrative Services, Apps, Consumer Electronics, Hardware, Health Care, Mobile, Software",Amelia is a computer software company that offers an app that helps employees develop mental health habits.,"Amelia is a computer software company that offers an app that helps employees develop mental health habits with breathing, meditation, and yoga. It syncs with popular wearable devices like Apple Watch or Fitbit to suggest data-driven recommendations unique to each person. Also, it provides an analytics dashboard to help HR teams better understand employee health outcomes and gives an aggregated and personalized employee data which shows improvements to heart rate, sleep, and mood. Isaac Hunter, Shubh Jagani, and Carl Eckert established the company in Los Angeles, California in 2017.",https://www.linkedin.com/company/pauseco,,,
Array Health Solutions,https://www.crunchbase.com/organization/array-health-solutions,http://arrayhealth.com,"Employee Benefits, Enterprise Software, Health Insurance","Administrative Services, Financial Services, Health Care, Software",Array Health is a leading provider of private insurance exchange technology. Its cloud-based software platform enables health plans of any,"Built on the Array Spectrum® e-Commerce Platform for health insurers, our private exchange solutions deliver a brilliant consumer experience, help insurers deepen their engagement with consumers, and enable employers to better control their healthcare costs. Through this approach, insurers can provide a branded private exchange solution on a platform that can extend to manage consumers across all digital channels. Array Health is a privately held company based in Seattle. To learn more, visit www.arrayhealth.com.",http://www.linkedin.com/company/array-health,,http://twitter.com/ArrayHealth,https://www.facebook.com/arrayhealth
AtYourBusiness.com,https://www.crunchbase.com/organization/atyourbusiness-com,http://atyourbusiness.com,"Employee Benefits, Human Resources, Software","Administrative Services, Health Care, Software","A provider of employee management, communications and benefits administration software.","AtYourBusiness.com is a web-based services company that specializes in designing business-based web solutions. operates as an employer services hub for small businesses in the United States. It provides an integrated web-based solution for employee management, communications, and benefits administration services. The company’s services include payroll processing, pre-employment screening, workers’ compensation, employee benefits, OSHA compliance, training, and skills testing. AtYourBusiness.com was founded in 1998 and is headquartered in Rockville, Maryland.",,,,
Aubry,https://www.crunchbase.com/organization/aubry,http://www.aubry.ai,"Artificial Intelligence, Employee Benefits, Human Resources, Natural Language Processing, Software","Administrative Services, Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",The virtual assistant to get your employees instant answers,"Aubry is a virtual assistant that fields your common employee questions to ask, answer, and escalate when appropriate. Without coding or technobabble, it deploys in seconds and instantly improves communication and employee engagement. ",,,,
Awardco,https://www.crunchbase.com/organization/awardco,http://www.awardco.com,"B2B, Employee Benefits, Human Resources, Peer to Peer, SaaS, Software","Administrative Services, Health Care, Other, Software","Awardco is a software that specializes in employee recognition and engagement, inspiring human connection through rewarding recognition.","Awardco is a software that specializes in employee recognition and engagement, inspiring human connection through rewarding recognition. It has integrated with Amazon Business to make employee recognition more rewarding. Instead of being limited by a catalog of selected rewards, give your employees millions of options with Amazon Business. With features including peer to peer recognition, service awards, spot recognition, and powerful reporting capabilities, Awardco has made a simple and flexible platform to inspire better human connection at work. Eliminate unnecessary costs, redirect rewards budgets back to employees, and simplify the recognition process altogether with Awardco. It was founded in 2011 and is headquartered in Orem, Utah.",http://www.linkedin.com/company/awardco,,https://twitter.com/awardco,http://www.facebook.com/awardco
Axion Health,https://www.crunchbase.com/organization/axion-health,http://axionhealth.com,"Employee Benefits, Health Care, Information Technology, Software, Wellness","Administrative Services, Health Care, Information Technology, Software","Axion Health develops software to cater employee health, occupational health, medical surveillance, and emergency preparedness.","Axion Health provides employee health, occupational health, medical surveillance, and emergency preparedness software for health systems, government agencies, and industry. Axion's ReadySet is a mobile-friendly, Web-based solution that is easy to use, Internet-accessible, HIPAA-compliant, and 100% paperless. The solution also offers robust integrations with clinical, HR, information and regulatory systems.",http://www.linkedin.com/company/1637760,,http://twitter.com/AxionHealth,
Benefitexpress,https://www.crunchbase.com/organization/benefitexpress,http://www.benefitexpress.info/,"Call Center, Cloud Computing, Employee Benefits","Administrative Services, Health Care, Internet Services, Software","The leading middle market, cloud-based platform for employee benefits and health exchange services.","benefitexpress is the leading middle market, cloud-based platform for employee benefits and health exchange services, with a focus on flexibility. By offering technology that integrates all benefits, in a one stop shop, benefitexpress provides simplicity to complex plans and offers a very custom-made experience to engage and educate employees while offering employers an ease of benefit management that is unmatched in market. benefitexpress provides a full range of services including, benefit enrollment, management and administration as well as direct bill services, reimbursement account administration, carrier bill reconciliation, total compensation statements, and a full service call center.",https://www.linkedin.com/company/benefit-express,,https://www.twitter.com/benefitexpress,https://www.facebook.com/benefitexpress
Benefitfocus,https://www.crunchbase.com/organization/benefitfocus,http://www.benefitfocus.com,"Employee Benefits, Human Resources, Software, Video","Administrative Services, Health Care, Media and Entertainment, Software, Video","Benefitfocus provides cloud-based benefits software solutions for consumers, employers, insurance carriers and brokers.","Benefitfocus is a leading provider of benefits technology. More than 20 million consumers manage all types of benefits in the Benefitfocus cloud. By delivering technology that integrates all benefits in one place, Benefitfocus provides a better way to engage consumers, educate employees and simplify benefit enrollment and management.",http://www.linkedin.com/company/benefitfocus,,http://twitter.com/benefitfocus,http://www.facebook.com/Benefitfocus
