Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Citigroup,https://www.crunchbase.com/organization/citigroup,https://www.citigroup.com,"Banking, Credit Cards, Financial Services, Wealth Management","Financial Services, Lending and Investments, Payments",Citigroup is a diversified financial services holding company that provides various financial products and services.,"Citigroup is a diversified financial services holding company that provides various financial products and services. The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services. Citigroup Inc. was founded in 1812 and is based in New York, United States.",https://www.linkedin.com/company/citi,,https://twitter.com/citi,https://www.facebook.com/citi,6
SoFi,https://www.crunchbase.com/organization/social-finance,http://www.sofi.com,"Finance, Financial Services, FinTech, Life Insurance, Personal Finance, Wealth Management",Financial Services,SoFi is a finance company that offers a range of lending and wealth management services.,"SoFi is a finance company that offers a range of lending and wealth management services. The company primarily caters to early-stage professionals and offers variable and fixed rate parent, personal, and MBA loans, mortgage refinancing, and more. They create modern financial products and services that help people borrow, save, spend, invest, and protect their money better so that they can achieve financial independence and realize their ambitions from owning a home to saving for retirement, paying off their student loans, and more. It was founded in 2016 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/sofi/,Unicorn,https://twitter.com/SoFi,https://www.facebook.com/SoFi,13
Apollo,https://www.crunchbase.com/organization/apollo-global-management-llc,https://www.apollo.com/,"Credit, Financial Services, Real Estate","Financial Services, Lending and Investments, Real Estate",Apollo Global Management is a global asset management firm that specializes in credit-oriented capital and real estate markets.,"Apollo is a global alternative asset manager specializing in private equity, credit-oriented capital markets, and real estate. It provides performing and non-performing loans, insurance-linked securities, asset-backed securities, distressed debt, senior bank loans, structured credit, and other fixed-income products to clients. The firm caters to industry groups including, chemicals, consumer products, and services, retail, oil and gas, distribution and transportation, financial and business services, media, telecom, and technology among others. The company was founded in 1990 and is headquartered in New York.",https://www.linkedin.com/company/apollo-global-management-inc/,,https://twitter.com/apolloglobal,,24
Gig Wage,https://www.crunchbase.com/organization/visage-payroll,http://gigwage.com,"Employee Benefits, Financial Services, FinTech, Human Resources, Payments","Administrative Services, Financial Services, Health Care, Payments",Gig Wage is a fintech payroll company for gig workers and contractors.,"Gig Wage is a fintech payroll company that provides a financial social safety net for gig workers and contractors. Its scalable platform enables businesses to manage contractor payroll, payments, and compliance while delivering greater transparency to their gig workers. Whether they are paying 100 contractors or 100,000 Gig Wage gives the tools to efficiently manage the process while alleviating payments related support. Gig Wage provides an online platform that allows independent contractors to track the amount and type of work they perform for companies, initiate invoices, and receive payments from companies. The partnership also allows Gig Wage the ability to introduce a new debit card with no monthly fee, free online bill pay, and free cash withdrawals at more than 19,000 ATM locations, free cash pick-up at over 7,000 retail locations nationwide, and other products and tools designed for gig workers and their employers. By leveraging Green Dot’s Banking as a Service platform, Gig Wage can now design and deploy its own customized banking and money movement solutions for its customers. Gig Wage is founded in 2014 and is headquartered in Dallas, Texas, USA.",https://www.linkedin.com/company/gigwage/,,http://twitter.com/gigwage,http://www.facebook.com/gigwage,35
Lemonade,https://www.crunchbase.com/organization/lemonade,https://www.lemonade.com/,"Artificial Intelligence, Financial Services, Insurance, InsurTech","Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good.,"Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good. It is a licensed insurance carrier, offering homeowners and renters insurance. Lemonade replaces brokers and bureaucracy with bots and machine learning, delivering zero paperwork and instant everything.  The company uses artificial intelligence and behavioral economics to set rates for the homes and renters it insures.  Lemonade was founded in 2015 and is headquartered in New York, NY, United States.",https://www.linkedin.com/company/lemonade-inc-/,Exited Unicorn,https://twitter.com/lemonade_inc,https://www.facebook.com/lemonade,52
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,http://www.goldmansachs.com/,"Banking, Finance, Financial Services, Security, Venture Capital","Financial Services, Lending and Investments, Privacy and Security","Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.","The Goldman Sachs Group, Inc. provides investment banking, securities, and investment management services, as well as financial services to corporations, financial institutions, governments, and high-net-worth individuals worldwide. Its Investment Banking segment offers financial advisory services, including advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions. The company’s Institutional Client Services segment provides client execution services, such as fixed income, currency, and commodities client execution related to making markets in interest rate products, credit products, mortgages, currencies, and commodities; and equities related to making markets in equity products, as well as executes and clears institutional client transactions on stock, options, and futures exchanges. This segment also engages in securities services business providing financing, securities lending, and other brokerage services to institutional clients, including hedge funds, mutual funds, pension funds, and foundations. Its Investing and Lending segment originates longer-term loans; and invests in debt securities, loans, public and private equity securities, real estate, consolidated investment entities, distressed assets, currencies, commodities, and power generation facilities. The company’s Investment Management segment provides investment products and services, as well as offers wealth advisory services, including portfolio management and financial counseling, and brokerage and other transaction services. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.",http://www.linkedin.com/company/goldman-sachs,,http://twitter.com/goldmansachs,https://www.facebook.com/goldmansachs,76
Kraken,https://www.crunchbase.com/organization/kraken,https://www.kraken.com/,"Asset Management, Blockchain, Cryptocurrency, Ethereum, Financial Exchanges, Financial Services, FinTech, Personal Finance, Stock Exchanges, Trading Platform","Financial Services, Lending and Investments, Other, Payments, Software","Kraken is a cryptocurrency exchange that provides spot and futures trading between Bitcoin, Ethereum and 40+ other digital assets.","Our mission is to accelerate the adoption of cryptocurrency so that you and the rest of the world can achieve financial freedom and inclusion.  Founded in 2011 and with over 4 million clients, Kraken is one of the world's largest, most successful bitcoin exchanges and we're growing faster than ever. Our range of successful products are playing an important role in the mainstream adoption of crypto assets. Kraken is a marketplace for digital assets where buyers, sellers, traders and speculators come together to exchange cryptocurrencies like Bitcoin, Ethereum, Litecoin and Ripple against national currencies like USD, EUR, CAD and JPY.  Clients trading larger sizes benefit from our principal Over-the-Counter (OTC) desk and white glove service.  Advanced traders and technical analysis wizards can take advantage of our professional charting tools.  Software engineers, botters and hobbyist automators have available both REST and Websocket APIs with which trades can be made and market information obtained.  Kraken provides 24/7 live chat support for any questions you have about getting started.",https://www.linkedin.com/company/kraken-exchange/,Unicorn,https://twitter.com/krakenfx,https://www.facebook.com/KrakenFX/,97
BlackRock,https://www.crunchbase.com/organization/blackrock,http://www.blackrock.com,"Asset Management, Banking, Consulting, Crowdfunding, Finance, Financial Services, FinTech, Internet, Risk Management","Financial Services, Internet Services, Lending and Investments, Professional Services","BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.","BlackRock's business is investing on behalf of our clients, from large institutions to parents and grandparents, doctors and teachers who entrust their savings to us. We work only for our clients—period. Our promise is to offer them the clearest thinking about what to do with their money and the products and services they need to secure a better financial future.  That's why investors of all kinds have made us the world’s largest asset manager, entrusting us with trillions of dollars, and it’s why companies, institutions and global governments come to us for help meeting their biggest financial challenges.  Important disclosures: http://www.blackrock.com/corporate/en-us/compliance/social-media-guidelines",http://www.linkedin.com/company/blackrock,,http://twitter.com/blackrock,http://www.facebook.com/BlackRock,120
MX Technologies,https://www.crunchbase.com/organization/moneydesktop,http://www.mx.com,"Banking, Finance, Financial Services, FinTech","Financial Services, Lending and Investments",MX Technologies is a fintech company that aims to connect people with their financial data in a way that automates their money experience.,"MX is a fintech data company that aims to connect people with their financial data in a way that automates their money experience. It enables fintech and all financial institutions with aggregating, enhancing, analyzing, presenting, and acting on financial data. MX enables banks and credit unions to achieve record-breaking growth by winning their competitor's most profitable account holders. As one of the fastest-growing fintech providers, MX drives customer-centric banking relationships by gathering and providing data upon which online and mobile banking partners and financial institutions can create and deliver next-generation banking applications and solutions. Founded in 2010, MX delivers data aggregation, data cleansing, auto-categorization, classification, money management, custom API, data analytics, marketing, UI, and more. In addition, MX offers an extensive array of client services, ranging from training to custom marketing services. MX currently partners with more than 600 financial institutions and more than 30 digital, online, and mobile banking providers — designating MX as a proven powerhouse in the fintech space.",https://www.linkedin.com/company/mxenabled/,Unicorn,https://twitter.com/mx,https://www.facebook.com/MXenabled/,131
Figure,https://www.crunchbase.com/organization/figure-66e9,https://figure.com/,"Artificial Intelligence, Blockchain, Finance, Financial Services, FinTech","Artificial Intelligence, Data and Analytics, Financial Services, Other, Science and Engineering, Software","Figure provides consumer financial solutions intended for home improvement, debt consolidation, and retirement planning.","Figure provides consumer financial solutions intended for home improvement, debt consolidation, and retirement planning. Its financial services include provide home equity release services such as home equity lines of credit, home improvement loans, and home buy-lease back offerings for retirement leveraging through blockchain, artificial intelligence, and advanced analytics, enabling customers to access capital in as few as five days.",https://www.linkedin.com/company/figuretechnologies/,Unicorn,https://twitter.com/figure,https://www.facebook.com/Figure/,158
