Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Cityblock Health,https://www.crunchbase.com/organization/cityblock-health,http://www.cityblock.com,"Fitness, Health Care, Wellness","Health Care, Sports",Cityblock is a healthcare company that address the root causes of health for underserved urban populations.,"Cityblock is a tech-driven provider for communities with complex needs it focuses on investing upstream in highly personalized, prevention-oriented health and social care to ultimately drive down costs and improve outcomes. Its technology enables scale by bringing together practical information, coordination, and communication for its members and care teams. During COVID-19, Cityblock created a model to help organizations determine which of their members are at high risk of COVID-19. The company was founded in 2017 and headquartered in Brooklyn, New York.",https://www.linkedin.com/company/cityblock-health/,Unicorn,https://twitter.com/cityblockhealth,https://www.facebook.com/cityblockhealth,64
Hinge Health,https://www.crunchbase.com/organization/hinge-health,http://hingehealth.com,"Employee Benefits, Fitness, Health Care, Medical, Therapeutics, Wearables, Wellness","Administrative Services, Consumer Electronics, Hardware, Health Care, Sports",Hinge Health is a patient-centered digital clinic that treats chronic musculoskeletal conditions such as back and joint pain.,"Hinge Health is a patient-centered digital clinic that treats chronic musculoskeletal conditions such as back and joint pain. It offers a platform that combines wearable sensors, an app, and health coaching to remotely deliver physical therapy and behavioral health. The company's services are available to nearly 200 enterprise customers and it aims to empower people to reduce chronic pain, opioid use, and surgeries. Hinge Health is backed by Bessemer Venture Partners, Lead Edge Capital, Insight Partners, Atomico, 11.2 Capital, Quadrille Capital, Heuristic Capital, Coatue, and Tiger Global. In 2015, Daniel Perez and Gabriel Mecklenburg co-founded Hinge Health in San Francisco, California.",https://www.linkedin.com/company/hinge-health,Unicorn,https://twitter.com/hingehealth,https://www.facebook.com/hingehealth,65
Partake Foods,https://www.crunchbase.com/organization/partake-foods,https://partakefoods.com/,"Food and Beverage, Health Care, Lifestyle, Wellness","Community and Lifestyle, Food and Beverage, Health Care",Partake Foods is a food and beverage company that specializes in selling allergy-friendly cookies.,"Partake Foods is a food and beverage company that specializes in selling allergy-friendly cookies. The company's products are free of the top 12 allergens so families can eat safely, healthfully, and deliciously — even on-the-go. The company was founded in 2016 and is headquartered in Jersey City, New Jersey.",https://www.linkedin.com/company/partakefoods/,,https://twitter.com/partakefoods,https://www.facebook.com/PartakeFoods/,114
Fitbit,https://www.crunchbase.com/organization/fitbit,http://www.fitbit.com,"Apps, Fitness, Health Care, Personal Health, Wearables","Apps, Consumer Electronics, Hardware, Health Care, Software, Sports","Fitbit offers compact, wireless, wearable sensors that track a person’s daily activities in order to promote a healthy lifestyle.","Fitbit inspires people to exercise more, eat better and live healthier lifestyles.  The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance. The Fitbit Tracker collects activity data automatically while it is worn by the user all day. The collected data is wirelessly uploaded to a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and co-workers. At the website, users can also manually log nutrition, weight and other health information in order to gain a complete picture of their health. Fitbit makes it easy to achieve a healthy lifestyle by automating the collection of health data and providing a motivating and entertaining user interface.",http://www.linkedin.com/company/fitbit,,http://twitter.com/fitbit,http://www.facebook.com/fitbit,116
Calm,https://www.crunchbase.com/organization/calm-com,http://www.calm.com,"Apps, Health Care, Leisure, Mobile, Personal Health, Wellness","Apps, Community and Lifestyle, Health Care, Mobile, Software",Calm offers a global health and wellness brand application designed to help its users meditate and relax.,"Calm offers an application designed to help its users meditate and relax. The company is driven by a mission to make the world happier and healthier by developing a range of digital and physical products that enhance mental fitness and alleviate some of the most important mental health issues of the modern age including anxiety, depression, insomnia, and stress. Calm was named by Apple as the 2017 iPhone App of the Year and by Google Play as an Editors’ Choice in 2018. The company was founded in 2012 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/calm-com,Unicorn,https://twitter.com/calm,https://www.facebook.com/calm,139
Shine,https://www.crunchbase.com/organization/shine-text,http://www.shinetext.com/,"Consumer Software, Messaging, Mobile Apps, SMS, Wellness","Apps, Health Care, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software",Shine is an award-winning self-care app and community for people with anxiety & depression.,"Shine is an award-winning self-care app and community for people with anxiety & depression.  Our approach to wellness: It isn’t pricey, preachy, or privileged. We pride ourselves on being accessible, actionable, and non-shamey—we believe personal growth starts with accepting who you are today. Our members take care of their mental and emotional health daily with the freemium Shine app. It delivers a new motivational message and meditation each day, plus features a library of 500+ meditations to help them cope with specific feelings and situations. Our premium members also get real-time advice from other Shine members in our private Shine Squad digital community—it’s peer-to-peer support that reminds them they don’t have to go it alone. In just two years since launching, our app already has over 10,000 5-star reviews (1 in 3 call Shine “life-changing”), we were named one of the best self-care apps of 2018 by Apple, and we’ve seen that increased use of Shine is correlated with decreases in both anxiety and depression by up to 35%. Our team is awesome. Our community is incredible. Our movement is massive. And this is just the beginning.",https://www.linkedin.com/company/shine-text/,,https://twitter.com/ShineText,https://www.facebook.com/ShineText/,141
Ro,https://www.crunchbase.com/organization/roman-2,https://www.ro.co/,"Fitness, Health Care, Health Diagnostics, Hospital, Wellness","Health Care, Sports","Ro is a telehealth startup that operates digital health clinics for men’s and women’s health, along with smoking cessation.","Ro is a mission-driven healthcare technology company that handles everything from online diagnosis to the delivery of medication. It aims to be the patient’s first call for all of their healthcare needs. Using technology, it empowers physicians to provide high-quality, affordable care when and where patients need it most. It powers three digital health clinics which are Roman for men’s health, Rory for women’s health, and Zero for fighting addiction.",https://www.linkedin.com/company/getroman/,Unicorn,https://twitter.com/ro,https://www.facebook.com/getroman,217
Accolade,https://www.crunchbase.com/organization/accolade,http://www.accolade.com,"Apps, Employee Benefits, Health Care, Health Diagnostics, Personal Health","Administrative Services, Apps, Health Care, Software","Accolade features personalized health and benefits solutions that help to improve experience, outcomes, and healthcare cost for employers.","Accolade is a health, wellness, and fitness company that features personalized health and benefits solutions that help to improve the experience, outcomes, and cost of healthcare for employers. It specializes in healthcare process improvement, healthcare savings, employee engagement, and personalized advocacy. The company was founded in 2007 and headquartered in Plymouth Meeting, Pennsylvania.",https://www.linkedin.com/company/accolade-inc-/,,http://twitter.com/accolade,http://www.facebook.com/AccoladeInc,232
Strava,https://www.crunchbase.com/organization/strava,http://www.strava.com,"Fitness, Internet, Mobile, Social Network, Sports","Internet Services, Mobile, Sports","Strava is an online network where runners and cyclists can record their activities, compare performance, and compete with their community.","Strava is an online network where runners and cyclists can record their activities, compare performance, and compete with their community. Founded in 2009, millions of athletes have joined Strava for the competition and camaraderie found in tracking and sharing their fitness activities. The company’s free mobile apps and website help members discover and plan workouts, record and share activities, and analyze and compare performance. Strava’s ability to connect athletes around the world makes fitness a more social experience, providing extra motivation even when training alone.",https://www.linkedin.com/company/strava-inc./,Unicorn,http://twitter.com/strava,http://www.facebook.com/Strava,245
Aledade,https://www.crunchbase.com/organization/aledade,https://www.aledade.com/,"Health Care, Hospitality, Medical, Wellness","Health Care, Travel and Tourism",Aledade is a primary care physician platform that provides everything doctors need to create and run an accountable care organization.,"Aledade is a primary care physician platform to provide everything the doctors to create and run an Accountable Care Organization. Aledade partners with independent, primary care physicians to provide everything the doctors need to create and run an Accountable Care Organization (ACO) from business and practice transformation services to upfront capital and a cutting-edge technology platform. The company customized solutions and continuous, on-the-ground support of our physician partners will help doctors in all types of communities across America preserve their autonomy, deliver better care to their patients, reduce overall costs, and keep independent physician practices flourishing. Adelade was founded in 2014 and is headquartered in Bethesda, Maryland, United States.",https://www.linkedin.com/company/aledade-inc-/,,https://www.twitter.com/aledadeaco,https://www.facebook.com/AledadeACO/,249
