Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
K Health,https://www.crunchbase.com/organization/kang-health,http://www.khealth.ai,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, Mobile Apps","Apps, Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Mobile, Science and Engineering, Software",K Health is a data-driven digital primary care system that uses AI to deliver personalized primary care.,"K Health is a data-driven digital primary care app that uses AI to deliver personalized primary care. The AI-powered health platform integrates data and creates a predictive model to enable its user to learn more about their personal wellbeing as well as help them better manage their health by comparing themselves to people with similar characteristics–gender, age, symptoms, medical history –through a free symptom tracker. K Health is backed by Mangrove, 14W, Comcast Ventures, Lerer Hippeau, Primary Ventures, Max Ventures, The Box Group, GGV Capital, Valor Equity Partners, Kaiser Permanente, LTS Ventures, Atreides Ventures, PICO Partners, Marcy Venture Partners, and other New York and Israeli seed investors. It was founded in 2016 by Adam Singolda, Allon Bloch, Israel Roth, and Ran Shaul and is based in New York, New York.",https://www.linkedin.com/company/k-health-inc,Unicorn,https://twitter.com/khealth,https://www.facebook.com/KHealthInc,34
Color,https://www.crunchbase.com/organization/color-genomics,https://www.color.com,"Apps, Biotechnology, Electronic Health Record (EHR), Genetics, Health Care, Software Engineering","Apps, Biotechnology, Health Care, Science and Engineering, Software",Color is a population health technology company that enables the delivery of advanced healthcare through clinical genetics.,"Color is a population health technology company that focuses on providing large-scale health care programs and clinical testing. It improves the key health infrastructure systems to make health accessible, convenient, and cost-effective, serving health systems, employers, research institutions, and individual consumers. Its Population Genomics Platform offers modular and end-to-end solutions that enable organizations to effectively build and scale population health programs. It provides technology, software, and clinical services to help population programs launch and scale quickly. By combining innovative technology, specialized laboratory infrastructure, and clinical health services, Color creates complete and effective programs that include: Program strategy, planning, and implementation; Participant outreach and engagement; participant education and consent about testing and results; sample (blood or saliva) collection and genetic sequencing; data management and clinical reporting; HIPAA compliance and data security; return of results; clinical services, like genetic counseling and clinical pharmacy; personalized care routine; and ongoing population health management. Color’s partners include NorthShore University Health System, the National Institutes of Health (NIH), Ochsner Health System, Verily, Visa, Levi Strauss, and Salesforce. Elad Gil, Nish Bhat, Taylor Sittler, and Othman Laraki launched Color in 2015 and is based in Burlingame, California.",https://www.linkedin.com/company/color-genomics,Unicorn,https://twitter.com/Color,https://www.facebook.com/color,44
Verily,https://www.crunchbase.com/organization/verily-2,https://verily.com,"Enterprise Software, Health Care, Information Technology, Software","Health Care, Information Technology, Software",Verily develops tools and devices to collect and analyze health data to research and manage diseases.,"Verily aspires to create a world in which technology and life sciences are not distinct, but partners with a united mission. Formerly Google Life Sciences, Verily's mission is to bring together technology and life sciences to uncover new truths about health and disease. Verily's multidisciplinary teams have access to advanced research tools, large-scale computing power, and unique technical expertise. They work with partners from across the industry and many fields of research to develop new technology, launch studies, and start companies. The company was founded in 2015 and is based in San Francisco, California, United States.",https://www.linkedin.com/company/verily-life-sciences/,Unicorn,https://twitter.com/verilylifesci,https://m.facebook.com/profile.php?id=273982409461411,54
Cityblock Health,https://www.crunchbase.com/organization/cityblock-health,http://www.cityblock.com,"Fitness, Health Care, Wellness","Health Care, Sports",Cityblock is a healthcare company that address the root causes of health for underserved urban populations.,"Cityblock is a tech-driven provider for communities with complex needs it focuses on investing upstream in highly personalized, prevention-oriented health and social care to ultimately drive down costs and improve outcomes. Its technology enables scale by bringing together practical information, coordination, and communication for its members and care teams. During COVID-19, Cityblock created a model to help organizations determine which of their members are at high risk of COVID-19. The company was founded in 2017 and headquartered in Brooklyn, New York.",https://www.linkedin.com/company/cityblock-health/,Unicorn,https://twitter.com/cityblockhealth,https://www.facebook.com/cityblockhealth,64
Hinge Health,https://www.crunchbase.com/organization/hinge-health,http://hingehealth.com,"Employee Benefits, Fitness, Health Care, Medical, Therapeutics, Wearables, Wellness","Administrative Services, Consumer Electronics, Hardware, Health Care, Sports",Hinge Health is a patient-centered digital clinic that treats chronic musculoskeletal conditions such as back and joint pain.,"Hinge Health is a patient-centered digital clinic that treats chronic musculoskeletal conditions such as back and joint pain. It offers a platform that combines wearable sensors, an app, and health coaching to remotely deliver physical therapy and behavioral health. The company's services are available to nearly 200 enterprise customers and it aims to empower people to reduce chronic pain, opioid use, and surgeries. Hinge Health is backed by Bessemer Venture Partners, Lead Edge Capital, Insight Partners, Atomico, 11.2 Capital, Quadrille Capital, Heuristic Capital, Coatue, and Tiger Global. In 2015, Daniel Perez and Gabriel Mecklenburg co-founded Hinge Health in San Francisco, California.",https://www.linkedin.com/company/hinge-health,Unicorn,https://twitter.com/hingehealth,https://www.facebook.com/hingehealth,65
Clover Health,https://www.crunchbase.com/organization/clover-health,http://cloverhealth.com,"Health Care, Health Insurance, Hospital, Medical, Software","Financial Services, Health Care, Software",Clover Health is an innovative technology company improving health outcomes for America's seniors.,"Clover Health (NASDAQ: CLOV) is a healthcare technology company with a deeply rooted mission of improving every life. Clover uses its proprietary technology platform to collect, structure, and analyze health and behavioral data to improve medical outcomes and lower costs for patients. As a company whose business goals fully align with its members' health needs, Clover works with members and their doctors to become a valued partner. This trust is built by proactively identifying at-risk individuals and teaming up with physicians to accelerate care coordination and simultaneously improve health outcomes and reduce avoidable costs. Clover has offices in San Francisco, Jersey City, Nashville and Hong Kong.",https://www.linkedin.com/company/4836709,Unicorn,https://twitter.com/clover_health,https://www.facebook.com/CloverHealth/,92
Tempus,https://www.crunchbase.com/organization/tempus-3,https://www.tempus.com,"Analytics, Artificial Intelligence, Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Machine Learning, Medical, Software","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",Tempus is a technology company advancing precision medicine through the practical application of artificial intelligence in healthcare.,"Tempus is a technology company advancing precision medicine through the practical application of artificial intelligence in healthcare. With one of the world’s largest libraries of clinical and molecular data, and an operating system to make that data accessible and useful, Tempus enables physicians to make real-time, data-driven decisions to deliver personalized patient care and in parallel facilitates discovery, development and delivery of optimal therapeutics. The goal is for each patient to benefit from the treatment of others who came before by providing physicians with tools that learn as the company gathers more data.",https://www.linkedin.com/company/tempus-health,Unicorn,https://www.twitter.com/tempuslabs,https://www.facebook.com/tempuslabs,93
IsoPlexis,https://www.crunchbase.com/organization/isoplexis,http://isoplexis.com/,"Biotechnology, Health Care, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering",IsoPlexis is a life science technology company developing a single-cell detection system.,"IsoPlexis is a life science technology company developing a single-cell detection system that identifies a wide range of patient immune responses at the single-cell level. Its platform can assess the safety and efficacy of therapeutics and monitor disease progression, enabling improved therapeutic development, and informing physician decisions.  The company was founded in 2013 and is headquartered in Branford, Connecticut.",http://www.linkedin.com/company/isoplexis-inc-,,,,104
Komodo Health,https://www.crunchbase.com/organization/komodo-health,http://komodohealth.com/,"Health Care, Information Technology, Predictive Analytics","Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Software",Komodo Health is bringing transparency and market intelligence to healthcare and life sciences.,"Komodo Health believes that smarter, more innovative use of data and analytics is essential for reducing disease burden. We apply artificial intelligence and other advanced data science techniques to our first-of-its-kind Healthcare Map™, which tracks the unique patient journeys of over 320 million patients. We empower a multitude of healthcare stakeholders – life science companies, healthcare payers and providers, patient advocacy groups, and others – to create a more cost-effective, value-driven healthcare system. For more information, visit komodohealth.com.",https://www.linkedin.com/company/komodo-health,,https://twitter.com/komodohealth,,109
Partake Foods,https://www.crunchbase.com/organization/partake-foods,https://partakefoods.com/,"Food and Beverage, Health Care, Lifestyle, Wellness","Community and Lifestyle, Food and Beverage, Health Care",Partake Foods is a food and beverage company that specializes in selling allergy-friendly cookies.,"Partake Foods is a food and beverage company that specializes in selling allergy-friendly cookies. The company's products are free of the top 12 allergens so families can eat safely, healthfully, and deliciously — even on-the-go. The company was founded in 2016 and is headquartered in Jersey City, New Jersey.",https://www.linkedin.com/company/partakefoods/,,https://twitter.com/partakefoods,https://www.facebook.com/PartakeFoods/,114
Fitbit,https://www.crunchbase.com/organization/fitbit,http://www.fitbit.com,"Apps, Fitness, Health Care, Personal Health, Wearables","Apps, Consumer Electronics, Hardware, Health Care, Software, Sports","Fitbit offers compact, wireless, wearable sensors that track a person’s daily activities in order to promote a healthy lifestyle.","Fitbit inspires people to exercise more, eat better and live healthier lifestyles.  The company is developing an ultra-compact wireless wearable sensor, called the Fitbit Tracker, that automatically tracks data about a person's activities, such as calories burned, sleep quality, steps and distance. The Fitbit Tracker collects activity data automatically while it is worn by the user all day. The collected data is wirelessly uploaded to a website where the wearer can see their data and track their progress toward personal goals. The website provides a motivational interface where users can share their progress, compare themselves against similar people and work toward virtual goals with their friends, family and co-workers. At the website, users can also manually log nutrition, weight and other health information in order to gain a complete picture of their health. Fitbit makes it easy to achieve a healthy lifestyle by automating the collection of health data and providing a motivating and entertaining user interface.",http://www.linkedin.com/company/fitbit,,http://twitter.com/fitbit,http://www.facebook.com/fitbit,116
