Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Gig Wage,https://www.crunchbase.com/organization/visage-payroll,http://gigwage.com,"Employee Benefits, Financial Services, FinTech, Human Resources, Payments","Administrative Services, Financial Services, Health Care, Payments",Gig Wage is a fintech payroll company for gig workers and contractors.,"Gig Wage is a fintech payroll company that provides a financial social safety net for gig workers and contractors. Its scalable platform enables businesses to manage contractor payroll, payments, and compliance while delivering greater transparency to their gig workers. Whether they are paying 100 contractors or 100,000 Gig Wage gives the tools to efficiently manage the process while alleviating payments related support. Gig Wage provides an online platform that allows independent contractors to track the amount and type of work they perform for companies, initiate invoices, and receive payments from companies. The partnership also allows Gig Wage the ability to introduce a new debit card with no monthly fee, free online bill pay, and free cash withdrawals at more than 19,000 ATM locations, free cash pick-up at over 7,000 retail locations nationwide, and other products and tools designed for gig workers and their employers. By leveraging Green Dot’s Banking as a Service platform, Gig Wage can now design and deploy its own customized banking and money movement solutions for its customers. Gig Wage is founded in 2014 and is headquartered in Dallas, Texas, USA.",https://www.linkedin.com/company/gigwage/,,http://twitter.com/gigwage,http://www.facebook.com/gigwage,35
Bambee,https://www.crunchbase.com/organization/bambee,https://www.bambee.com,"Human Resources, Professional Services, SaaS, Software","Administrative Services, Other, Software",Bambee is a platform offering an affordable solution to small and medium-sized businesses for hiring HR managers.,"Bambee is a platform that gives access to small and medium-sized businesses to hire an HR Manager.  Bambee allows its clients to hire an HR manager for just $99 a month, helping to craft HR policy and to understand compliance. Plus SMBs can access a free suite of powerful HR tools to stay compliant. The company was founded on the idea that every business should have access to an affordable human resource manager and every business can run like a Fortune 500 company. The company was founded in 2016 and based in Los Angeles, California.",https://www.linkedin.com/company/bambee/,,https://twitter.com/BambeeHQ,https://www.facebook.com/bambeeHQ/,134
Remote,https://www.crunchbase.com/organization/remote-d596,https://www.remote.com,"Financial Services, Human Resources, Internet, Payments, Recruiting, Software","Administrative Services, Financial Services, Internet Services, Payments, Professional Services, Software","Remote offers international payroll, benefits, and compliance services for distributed employees and contractors.","Remote offers international payroll, benefits, and compliance services for distributed employees and contractors. Remote takes care of global payroll, benefits, compliance and taxes, so businesses can focus on people.",https://www.linkedin.com/company/remote.com/,,https://www.twitter.com/remote,https://www.facebook.com/remote/,280
Lattice,https://www.crunchbase.com/organization/lattice-2,http://www.lattice.com/,"Enterprise Applications, Human Resources, Information Technology, Productivity Tools, Software","Administrative Services, Apps, Information Technology, Software","Lattice is a people management platform that empowers people leaders to build engaged, high-performing teams.","Lattice is a people management platform that enables People Leaders to develop engaged, high-performing teams. By combining continuous performance management and employee engagement in one solution, HR and People teams get powerful, real-time analytics that leads to actionable insights turning managers into leaders, employees into high-performers, and companies into the best places to work.",https://www.linkedin.com/company/lattice-hq/,,https://www.twitter.com/latticehq,https://www.facebook.com/latticecommunity/,330
Incredible Health,https://www.crunchbase.com/organization/incredible-health,https://www.IncredibleHealth.com,"Health Care, Human Resources, Recruiting","Administrative Services, Health Care, Professional Services","Hospitals and health systems use Incredible Health to hire permanent, high quality clinical workers at scale and in less than 30 days.","Incredible Health is a venture-backed company based in San Francisco, CA. Top hospitals find the best permanent clinicians in less than 30 days and at scale with Incredible Health. Employers apply to candidates instead of the other way around through an intuitive web application.",https://www.linkedin.com/company/incrediblehealth/,,https://twitter.com/JoinIncredible,https://www.facebook.com/incrediblehealthjobs/,366
Andela,https://www.crunchbase.com/organization/andela,https://andela.com/,"B2B, Consulting, Human Resources, Information Technology, Internet, Recruiting, Small and Medium Businesses, Software, Training","Administrative Services, Education, Information Technology, Internet Services, Other, Professional Services, Software",Andela is a global talent network that connects companies with engineering talent in emerging markets.,"Andela is a global talent network that connects companies with engineering talent in emerging markets. Hundreds of leading companies like GitHub, Cloudflare, and ViacomCBS leverage Andela to scale their engineering teams quickly and cost-effectively. A distributed organization spanning four continents, Andela is backed by investors including Generation Investment Management, Chan Zuckerberg Initiative, Spark Capital, and Google Ventures.",https://www.linkedin.com/company/andela/,Emerging Unicorn,https://twitter.com/andela,http://www.facebook.com/thisisandela/info,401
Turing.com,https://www.crunchbase.com/organization/turing,https://turing.com/Qr9bk7,"Artificial Intelligence, Developer Platform, Freelance, Human Resources, Information Technology, Mobile Apps, Recruiting, Software, Software Engineering","Administrative Services, Apps, Artificial Intelligence, Data and Analytics, Information Technology, Mobile, Professional Services, Science and Engineering, Software","At Turing, US companies can hire pre-vetted remote developers, while talented engineers can enjoy long-term, full-time roles with top firms.","Turing.com pairs top US companies with exceptional remote software developers. 100+ companies, including those backed by Google Ventures, Andreessen, Founders Fund, Kleiner, and Bloomberg, have hired Turing developers.  Turing Jobs Program: We offer top developers long-term, full-time roles. Turing software jobs span a wide variety of skill-sets, including Full Stack, Backend, Frontend, DevOps, AI/ML, and Mobile development roles, among others. Highly-experienced developers have access to even more Turing remote job opportunities. 180,000 developers across 10,000 cities have chosen us as their preferred platform for finding remote US software development jobs.  Turing Hire Program: With Turing, world-class companies can hire from the top 1% of remote software engineers. Prospective Turing remote developers are vetted over 8+ hours of tests and interviews, which assess their technical expertise, seniority, communication skills, and English fluency. Firms can hire developers specializing in various technologies, such as React, Node, Python, Angular, Swift, React Native, Android, Java, Rails, Golang, PHP, Vue, etc. Companies spend minimal time and costs hiring Silicon Valley-caliber developers at Turing.  Turing is backed by prominent investors, such as WestBridge Capital, Foundation Capital, Founders Fund (investors in Facebook, Tesla, Asana), Altair Capital, Mindset Ventures, Frontier Ventures, Gaingels, Facebook’s first CTO (Adam D’Angelo), and illustrious executives from Google, Amazon, and Twitter. We are led by serial A.I. entrepreneurs Jonathan Siddharth and Vijay Krishnan, whose last A.I. firm leveraged remote talent and had a successful acquisition.",https://www.linkedin.com/company/turing/,,https://twitter.com/turingcom,https://www.facebook.com/turingcom/,499
Paycor,https://www.crunchbase.com/organization/paycor-inc,http://www.paycor.com,"Employment, Human Resources, SaaS, Software","Administrative Services, Professional Services, Software","Paycor is a provider of online payroll processing, human resource management services, and timekeeping software to help businesses.","Paycor provides small and medium-sized companies with intuitive, cloud-based onboarding, HR, payroll, and timekeeping software with the goal of enabling businesses to be more efficient and to make smarter decisions about their people and processes. Its HR software utilizes in-house technology and the expertise of its staff to optimize people management that enables the business to attract top talent, create strategic benefit packages, and predict the future needs of the business. It was founded in 1990 and is headquartered in Cincinnati, Ohio.",https://www.linkedin.com/company/paycor,,https://twitter.com/PaycorInc,https://www.facebook.com/paycor/,538
Deel,https://www.crunchbase.com/organization/deel,https://www.letsdeel.com,"Financial Services, FinTech, Human Resources, Payments, Recruiting, SaaS, Software","Administrative Services, Financial Services, Payments, Professional Services, Software",Deel is a payroll and compliance platform for international employees and contractors.,"Deel is a developer of a payroll platform used to re-imagine payouts for businesses working with remote contractors. The platform is used by remote teams that connect localized compliance and automates payments in one system of record, as well as provides contracts and templates to be used for tax forms and localized contracts, automated payment, invoicing and receipts, and customer support. It aims to offer to every company that hires remote talents a one-stop-shop that makes onboarding, global compliance, and payments easier. The company was founded by Alex Bouaziz, Ofer Simon, and Shuo Wang in 2018 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/Deel,,https://www.twitter.com/Deel,https://www.facebook.com/GetDeel,563
Workday,https://www.crunchbase.com/organization/workday,http://www.workday.com,"Enterprise Software, Finance, FinTech, Human Resources, SaaS, Software, Web Development","Administrative Services, Financial Services, Software",Workday provides SaaS-based enterprise solutions for a company's human resources and financial management activities.,"Workday is the leader in SaaS-based enterprise solutions for human resources, payroll and financial management, providing new levels of business agility for a fraction of the cost of buying, deploying and maintaining legacy on-premise systems.  More than 130 customers, spanning mid-sized organizations to global Fortune 500 businesses, have selected Workday. Workday Human Capital Management and Workday Financial Management use modern, standards-based technologies to provide an unparalleled level of agility, ease-of-use, and integration capability.",http://www.linkedin.com/company/workday,Exited Unicorn,http://twitter.com/Workday,http://www.facebook.com/pages/Workday/118878077237,599
