Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Cognizant,https://www.crunchbase.com/organization/cognizant-technology-solutions,https://www.cognizant.com/,"Consulting, Industrial Automation, Software","Manufacturing, Professional Services, Science and Engineering, Software","Cognizant is a professional services company, transforming clients’ business, operating and technology models for the digital era.","Cognizant (Nasdaq-100: CTSH) is a  professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 195 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant",https://www.linkedin.com/company/cognizant,,https://twitter.com/cognizant,https://www.facebook.com/Cognizant,93
American Robotics,https://www.crunchbase.com/organization/american-robotics,http://www.american-robotics.com,"Agriculture, AgTech, Artificial Intelligence, Computer Vision, Drones, Industrial Automation, Machine Learning, Security","Agriculture and Farming, Artificial Intelligence, Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Manufacturing, Privacy and Security, Science and Engineering, Software","American Robotics is a Robot-as-a-Service company that develops pilotless, AI-powered drones for industrial purposes.","American Robotics is an industrial drone developer that specializes in rugged, real-world environments. Through innovations in robot autonomy, machine vision, edge computing, and AI it has created a fully-automated drone capable of continuous, unattended operation. The company was founded by Carnegie Mellon and Stanford roboticists with a shared vision for bringing robotic technology out of the lab and into the real world. American Robotics was established in 2016 and is headquartered in Marlborough, Massachusetts.",https://www.linkedin.com/company/american-robotics-inc/,,https://twitter.com/amerobotics,,"1,252"
Fetch Robotics,https://www.crunchbase.com/organization/fetch-robotics,http://fetchrobotics.com/,"Industrial Automation, Life Science, Mobile, Robotics, Supply Chain Management, Warehousing","Biotechnology, Hardware, Manufacturing, Mobile, Science and Engineering, Software, Transportation",Fetch Robotics provides the market’s only cloud-driven Autonomous Mobile Robot (AMR) solution for warehousing intralogistics environments.,"Fetch Robotics is a San Jose, Calif.-based industrial robotics startup that develops and manufactures collaborative, autonomous mobile robot solutions for the warehousing and logistical markets. It takes takes advantage of its deep robotics expertise to provide reliable and safe collaborative AMR (Autonomous Mobile Robot) solutions for two commercial applications: material handling and data collection. Fetch Robotics is a venture-backed Silicon Valley startup founded in 2014.",https://www.linkedin.com/company/fetch-robotics,,https://twitter.com/fetchrobotics,https://www.facebook.com/fetchrobotics/,"1,462"
TradeLanes,https://www.crunchbase.com/organization/tradelanes,https://www.tradelanes.co/,"Industrial Automation, Logistics, SaaS, Supply Chain Management","Manufacturing, Science and Engineering, Software, Transportation","TradeLanes is a technology company that automates supply chain for traders, shippers, and merchants.","TradeLanes is a technology company that automates supply chain for traders, shippers, and merchants. It developed a SaaS platform that brings global trade operations entirely online - from generating the contract to allocating inventory, to booking a shipment, to delivery. Its system allows all parties to collaborate digitally, from one set of data and documents. TradeLanes aims to power frictionless global trade for all.  It was founded in 2015 and is based in Oakland, California.",https://www.linkedin.com/company/tradelanes/,,https://twitter.com/tradelanesinc,https://www.facebook.com/tradelanes/,"1,568"
Synthego,https://www.crunchbase.com/organization/stealthy,http://www.synthego.com,"Biotechnology, Genetics, Industrial Automation, Innovation Management, Life Science, Machine Learning, Software","Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Manufacturing, Professional Services, Science and Engineering, Software",Synthego is a genome engineering company that enables access to CRISPR to accelerate life science research and development.,"Synthego is a genome engineering company that enables the acceleration of life science research and development in the pursuit of improved human health. The company leverages machine learning, automation, and gene editing to build platforms for science at scale. With its foundations in engineering disciplines, the company’s full-stack platform vertically integrates proprietary hardware, software, bioinformatics, chemistries, and molecular biology to advance both basic research and therapeutic development programs. By providing both commercial and academic researchers and therapeutic developers with unprecedented access to cutting-edge genome engineering, Synthego is at the forefront of innovation, accelerating the development of truly engineered biology. The company was founded in 2012 and is based in Redwood City, California.",https://www.linkedin.com/company/synthego-corporation,,https://twitter.com/synthego,https://www.facebook.com/synthego,"2,247"
Sense Photonics,https://www.crunchbase.com/organization/sense-photonics,https://sensephotonics.com/,"Electronics, Industrial Automation, Manufacturing","Consumer Electronics, Hardware, Manufacturing, Science and Engineering",Sense Photonics builds intelligent 3D vision systems that transform what's possible for industrial and automotive use-cases.,"Sense Photonics is an RTP high technology company that enables reliable, modular, and configurable 3D sensing. The company produces advanced LiDAR and 3D sensor solutions for an autonomous vehicles, robotics, and industrial automation markets. Their core technology protected by over 200 patents enables a simple, high-performance, solid-state solution with no moving parts that can uniquely meet the rigorous performance, reliability and cost requirements for automotive and industrial applications. Sense Photonics was founded in 2016 and is based in San Francisco, California, United States.",https://www.linkedin.com/company/sense-photonics,,https://twitter.com/sensephotonics,https://www.facebook.com/SensePhotonics/,"2,310"
Partpic,https://www.crunchbase.com/organization/partpic,http://partpic.com,"Enterprise Software, Industrial Automation, Mobile, Search Engine, Visual Search","Internet Services, Manufacturing, Mobile, Science and Engineering, Software",Visual search for replacement parts,"Partpic is a visual recognition technology company that allows users to save time and money searching for replacement maintenance, repair and operations (MRO) parts. By allowing users to snap a picture of a part with a smart device, Partpic matches the user generated image with a part and associated  specifications.",http://www.linkedin.com/company/partpic,,http://twitter.com/partpic,http://www.facebook.com/partpic,"2,620"
Turntide Technologies,https://www.crunchbase.com/organization/software-motor-company,http://www.turntide.com,"Energy Efficiency, Industrial Automation, Internet of Things, Software","Energy, Internet Services, Manufacturing, Science and Engineering, Software, Sustainability",Turntide Technologies is the developer of an efficient intelligent motor system which aims to replace all traditional motors.,"Turntide Technologies (formerly Software Motor Company) has developed an efficient and intelligent electric motor system. The revolutionary Smart Motor System is based on proven switched reluctance technology, now managed with advanced cloud software and connected to precise controls via IoT. Turntide’s vision is to eliminate the 25% of global electricity consumption that is wasted by legacy motors, thus accelerating the world’s transition from fossil fuels. Turntide is based in Sunnyvale, California, with offices in San Francisco; Arlington, Washington; and Kennesaw, Georgia. Turntide has installed Smart Motor Systems with dozens of customers, reducing their motor electricity consumption by an average of 64%, and is powering the systems of leading OEMs.",https://www.linkedin.com/company/18273513,,https://twitter.com/turntidetech,https://www.facebook.com/turntidetech,"2,708"
Journey Foods,https://www.crunchbase.com/organization/journey-foods,http://journeyfoods.io,"Artificial Intelligence, Data Visualization, Food Processing, Industrial Automation, Machine Learning, Nutrition, SaaS, Snack Food, Software, Supply Chain Management","Artificial Intelligence, Data and Analytics, Design, Food and Beverage, Health Care, Information Technology, Manufacturing, Science and Engineering, Software, Transportation",Journey Foods solves food science and supply chain inefficiencies with enterprise software to help companies feed 8 billion people better.,"Journey Foods is a bold, machine learning-powered software platform for food companies. The company builds enterprise technology that improves product monitoring and development for CPG companies, ingredient suppliers, and manufacturers. With a focus on saving companies money and time, Journey Foods' tools accelerate innovation to improve their decision-making and operations with AI nutrition and supply chain insights embedded in integrative software.   Journey Foods IO software enables food companies to quickly grow from new ideas, or new improvement, to commercialization by configuring desired consumer preferences, generating improved product formulations through ingredient tagging, receiving automated compliance and supply chain insights on nutrition and sustainability indicators, and seamless integrations to global ERP tools. The JourneyAI industry 4.0 solution gives management teams significantly faster data to make better strategic decisions and increase the ease of monitoring products for the 3 trillion dollar packaged foods market.    The Journey Foods database retains an extensive and standardized database to extract data from millions of ingredients for algorithms to dynamically analyze and methodically recommended optimized portfolio recommendations based on pricing, supply chain, and nutrition parameters. To date, the company has established a database comprised of over 1 billion ingredient insights and learnings from our in-house prototyping product ‘Journey Bites’.",https://www.linkedin.com/company/journey-foods/,,http://twitter.com/journeyfoods,,"2,892"
Locus Robotics,https://www.crunchbase.com/organization/locus-robotics,http://www.locusrobotics.com,"Industrial Automation, Logistics, Manufacturing, Robotics, Supply Chain Management","Hardware, Manufacturing, Science and Engineering, Software, Transportation","Locus Robotics is a warehouse robotics company that manufactures autonomous, mobile robots to support e-commerce.","Locus Robotics manufactures autonomous, mobile robots to support e-commerce for retailers and warehouse logistics providers. Its technology works collaboratively alongside workers to dramatically improve order productivity and increase fulfillment speed and throughput 2X-3X with near-perfect order accuracy, to ensure that consumers receive their orders as quickly and accurately as possible. It was founded in 2014 and headquartered in Wilmington, Massachusetts.",https://www.linkedin.com/company/locus-robotics,,https://twitter.com/locusrobotics,https://www.facebook.com/LocusRobotics/,"3,143"
