Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Uplift,https://www.crunchbase.com/organization/uplift-inc,http://www.uplift.com,"E-Commerce, Finance, FinTech, Information Services, Information Technology, Payments, Travel","Commerce and Shopping, Financial Services, Information Technology, Payments, Travel and Tourism","Uplift is an enterprise buy now, pay later solution offering a complete range of personalized payment options.","Uplift is an enterprise Buy Now, Pay Later solution serving over 100 of the world's top travel brands. Through personalized, flexible payment options, Uplift helps consumers take control of their budget and experience a world of travel. With a complete range of payment options, Uplift unlocks higher conversions and lifetime customer value for merchant partners. The company was founded in 2014 and is headquartered in Menlo Park, California.",http://www.linkedin.com/company/uplift-inc,,http://twitter.com/GoUpLift,http://www.facebook.com/upliftcorp,243
Freshworks,https://www.crunchbase.com/organization/freshworks,https://www.freshworks.com/,"CRM, Information Services, Information Technology, SaaS, Software","Information Technology, Sales and Marketing, Software",Freshworks provides businesses with SaaS customer engagement solutions.,"Freshworks provides innovative customer engagement software for businesses of all sizes, making it easy for teams to acquire, close, and keep their customers for life. Freshworks SaaS products provide a 360-degree view of the customer, are ready to go, easy to use, and oﬀer quick return on investment.  It was founded in 2010 and Headquartered in San Mateo, USA.",https://www.linkedin.com/company/freshworks-inc/,Unicorn,https://twitter.com/freshworksinc,https://www.facebook.com/FreshworksInc/,375
Evernote,https://www.crunchbase.com/organization/evernote,http://www.evernote.com,"Information Services, Information Technology, iOS, Mobile, SaaS, Software","Information Technology, Mobile, Platforms, Software","Evernote is a suite of software and services that allow users to capture, organize, and find information across multiple platforms.","Evernote builds apps and products that are defining the way individuals and teams work today. As one workspace that lives across people's phone, tablet and computer, Evernote is the place people write free from distraction, collect information, find what they need and present their ideas to the world. Whatever peole are working toward, Evernote’s job is to make sure they get there.  Evernote is an independent, privately held company headquartered in Redwood City, California. Founded in 2007, Evernote products reach more than 100 million users worldwide. With nearly 400 employees and growing, they are always looking for talented individuals to join their global team.",http://www.linkedin.com/company/evernote,Unicorn,http://twitter.com/evernote,http://www.facebook.com/evernote,490
OZY Media,https://www.crunchbase.com/organization/ozy-media,http://ozy.com,"Content, Digital Media, Events, Information Services, News, Podcast, TV, TV Production","Content and Publishing, Events, Information Technology, Media and Entertainment, Music and Audio, Video","OZY Media is a premium media and entertainment for curious people — across TV, events, podcasts and news.","OZY Media is a premium media and entertainment company for curious people — across TV, events, podcasts, and news. The company's mission is to help the curious see the world more broadly and more boldly by vaulting them ahead of the traditional news cycle and introducing them to the New and the Next – rising stars, fresh trends, provocative ideas, and boundary-pushing culture. OZY introduces an audience of 50 million to narratives that defy convention, change perspectives and ignite ideas — online, on-air, and in person. The company was launched in 2012 and is based in Mountain View, California.",https://www.linkedin.com/company/ozy/,,http://twitter.com/ozy,http://www.facebook.com/ozy,517
Kyte,https://www.crunchbase.com/organization/kyte-e495,https://drivekyte.com,"Automotive, Car Sharing, Consumer Software, Fleet Management, Information Services, Information Technology, Rental, Software, Transportation","Commerce and Shopping, Information Technology, Software, Transportation",Kyte is a technology platform connecting professional fleet owners with rental customers.,"Kyte is a technology platform connecting professional fleet owners with rental customers. The company is on a mission to offer a compelling and customer-centric way to get a car for consumers on top of a fully virtualized cloud fleet ecosystem. Francesco Wiedemann, Ludwig Schoenack, and Ludwig Schoenack formed the company in San Francisco, California in 2019.",https://www.linkedin.com/company/drivekyte,,https://twitter.com/drivekyte,https://www.facebook.com/drivekyte,528
Lyra Health,https://www.crunchbase.com/organization/lyra-health,http://www.lyrahealth.com,"Employee Benefits, Health Care, Information Services, Information Technology","Administrative Services, Health Care, Information Technology","Lyra helps companies improve access to effective, high-quality mental health care for their employees.","Lyra helps companies improve access to effective, high-quality mental health care for their employees. Lyra's matching technology and innovative digital platform connect members to a curated network of top therapists and coaches, which results in 3x more people receiving care and 7x better outcomes than traditional plans and EAPs. Members can find the right personalized care, match with the right provider for their needs, and feel motivated and supported throughout the entire treatment journey.",https://www.linkedin.com/company/lyra-health/,Unicorn,https://twitter.com/lyrahealth,https://www.facebook.com/lyrahealth,557
Amazon Web Services,https://www.crunchbase.com/organization/amazon-web-services,http://aws.amazon.com,"Information Services, Information Technology, Software, Web Development","Information Technology, Software",Amazon Web Services provides information technology infrastructure services to businesses in the form of web services.,"Amazon Web Services provides information technology infrastructure services to businesses in the form of web services. Its products and solutions include cloud computing, compute, networking, storage and content delivery, databases, analytics, application services, deployment and management, mobile services, applications, AWS marketplace software, startups, enterprises, partners, government and education, websites and web applications, big data and HPC, gaming, and digital media as well as backup, storage, and archive.  The company also provides AWS management console, documentation, SDKs and tools, downloads, platforms, Java, JavaScript, mobile, PHP, Ruby, Python, Windows, .NET, resources, forums, tutorials and articles, whitepapers, training and certification, and AWS user groups for developers. In addition, it offers compute, storage, database, analytics, application, and deployment services; and mobile services, websites, and backup and recovery services.  Amazon Web Services serves the government, education, and non-profit sectors in North America, South America, Europe, Africa, Asia Pacific, and internationally.  Amazon Web Services was founded in 2006 and is based in Seattle, Washington. It has data center locations in the United States, Europe, Brazil, Singapore, Japan, and Australia. It operates as a subsidiary of Amazon.com Inc.",https://www.linkedin.com/company/amazon-web-services/,,http://twitter.com/awscloud,http://www.facebook.com/amazonwebservices,582
Stem,https://www.crunchbase.com/organization/stem,http://www.stem.com,"Enterprise Software, Information Services, Information Technology","Information Technology, Software",Stem brings and optimizes energy consumption to business through its distributed storage technology.,"Stem brings and optimizes energy consumption to business through its distributed storage technology. Since 2009, Stem has been analyzing how various types of businesses use electricity and how they are charged for it. The company uses this information to design a solution that protects companies from unnecessarily high electricity costs without requiring any changes to the way they run their businesses. Stem combines big data, predictive analytics, and energy storage to reduce electric costs for businesses and in aggregate, deliver services to the grid.",https://www.linkedin.com/company/stem-inc-,,http://twitter.com/stempowered,https://www.facebook.com/pages/category/Public-Service/Stem-Inc-263101217108092/,610
Innovaccer,https://www.crunchbase.com/organization/innovaccer,https://www.innovaccer.com,"Analytics, Big Data, Health Care, Information Services, Information Technology, Machine Learning, Software","Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Software",Innovaccer is a healthcare data activation company committed to making powerful & enduring difference in the way care is delivered.,"Innovaccer's aim is to make full use of all the data healthcare has worked so hard to collect. Its Gartner and KLAS-recognized data activation platform and artificial intelligence products have been deployed all over the US across more than 500 locations, enabling over 10,000 providers transform care delivery and work as one. Innovaccer's Data Activation Platform (DAP) TM has been successfully implemented for several institutions, governmental organizations, and several corporate enterprises such as Mercy ACO, Orlando Health, Catholic Health Initiatives, StratiFi Health, UniNet Healthcare Network, Catalyst Health Network, Hartford Healthcare, and Osler Health Network. Innovaccer is based in San Francisco and has 5 offices across the United States and Asia.",https://www.linkedin.com/company/innovaccer,,https://twitter.com/innovaccer,https://www.facebook.com/InnovAccer/,638
Kong,https://www.crunchbase.com/organization/konghq,https://konghq.com/,"Cloud Computing, Cloud Data Services, Developer APIs, Developer Platform, Enterprise Software, Information Services","Information Technology, Internet Services, Software",Kong is an open-source platform to manage and secure APIs and Microservices.,"Kong powers API & microservices with the world's popular open-source API Gateway and industry leading Enterprise solutions including Kong Enterprise. Funded by tier 1 VC firms including Index Ventures, A16Z, NEA, CRV, Stanford University, Jeff Bezos (Amazon), Eric Schmidt (Google), GGV.",https://www.linkedin.com/company/konghq/,,http://twitter.com/thekonginc,https://www.facebook.com/konghq,652
