Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
SolarWinds,https://www.crunchbase.com/organization/solarwinds,http://www.solarwinds.com,"Cloud Management, Enterprise Software, Information Technology, IT Infrastructure, IT Management, Management Information Systems, Network Security, Software, Virtualization","Hardware, Information Technology, Internet Services, Privacy and Security, Software",SolarWinds develops a technology that manages IT infrastructures.,"SolarWinds’ mission has been to provide purpose-built products that are designed to make jobs easier for IT professionals, MSPs, and DevOps pros. We offer value-driven products and tools that solve a broad range of IT management challenges—whether those challenges are related to networks, servers, applications, storage, virtualization, cloud, or development operations. If there is a piece of IT infrastructure anywhere in the world where performance matters, SolarWinds provides the technology to manage it. Whether you’re an army of one managing a small environment, an MSP responsible for multiple customers, part of an IT team managing an enterprise, or you’ve migrated to the cloud—if you care about IT performance—SolarWinds has powerful, easy-to-use, and affordable products to help you manage it. We distinguish ourselves by refusing to accept the status quo established by most technology vendors. Face it: The vast majority of IT management tools today are difficult to use, expensive, and really don’t address the realities of today’s real-world IT challenges. Too many IT pros have resigned themselves to accept the frustration. But we don’t think enterprise-grade software or services have to be so complex. We think that great technology not only makes it much easier to manage infrastructure, but empowers IT to actually delight end users. At SolarWinds, we’re fanatical about putting users first in everything we do. We strive every day to deliver powerful functionality that’s easy to use with one of the fastest and longest-lasting ROIs in the market. As a result, SolarWinds is one of the world’s most award-winning, peer-recommended and continuously-licensed product families year after year. Our approach is to deliver unexpected simplicity and redefine the management and monitoring expectations for all aspects of IT, MSPs, and DevOps pros. Simply put, we work to: Eliminate the complexity found in traditional enterprise software and services—we make it easy to find, buy, deploy and maintain solutions, regardless of an organization’s size. Connect with our community—we interact daily with our large, global user community to guide our product development and strategy, and foster an environment where users with even the most complex IT challenges quickly connect with experts who love to help. Constantly evolve our products—we ensure our software is on point to meet the most important problems that IT pros, MSPs, and DevOps engineers have today, and continues to deliver increasing value over the lifetime of ownership. Our company was built by IT administrators and senior systems engineers who know what it takes to manage today’s dynamic IT environments. They combine this expertise with a deep connection to the IT community to create IT management products that are effective, accessible and easy to use. The result? IT management software that works for you—and that delivers on our promise of unexpected simplicity.",http://www.linkedin.com/company/solarwinds,,http://twitter.com/solarwinds,http://www.facebook.com/SolarWinds,2
K Health,https://www.crunchbase.com/organization/kang-health,http://www.khealth.ai,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, Mobile Apps","Apps, Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Mobile, Science and Engineering, Software",K Health is a data-driven digital primary care system that uses AI to deliver personalized primary care.,"K Health is a data-driven digital primary care app that uses AI to deliver personalized primary care. The AI-powered health platform integrates data and creates a predictive model to enable its user to learn more about their personal wellbeing as well as help them better manage their health by comparing themselves to people with similar characteristics–gender, age, symptoms, medical history –through a free symptom tracker. K Health is backed by Mangrove, 14W, Comcast Ventures, Lerer Hippeau, Primary Ventures, Max Ventures, The Box Group, GGV Capital, Valor Equity Partners, Kaiser Permanente, LTS Ventures, Atreides Ventures, PICO Partners, Marcy Venture Partners, and other New York and Israeli seed investors. It was founded in 2016 by Adam Singolda, Allon Bloch, Israel Roth, and Ran Shaul and is based in New York, New York.",https://www.linkedin.com/company/k-health-inc,Unicorn,https://twitter.com/khealth,https://www.facebook.com/KHealthInc,34
Thoughtworks,https://www.crunchbase.com/organization/thoughtworks,http://www.thoughtworks.com,"Consulting, Information Technology, Open Source, Software","Information Technology, Professional Services, Software","Thoughtworks is a community of passionate individuals whose purpose is to revolutionize software design, creation, and delivery.","Thoughtworks is a community of passionate individuals whose purpose is to revolutionize software design, creation, and delivery. It has invested in organic growth, building on the strategy, design, data, and engineering capabilities required to bring a truly integrated approach to solving its client's toughest challenges. Its collaborative, cross-functional teams deliver real results, fast. The company was founded in 1993 and is based in Chicago, Illinois.",http://www.linkedin.com/company/thoughtworks,,http://twitter.com/thoughtworks,http://www.facebook.com/ThoughtWorks,37
Verily,https://www.crunchbase.com/organization/verily-2,https://verily.com,"Enterprise Software, Health Care, Information Technology, Software","Health Care, Information Technology, Software",Verily develops tools and devices to collect and analyze health data to research and manage diseases.,"Verily aspires to create a world in which technology and life sciences are not distinct, but partners with a united mission. Formerly Google Life Sciences, Verily's mission is to bring together technology and life sciences to uncover new truths about health and disease. Verily's multidisciplinary teams have access to advanced research tools, large-scale computing power, and unique technical expertise. They work with partners from across the industry and many fields of research to develop new technology, launch studies, and start companies. The company was founded in 2015 and is based in San Francisco, California, United States.",https://www.linkedin.com/company/verily-life-sciences/,Unicorn,https://twitter.com/verilylifesci,https://m.facebook.com/profile.php?id=273982409461411,54
Starburst Data,https://www.crunchbase.com/organization/starburst,https://www.starburstdata.com/,"Analytics, Big Data, Information Technology, Open Source","Data and Analytics, Information Technology, Software",Starburst Data is a data access and analytics company developing an SQL query engine.,"Starburst Data is a data access and analytics company that develops an SQL query engine. It provides fast and interactive enterprise-ready distribution, consisting of additional tooling and configurations, enabling data analysts to run fast analytic queries against various data sources ranging in size from gigabytes to petabytes. The company was founded in 2017 and is headquartered in Boston, Massachusetts. Starburst Data is a data access and analytics company developing an SQL-on-Anything analytics platform.",https://www.linkedin.com/company/starburstdata/,Unicorn,https://twitter.com/starburstdata,https://www.facebook.com/starburstdata/,67
Pluralsight,https://www.crunchbase.com/organization/pluralsight,http://www.pluralsight.com,"E-Learning, EdTech, Education, Enterprise, Information Technology, Software","Education, Information Technology, Other, Software","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals.","Pluralsight is a technology learning platform for software developers, IT admins, and creative professionals. With 3,000+ courses and new ones added daily, Pluralsight serves as a career catalyst for customers in more than 150 countries and provides tech-savvy businesses with training on the three key areas they need to thrive. The platform expert courses, skill assessments, and one-of-a-kind analytics make it possible to align the organization around digital initiatives, upskill people into modern tech roles, and build adaptable teams that deliver faster.  It was founded in 2004 and is headquartered in Farmington, Utah.",http://www.linkedin.com/company/pluralsight,Exited Unicorn,http://twitter.com/PluralSight,http://www.facebook.com/pluralsight,70
Quantum Metric,https://www.crunchbase.com/organization/quantum-metric,https://quantummetric.com,"Analytics, Information Technology, Mobile Apps, Product Design, SaaS, Software","Apps, Data and Analytics, Design, Information Technology, Mobile, Software",Quantum Metric is a cross-device digital intelligence platform that is designed to identify high-value revenue opportunities.,"Quantum Metric is a startup that develops a cross-device digital intelligence platform that is designed to identify high-value revenue opportunities. The company aims to provide customer analytics and improvement tools for online businesses to help them automatically identify customer friction, quantify the business impact, prioritize opportunities, and continuously measure success. It maximizes the value of the web and native apps, thereby enabling businesses to improve their digital experience, increase productivity, and optimize efficiency. In 2020, Quantum Metric was named on Deloitte's Technology Fast 500 and ranked 124 in the Inc 5000, a list of America's fastest-growing private companies. Mario Ciabarra established the company in Colorado Springs, Colorado in 2015.",https://www.linkedin.com/company/quantum-metric,Unicorn,https://www.twitter.com/quantummetric,https://www.facebook.com/Quantum-Metric-154292238474794,87
GitLab,https://www.crunchbase.com/organization/gitlab-com,http://about.gitlab.com,"Information Technology, Open Source, SaaS, Software","Information Technology, Software",GitLab is a web-based open source Git repository manager with wiki and issue tracking features and built-in CI/CD.,"GitLab is a web-based open source Git repository manager with wiki and issue tracking features and built-in CI/CD. It is an open-source code collaboration platform that enables developers to create, review, and deploy codebases. The company's open-source, code-collaboration platform offers git repository management, code reviews, issue tracking, wikis, and more, along with continuous integration and deployment tools, enabling users to create, review and deploy codes. It was founded in 2014 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/gitlab-com/,Unicorn,http://twitter.com/gitlab,https://www.facebook.com/gitlab,101
Komodo Health,https://www.crunchbase.com/organization/komodo-health,http://komodohealth.com/,"Health Care, Information Technology, Predictive Analytics","Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Software",Komodo Health is bringing transparency and market intelligence to healthcare and life sciences.,"Komodo Health believes that smarter, more innovative use of data and analytics is essential for reducing disease burden. We apply artificial intelligence and other advanced data science techniques to our first-of-its-kind Healthcare Map™, which tracks the unique patient journeys of over 320 million patients. We empower a multitude of healthcare stakeholders – life science companies, healthcare payers and providers, patient advocacy groups, and others – to create a more cost-effective, value-driven healthcare system. For more information, visit komodohealth.com.",https://www.linkedin.com/company/komodo-health,,https://twitter.com/komodohealth,,108
Glia,https://www.crunchbase.com/organization/salemove,https://www.glia.com,"Customer Service, Information Technology, SaaS","Information Technology, Other, Professional Services, Software","Glia is a digital customer service provider connecting online retailers with customers through voice, video, and collaborative browsing.","Glia enables companies to deliver in-person customer experience online. With a single line of code, companies can identify and engage their highest-value web visitors through video, voice, chat, and co-browsing to increase online conversions and improve customer support. The company was founded in 2012 and is headquartered in New York.",https://www.linkedin.com/company/gliainc,,https://twitter.com/gliainc,https://www.facebook.com/GliaInc/,119
