Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
SoFi,https://www.crunchbase.com/organization/social-finance,http://www.sofi.com,"Finance, Financial Services, FinTech, Life Insurance, Personal Finance, Wealth Management",Financial Services,SoFi is a finance company that offers a range of lending and wealth management services.,"SoFi is a finance company that offers a range of lending and wealth management services. The company primarily caters to early-stage professionals and offers variable and fixed rate parent, personal, and MBA loans, mortgage refinancing, and more. They create modern financial products and services that help people borrow, save, spend, invest, and protect their money better so that they can achieve financial independence and realize their ambitions from owning a home to saving for retirement, paying off their student loans, and more. It was founded in 2016 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/sofi/,Unicorn,https://twitter.com/SoFi,https://www.facebook.com/SoFi,13
Lemonade,https://www.crunchbase.com/organization/lemonade,https://www.lemonade.com/,"Artificial Intelligence, Financial Services, Insurance, InsurTech","Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software",Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good.,"Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good. It is a licensed insurance carrier, offering homeowners and renters insurance. Lemonade replaces brokers and bureaucracy with bots and machine learning, delivering zero paperwork and instant everything.  The company uses artificial intelligence and behavioral economics to set rates for the homes and renters it insures.  Lemonade was founded in 2015 and is headquartered in New York, NY, United States.",https://www.linkedin.com/company/lemonade-inc-/,Exited Unicorn,https://twitter.com/lemonade_inc,https://www.facebook.com/lemonade,52
Clover Health,https://www.crunchbase.com/organization/clover-health,http://cloverhealth.com,"Health Care, Health Insurance, Hospital, Medical, Software","Financial Services, Health Care, Software",Clover Health is an innovative technology company improving health outcomes for America's seniors.,"Clover Health (NASDAQ: CLOV) is a healthcare technology company with a deeply rooted mission of improving every life. Clover uses its proprietary technology platform to collect, structure, and analyze health and behavioral data to improve medical outcomes and lower costs for patients. As a company whose business goals fully align with its members' health needs, Clover works with members and their doctors to become a valued partner. This trust is built by proactively identifying at-risk individuals and teaming up with physicians to accelerate care coordination and simultaneously improve health outcomes and reduce avoidable costs. Clover has offices in San Francisco, Jersey City, Nashville and Hong Kong.",https://www.linkedin.com/company/4836709,Unicorn,https://twitter.com/clover_health,https://www.facebook.com/CloverHealth/,92
Bestow,https://www.crunchbase.com/organization/bestow-inc,https://www.bestow.com,"Developer APIs, Financial Services, FinTech, Insurance, InsurTech, Life Insurance, Mobile Apps, Software","Apps, Financial Services, Mobile, Software",Bestow is an insurance technology company offering term life insurance that is accessible and affordable to families.,"Bestow is an insurance technology company offering a platform that makes life insurance accessible to families. It builds products and technologies that expand the market and reimagines life insurance distribution. Bestow's proprietary, entirely digital life insurance platform will help propel growth into new insurtech, carrier, and partner channels. The approach that the company uses enables busy families to seek and purchase affordable policy rights from their mobile device in a matter of minutes. In addition to its direct-to-consumer arm, Bestow provides APIs that enable partners to offer life insurance coverage to their customers with ease. Jonathan Abelmann and Melbourne O'Banion headquartered the startup in Dallas, Texas in 2016.",https://www.linkedin.com/company/bestow-insurance,,https://www.twitter.com/bestow_inc,https://www.facebook.com/bestowlifeinsurance,213
Octane,https://www.crunchbase.com/organization/octane-lending,http://octane.co,"Enterprise Software, Financial Services, FinTech, Insurance, Lending, Point of Sale","Commerce and Shopping, Financial Services, Software","On Octane.co, powersports shoppers can research vehicles, prequalify for a loan, and instantly check rates with no impact on their credit.","Octane is a Fintech company whose mission is to connect people with their passions. The $21B Powersports market is fast and fun, but the purchasing process is slow and frustrating. Octane is changing that through automated underwriting, innovative credit products, and financing through our in-house lender Roadrunner Financial. Octane reaches millions of riders through editorial brands like CycleWorld.com and helps consumers buy their favorite vehicles with instant, frictionless financing on Octane.co.",https://www.linkedin.com/company/octane-lending,,,,287
H.I.G. Capital,https://www.crunchbase.com/organization/hig-capital,http://higcapital.com/,"Credit, Finance, Financial Services, Insurance, Real Estate","Financial Services, Lending and Investments, Real Estate",H.I.G. Capital is a global private equity and alternative assets investment firm with $42 billion of equity capital under management.,"H.I.G. Capital is an American global private equity and alternative assets investment firm with $37 billion of equity capital under management. The firm operates a family of private equity, growth equity, biohealth, real estate, credit/special situations, lending and syndicated credit funds. Based in Miami, and with offices in New York, Boston, Chicago, Dallas, Los Angeles, San Francisco and Atlanta, as well as affiliate offices in London, Hamburg, , Madrid, Milan, Paris ,Bogotá, Mexico City and Rio de Janeiro). H.I.G. Capital specializes in providing both debt and equity capital to small and mid-sized companies, utilizing an operationally focused/ value-added approach. H.I.G. currently operates a family of funds: > H.I.G.’s equity funds invest in management buyouts, recapitalizations and corporate carve-outs of both profitable as well as underperforming manufacturing and service businesses. > H.I.G.’s debt funds invest in senior, unitranche and junior debt financing to companies across the size spectrum, both on a primary (direct origination) basis, as well as on the secondary markets. H.I.G. is also a leading CLO manager, through its WhiteHorse family of vehicles, and manages a publicly traded BDC, WhiteHorse Finance. > Other H.I.G. funds invest in various real assets, including real estate and shipping.",https://www.linkedin.com/company/h-i-g--capital/,,https://twitter.com/HIGCapitalLLC,https://www.facebook.com/HIG-Capital-160904130600207/,303
Next Insurance,https://www.crunchbase.com/organization/next-insurance,https://www.next-insurance.com/,"Commercial Insurance, Finance, Insurance, InsurTech, Small and Medium Businesses","Financial Services, Other",Next Insurance is an online-based insurance company for entrepreneurs and small businesses.,"Next Insurance is an online-based insurance company for entrepreneurs and small businesses. The company's services feature claims investigation as soon as possible, with many being decision within 48 hours that helps its clients to get transparency. They use technology to eliminate agents and other expensive extras and give prices that are incredibly affordable. It also offers policies to a range of small businesses from general contractors to personal trainers.  Next Insurance was founded in 2016 and is headquartered in Palo Alto, California.",https://www.linkedin.com/company/next-insurance,Unicorn,https://twitter.com/nextinsurance1,https://www.facebook.com/NextInsuranceUSA,338
Bold Penguin,https://www.crunchbase.com/organization/bold-penguin,http://boldpenguin.com/,"Commercial, Insurance, InsurTech, Internet, Software","Financial Services, Internet Services, Other, Software","Bold Penguin is a commercial insurance exchange that connects customers, agents, and carriers to match the right quote in record time.","Bold Penguin is a commercial insurance exchange that connects customers, agents, and carriers to match the right quote in record time. With a heavy focus on the agents, Bold Penguin pushes the boundaries of user experience for businesses, an easy tool for agents, and a streamlined process of underwriting for carriers. The company operates an Exchange which utilizes a set of solutions to identify, triage, quote, and bind commercial insurance in a highly efficient and tech-enabled way. It plans to deliver on the platform enhancements which include more flexibility in how the core technology is leveraged by enterprise customers, expanding in excess and surplus lines. The Company offers a streamlined process of underwriting for carriers in commercial property and casualty insurance services. Bold Penguin was founded in 2016 and is headquartered in Columbus, Ohio, USA.",https://www.linkedin.com/company/bold-penguin,,https://www.twitter.com/bold_penguin,https://www.facebook.com/boldpenguin,387
Nayya,https://www.crunchbase.com/organization/nayya,http://www.nayya.com,"Artificial Intelligence, B2C, Employee Benefits, Health Insurance, Software","Administrative Services, Artificial Intelligence, Data and Analytics, Financial Services, Health Care, Other, Science and Engineering, Software",Nayya is an insurance benefits experience and management platform that addresses health plan challenges.,"Nayya is an insurance benefits experience and management platform that addresses health plan challenges. It utilizes AI and data science to personalize the way that employees choose and use their existing employee benefits. Leveraging billions of disparate datasets, Nayya makes benefits decision making an intuitive exercise for consumers. Akash Magoon and Sina Chehrazi co-founded Nayya in New York, New York in 2019.",https://www.linkedin.com/company/nayya,,,https://web.facebook.com/NayyaHealth,547
Health IQ,https://www.crunchbase.com/organization/health-iq,https://www.healthiq.com/,"Health Care, Life Insurance, Pharmaceutical","Financial Services, Health Care",Learn more about your Health IQ with the world's largest health quiz,"Their mission: to increase health literacy around the world Over the last 100 years, the world’s language literacy has increased significantly. Their challenge over the next 100 years is to increase the world’s health literacy. They believe the best way to create change is to celebrate the people who are dedicated to their health, rather than harass the people who are not. The Health Conscious are the unsung heroes — the people who don’t get credit for their hard work. Help us spread health literacy to every corner of the world.",https://www.linkedin.com/company/68350,,https://twitter.com/healthiqinsure,https://www.facebook.com/HiQ-Health-IQ-725945457478876/,585
