Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Drift,https://www.crunchbase.com/organization/drift,http://www.drift.com,"Apps, Enterprise Software, Internet, Marketing Automation, Sales Automation, Software","Apps, Information Technology, Internet Services, Sales and Marketing, Software","Use conversations to make business buying frictionless, more enjoyable, and more human.","Drift is the Revenue Acceleration platform that uses Conversational Marketing and Conversational Sales to help companies grow revenue and increase customer lifetime value, faster. More than 50,000 businesses use Drift to align sales and marketing on a single platform to deliver a unified customer experience where people are free to have a conversation with a business at any time, on their terms.",https://www.linkedin.com/company/drift/,,https://twitter.com/drift,https://www.facebook.com/heydrift,22
Comcast,https://www.crunchbase.com/organization/comcast,http://corporate.comcast.com,"Internet, Telecommunications, TV, Video, Web Hosting","Hardware, Internet Services, Media and Entertainment, Video",Comcast Corporation is a global media and technology company.,"Comcast Corporation is a global media and technology company with two primary businesses, Comcast Cable and NBCUniversal. Comcast Cable is one of the nation’s largest video, high-speed internet, and phone providers to residential customers under the XFINITY brand, and also provides these services to businesses. It also provides wireless and security and automation services to residential customers under the XFINITY brand. NBCUniversal operates news, entertainment, and sports cable networks, the NBC and Telemundo broadcast networks, television production operations, television station groups, Universal Pictures, and Universal Parks and Resorts.",https://www.linkedin.com/company/comcast/,,https://twitter.com/comcast,https://www.facebook.com/comcast,50
Medium,https://www.crunchbase.com/organization/medium,https://medium.com,"Internet, News, Publishing, Tour Operator, Tourism","Content and Publishing, Internet Services, Media and Entertainment, Travel and Tourism",Medium is a social publishing network that connects ideas and perspectives on topics that matter.,"Medium is a social publishing platform that allows anyone to share ideas and perspectives that matter. For writers, Medium offers simple creation tools combined with a larger distribution network.  For readers, Medium allows people to follow people and topics that matter to them and receive a personalized feed of content every day.  Readers can join in the conversation by highlighting, recommending, or responding to posts.   It was founded n 2013 and headquartered in San Francisco, California.",http://www.linkedin.com/company/medium-com,Emerging Unicorn,http://twitter.com/Medium,http://www.facebook.com/medium,60
Niantic,https://www.crunchbase.com/organization/nianticlabs,http://www.nianticlabs.com/,"Augmented Reality, Internet, Software, Video Games, Virtual Reality","Gaming, Hardware, Internet Services, Software",Niantic builds augmented reality platform for current and future generations of AR hardware.,"Niantic’s mission is to use emerging technology to enrich our experiences as human beings in the physical world. We seek to build products that inspire movement, exploration, and face-to-face social interaction. Originally formed at Google in 2010, we are now an independent company with a strong group of investors including Nintendo, The Pokémon Company, and Alsop Louie Partners. We’re focused on building games that get people outside and exploring by enabling our players to have fun while visiting new places, learning about the world around them, and meeting new friends. We’ve launched Ingress, an immersive real-world mobile game played by millions of people; it's been downloaded more than 20 million times and is played in over 200 countries and territories worldwide. We've also developed Pokémon GO, which has broken records around the world and has been downloaded more than 750 million times in its first year.",https://www.linkedin.com/company/niantic,Unicorn,https://twitter.com/NianticLabs,https://www.facebook.com/nianticlabs,81
Groupon,https://www.crunchbase.com/organization/groupon,http://www.groupon.com,"E-Commerce, Internet, Retail, Social Media","Commerce and Shopping, Internet Services, Media and Entertainment",Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,"Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies. It is known as an online e-commerce platform that provides its users with the ability to purchase any product. Groupon offers consumers a vast marketplace of deals all over the world. Its users have the ability to discover various products on the web or on mobile with Groupon Local; enjoy vacations with Groupon Getaways; and find a curated selection of electronics, fashion, home furnishings, and more with Groupon Goods. Groupon provides merchants with a collection of products and services, including customizable deal campaigns, credit card payment processing capabilities, and point-of-sale solutions. The platform was launched in 2011 and is based in Chicago Heights, I.L.",http://www.linkedin.com/company/groupon,Exited Unicorn,http://twitter.com/groupon,http://www.facebook.com/groupon,90
SalesLoft,https://www.crunchbase.com/organization/salesloft,http://salesloft.com,"B2B, Email, Internet, SaaS, Sales, Sales Automation, Software","Information Technology, Internet Services, Messaging and Telecommunications, Other, Sales and Marketing, Software","SalesLoft is a sales engagement platform that assists sales professionals in customer communication, pipeline building, and managing deals.","SalesLoft won 3-time #1 Best Place to Work in Atlanta, #6 Best Places to Work by Glassdoor, Inc. Best Workplaces 2020,  #10 Best Company Culture by Comparably, and Great Place to Work by Fortune. David Cummings, Kyle Porter, Rob Forman, and Tim Dorr co-founded and headquartered it in Atlanta, Georgia in 2011.",http://www.linkedin.com/company/salesloft,"Pledge 1%, Unicorn",http://twitter.com/salesloft,http://www.facebook.com/SalesLoft,91
BlackRock,https://www.crunchbase.com/organization/blackrock,http://www.blackrock.com,"Asset Management, Banking, Consulting, Crowdfunding, Finance, Financial Services, FinTech, Internet, Risk Management","Financial Services, Internet Services, Lending and Investments, Professional Services","BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.","BlackRock's business is investing on behalf of our clients, from large institutions to parents and grandparents, doctors and teachers who entrust their savings to us. We work only for our clients—period. Our promise is to offer them the clearest thinking about what to do with their money and the products and services they need to secure a better financial future.  That's why investors of all kinds have made us the world’s largest asset manager, entrusting us with trillions of dollars, and it’s why companies, institutions and global governments come to us for help meeting their biggest financial challenges.  Important disclosures: http://www.blackrock.com/corporate/en-us/compliance/social-media-guidelines",http://www.linkedin.com/company/blackrock,,http://twitter.com/blackrock,http://www.facebook.com/BlackRock,120
Grubhub,https://www.crunchbase.com/organization/grubhub,http://www.grubhub.com,"Apps, E-Commerce, Food and Beverage, Food Delivery, Internet, Marketplace, Mobile Apps, Restaurants","Apps, Commerce and Shopping, Food and Beverage, Internet Services, Mobile, Software, Transportation",Grubhub is a online and mobile food ordering and delivery marketplace dedicated to connecting diners with local restaurants.,"Grubhubis a online and mobile food-ordering and delivery marketplace with the largest and most comprehensive network of restaurant partners, as well as nearly 24 million active diners. Dedicated to connecting diners with the food they love from their favourite local restaurants, Grubhub elevates food ordering through innovative restaurant technology, easy-to-use platforms and an improved delivery experience. Grubhub features nearly 300,000 restaurants and is proud to partner with more than 200,000 of these restaurants in over 4,000 U.S. cities. The Grubhub portfolio of brands includes Grubhub, Seamless, LevelUp, AllMenus and MenuPages.",https://www.linkedin.com/company/grubhub-seamless/,,http://twitter.com/GrubHub,http://www.facebook.com/grubhub,153
Upstart,https://www.crunchbase.com/organization/upstart,http://www.upstart.com,"Artificial Intelligence, Credit, Finance, Financial Services, FinTech, Internet, Lending, Machine Learning, Personal Finance","Artificial Intelligence, Data and Analytics, Financial Services, Internet Services, Lending and Investments, Science and Engineering, Software",Upstart leverages artificial intelligence and machine learning to price credit and automates the borrowing process.,"Upstart is a lending platform that leverages artificial intelligence and machine learning to price credit and automates the borrowing process. The company's proprietary underwriting model identifies borrowers despite limited credit and employment history by using variables including schools attended, area of study, and work experience. Upstart powered banks can offer higher approval rates and experience lower loss rates*, while simultaneously delivering the exceptional digital-first lending experience their customers demand. It was founded in 2012 and headquartered in San Carlos, California.",http://www.linkedin.com/company/upstart-network,,http://twitter.com/Upstart,,161
Resident,https://www.crunchbase.com/organization/resident-49d0,https://www.residenthome.com/,"Consumer Goods, E-Commerce, Home Decor, Home Improvement, Internet, Retail","Commerce and Shopping, Consumer Goods, Internet Services, Real Estate",Resident is a house of direct-to-consumer (DTC) brands in the home furnishings space.,"Resident is a house of direct-to-consumer (DTC) brands in the home furnishings industry. The company owns and operates multiple brands catering to different consumer furnishing needs including Nectar by Resident, DreamCloud by Resident, Awara by Resident, Wovenly by Resident, Bundle by Resident, and Level by Resident. The company was founded in 2016 and is based in Mountain View, California, United States.",https://www.linkedin.com/company/residenthome,,https://twitter.com/HomeResident,https://www.facebook.com/residenthome/,223
