Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
SeedInvest,https://www.crunchbase.com/organization/seedinvest,https://www.seedinvest.com/,"Association, Crowdfunding, Funding Platform, Venture Capital","Financial Services, Lending and Investments, Other",SeedInvest is an equity crowdfunding platform that connects investors with startups.,"SeedInvest is a equity crowdfunding platform that provides investors with access to highly vetted startup investment opportunities. The SeedInvest network contains over 15,000 accredited investors, including hundreds of family offices and institutions. SeedInvest typically invests between $500,000 - $5 million as part of a syndicate.",http://www.linkedin.com/company/seedinvest,Crunchbase Venture Program,http://twitter.com/seedinvest,http://www.facebook.com/seedinvest,279
Eventbrite,https://www.crunchbase.com/organization/eventbrite,http://www.eventbrite.com,"Association, Event Management, Events, Internet, SaaS, Ticketing","Events, Internet Services, Media and Entertainment, Other, Software",Eventbrite provides online event planning services.,"Eventbrite develops an online platform that lets users find and create events. Its platform helps them plan events, such as event academy, classes and workshops, conferences, endurance, food and drink, music, nonprofits and fundraisers, performing and visual arts, politics, and reunions.  Eventbrite's platform also lets users sell tickets, register online, post events, manage events online, event management, register event for free online, and search San Francisco events. Moreover, the company offers mobile application opportunity.  Eventbrite serves customers worldwide. Renaud Visage and Julia and Kevin Hartz founded Eventbrite in 2006, with its headquarters in San Francisco in California.",http://www.linkedin.com/company/eventbrite,Exited Unicorn,http://twitter.com/Eventbrite,http://www.facebook.com/Eventbrite,553
Yale University,https://www.crunchbase.com/organization/yale-university,https://www.yale.edu/,"Association, Business Development, Education, Medical, Social Entrepreneurship","Community and Lifestyle, Education, Health Care, Other, Professional Services",Yale University is an American private Ivy League research university in New Haven in Connecticut.,"Yale University comprises three major academic components: Yale College (the undergraduate program), the Graduate School of Arts and Sciences, and the professional schools. In addition, Yale encompasses a wide array of centers and programs, libraries, museums, and administrative support offices. Approximately 11,250 students attend Yale. watch ant-man and the wasp online free HD",https://www.linkedin.com/school/yale-university/,,https://twitter.com/yale,https://www.facebook.com/YaleUniversity,"1,467"
All Raise,https://www.crunchbase.com/organization/all-raise,https://www.allraise.org/,"Association, Finance, Financial Services, Management Consulting, Non Profit, Women's","Community and Lifestyle, Financial Services, Other, Professional Services",All Raise is a nonprofit on a mission to accelerate the success of female founders and funders to build a more prosperous equitable future.,"All Raise is on a mission to accelerate the success of female founders and funders to build a more prosperous, equitable future. Born out of a grassroots movement in 2017, programs arm women with access, guidance, and support to advance their professional growth. The company was founded in 2017 by Stacey Bishop and Sarah Tavel and is based in San Francisco, California, United States.",https://www.linkedin.com/company/allraise/,,https://twitter.com/AllRaise,,"5,952"
Consumer Reports,https://www.crunchbase.com/organization/consumer-report,http://www.consumerreports.org/cro/index.htm,"Association, Consumer, Customer Service, Health Care, Non Profit","Health Care, Other, Professional Services","Consumer Reports is a nonprofit organization dedicated to helping consumers make informed choices about products, services, and safety.","Consumer Reports is an independent, nonprofit organization that works side by side with consumers to create a fairer, safer, and healthier world. For 80 years, Consumer Reports has provided evidence-based product testing and ratings, rigorous research, hard-hitting investigative journalism, public education, and steadfast policy action on behalf of consumers' interests.  Unconstrained by advertising or other commercial influences, Consumer Reports has exposed landmark public health and safety issues and have strived to be a catalyst for pro-consumer changes in the marketplace. From championing responsible auto safety standards, to winning food and water protections, to enhancing healthcare quality, to fighting back against predatory lenders in the financial markets, Consumer Reports has always been on the front lines, raising the voices of consumers.",https://www.linkedin.com/company-beta/8930/?pathWildcard=8930,,https://www.twitter.com/consumerreports,https://www.facebook.com/consumerreports,"6,319"
PadSplit,https://www.crunchbase.com/organization/padsplit,http://www.padsplit.com,"Association, Communities, Lifestyle, Property Management, Real Estate, Residential","Community and Lifestyle, Other, Real Estate",PadSplit is an affordable housing tech startup that provides a house-sharing service for the workforce.,"PadSplit is an affordable housing tech startup that provides a house-sharing service for the workforce. It offers a platform that aligns incentives among residents, property owners, and communities to make affordable housing possible for the private market. The company uses shared living to make housing more affordable for low-income, empowering them to build savings and transform their lives. Atticus LeBlanc established the company in Atlanta, Georgia in 2017.",https://www.linkedin.com/company/padsplit/,,https://www.twitter.com/PadSplit,http://www.facebook.com/padsplit,"8,593"
Booker,https://www.crunchbase.com/organization/booker-software,http://www.booker.com,"Association, E-Commerce, Enterprise Software, Mobile, SaaS, Web Development","Commerce and Shopping, Mobile, Other, Software","Booker is a web-based platform enabling businesses to sell their services online, through their website, network of partner sites and apps.","Booker is transforming the way local services are managed by businesses and discovered by consumers. Booker replaces everything from manual methods to disconnected software, and unifies the essential components of running a service business into a single web-based platform, accessible from any device. Booker also enables service business to sell their services online, through their website and a network of partner sites and apps, creating a seamless online booking experience for consumers. Booker processes over one million appointments each month across 70 countries. Headquartered in New York City, Booker’s customers include Fortune 500 companies as well as thousands of local service businesses. HISTORY We started as a division of SpaFinder (located in Gramercy, NYC) in 2007 with a SaaS product called SpaBooker. Our focus was to deliver one platform for spas to manage their business, and SpaBooker was an instant success. We quickly expanded the team, feature set, and customer base. Building on our success, we decided to spin out SpaBooker to bring even more focus on growing the business by entering new verticals, and helping publishers add booking to their online user experience.  We realized this vision stretched beyond the name SpaBooker, leading us to spin out as GramercyOne, with SpaBooker as its product. Shortly thereafter, we brought on new investors in our Series A financing of $14.5M, enabling us to build out our executive team, enter several new verticals, and sign new partnerships with major publishers. Over the following year, as we continued our breakout growth, we recognized that our name was creating an unneeded divide between our company and our products. We decided to bring it all together with a simple name born from our core offering – Booker.",http://www.linkedin.com/company/booker-software,,http://twitter.com/getbooker,http://www.facebook.com/getbooker,"11,315"
DEV,https://www.crunchbase.com/organization/dev-to,https://dev.to/,"Association, Communities, Computer, Publishing, Software","Community and Lifestyle, Consumer Electronics, Content and Publishing, Hardware, Media and Entertainment, Other, Software",Dev is a community of software developers getting together to help one another out.,"DEV is a community of software developers getting together to help one another out. The software industry relies on collaboration and networked learning. We provide a place for that to happen.their application is open source, meaning you can inspect every little detail of the code, or chip in yourself,they are working to make our platform available for anyone to stand up similar communities in any niche or passion.",https://www.linkedin.com/company/thepracticaldev/about/,,https://twitter.com/thepracticaldev,https://www.facebook.com/thepracticaldev,"12,249"
Republican National Committee,https://www.crunchbase.com/organization/republican-national-committee,http://www.gop.com/,"Association, Communities, Education, Government, Leisure, Non Profit, Politics","Community and Lifestyle, Education, Government and Military, Other","Republican National Committee (GOP) began in a little schoolhouse in Ripon, Wisconsin, in 1854.","Republican National Committee (GOP) began in a little schoolhouse in Ripon, Wisconsin, in 1854. A small group of dedicated abolitionists gathered to fight the expansion of slavery, and they gave birth to a Party dedicated to freedom and equal opportunity. The name “Republican” was chosen, alluding to Thomas Jefferson’s Democratic-Republican Party and conveying a commitment to the inalienable rights of life, liberty, and the pursuit of happiness.    The Party was formally organized in July 1854 by thousands of anti-slavery activists at a convention in Jackson, Michigan. Two years later, in 1856, the first Republican National Convention took place in Philadelphia, U.S.    Currently, several GOP unions are formed to serve its people, including Black Republican Activists, GOP Hispanics, RNC Women, GOP Faith, Asian Pacific Americans, GOP Millennials, and Veterans & Military Families. The party is also involved in current issues related to several aspects of the country such as budget and spending, economy, education reform, elections, energy and environment, family values, foreign relations, government accountability, higher education, homeland security, immigration, liberty, national defense, obamacare, and veterans.    GOP is located in Washington DC, U.S.",http://www.linkedin.com/company/12189,,http://twitter.com/GOP,http://www.facebook.com/GOP,"15,907"
Revel,https://www.crunchbase.com/organization/revel-05d0,https://www.hellorevel.com/,"Association, Communities, Marketplace, Women's","Commerce and Shopping, Community and Lifestyle, Other","Revel is a marketplace for women over 50 to host and attend small, local gatherings on topics of their choice.","Revel is a marketplace for women over 50 to host and attend small, local gatherings on topics of their choice. Its membership is free. It allows its members to search, discover, and sign up for nearby gatherings. And as a member, they could sign up to host gatherings on any topic they like and make a little money doing so.  It was founded in 2019 by Lisa and Alexa and is headquartered in San Francisco, California.",https://www.linkedin.com/company/revelgatherings/,,https://twitter.com/hellorevel,https://www.facebook.com/revelgatherings,"16,701"
