Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
"Ironclad, Inc.",https://www.crunchbase.com/organization/ironclad,https://www.ironcladapp.com/,"Artificial Intelligence, Legal, Legal Tech, SaaS, Software","Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",Ironclad is the #1 contract lifecycle management platform for innovative companies.,"Ironclad is the #1 contract lifecycle management platform for innovative companies. L’Oréal, Staples, Mastercard, and other leading innovators use Ironclad to collaborate and negotiate on contracts, accelerate contracting while maintaining compliance, and turn contracts into critical carriers of operational business intelligence. It’s the only platform flexible enough to handle every type of contract workflow, whether a sales agreement, an HR agreement or a complex NDA. The company was named one of the 20 Rising Stars on the Forbes 2019 Cloud 100 list, and is backed by leading investors like Sequoia, Bond, Accel, Y Combinator, Lux, and Emergence. For more information, visit www.ironcladapp.com.",https://www.linkedin.com/company/ironclad-inc-,Emerging Unicorn,https://twitter.com/ironclad_inc,https://www.facebook.com/ironcladinc/,178
TransUnion,https://www.crunchbase.com/organization/transunion,http://www.transunion.com,"Credit Bureau, Financial Services, Information Technology, Legal","Financial Services, Information Technology, Professional Services","TransUnion provides total credit protection all in one place from credit alerts, credit reports and credit scores.","Total credit protection all in one place from credit alerts, credit reports and credit scores. Get your free credit score today from TransUnion, The Source!",https://www.linkedin.com/company/transunion/,,https://twitter.com/TransUnion,https://www.facebook.com/transunion.crb.946,829
Relativity,https://www.crunchbase.com/organization/kcura,http://www.relativity.com,"Ediscovery, Enterprise Software, Legal, Software","Internet Services, Professional Services, Software","Relativity's e-discovery platform manages large volumes of data and identifies key issues during litigation, investigations, and compliance.","At Relativity, we make software to help users organize data, discover the truth, and act on it. Our e-discovery platform is used by more than 13,000 organizations around the world – in the cloud, on-premises, or both – to manage large volumes of data and quickly identify key issues during litigation, internal investigations, and compliance projects. Relativity has over 160,000 active users in 40+ countries from organizations including the U.S. Department of Justice, more than 70 Fortune 100 companies, and 199 of the Am Law 200. As a platform, Relativity also allows developers to design, build, and integrate applications that extend its functionality.  Relativity has been named one of Chicago's Top Workplaces by the Chicago Tribune for seven consecutive years.",https://www.linkedin.com/company/relativityhq,,https://twitter.com/RelativityHQ,https://www.facebook.com/203740992994518,981
Checkr,https://www.crunchbase.com/organization/checkr,https://checkr.com/,"Developer APIs, Enterprise Software, Human Resources, Information Services, Internet, Legal, Legal Tech, Software","Administrative Services, Information Technology, Internet Services, Professional Services, Software",Checkr seeks to automate the process of professional background checks.,"Checkr is a startup that provides either online access or an API that returns automatically generated background checks. Checkr uses the same data sources as traditional background check companies, but can usually turn it around a lot more quickly than traditional providers. Through Checkr’s advanced background check technology, companies can better understand the dynamics of the changing workforce, bring transparency and fairness to their hiring, and ultimately build a better future for workers. Checkr was founded on 2014 and is headquartered in San Francisco, California and Denver, Colorado.",https://www.linkedin.com/company/checkr-com,Unicorn,https://twitter.com/checkr,https://www.facebook.com/checkrio/,"1,056"
Litera,https://www.crunchbase.com/organization/litera,http://www.litera.com,"Document Management, Finance, Legal, Life Science, Real Estate, Software","Biotechnology, Financial Services, Information Technology, Professional Services, Real Estate, Science and Engineering, Software",Litera is an end-to-end provider of document lifecycle and transaction management solutions.,"Litera is a provider of software for law firms and document-intensive organizations across the globe, helping them satisfy the demands of clients. Its document drafting products empower users to create, proofread, compare, clean, and distribute high-quality content quickly and securely, from any device, while its transaction management platform converts the manual, tedious process of managing transactions by creating a secure, collaborative workspace and automating the entire signature process.",https://www.linkedin.com/company/literamicrosystems/,,https://twitter.com/LiteraMicro,https://www.facebook.com/LiteraMicrosystems/,"1,291"
Syndio Solutions,https://www.crunchbase.com/organization/syndio,http://www.synd.io,"Analytics, Compliance, Human Resources, Legal, Machine Learning, Predictive Analytics, Social Network, Software","Administrative Services, Artificial Intelligence, Data and Analytics, Internet Services, Professional Services, Software",Syndio Solutions is an HR Analytics company that focuses on promoting fairness in the workplace.,"Syndio Solutions is a people analytics company that helps organizations identify and address critical issues that impact employee populations and their bottom lines including Pay Equity, Diversity and Inclusion, and Machine Learning applications to improve engagement, predict turnover, & optimize performance management (as examples). They use data science methodologies to promote fairness throughout the entire lifecycle of the employee experience.  Syndio pay equity analysis software helps companies quickly analyze and resolve pay gaps, empowering them to do the right thing while doing what’s best for their business. The company license software to companies that are serious about equal pay and help them find and fix pay equity issues, and stay in compliance over time.",https://www.linkedin.com/company/syndioinc,,https://twitter.com/syndioinc,https://www.facebook.com/syndioinc,"1,422"
LegalZoom,https://www.crunchbase.com/organization/legalzoom-com,http://www.legalzoom.com,"Consulting, Legal, Legal Tech, Professional Services","Other, Professional Services",LegalZoom is a technology platform giving access to professional legal advice so people can protect what matters most.,"LegalZoom is the nation's most recognized name in law, the alternative to the traditional law firm.   The leading provider of online legal document services and legal plans to families and small businesses, LegalZoom offers high quality, affordable legal services, marrying cutting-edge technology with access to experienced attorneys. LegalZoom was founded on the idea that all Americans deserve access to the law;  and as of 2011 the company has helped close to two million small businesses and families with their legal needs.  Our high quality documents have been accepted in all 50 states, and 94% of customers would refer LegalZoom to their family and friends.",http://www.linkedin.com/company/legalzoom,Unicorn,http://twitter.com/LegalZoom,http://www.facebook.com/LegalZoom,"1,591"
Cushman & Wakefield,https://www.crunchbase.com/organization/cushman-wakefield,http://www.cushmanwakefield.com,"Commercial Real Estate, Consulting, Industrial, Legal, Real Estate","Manufacturing, Professional Services, Real Estate","Cushman & Wakefield is a real estate services firm that offers agency leasing, tenant representation, and investment management services.","Cushman & Wakefield is a global full service real estate firm. C&W provides service at every stage of the facility and real estate process including buying, selling, financing, leasing, managing, valuing of assets, strategic planning and research, portfolio analysis, site selection, space location and advisory services.",http://www.linkedin.com/company/cushman-,,http://twitter.com/cushwake,http://www.facebook.com/CushmanWakefield,"1,991"
Everlaw,https://www.crunchbase.com/organization/everlaw,http://everlaw.com/,"Cloud Computing, Document Management, Ediscovery, Legal, Legal Tech, Productivity Tools, Project Management","Administrative Services, Information Technology, Internet Services, Other, Professional Services, Software","Everlaw offers a platform for document analysis to law firms, government, and corporations.","Everlaw is a legal technology company that provides a platform for document analysis to law firms, government, and corporations. It is a cloud-based litigation platform for corporate counsels, litigators, and government attorneys that enables teams to discover, reveal, and act on information to drive internal investigations and positively impact the outcome of the litigation. The company combines speed, security, and ease-of-use into a comprehensive solution that unlocks the collaborative power of teams and allows them to investigate issues more thoroughly, uncover a truth more quickly, and present their findings more clearly. It was established in 2010 and is headquartered in Oakland, California.",http://www.linkedin.com/company/everlaw/,,http://twitter.com/Everlaw,https://www.facebook.com/everlaw.inc/,"2,388"
THE WORLD BANK,https://www.crunchbase.com/organization/the-world-bank-group,https://www.worldbank.org/,"Banking, Finance, Financial Services, Funding Platform, Legal, Non Profit","Financial Services, Lending and Investments, Other, Professional Services","The World Bank Group, provides financial and technical assistance to developing countries.","The World Bank is a vital source of financial and technical assistance to developing countries around the world. They are not a bank in the ordinary sense but a unique partnership to reduce poverty and support development. The World Bank Group comprises five institutions managed by their member countries.  Established in 1944, the World Bank Group is headquartered in Washington, D.C. They have more than 10,000 employees in more than 120 offices worldwide.  They provide low-interest loans, zero to low-interest credits, and grants to developing countries. These support a wide array of investments in such areas as education, health, public administration, infrastructure, financial and private sector development, agriculture, and environmental and natural resource management. Some of their projects are cofinanced with governments, other multilateral institutions, commercial banks, export credit agencies, and private sector investors.  They also provide or facilitate financing through trust fund partnerships with bilateral and multilateral donors. Many partners have asked the Bank to help manage initiatives that address needs across a wide range of sectors and developing regions.",https://www.linkedin.com/company/the-world-bank/,,https://twitter.com/WorldBank,https://www.facebook.com/worldbank/,"2,425"
Court Buddy,https://www.crunchbase.com/organization/court-buddy,http://www.courtbuddy.com,"Consulting, Consumer, Information Technology, Legal, Marketplace, Messaging, Mobile, Software","Commerce and Shopping, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Professional Services, Software",Court Buddy instantly matches consumers with solo attorneys based on budget.,"Court Buddy instantly matches consumers with solo attorneys based on budget. Winner of the 2017 American Bar Association’s Legal Access Award, President Obama and Shark Tank's Daymond John's American Entrepreneurship Award, and named the “Priceline For Legal Services” by the Huffington Post, Court Buddy is a legal tech platform that instantly matches people with vetted solo attorneys based on the client’s budget for a-la-carte legal services at flat rates. Once matched, clients can instant message, video chat or call their attorney matches using the ‘CourtBuddy Chat’ app, and instantly make secured payments to attorneys for the legal services through ‘CB Direct Pay’.",https://www.linkedin.com/company/4864077,,https://twitter.com/courtbuddyinc,https://www.facebook.com/courtbuddyinc,"2,674"
Notarize,https://www.crunchbase.com/organization/notarize,https://notarize.com/,"Apps, Legal, Legal Tech, Mobile, Real Estate, Software","Apps, Mobile, Professional Services, Real Estate, Software","Notarize documents online! Digitizing industries. For the 1st time, buy or sell your home, execute a mortgage or loan, sell a car… online.","Notarize operates an online notary public service that enables users to connect with a commissioned online eNotary public by live video call. It offers Notarize, a software service that allows clients to complete the notarization process remotely and entirely online; Notarize for business, a platform for organizations and developers to collect notarized documents; and Notarize for Mortgage, a platform that digitizes the closing process with technology to coordinate lenders, title companies, and borrowers online.  Notarize's electronic notary public service is offered to customers via iOS, Android and web Pat Kinsel founded the company as 16 Pins in May 2015.  Notarize has its headquarters in Boston in Massachusetts.",https://www.linkedin.com/company/notarize/,,http://twitter.com/notarize,https://www.facebook.com/notarize/,"2,838"
Evisort,https://www.crunchbase.com/organization/evisort,http://evisort.com,"Analytics, Artificial Intelligence, Document Management, Legal, Machine Learning, Software, Text Analytics","Artificial Intelligence, Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",Evisort is a cloud-based contract analysis platform that utilizes AI and Automation for legal document management.,"Evisort is an AI-powered contract management company founded in 2016 by Harvard Law and MIT researches to develop artificial intelligence (AI) algorithms to help companies mine contracts for data. Evisort's AI understands meaning and context in legal language, virtually eliminating the need to read contracts. Evisort helps companies organize, understand, and extract data from their contracts. With Evisort, information locked away in documents becomes searchable, and key terms can be surfaced to the right people at the right time. It can be used across all documents across an organization and helps companies reduce costs and improve their compliance and business operations. Evisort was founded out of Harvard Law and MIT and has been backed by leading early-stage venture funds.",https://www.linkedin.com/company/evisort/,,https://twitter.com/evisort,https://www.facebook.com/evisort/,"3,500"
Casetext,https://www.crunchbase.com/organization/casetext,http://www.casetext.com,"Artificial Intelligence, Law Enforcement, Legal, Legal Tech, Publishing","Artificial Intelligence, Content and Publishing, Data and Analytics, Government and Military, Media and Entertainment, Privacy and Security, Professional Services, Science and Engineering, Software","Casetext is an AI legal research technology for litigators, helping researchers find cases.","Casetext is a widely used A.I. legal research technology, has been adopted across the legal market from the largest Am Law 100 law firms to solo practices. Its award-winning technology offers both conventional search functionality and its CARA A.I. powered contextual search, focuses on the context of a research to help find on-point authorities faster. Founded by a team of former litigators from top law firms, as well as Ph.D. data scientists and leading A.I. engineers, Casetext helps legal researchers find the best cases, faster, including many that they would otherwise miss. Casetext was founded on 2013 and is based in San Francisco, California.",https://www.linkedin.com/company/casetext,,http://twitter.com/casetext,https://www.facebook.com/casetext/,"4,131"
