Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
SimilarWeb,https://www.crunchbase.com/organization/similarweb,http://www.similarweb.com,"Analytics, Artificial Intelligence, Business Intelligence, Internet, Market Research","Artificial Intelligence, Data and Analytics, Design, Internet Services, Science and Engineering, Software",SimilarWeb offers an AI-based market intelligence platform that helps monitor web and mobile app traffic.,"SimilarWeb offers an AI-based market intelligence platform that helps monitor web and mobile app traffic. The company gives a global multi-device market intelligence to understand, track, and grow digital market share. It allows the user to gain insight into any website's statistics and strategy. SimilarWeb was founded in 2007 and headquartered in New York, it has offices in Israel, the UK, France, Japan, and Australia.",http://www.linkedin.com/company/similarweb,Emerging Unicorn,http://twitter.com/SimilarWeb,http://www.facebook.com/pages/SimilarWeb/171738362968027,309
SurveyMonkey,https://www.crunchbase.com/organization/surveymonkey,http://www.surveymonkey.com,"Analytics, Human Resources, Internet, Market Research, Marketing, SaaS, Software","Administrative Services, Data and Analytics, Design, Internet Services, Sales and Marketing, Software",SurveyMonkey is a survey company which powers curious organizations to measure and act on the opinions that drive success.,"is a survey company which powers curious organizations to measure and act on the opinions that drive success. They changed the way people gather feedback by making it easy for anyone to create their own online surveys. Their People Powered Data platform enables conversations at scale to deliver impactful customer, employee and market insights. The company’s 750+ employees are dedicated to fueling the curiosity of over 16 million active users globally. SurveyMonkey provides free, customizable surveys, as well as a suite of paid back-end programs that include data analysis, sample selection, bias elimination, and data representation tools. It also offers more large-scale enterprise options for companies interested in customer/employee feedback, data analysis, consumer-focused marketing, brand management. Today, SurveyMonkey’s mission is to power curious individuals and organizations to measure, benchmark and act on the opinions that drive success.  SurveyMonkey was founded in 1999 and is headquartered in San Mateo, CA, USA.",https://www.linkedin.com/company/surveymonkey/,"Exited Unicorn, Pledge 1%",http://twitter.com/surveymonkey,http://www.facebook.com/SurveyMonkey/65225997627,736
UserTesting,https://www.crunchbase.com/organization/usertesting-com,http://www.usertesting.com,"Consumer Research, Market Research, Marketing Automation, Product Management, SaaS, Sales Automation, Software","Data and Analytics, Design, Information Technology, Other, Sales and Marketing, Software",UserTesting is an on-demand human insight platform designed to improve customer insights.,"UserTesting is an on-demand human insights platform that empowers organizations to make timely, customer-centric business decisions with confidence. With UserTesting, brands can target their exact customer audience, readily create and execute studies, and engage in live conversations to better understand, capture, and spotlight meaningful reactions and responses. Easily package these human insights into a video reel and share them across the organization to make more informed decisions that influence the customer experience and increase brand loyalty and revenue.",http://www.linkedin.com/company/564709,,http://twitter.com/usertesting,http://www.facebook.com/UserTestingcom,"1,058"
Sensor Tower,https://www.crunchbase.com/organization/sensor-tower,http://sensortower.com,"Analytics, Android, Big Data, iOS, Market Research, Mobile, Mobile Apps","Apps, Data and Analytics, Design, Mobile, Platforms, Software",Sensor Tower provides market intelligence and analytics for the mobile app economy through their software suite.,"Sensor Tower offers solution for mobile marketers, app developers, and industry analysts who demand superior competitive insights into the mobile economy and are seeking to increase app downloads through app store optimization. It serve independent and Fortune 500 customers alike, spanning the mobile games, travel, music, finance, ecommerce, and entertainment markets. Our suite consists of free, SMB, and Enterprise level solutions including Store Intelligence, Usage Intelligence, Ad Intelligence, and App Intelligence.",https://www.linkedin.com/company/sensor-tower,,http://twitter.com/sensortower,http://www.facebook.com/SensorTower,"1,121"
Numerator,https://www.crunchbase.com/organization/numerator,http://numerator.com,"Analytics, Brand Marketing, Market Research","Data and Analytics, Design, Sales and Marketing","Numerator brings together omnichannel marketing, merchandising and sales data to make pursuing new possibilities simple.","Numerator is a market intelligence firm that brings together omnichannel marketing, merchandising and sales data to make pursuing new possibilities simple for brand, retail and agency clients. Owned by Vista Equity Partners, Numerator is uniquely able to link what people buy to the reasons and influences behind their purchases, combining the power of the InfoScout OmniPanel, which to-date has captured over 500 million brick-and-mortar and ecommerce purchase receipts, and the advertising, promotion, ecommerce pricing, and digital shelf messaging that influence the path to purchase. Numerator is a primary source of real-time, path and purchase data for industry leaders such as Nike, Unilever, Samsung, Procter & Gamble, and MillerCoors.",https://www.linkedin.com/company/numerator,,https://twitter.com/numeratorone,http://www.facebook.com/NumeratorOne,"1,264"
SEMrush,https://www.crunchbase.com/organization/semrush,https://www.semrush.com,"Analytics, Content Marketing, Digital Marketing, Market Research, SaaS, Search Engine, Semantic Search, SEO, Social Media Marketing, Software","Data and Analytics, Design, Internet Services, Sales and Marketing, Software",SEMrush is a an online visibility management and content marketing SaaS platform.,"SEMrush is online visibility management and content marketing SaaS platform that ensures businesses get measurable results from online marketing. Trusted by more than 5,000,000 marketing professionals, SEMrush offers insights and solutions for companies in any industry to build, manage, and measure campaigns across all marketing channels.  With 40+ tools for search, content, social media and market research in the platform, data for more than 140 countries, seamless integration with Google and task management platforms, SEMrush is now a must-have solution for all companies who are serious about online.",https://www.linkedin.com/company/semrush,,https://twitter.com/semrush,https://www.facebook.com/SEMrush,"1,413"
GoSpotCheck,https://www.crunchbase.com/organization/gospotcheck,http://www.gospotcheck.com,"Brand Marketing, Enterprise Software, Finance, Market Research, Mobile, Retail, SaaS, Software","Commerce and Shopping, Data and Analytics, Design, Financial Services, Mobile, Sales and Marketing, Software",GoSpotCheck develops web and mobile apps that help employees gather real-time retail intelligence information from the field.,"GoSpotCheck develops web and mobile apps that help employees gather real-time retail intelligence information from the field. It is enterprise software for field-based teams. Its web and mobile apps enable businesses to leverage their own employees to gather real-time retail intelligence. This data is displayed on their web dashboard, allowing managers to spot trends and view urgent issues from the field, in order to make better business decisions. It was founded in 2011 and headquartered in Denver, Colorado.",http://www.linkedin.com/company/2286254,,http://twitter.com/gospotcheck,http://www.facebook.com/gospotcheck,"2,124"
Qualtrics,https://www.crunchbase.com/organization/qualtrics,http://www.qualtrics.com,"Consumer, Market Research, SaaS, Software","Data and Analytics, Design, Other, Software","Qualtrics is a single system of record for all experience data, managing customer, product, employee, and brand experiences on one platform.","Qualtrics is a single system of record for all experience data, also called X-data™, allowing organizations to manage the four core experiences of business—customer, product, employee and brand experiences—on one platform. Over 8,500 enterprises worldwide, including more than 75 percent of the Fortune 100 and 99 of the top 100 U.S. business schools, rely on Qualtrics.",http://www.linkedin.com/company/qualtrics,Exited Unicorn,http://twitter.com/Qualtrics,http://www.facebook.com/Qualtrics,"2,421"
ROKT,https://www.crunchbase.com/organization/rokt,http://www.rokt.com,"Advertising Platforms, B2B, Big Data, Data Integration, E-Commerce, Market Research, Marketing Automation","Advertising, Commerce and Shopping, Data and Analytics, Design, Information Technology, Other, Sales and Marketing, Software",Rokt is building an e-commerce marketing technology that gives customers a more personalized and relevant experience while buying online.,"Rokt is the global leader in e-commerce technology, powering the Transaction Moment™ of best-in-class companies including Live Nation, Groupon, Staples, Lands' End, Fanatics, GoDaddy, Vistaprint, and HelloFresh. Rokt's mission: To make e-commerce smarter, faster, and better. Through its proprietary technology, Rokt enables its e-commerce clients to increase brand engagement and unlock new revenues in the Transaction Moment™, allowing them to stay ahead of their competition while delivering a superior and individualized experience for each customer. Founded in Sydney, the company now operates in the US, Canada, the UK, Ireland, France, Germany, the Netherlands, Denmark, Sweden, Norway, Finland, Spain, Australia, New Zealand, Singapore, and Japan. Learn more at rokt.com.",https://www.linkedin.com/company/rokt,,http://twitter.com/rokt,https://www.facebook.com/ROKT,"2,642"
IRI,https://www.crunchbase.com/organization/iri,https://www.iriworldwide.com/en-gb,"Analytics, Consumer, Delivery, Digital Media, Finance, Health Care, Market Research, Predictive Analytics, Price Comparison, Retail, Social Media","Administrative Services, Artificial Intelligence, Commerce and Shopping, Data and Analytics, Design, Financial Services, Health Care, Internet Services, Media and Entertainment, Other, Software",IRI is a Market research company specialized in development of big data and predictive analytics solutions.,"IRI is a leader in delivering powerful market, consumer and media exposure information, predictive analytics and the foresight that leads to action. We go beyond the data to ignite extraordinary growth for our clients in the CPG, retail and over-the-counter health care industries by pinpointing what matters and illuminating how it can impact their businesses. Move your company forward at www.iriworldwide.com/.",http://www.linkedin.com/company/iri-inc,,http://twitter.com/iriworldwide,http://www.facebook.com/iriworldwide,"3,272"
