Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Signal,https://www.crunchbase.com/organization/signal,https://www.signal.co,"Analytics, Cloud Computing, Data Integration, Enterprise Software, Marketing, Marketing Automation, Project Management, SaaS","Administrative Services, Data and Analytics, Information Technology, Internet Services, Other, Sales and Marketing, Software",Signal is an independent SaaS provider of data onboarding and real-time identity resolution.,"Signal is the leading SaaS provider of data onboarding and real-time identity resolution. The Signal Open Data Platform helps marketers collect data from any offline or online source, synchronize the data across all touchpoints, and distribute it to any marketing or analytics endpoint – all in real-time. Signal’s technology platform empowers people-based marketers to enhance their customer experience by providing relevance across all channels. Signal was founded in 2009 and is headquartered in Chicago, Illinois, United States.",https://www.linkedin.com/company/signaldigital/,,https://twitter.com/signal,https://www.facebook.com/signaltechnology,20
Opendoor,https://www.crunchbase.com/organization/opendoor-2,https://www.opendoor.com,"Marketing, Marketplace, Property Development, Property Management, Real Estate","Commerce and Shopping, Real Estate, Sales and Marketing",Opendoor is an operator of an online real estate marketplace used to streamline the sales process of home buying and selling.,"Opendoor is an operator of an online real estate marketplace used to streamline the sales process of home buying and selling. It helps sellers to receive an offer without listing or showing their home and buyers to browse for homes on sale and instantly unlock them using the company's application that enables customers to buy and sell properties in a hassle freeway. Opendoor was founded in 2014 and is based in San Francisco, California.",https://www.linkedin.com/company/opendoor-com,Exited Unicorn,https://twitter.com/opendoor,https://www.facebook.com/OpendoorHQ,30
Cloudflare,https://www.crunchbase.com/organization/cloudflare,http://www.cloudflare.com,"Ad Server, Advertising, Analytics, Enterprise Software, Security, Web Hosting","Advertising, Data and Analytics, Internet Services, Privacy and Security, Sales and Marketing, Software",Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,"Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online. Its online platforms include Cloudflare CDN that distributes content around the world to speed up websites, Cloudflare optimizer that enables web pages with ad servers and third-party widgets to download Snappy software on mobiles and computers, CloudFlare security that protects websites from a range of online threats including spam, SQL injection, and DDOS, Cloudflare analytics that gives insight into website’s traffic including threats and search engine crawlers, Keyless SSL that allows organizations to keep secure sockets layer (SSL) keys private, and Cloudflare applications that help its users install web applications on their websites. Lee Holloway, Matthew Prince, and Michelle Zatlyn founded Cloudflare in 2009, with its headquarters in San Francisco in California.",https://www.linkedin.com/company/cloudflare-inc-,Exited Unicorn,http://twitter.com/cloudflare,http://www.facebook.com/Cloudflare,48
Vroom,https://www.crunchbase.com/organization/vroom-com,https://www.vroom.com/,"Automotive, E-Commerce, Marketing, Sales","Commerce and Shopping, Sales and Marketing, Transportation","Vroom is an innovative, end-to-end ecommerce platform designed to offer a better way to buy and sell used vehicles.","Vroom is an innovative, end-to-end e-commerce platform designed to offer a better way to buy and sell used vehicles. The company's scalable, data-driven technology brings all phases of the vehicle buying and selling process to consumers wherever they are and offers an extensive selection of vehicles, transparent pricing, competitive financing, and at home pick-up and delivery. It was founded in 2013 and is located in New York City.",https://www.linkedin.com/company/vroom/,Exited Unicorn,https://twitter.com/vroomcars,https://www.facebook.com/vroom,215
BuzzFeed,https://www.crunchbase.com/organization/buzzfeed,https://www.buzzfeed.com,"Advertising, Digital Entertainment, Internet, Journalism, News, Publishing, Social, Social News, Video","Advertising, Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Video",BuzzFeed is a cross-platform digital media company delivering news and entertainment content to a global audience.,"BuzzFeed is a news and entertainment company that is redefining online advertising with its social, content-driven publishing technology. BuzzFeed provides the most shareable breaking news, original reporting, entertainment, and video across the social web to its global audience of more than 200M. It covers breaking news, produces original video, and creates content that people want to share on the web. BuzzFeed was founded in 2006 by Jonah Peretti and John Johnson. It is headquartered in New York, N.Y.",http://www.linkedin.com/company/buzzfeed,Unicorn,https://twitter.com/buzzfeed,http://www.facebook.com/buzzfeed,263
HubSpot,https://www.crunchbase.com/organization/hubspot,http://www.hubspot.com,"Analytics, Information Technology, Marketing, SaaS, Social Media, Software","Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","HubSpot develops cloud-based, inbound marketing software that allows businesses to transform the way that they market online.","HubSpot develops cloud-based, inbound marketing software that allows businesses to transform the way that they market online. Its service portfolio includes social media publishing and monitoring, blogging, SEO, website content management, email marketing, marketing automation, and reporting and analytics. HubSpot’s sales application enables sales and service teams to have effective conversations with leads and prospects. HubSpot was founded by Brian Halligan and Dharmesh Shah, and is headquartered in Cambridge, Massachusetts with an office in Dublin, Ireland.",http://www.linkedin.com/company/hubspot,,http://twitter.com/HubSpot,http://www.facebook.com/hubspot,409
Bizzabo,https://www.crunchbase.com/organization/bizzabo,https://www.bizzabo.com,"Event Management, Marketing, Meeting Software, SaaS, Software, Ticketing","Events, Media and Entertainment, Messaging and Telecommunications, Sales and Marketing, Software",Bizzabo is a meeting and event planning platform for operating virtual or in-person conferences.,"Bizzabo is a meeting and event planning platform for operating virtual or in-person conferences. Its event success platform unleashes the power of events to create rewarding and impactful experiences for organizers, attendees, sponsors, and speakers and is trusted by brands like HubSpot, Forbes, Uber, Electronic Arts, Siemens, and The Wall Street Journal. The platform charges an annual fee to use its software-as-a-service platform and a per-registration fee. In the past year alone, Bizzabo has been recognized for Crain’s NY Best Places to Work, The Software Report’s Top 50 SaaS CEOs, Gainsight Pulse Product Experience Award, SIIA CODiE Best Event Technology Solution, and MarTech Breakthrough Awards for Best Overall Event Management Platform. The New York, New York-based company was established by Alon Alroy, Boaz Katz, and Eran Ben-Shushan in 2011.",http://www.linkedin.com/company/bizzabo,,http://twitter.com/Bizzabo,http://www.facebook.com/bizzabo,439
PubMatic,https://www.crunchbase.com/organization/pubmatic,http://www.pubmatic.com,"Advertising, Internet, Marketing Automation","Advertising, Internet Services, Sales and Marketing, Software",PubMatic is an automation solutions company for an open digital media industry.,"PubMatic is an automation solutions company for an open digital media industry. Featuring the leading omni-channel revenue automation platform for publishers and enterprise-grade programmatic tools for media buyers, PubMatic’s publisher-first approach enables advertisers to access premium inventory at scale. Processing nearly one trillion ad impressions per month, PubMatic has created a global infrastructure to activate meaningful connections between consumers, content and brands. Since 2006, PubMatic’s focus on data and technology innovation has fueled the growth of the programmatic industry as a whole. Headquartered in Redwood City, California, PubMatic operates 12 offices and nine data centers worldwide. PubMatic is a registered trademark of PubMatic, Inc. Other trademarks are the property of their respective owners.",http://www.linkedin.com/company/pubmatic,,http://twitter.com/PubMatic,http://www.facebook.com/PubMatic,512
iSpot.tv,https://www.crunchbase.com/organization/ispot-tv,http://www.ispot.tv,"Advertising, Analytics, Brand Marketing, Real Time","Advertising, Data and Analytics, Other, Sales and Marketing",Spot.tv provides marketers with real-time media measurement and performance insights to advertise and stay ahead of the competition.,"Spot.tv provides marketers with real-time media measurement and performance insights to advertise and stay ahead of the competition. iSpot measurement and attribution analytics are used by every industry for decision making that drives sustainable growth. iSpot.tv attention analytics measures the propensity of consumers to interrupt an ad play on TV and iSpot conversion analytics is the new standard for TV attribution, directly connecting TV ad impressions with web, app, and other first-party data.  The company was founded in 2012 and is headquartered in Bellevue, Washington.",https://www.linkedin.com/company/3095577,,http://twitter.com/ispottv,http://www.facebook.com/ispottv,521
Braze,https://www.crunchbase.com/organization/braze,https://www.braze.com,"Analytics, CRM, Marketing, Marketing Automation, Mobile, SaaS, Software","Data and Analytics, Information Technology, Mobile, Sales and Marketing, Software","Braze is a customer engagement platform that delivers messaging experiences across push, email, in-product, and more.","Braze is a comprehensive customer engagement platform that powers relevant and memorable experiences between consumers and the brands they love. Context underpins every Braze interaction, helping brands foster human connection with consumers through interactive conversations across channels that deliver value quickly and continuously. The company was named a Leader in the 2019 Gartner Magic Quadrant for Mobile Marketing Platforms and was recognized as one of Inc Magazine's 2019 Best Workplaces. Braze is headquartered in New York with offices in Chicago, London, San Francisco, and Singapore. Learn more at braze.com.",https://www.linkedin.com/company/braze-/,Emerging Unicorn,https://www.twitter.com/Braze,https://www.facebook.com/brazetechnology,555
