Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Signal,https://www.crunchbase.com/organization/signal,https://www.signal.co,"Analytics, Cloud Computing, Data Integration, Enterprise Software, Marketing, Marketing Automation, Project Management, SaaS","Administrative Services, Data and Analytics, Information Technology, Internet Services, Other, Sales and Marketing, Software",Signal is an independent SaaS provider of data onboarding and real-time identity resolution.,"Signal is the leading SaaS provider of data onboarding and real-time identity resolution. The Signal Open Data Platform helps marketers collect data from any offline or online source, synchronize the data across all touchpoints, and distribute it to any marketing or analytics endpoint – all in real-time. Signal’s technology platform empowers people-based marketers to enhance their customer experience by providing relevance across all channels. Signal was founded in 2009 and is headquartered in Chicago, Illinois, United States.",https://www.linkedin.com/company/signaldigital/,,https://twitter.com/signal,https://www.facebook.com/signaltechnology,20
Drift,https://www.crunchbase.com/organization/drift,http://www.drift.com,"Apps, Enterprise Software, Internet, Marketing Automation, Sales Automation, Software","Apps, Information Technology, Internet Services, Sales and Marketing, Software","Use conversations to make business buying frictionless, more enjoyable, and more human.","Drift is the Revenue Acceleration platform that uses Conversational Marketing and Conversational Sales to help companies grow revenue and increase customer lifetime value, faster. More than 50,000 businesses use Drift to align sales and marketing on a single platform to deliver a unified customer experience where people are free to have a conversation with a business at any time, on their terms.",https://www.linkedin.com/company/drift/,,https://twitter.com/drift,https://www.facebook.com/heydrift,22
Workato,https://www.crunchbase.com/organization/workato,http://www.workato.com,"Cloud Computing, Data Integration, Marketing Automation, SaaS, Sales Automation","Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Software",Workato is an enterprise automation platform that helps organizations work faster and smarter without compromising governance and security.,"Workato is an intelligent automation platform designed to automate work in businesses. It enables business and IT to integrate their apps and automate complex business workflows with security and governance. It helps businesses create powerful, business-critical integrations between cloud apps in minutes.  Founded on 2013, Workato is trusted by top brands as well as its growing innovators. It is headquartered in Mountain View, California.",https://linkedin.com/company/workato,Unicorn,https://twitter.com/workato,https://facebook.com/workato,72
Ideanomics,https://www.crunchbase.com/organization/you-on-demand-holdings,http://www.ideanomics.com/,"AgTech, Blockchain, Digital Marketing, Electric Vehicle, FinTech, Information Technology, Marketing Automation, Payments, Real Estate","Agriculture and Farming, Financial Services, Information Technology, Other, Payments, Real Estate, Sales and Marketing, Software, Transportation",Ideanomics is a global company focused on the convergence of financial services and industries experiencing technological disruption.,"Ideanomics is a global company focused on the convergence of financial services and industries experiencing technological disruption. Our Mobile Energy Global (MEG) division is a service provider which facilitates the adoption of electric vehicles by commercial fleet operators through offering vehicle procurement, finance and leasing, and energy management solutions under our innovative sales to financing to charging (S2F2C) business model. Ideanomics Capital is focused on disruptive fintech solutions and services across the financial services industry. Together, MEG and Ideanomics Capital provide our global customers and partners with leading technologies and services designed to improve transparency, efficiency, and accountability, and our shareholders with the opportunity to participate in high-potential, growth industries. The company is headquartered in New York, NY, with offices in Beijing, Hangzhou, and Qingdao, and operations in the U.S., China, Ukraine, and Malaysia.",http://www.linkedin.com/company/1801444,,https://twitter.com/ideanomicshq,https://www.facebook.com/ideanomicshq/,290
G2,https://www.crunchbase.com/organization/g2-crowd,https://www.g2.com/,"B2B, Business Intelligence, CRM, Enterprise Software, Internet, Marketing Automation, Software","Data and Analytics, Information Technology, Internet Services, Other, Sales and Marketing, Software",G2 is a platform to share business software reviews in real-time.,"G2 is a platform to share business software reviews in real-time. It leverages more than 425,000 user reviews to drive better purchasing decisions. G2 is used by business professionals, buyers, investors, and analysts to select the best software and services based on peer reviews and synthesized social data. The company was founded in 2012 and is based out of Chicago, Illinois.",https://www.linkedin.com/company/g2dotcom/,Emerging Unicorn,https://twitter.com/g2crowd,https://www.facebook.com/G2dotcom,429
PubMatic,https://www.crunchbase.com/organization/pubmatic,http://www.pubmatic.com,"Advertising, Internet, Marketing Automation","Advertising, Internet Services, Sales and Marketing, Software",PubMatic is an automation solutions company for an open digital media industry.,"PubMatic is an automation solutions company for an open digital media industry. Featuring the leading omni-channel revenue automation platform for publishers and enterprise-grade programmatic tools for media buyers, PubMatic’s publisher-first approach enables advertisers to access premium inventory at scale. Processing nearly one trillion ad impressions per month, PubMatic has created a global infrastructure to activate meaningful connections between consumers, content and brands. Since 2006, PubMatic’s focus on data and technology innovation has fueled the growth of the programmatic industry as a whole. Headquartered in Redwood City, California, PubMatic operates 12 offices and nine data centers worldwide. PubMatic is a registered trademark of PubMatic, Inc. Other trademarks are the property of their respective owners.",http://www.linkedin.com/company/pubmatic,,http://twitter.com/PubMatic,http://www.facebook.com/PubMatic,512
Intercom,https://www.crunchbase.com/organization/intercom,http://www.intercom.com,"Apps, CRM, Customer Service, Marketing Automation, Messaging, SaaS, Sales Automation, Software","Apps, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Software","Conversational Relationship Platform helping businesses build customer relationships through personalized, messenger-based experiences.","Intercom is a Conversational Relationship Platform (CRP) that helps businesses build better customer relationships through personalized, messenger-based experiences. It’s the only platform that delivers conversational experiences across the customer journey, with solutions for Conversational Marketing, Conversational Customer Engagement and Conversational Support. Intercom is bringing a messenger-first experience to all business-to-customer communication, powering 500 million conversations per month and connecting 4 billion unique end users worldwide across its more than 30,000 paying customers, including Atlassian, Sotheby’s and New Relic.The company was founded in 2011 in San Francisco by Eoghan McCabe, Des Traynor, Ciaran Lee and David Barrett, with the mission to make internet business personal. Intercom was valued at $1.275 billion in 2018 and has secured $241 million in funding from investors including Kleiner Perkins, Bessemer Venture Partners and Social Capital.",http://www.linkedin.com/company/2491343,Unicorn,http://twitter.com/intercom,http://www.facebook.com/intercominc,529
Pipedrive,https://www.crunchbase.com/organization/pipedrive,https://www.pipedrive.com,"CRM, Marketing Automation, SaaS, Sales Automation, Software","Information Technology, Sales and Marketing, Software",Pipedrive is the first CRM platform developed from the salesperson’s point-of-view.,"Founded in 2010, Pipedrive is the first CRM platform developed from the salesperson’s point-of-view. Inspired by proven methods of experienced salespeople, Pipedrive engineers developed a platform that helps salespeople and teams focus on learning and repeating their most effective process to close deals. By bringing together tools and data, the platform focuses sales professionals on fundamentals to advance deals through their pipelines. Pipedrive helps to provide management and sales teams with more timely, detailed, and accurate sales reporting and revenue projections. Today, Pipedrive is helping more than 90,000 sales teams in more than 150 countries to get more qualified leads into their pipelines and take quicker action on the most promising deals.",http://www.linkedin.com/company/1876917,,http://twitter.com/pipedrive,http://www.facebook.com/pipedrive,546
Braze,https://www.crunchbase.com/organization/braze,https://www.braze.com,"Analytics, CRM, Marketing, Marketing Automation, Mobile, SaaS, Software","Data and Analytics, Information Technology, Mobile, Sales and Marketing, Software","Braze is a customer engagement platform that delivers messaging experiences across push, email, in-product, and more.","Braze is a comprehensive customer engagement platform that powers relevant and memorable experiences between consumers and the brands they love. Context underpins every Braze interaction, helping brands foster human connection with consumers through interactive conversations across channels that deliver value quickly and continuously. The company was named a Leader in the 2019 Gartner Magic Quadrant for Mobile Marketing Platforms and was recognized as one of Inc Magazine's 2019 Best Workplaces. Braze is headquartered in New York with offices in Chicago, London, San Francisco, and Singapore. Learn more at braze.com.",https://www.linkedin.com/company/braze-/,Emerging Unicorn,https://www.twitter.com/Braze,https://www.facebook.com/brazetechnology,555
ActiveCampaign,https://www.crunchbase.com/organization/activecampaign,http://www.activecampaign.com,"Analytics, Apps, CRM, Email, Email Marketing, Marketing Automation, SaaS, Software","Apps, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software",ActiveCampaign is the Customer Experience Automation (CXA) category leader.,"ActiveCampaign's category-defining Customer Experience Automation Platform helps over 100,000 businesses in 170 countries meaningfully engage with their customers. The platform gives businesses of all sizes access to hundreds of pre-built automations that combine email marketing, marketing automation, CRM, and machine learning for powerful segmentation and personalization across social, email, messaging, chat, and text. Over 70% of ActiveCampaign's customers use its 300+ integrations including Shopify, Square, Facebook, Eventbrite, Wordpress and Salesforce. ActiveCampaign scores higher in customer satisfaction than any other solution in Marketing Automation on G2.com and is the 2020 Top Rated Email Marketing Software on TrustRadius.",http://www.linkedin.com/company/221390,,http://twitter.com/activecampaign,http://www.facebook.com/activecampaign,704
