Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
IsoPlexis,https://www.crunchbase.com/organization/isoplexis,http://isoplexis.com/,"Biotechnology, Health Care, Medical Device, Therapeutics","Biotechnology, Health Care, Science and Engineering",IsoPlexis is a life science technology company developing a single-cell detection system.,"IsoPlexis is a life science technology company developing a single-cell detection system that identifies a wide range of patient immune responses at the single-cell level. Its platform can assess the safety and efficacy of therapeutics and monitor disease progression, enabling improved therapeutic development, and informing physician decisions.  The company was founded in 2013 and is headquartered in Branford, Connecticut.",http://www.linkedin.com/company/isoplexis-inc-,,,,104
Medtronic,https://www.crunchbase.com/organization/medtronic,http://www.medtronic.com/,"Biotechnology, Health Care, Health Diagnostics, Manufacturing, Medical, Medical Device, Therapeutics","Biotechnology, Health Care, Manufacturing, Science and Engineering",Medtronic develops and manufactures medical device technologies and therapies to treat chronic diseases worldwide.,"Medtronic develops healthcare technology to treat chronic diseases. Its medical technology is providing lifelong solutions for people with chronic pain. The company is committed to improving lives through its medical technologies, services, and solutions.  Medtronic has four main business units: the Minimally Invasive Therapies Group, the Diabetes Group, the Restorative Therapies Group, and the Cardiac and Vascular Group. Medtronic develops and manufactures devices and therapies to treat more than 30 chronic diseases that include heart failure, Parkinson disease, urinary incontinence, Down syndrome, obesity, chronic pain, spinal disorders, and diabetes. Medtronic was founded in 1949 and is headquartered in Minneapolis, Minnesota, United States",http://www.linkedin.com/company/medtronic/,,http://twitter.com/Medtronic,http://www.facebook.com/Medtronic/,196
SomaLogic,https://www.crunchbase.com/organization/somalogic,http://www.somalogic.com,"Biotechnology, Health Care, Health Diagnostics, Life Science, Medical Device, Pharmaceutical","Biotechnology, Health Care, Science and Engineering","SomaLogic, a protein biomarker discovery and clinical diagnostics company, offers SOMAmer technology to improve diagnostic products.","SomaLogic operates as a protein biomarker discovery and clinical diagnostics company. It offers SOMAmers (Slow-Offrate Modified Aptamers), which are modified nucleic acid-based protein-binding reagents that are specific for their cognate protein; and SOMAscan that provides protein detection and equipment. The company’s SOMAmer/SOMAscan technology enables to discover protein biomarker signatures; drug discovery and development; and clinical diagnostics. Its products have applications in the diagnostics of various diseases in oncology, neurology, cardiovascular and metabolic disease, and other diseases and conditions.  SomaLogic was founded in 1999 and is headquartered in Boulder, Colorado.",http://www.linkedin.com/company/71116,,http://twitter.com/SomaLogic,https://www.facebook.com/SomaLogicLLC/,262
Massachusetts Institute of Technology - MIT,https://www.crunchbase.com/organization/massachusetts-institute-of-technology-mit,http://web.mit.edu/,"Art, Education, Health Diagnostics, Innovation Management, Medical, Medical Device, Product Research, Training","Data and Analytics, Design, Education, Health Care, Media and Entertainment, Professional Services","MIT is a research university that conducts research and offers educational courses in science, technology, and engineering.","Massachusetts Institute of Technology (MIT) is a research university that conducts research and offers educational courses in science, technology, and engineering. Its five schools and one college encompass numerous academic departments, divisions, and degree-granting programs as well as interdisciplinary centers, laboratories, and programs. Degrees earned at MIT include bachelor’s, master’s, and doctorates. Students from MIT are regularly named Fulbright Fellows, Marshall Scholars, Rhodes Scholars, Truman Scholars, and Gates Scholars. The faculty of MIT has won numerous awards, including the Nobel Prize, Medal of Science, John Bates Clark Medal, Fields Medal, PECASE awards, MacArthur ’genius’ grants, and more. Many faculty members are of the AAAS, IEEE, American Academy of Arts and Sciences, and other prestigious societies. Massachusetts Institute of Technology was incorporated by the [Commonwealth of Massachusetts](https://www.crunchbase.com/organization/commonwealth-of-massachusetts) on April 10, 1861, and is based in Cambridge, Massachusetts.",http://www.linkedin.com/edu/school?id=18495,,http://twitter.com/MIT,http://www.facebook.com/MITnews,449
TransEnterix,https://www.crunchbase.com/organization/transenterix,http://www.transenterix.com,"Health Care, Medical Device, Pharmaceutical",Health Care,TransEnterix is a medical device company developing minimally-invasive devices for laparoscopic surgery.,"TransEnterix, Inc. operates as a medical-device company which develops minimally invasive laparoscopic surgery platform. Its platform allows a surgeon to remove a patient's gall bladder and perform other abdominal surgeries without a scar. The company was founded in 2006 and is based in Durham, North Carolina. In 2013, SafeStitch Medical completed a reverse merger with TransEnterix, Inc., and the combined company was renamed TransEnterix.",http://www.linkedin.com/company/transenterix-inc.,,http://twitter.com/TransEnterix,https://www.facebook.com/transenterix,487
Grail,https://www.crunchbase.com/organization/grail,https://www.grail.com/,"Biotechnology, Health Care, Health Diagnostics, Medical, Medical Device","Biotechnology, Health Care, Science and Engineering",Grail develops a pan-cancer screening test designed to detect cancers at an early stage.,"Grail develops a pan-cancer screening test designed to detect cancers at an early stage. Its pan-cancer screening test measures circulating nucleic acids in blood using high-intensity sequencing, population-scale clinical trials, enabling doctors to develop blood tests for early-stage cancer detection. The company was founded in 2016 by Alex Aravanis and Jeff Huber in Menlo Park, California.",https://www.linkedin.com/company/grail-inc.,Exited Unicorn,https://www.twitter.com/GrailBio,https://www.facebook.com/grailbio,636
Senseonics,https://www.crunchbase.com/organization/senseonics,http://senseonics.com,"Biotechnology, Health Care, Medical, Medical Device, Sensor, Wearables","Biotechnology, Consumer Electronics, Hardware, Health Care, Science and Engineering","Senseonics is a medical device startup company that focuses on the design, development, and commercialization of glucose monitoring systems.","Senseonics is a medical device startup company in Germantown, Maryland, USA (near Washington, DC) developing transformative glucose monitoring products that is intended to enable people with diabetes to confidently live their lives with ease. Utilizing breakthrough fluorescence sensing technology, the Senseonics continuous glucose monitoring (""CGM"") system is being designed to be the first fully implantable CGM that is highly accurate and stable throughout its long sensor life.",http://www.linkedin.com/company/senseonics-inc,,https://twitter.com/senseonics,,730
Premise Data,https://www.crunchbase.com/organization/premise,http://www.premise.com,"Analytics, Big Data, Business Intelligence, Data Visualization, Enterprise Software, Information Services, Medical, Medical Device","Data and Analytics, Design, Health Care, Information Technology, Software","Premise is a data and analytics platform powered by a global network of on-the-ground contributors, data science, and machine learning. ","Premise is a data and analytics platform that empowers decision makers with real-time, actionable intelligence. By combining the power of a global network of on-the-ground contributors with industry leading data science and machine learning Premise is ‘The Source of Ground Truth.’ A $66M Series C venture capital organization, we are backed by Valor Equity Partners, Social Capital, Google Ventures, and Andreessen Horowitz, among others. Premise is headquartered in San Francisco, CA with offices in Washington, D.C., Seattle, WA and Portland, OR.",http://www.linkedin.com/company/premise-data-corporation,,http://twitter.com/premisedata,http://www.facebook.com/premisedata,783
Terns Pharmaceuticals,https://www.crunchbase.com/organization/terns-pharmaceuticals,https://ternspharma.com/,"Biotechnology, Health Care, Medical, Medical Device, Pharmaceutical","Biotechnology, Health Care, Science and Engineering",Terns Pharmaceuticals is a biopharmaceutical company that focuses on discovering therapies that will improve the global disease burden. ,"Terns Pharmaceuticals is a global biopharmaceutical company committed to discovering and developing molecularly-targeted, oral, small molecule drugs to treat liver disease and cancer. The company combines expertise in disease biology and medicinal chemistry with a capital-efficient drug discovery model and extensive clinical development capabilities in China to advance its growing pipeline of drugs that are optimized against clinically-validated targets. Based in San Mateo, California and Shanghai, Terns is focused on bringing forward innovative therapeutic candidates with the potential to address significant unmet medical needs in China and globally.",https://www.linkedin.com/company/ternspharmaceuticals/,,,,881
Cullinan Oncology,https://www.crunchbase.com/organization/cullinan-oncology,https://www.cullinanoncology.com/,"Biopharma, Biotechnology, Medical Device","Biotechnology, Health Care, Science and Engineering",Cullinan Oncology is a developer of an externally sourced cancer therapeutics intended to end a drug program quickly if the early research.,"Cullinan Oncology is a developer of an externally sourced cancer therapeutics intended to end a drug program quickly if the early research suggests it won't work. The company's therapeutics are developed via assets sourced internally through dry lab or externally through business, academic and pharma collaborations, enabling researchers to get a highly diversified portfolio of oncology therapeutics with a unique, cost-efficient business model.",https://www.linkedin.com/company/cullinan-oncology/,,,,886
