Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Squire,https://www.crunchbase.com/organization/squir-technologies-4,http://www.getsquire.com,"Consumer, FinTech, Mobile Apps, Point of Sale, Small and Medium Businesses","Apps, Commerce and Shopping, Financial Services, Mobile, Other, Software",Squire offers a barbershop management and POS/Booking mobile application that connects barbers and clients nationwide.,"Squire is a booking and payment platform that connects people with great barbers nationwide. Squire provides barbers and shop owners with the ability to operate their businesses with cashless and contactless pay transactions, thereby streamlining service interaction and helping them earn and retain loyal clients as a result.",https://www.linkedin.com/company/squ%C4%ABr-technologies,,https://www.twitter.com/getsquire,https://www.facebook.com/squiretechnologies,11
Octane,https://www.crunchbase.com/organization/octane-lending,http://octane.co,"Enterprise Software, Financial Services, FinTech, Insurance, Lending, Point of Sale","Commerce and Shopping, Financial Services, Software","On Octane.co, powersports shoppers can research vehicles, prequalify for a loan, and instantly check rates with no impact on their credit.","Octane is a Fintech company whose mission is to connect people with their passions. The $21B Powersports market is fast and fun, but the purchasing process is slow and frustrating. Octane is changing that through automated underwriting, innovative credit products, and financing through our in-house lender Roadrunner Financial. Octane reaches millions of riders through editorial brands like CycleWorld.com and helps consumers buy their favorite vehicles with instant, frictionless financing on Octane.co.",https://www.linkedin.com/company/octane-lending,,,,287
HealNow,https://www.crunchbase.com/organization/healnow,http://www.healnow.co,"E-Commerce, Hospital, Payments, Pharmaceutical, Point of Sale","Commerce and Shopping, Financial Services, Health Care, Payments",HealNow offers an onboarding and payments platform for pharmacies.,"HealNow features an onboarding and payments platform for pharmacies. HealNow has built a system that’s specifically tailored to pharmacies of any shape or size, from grocery stores to mom and pop pharmacies and everything in between. It’s a white label solution, meaning that any pharmacy can put their brand language on the product. It was formed in 2018 and headquartered in New York, United States.",https://www.linkedin.com/company/healnow/about/,,,,709
Toast,https://www.crunchbase.com/organization/toast,https://pos.toasttab.com,"Mobile, Point of Sale, Restaurants, SaaS, Software","Commerce and Shopping, Food and Beverage, Mobile, Software",Toast is an all-in-one point-of-sale and restaurant management platform for businesses in the food service and hospitality space.,"Toast is an all-in-one point-of-sale and restaurant management platform for businesses in the foodservice and hospitality space. As a cloud-based system built specifically for restaurants, Toast offers advanced functionality including tableside ordering, quick menu modifications, real-time enterprise reporting, online ordering, and labor management on an easy-to-use interface. The company powers successful restaurants by combining point of sale, front of house, back of house, and guest-facing technology with an unequaled commitment to customer success. It enables the community of restaurateurs to delight guests and thrive. Toast was founded on 2011 and is based in Boston, Massachusetts.",https://www.linkedin.com/company/toast-inc,Unicorn,http://twitter.com/toasttab,http://www.facebook.com/toasttab,901
TouchBistro,https://www.crunchbase.com/organization/touchbistro,http://touchbistro.com,"Apps, Point of Sale, Reservations, Restaurants, Software","Apps, Commerce and Shopping, Events, Food and Beverage, Media and Entertainment, Software",TouchBistro is an iPad-based restaurant point-of-sale system enabling owners to manage reservations and take orders instantly.,"TouchBistro is an iPad-based restaurant point-of-sale system enabling owners to manage reservations and take orders instantly. Instead of servers repeatedly moving between customers and terminals for order management, servers can remain with customers and instantly submit orders to the kitchen and bar. Servers no longer need to write down an order and then enter it into a distant terminal. TouchBistro's single entry system reduces errors and increases efficiency. Menu items can be presented in vibrant color with every detail captured and can be quickly and easily updated and even published to the Web, providing more dynamic impact than a traditional menu can provide.",http://www.linkedin.com/company/touchbistro,,http://twitter.com/touchbistro,https://www.facebook.com/TouchBistroiPadPOS,"1,574"
Revel Systems,https://www.crunchbase.com/organization/revel-systems,https://revelsystems.com,"Mobile, Mobile Payments, Point of Sale, SaaS, Software","Commerce and Shopping, Financial Services, Mobile, Payments, Software",Revel Systems provides an iPad point of sale solution for restaurant and retail establishments.,"Revel Systems iPad POS was founded in 2010 in San Francisco with the goal of changing the Point of Sale market. Revel Systems developed a quick, intuitive and secure iOS-based Point of Sale system by combining cloud-based technology and the mobility of the Apple iPad. Revel Systems software offers a feature-rich POS solution for restaurant, retail and enterprises with integrated payroll, inventory tracking, customer relationship management and more. With the introduction of the Revel Marketplace, Revel iPad POS System users can now integrate directly into third-party enhancements, including mobile payments, online ordering, gift or reward cards and advanced financial software suites. For more information on the new standard in Point of Sale, please visit http://revelsystems.com/",http://www.linkedin.com/company/revel-systems,,http://twitter.com/revelsystems,http://www.facebook.com/revelsystems,"2,105"
SpotOn,https://www.crunchbase.com/organization/spoton,https://www.spoton.com,"Digital Marketing, Loyalty Programs, Marketing Automation, Payments, Point of Sale, SaaS, Software, Transaction Processing","Commerce and Shopping, Financial Services, Payments, Sales and Marketing, Software",SpotOn develops innovative software and payment solutions that help businesses increase revenue.,"SpotOn is a payments and software company redefining the merchant services industry. The company brings together payment processing and customer engagement software, giving merchants richer data and tools that empower them to market more effectively to their customers. Its platform offers tools for small and medium businesses, including payments, marketing, reviews, analytics, and loyalty, backed by industry-leading customer care. Doron Friedman, Matt Hyman, and Zach Hyman co-founded SpotOn in 2017 and its headquarters is located in San Francisco, California.",https://www.linkedin.com/company/spotontransact,,http://twitter.com/spoton,http://www.facebook.com/spotoninc,"2,197"
Ecwid,https://www.crunchbase.com/organization/ecwid,https://www.ecwid.com,"E-Commerce, Internet, Point of Sale, SaaS, Small and Medium Businesses","Commerce and Shopping, Internet Services, Other, Software",Ecwid is a software-as-a-service e-commerce company that provides online selling solutions for small businesses.,"Ecwid is an e-commerce platform that enables individuals and businesses to add a full-featured store to any existing website while preserving its design. It can be integrated into any online website, mobile site, or social network. It helps merchants converge their offline and online sales through its POS and mobile POS integration, so they can sell their products anywhere, at any time, and from any device. Ecwid provides online selling solutions for small businesses and enables them to establish a digital storefront in a matter of hours. It also offers merchants access to key marketplaces, including Amazon and Google, access to a range of point-of-sale solutions, and the ability to advertise and sell on social media channels such as Instagram and Facebook.",https://www.linkedin.com/company/ecwid,,http://twitter.com/ecwid,http://www.facebook.com/ecwid,"2,246"
Olo,https://www.crunchbase.com/organization/olo,http://www.olo.com,"E-Commerce, Food Delivery, Mobile, Mobile Apps, Point of Sale, Restaurants, SaaS","Apps, Commerce and Shopping, Food and Beverage, Mobile, Software, Transportation",Olo is a SaaS digital ordering and delivery platform for restaurant brands.,"Olo powers digital ordering and delivery programs that connect restaurant brands to the on-demand world. Olo’s platform enables millions of orders per week across every stage of restaurant ecommerce, from fully-branded guest interfaces to the back-of-house order management features that keep over 60,000 restaurants running smoothly. Orders from Olo interact seamlessly with existing restaurant systems to help brands capture demand from brand direct website and apps, marketplaces, social media channels, and virtual assistant devices like the Amazon Echo. Over 100 million consumers use Olo to order ahead and get meals delivered from the restaurants they love, such as Applebee’s (DIN), Cheesecake Factory (CAKE), Chili’s (EAT), Denny’s (DENN), Five Guys Burgers & Fries, Jamba Juice (JMBA), Noodles World Kitchen (NDLS), Shake Shack (SHAK), sweetgreen, Wingstop (WING), and more. SKIP THE LINE®",http://www.linkedin.com/company/olo,,http://twitter.com/olo,https://www.facebook.com/olodotcom/,"2,361"
Greenbits,https://www.crunchbase.com/organization/green-bits,http://www.greenbits.com,"Cannabis, Point of Sale, Retail Technology, Software","Commerce and Shopping, Community and Lifestyle, Food and Beverage, Hardware, Health Care, Software",Greenbits is a cannabis retail platform serving medical dispensaries and adult-use retailers.,"Greenbits empowers more than 1,200 cannabis retail locations across 13 states with a safer, smarter, easier way to manage day-to-day operations and maximize store performance. The company's robust retail platform – with automated state-by-state compliance, point of sale, inventory control, and personalized insights – enables owners, managers, and budtenders to run, protect, and grow their businesses with ease. As the largest provider of retail technology, Greenbits processes $3.7 billion in regulated cannabis sales annually on its point-of-sale platform.",http://www.linkedin.com/company/greenbits,,http://twitter.com/greenbits,http://www.facebook.com/greenbitscom,"2,563"
