Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook
"10,000ft",https://www.crunchbase.com/organization/10-000ft,https://www.10000ft.com,"Business Intelligence, Collaboration, Enterprise Software, Project Management, SaaS, Software","Administrative Services, Data and Analytics, Other, Software","10,000ft is high-level project and resource management software built for modern teams.","10,000ft is high-level project and resource management tool built for modern teams. While designed to be simple and easy-to-use, 10,000ft captures rich data across your teams, projects, and organization so you can get clarity about complex business challenges.  Over 1,000 of the most innovative companies in the world rely on 10,000ft — from growing 10-person software shops, to 100-person teams within global brands, to 1,000+ person professional services firms. 10,000ft is based in Seattle, USA. Learn more at www.10000ft.com.",https://www.linkedin.com/company/10000ft,,http://twitter.com/10kft,http://www.facebook.com/10kft
17hats,https://www.crunchbase.com/organization/17hats,https://www.17hats.com,"Internet, Internet of Things, Project Management, Software","Administrative Services, Internet Services, Other, Software","17hats is the complete system that helps automate, organize, and optimize small business management for freelancers and entrepreneurs.","17hats has become the small business owners choice for a complete system for organizing and simplifying business, which give our users back the time they need to build a better business. 17hats is the simple business management app for solopreneurs. Its all-in-one system includes basic CRM, project management, calendaring, quotes, contracts, invoicing, time tracking and bookkeeping. With its workflow feature, users can automate many repetitive tasks.",https://www.linkedin.com/company/17hats,,https://twitter.com/17hatshq,https://www.facebook.com/17hatsHQ
3 Point,https://www.crunchbase.com/organization/3-point,https://3pointllc.com,"B2B, Customer Service, Management Consulting, Professional Services, Project Management, SaaS, Software, Venture Capital","Administrative Services, Financial Services, Lending and Investments, Other, Professional Services, Software","B2B, SaaS, Enterprise Software, Consulting, Customer On-Boarding, Customer Success, Project Management, Funding","At 3 Point we specialize in assisting B2B software companies facing the operational challenges that come with rapid growth. We have the practical experience and knowledge to help build, transform and fine tune a customer on-boarding model that will scale with your business, reduce operational costs and increase customer adoption. Operational Strategy, Customer On-Boarding, Customer Success, SaaS Professional Services Pricing Models, Competitive Analysis, Portfolio/Program/Project Office Design and Implementation, Project Management",https://linkedin.com/company/3-point-llc,,,
A2Zapps.com,https://www.crunchbase.com/organization/a2zapps-com,http://www.A2Zapps.com,"Cloud Computing, CRM, Enterprise Software, Internet, Private Social Networking, Project Management, SaaS, Software, Web Development","Administrative Services, Community and Lifestyle, Information Technology, Internet Services, Other, Sales and Marketing, Software",A2Zapps.com is an enterprise cloud computing company that enables its employees to collaborate and communicate with each other.,"Business and growth is for all and we make efforts to ensure just that! A2Zapps.com is the enterprise Cloud computing company that is revolutionizing the way companies use business software and enables its employees to collaborate and communicate with each other. A2Zapps.com offers the fastest path to business success through its state-of-the-art Cloud-based Work Platform which requires no installation of server or software and customers can get up and running instantly at an affordable monthly subscription fee. All apps are integrated, social and mobile in nature.  A successful business is for all therefore we make sure that the cutting edge technology reaches every corner and enables all businesses, primarily micro, small and medium enterprises, achieve the desired success and growth. With an aim to reduce IT hassles that restrict micro and emerging enterprises from growing we have put into action SaaS (wherein Software is provided as a Service) and PaaS ( wherein custom-made applications are deployed to a Cloud).  The companyâ€™s platform and services are primarily divided in three parts: Work Desktop It is worldâ€™s first-ever Windows-like Online Work Desktop for business employees and individuals to revamp the entire work culture by making it smarter, quicker, more efficient and economically viable.  A2Z File Manager, a central place to manage, share & collaborate on documents A2Z Chitchat, a private social network for your enterprise A2Z Communicator, for scheduling and sending emails, SMSes A2Z Activity, for scheduling tasks, meetings Apart from the basic apps, the Online Desktop enables the user to easily add any number of business/department specific work apps to the Desktop at an affordable monthly subscription fee.  Work App Store A2Z Work App Store is a marketplace with ready-made business (Customer Relationship Management, Human Resources, Finance & administration etc.), productivity and social apps. We put forward business software as utility services to introduce to the World, a cost effective and rapidly growing business mantra that primarily revolves around emerging businesses  Work App Builder A2Zapps allows companies and individuals to custom build their own apps in the Cloud using the innovative Developer toolkit available in the desktop itself; and no technical knowledge is required to build these apps. The application design, development and testing are done over the Internet, with strictly no hardware or Software installation. Even the ongoing maintenance falls on the vendorâ€™s account and the customer stays out of it  This cost-effective Cloud Platform is sure to bring long term benefits to various industries including: Education, Health Care, Non-Profit Organizations, Real Estate, Small Manufacturing Companies, and Professionals such as Chartered Accountants and Travel Agents.  Built upon redundant hardware components A2Zapps.comâ€™s truly On-Demand Work Platform is hosted in Tier 3+ data center for a superior degree of fault tolerance and availability. We call it truly On-Demand because it can be accessed securely from any Internet-enabled device including PC, Laptop, Nettop, Tablet PC, Smart phones, etc. from anywhere across the world. No IT resources are needed to manage the platform and it can easily support any level of customization that an organization might need. Its intuitive and easy-to-navigate interfaces drive higher adoption of the system among users.",,,http://twitter.com/A2Zapps,
aBIZinaBOX,https://www.crunchbase.com/organization/abizinabox,http://abizinabox.com,"Accounting, Business Development, Consulting, CRM, Marketing Automation, Project Management","Administrative Services, Financial Services, Information Technology, Other, Professional Services, Sales and Marketing, Software","aBIZinaBOX offers businesses with a range of back office services, including tax management, financial advisory, and technology consulting.","aBIZinaBOX is a business back office “Swiss Army Knife” with the flexibility and capacity to solve a multitude of support functions for any business. We combine:  A full service American Institute of Certified Public Accountants [""AICPA""] Private Companies Practice Section [""PCPS""] member firm of certified public accountants and tax advisors which has been engaged in integrated financial advisory, technology and tax consultancy for almost thirty years. Our services and technologies include:  aBIZinaBOX Tech - Remote Monitoring & Management, Remote Back Up and Managed Firewall  aBIZinaBOX Financial - QuickBooks Online, bill.com - A/P management with ACH, Virtual Accounting & Financial Support  aBIZinaBOX GAPS - Google Apps with select applications from the Google Apps Marketplace to customize functionality  aBIZinaBOX APPS - Salesforce CRM customized with applications from the Salesforce App Exchange  aBIZinaBOX Professional Services - full range of tax, financial advisory, technology and real estate consulting services Specialties AICPA PCPS Member CPA FIrm, Google Apps for Business SMB Reseller, Salesforce Select Consulting Partner, Nimble.com Consulting Partner, aBIZinaBOX Tech, aBIZinaBOX Financial, aBIZinaBOX GAPS, aBIZinaBOX Apps, aBIZinaBOX Professional services",http://www.linkedin.com/company/1020540,,http://twitter.com/aBIZinaBOX,http://www.facebook.com/abizinaboxInc
Accruent,https://www.crunchbase.com/organization/accruent,http://www.accruent.com,"Asset Management, Building Maintenance, Energy Management, Facilities Support Services, Internet of Things, Medical Device, Project Management, Retail Technology, SaaS, Software","Administrative Services, Commerce and Shopping, Energy, Financial Services, Hardware, Health Care, Internet Services, Other, Real Estate, Software",Accruent is a global software company that helps organizations transform how they manage their physical resources.,"Accruent is a global software company that helps organizations achieve superior performance by transforming how they manage their physical resources. Its innovative, industry-leading cloud-based software and services enable organizations to optimize all stages of real estate, facilities and asset management, from capital planning through to IoT-based monitoring and control. With a proven track record across two decades, Accruent has created the only integrated SaaS-based framework and reporting platform for full lifecycle physical resource management. More than 7,000 global customers depend on Accruent solutions to drive out hidden costs, extend asset lifecycles, protect their brands, ensure compliance and deliver on the missions of their organization. Headquartered in Austin, Texas, Accruent serves a wide range of industries in 149 countries around the world. ",https://www.linkedin.com/company/accruent,,http://twitter.com/AccruentLLC,https://www.facebook.com/accruent
AccuLynx,https://www.crunchbase.com/organization/acculynx,http://www.acculynx.com,"Project Management, SaaS, Software","Administrative Services, Other, Software",Acculynx is powerful and easy to use roofing contractor software designed to manage and grow roofing businesses. ,"AccuLynx is powerful and easy to use roofing contractor software with the best customer support in the business. Designed to help you manage and grow your business, AccuLynx gives contractors the tools to streamline their process, grow their profits and help deliver superior service. With AccuLynx, contractors can: -Actively manage and prioritize the leads in your pipeline -Create and quickly send out your estimates and contracts -Stay organized with shared access to your production and crew calendars -See your job progress and cash flow in real-time",https://www.linkedin.com/company/acculynx-com,,http://twitter.com/acculynx,http://www.facebook.com/acculynx
AchieveIt,https://www.crunchbase.com/organization/achieveit-online,https://www.achieveit.com,"Business Intelligence, Collaboration, Enterprise Software, Project Management, Software, Task Management","Administrative Services, Data and Analytics, Other, Software","AchieveIt is the solution organizations use to get their biggest, most important initiatives out of the boardroom and into reality.","In a world where too many of the biggest, most important strategic initiatives get trapped in a spreadsheet, someone has to find a way to transform all that great thinking into great doing.  AchieveIt is the solution organizations use to get their biggest, most important initiatives out of the boardroom and into reality.  We look at ideas and say – Let’s actually do this.™  It all started in 2010, when we were doing strategy consulting for hospitals. Back then we were primarily consultants, with a limited leave-behind software to help track and monitor the plan we had built together.  But over and over, we noticed our clients’ strategic plans were being supported by a bunch of different kinds of plans, with each individual team using their own methods to track and report. What our clients really needed was a way to manage across these integrated plans at the same time, and to be able to see all supporting goals and activities from all their plans, in one view.  So, we supercharged our software and services to help them get everything in view, get everyone engaged, and get every possible advantage. What resulted was an entirely new approach to organizational execution: Integrated Plan Management.  Today, all kinds of organizations turn to AchieveIt for Integrated Plan Management – everyone from utility companies working on new forms of energy, to government agencies looking to reduce taxpayer expenses, to Fortune 500s trying to launch new growth initiatives.  With the growth they’ve accomplished with the help of AchieveIt’s platform and services, these organizations are able to spend 90% of their time actually getting things done – instead of 90% of their time reporting.",http://www.linkedin.com/company/achieveit,,http://twitter.com/GoAchieveIt,http://www.facebook.com/GoAchieveIt
Aciron Consulting,https://www.crunchbase.com/organization/aciron,http://www.aciron.com,"Consulting, Information Technology, Project Management, Software, Web Development","Administrative Services, Information Technology, Other, Professional Services, Software",Business and Technology Consulting,"Aciron Consulting, LLC is a business management and technology consulting firm dedicated to connecting the business and technology aspects of a company. We are committed to creating innovative, successful solutions for our customers. Our mission is to build strong client relationships and quality products to help clients achieve their full potential in business and technology while holding strong to our core values. Some of the services we provide include: CUSTOM APPLICATION DEVELOPMENT | Aciron designs, develops, and maintains custom web-based applications on a wide range of technologies that fit your unique requirements. Whether you need a custom application from scratch, custom development and integration in a third party application, or need to integrate or extend your current business applications, we can help you achieve your goals.  MICROSOFT SHAREPOINT CONSULTING | At Aciron Consulting, we provide a full array of Microsoft SharePoint consulting services to assist clients in leveraging their SharePoint investments. Our SharePoint consulting expertise includes planning, implementation and configuration,  migration, customization and branding, development, training, and support.  PROJECT MANAGEMENT | Effective project management practices are vital to the success of projects and to driving efficiency and productivity within your organization. Drawing on our proven project management methodology and vast experience, Aciron delivers project management support to ensure projects are carried out efficiently and successfully. REQUIREMENTS GATHERING AND DEFINITION | Aciron works collaboratively with clients to define, analyze, document, validate, and maintain clients’ requirements for client initiatives and systems. Leveraging our business and technical expertise, we interpret requirements in the  context of each client‘s business and develop clear, high-quality documentation. WEBSITE DESIGN AND DEVELOPMENT | From simple websites, to complex, interactive websites, blogs, and e-commerce solutions, we assist a wide variety of clients with their unique online needs. We have worked extensively to cost-effectively develop, design, and maintain effective, user-friendly websites to help organizations meet their unique business and budgetary needs. IT AND BUSINESS STRATEGY CONSULTING | Aciron is committed to assisting you in achieving greater efficiencies in your business processes by aligning key business needs with strategic IT initiatives. We work with you to assess your specific needs and provide practical yet innovative solutions that support your organization's objectives and enable you to achieve sustainable success, while managing risk.",http://www.linkedin.com/company/aciron-consulting-llc,,http://twitter.com/askaciron,http://www.facebook.com/acironconsulting
ACommerce®,https://www.crunchbase.com/organization/acommerce-2e6c,https://www.acommerce.com/,"CRM, E-Commerce, Enterprise Resource Planning (ERP), Human Resources, Information Technology, Project Management, SaaS, Software, Supply Chain Management","Administrative Services, Commerce and Shopping, Information Technology, Other, Sales and Marketing, Software, Transportation","ACommerce ® Enterprise Suite is a Secure Cloud application that supports Supply Chain, HR, Agile Projects, CRM, ECommerce Cart and more.","ACommerce ® Enterprise suite is a secure cloud enabled system that includes following applications: Supply Chain Management, ECommerce Shopping Cart, HR Management, CRM, Assets Management, Agile Project Management, Manufacturing Workflow, Warehouse Management, Business Process Workflow ACommerce ® is registered trademark of VistaEdge Inc",https://www.linkedin.com/company/acommerce-inc,,https://twitter.com/acommerce,https://www.facebook.com/acommercecom/
