Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Apollo,https://www.crunchbase.com/organization/apollo-global-management-llc,https://www.apollo.com/,"Credit, Financial Services, Real Estate","Financial Services, Lending and Investments, Real Estate",Apollo Global Management is a global asset management firm that specializes in credit-oriented capital and real estate markets.,"Apollo is a global alternative asset manager specializing in private equity, credit-oriented capital markets, and real estate. It provides performing and non-performing loans, insurance-linked securities, asset-backed securities, distressed debt, senior bank loans, structured credit, and other fixed-income products to clients. The firm caters to industry groups including, chemicals, consumer products, and services, retail, oil and gas, distribution and transportation, financial and business services, media, telecom, and technology among others. The company was founded in 1990 and is headquartered in New York.",https://www.linkedin.com/company/apollo-global-management-inc/,,https://twitter.com/apolloglobal,,24
Opendoor,https://www.crunchbase.com/organization/opendoor-2,https://www.opendoor.com,"Marketing, Marketplace, Property Development, Property Management, Real Estate","Commerce and Shopping, Real Estate, Sales and Marketing",Opendoor is an operator of an online real estate marketplace used to streamline the sales process of home buying and selling.,"Opendoor is an operator of an online real estate marketplace used to streamline the sales process of home buying and selling. It helps sellers to receive an offer without listing or showing their home and buyers to browse for homes on sale and instantly unlock them using the company's application that enables customers to buy and sell properties in a hassle freeway. Opendoor was founded in 2014 and is based in San Francisco, California.",https://www.linkedin.com/company/opendoor-com,Exited Unicorn,https://twitter.com/opendoor,https://www.facebook.com/OpendoorHQ,30
Landing,https://www.crunchbase.com/organization/landing,https://www.hellolanding.com,"Leasing, Property Development, Real Estate, Rental Property, Residential","Financial Services, Real Estate",Landing develops a membership-based network of fully-finished urban apartment homes.,"Landing develops a membership-based network of fully-finished urban apartment homes. It offers a flexible living experience to its members through the company's membership grants that give access to studios, one, and two-bedroom fully finished apartments with flexible leases, and streamlined, custom, all-inclusive amenities that allow for living easy and moving freely. In 2019, Bill Smith established Landing in San Francisco, California.",https://www.linkedin.com/company/hellolanding,,https://twitter.com/HelloLanding,https://www.facebook.com/hellolanding,106
Zillow,https://www.crunchbase.com/organization/zillow,http://www.zillow.com,"Marketplace, Online Portals, Real Estate","Commerce and Shopping, Internet Services, Real Estate","Zillow is an online real estate marketplace for finding and sharing information about homes, real estate, and mortgages.","Zillow, Inc. is a leading home and real estate marketplace dedicated to helping homeowners, buyers, sellers, renters, real estate agents, mortgage professionals, landlords, and property managers find and share vital information about homes, real estate, mortgages, and home improvement. Under the Zillow brand, Zillow operates Zillow.com, Zillow Mortgage Marketplace, Zillow Mobile, Zillow Rentals, and Zillow Digs. Rich Barton and Lloyd Frink started Zillow in early 2005, and Zillow.com launched in early 2006 with data and information on millions of U.S. homes. Zillow's goal is to help people make intelligent decisions about their homes -- whether it's buying a home, selling, renting, leasing, remodeling or financing. It's all about empowering people with information and tools to make smart decisions about homes, real estate, and mortgages. Zillow is one of the most-visited U.S. real estate brands. Zillow Mobile boasts the most popular suite of real estate apps, with nearly 480 million homes viewed in May 2014. In addition to information and data on nearly all homes in the U.S. (110 million and counting), Zillow visitors can search homes for sale, homes for rent, and homes not currently on the market. Homeowners can browse remodeling ideas in Dueling Digs, or dig into the latest real estate trends in their neighborhood via Zillow's expansive local data pages. Zillow is a media business model and makes money selling targeted, relevant advertising to real estate professionals, and connecting home and mortgage shoppers with professionals who can help them.  Zillow began trading on the NASDAQ Stock Market on July 20, 2011.",http://www.linkedin.com/company/zillow,,http://twitter.com/zillow,http://www.facebook.com/Zillow,125
Qualia,https://www.crunchbase.com/organization/qualia-labs-inc,https://www.qualia.com/,"Marketplace, Property Management, Real Estate, Software","Commerce and Shopping, Real Estate, Software",Qualia is a digital real estate company that coordinates every step of the closing process through a secure shared platform.,"Qualia is a digital closing platform used by real estate professionals, lenders, title and escrow operations, and home buyers and sellers in the United States. Processing real estate transactions for millions of consumers each year, our technology brings together users from across the real estate ecosystem to coordinate every step of the closing process through a secure shared platform. Built by a diverse team of experts from across the tech, finance, and real estate industries, Qualia combines an enterprise title and escrow production platform, nationwide vendor marketplace, and online closing room for consumers to create a secure, seamless home buying experience for all. The company was launched in 2015 and based in San Francisco, California.",https://www.linkedin.com/company/qualiasoftware/,Unicorn,https://twitter.com/qualiasoftware,https://www.facebook.com/qualiasoftware/,151
Cadre,https://www.crunchbase.com/organization/cadre-2,http://cadre.com,"Financial Services, FinTech, Marketplace, Real Estate","Commerce and Shopping, Financial Services, Real Estate",Cadre is an online marketplace that connects investors and operators of real estate.,"Cadre is an online marketplace that connects investors and operators of real estate.  It enables investments and transactions, provides a sophisticated technology product for managing processes, and powers predictive analytics for its investors. Investors are able to sell their interest on the secondary marketplace thereby introducing liquidity into an antiquated industry. They are able to gain transparency, efficiency, and liquidity through the use of its proprietary technology, and are able to make better, more data-driven decisions.  Founded by Ryan Williams, and Josh and Jared Kushner, Cadre was launched in 2014.",https://www.linkedin.com/company/3338049,Emerging Unicorn,https://twitter.com/cadrere,https://www.facebook.com/CadreCRE/,169
Ideanomics,https://www.crunchbase.com/organization/you-on-demand-holdings,http://www.ideanomics.com/,"AgTech, Blockchain, Digital Marketing, Electric Vehicle, FinTech, Information Technology, Marketing Automation, Payments, Real Estate","Agriculture and Farming, Financial Services, Information Technology, Other, Payments, Real Estate, Sales and Marketing, Software, Transportation",Ideanomics is a global company focused on the convergence of financial services and industries experiencing technological disruption.,"Ideanomics is a global company focused on the convergence of financial services and industries experiencing technological disruption. Our Mobile Energy Global (MEG) division is a service provider which facilitates the adoption of electric vehicles by commercial fleet operators through offering vehicle procurement, finance and leasing, and energy management solutions under our innovative sales to financing to charging (S2F2C) business model. Ideanomics Capital is focused on disruptive fintech solutions and services across the financial services industry. Together, MEG and Ideanomics Capital provide our global customers and partners with leading technologies and services designed to improve transparency, efficiency, and accountability, and our shareholders with the opportunity to participate in high-potential, growth industries. The company is headquartered in New York, NY, with offices in Beijing, Hangzhou, and Qingdao, and operations in the U.S., China, Ukraine, and Malaysia.",http://www.linkedin.com/company/1801444,,https://twitter.com/ideanomicshq,https://www.facebook.com/ideanomicshq/,290
H.I.G. Capital,https://www.crunchbase.com/organization/hig-capital,http://higcapital.com/,"Credit, Finance, Financial Services, Insurance, Real Estate","Financial Services, Lending and Investments, Real Estate",H.I.G. Capital is a global private equity and alternative assets investment firm with $42 billion of equity capital under management.,"H.I.G. Capital is an American global private equity and alternative assets investment firm with $37 billion of equity capital under management. The firm operates a family of private equity, growth equity, biohealth, real estate, credit/special situations, lending and syndicated credit funds. Based in Miami, and with offices in New York, Boston, Chicago, Dallas, Los Angeles, San Francisco and Atlanta, as well as affiliate offices in London, Hamburg, , Madrid, Milan, Paris ,Bogotá, Mexico City and Rio de Janeiro). H.I.G. Capital specializes in providing both debt and equity capital to small and mid-sized companies, utilizing an operationally focused/ value-added approach. H.I.G. currently operates a family of funds: > H.I.G.’s equity funds invest in management buyouts, recapitalizations and corporate carve-outs of both profitable as well as underperforming manufacturing and service businesses. > H.I.G.’s debt funds invest in senior, unitranche and junior debt financing to companies across the size spectrum, both on a primary (direct origination) basis, as well as on the secondary markets. H.I.G. is also a leading CLO manager, through its WhiteHorse family of vehicles, and manages a publicly traded BDC, WhiteHorse Finance. > Other H.I.G. funds invest in various real assets, including real estate and shipping.",https://www.linkedin.com/company/h-i-g--capital/,,https://twitter.com/HIGCapitalLLC,https://www.facebook.com/HIG-Capital-160904130600207/,303
Apartment List,https://www.crunchbase.com/organization/apartmentlist,http://www.apartmentlist.com,"Real Estate, Rental, Rental Property, Search Engine","Commerce and Shopping, Internet Services, Real Estate","Apartment List is a smart, simple and seamless renting platform that’s dedicated to making the process fair and transparent for all.","Apartment List is a smart, simple, and seamless renting platform that’s dedicated to making the process fair and transparent for all. Their mission is to build a better world of renting for everyone, to get rid of the pain and complexity, and makes it more personal, flexible, and transparent. They make finding a home to love easy and enjoyable, with a personally curated search feature that gets to know the individual. It was incorporated in 2009 and is based in San Francisco, California.",https://www.linkedin.com/company/apartment-list,Emerging Unicorn,http://twitter.com/apartmentlist,,372
Redfin,https://www.crunchbase.com/organization/redfin,http://www.redfin.com/,"Internet, Property Management, Real Estate","Internet Services, Real Estate",Redfin is a provider of real estate search and brokerage services through a combination of real estate web platforms accessible to agents.,"Redfin is a provider of real estate search and brokerage services through a combination of real estate web platforms accessible to agents. It represents people buying and selling homes and features all of the broker-listed homes for sale, as well as for-sale-by-owner properties. Its real estate agents work with the company's team of engineers to create tools that make the buying and selling process easier. On their site, Redfin combines MLS listing information with historical data into a single map. Customers can search for homes by neighborhood, city, zip code, MLS number or school zone, and can refine results using detailed parameters like price and number of beds or baths.  The company was founded in 2004 by David Eraker, Michael Dougherty, and Dave Selinger, and is based in Seattle, Washington.",http://www.linkedin.com/company/redfin,,http://www.twitter.com/Redfin/,http://www.facebook.com/redfin,462
