Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Drift,https://www.crunchbase.com/organization/drift,http://www.drift.com,"Apps, Enterprise Software, Internet, Marketing Automation, Sales Automation, Software","Apps, Information Technology, Internet Services, Sales and Marketing, Software","Use conversations to make business buying frictionless, more enjoyable, and more human.","Drift is the Revenue Acceleration platform that uses Conversational Marketing and Conversational Sales to help companies grow revenue and increase customer lifetime value, faster. More than 50,000 businesses use Drift to align sales and marketing on a single platform to deliver a unified customer experience where people are free to have a conversation with a business at any time, on their terms.",https://www.linkedin.com/company/drift/,,https://twitter.com/drift,https://www.facebook.com/heydrift,22
Workato,https://www.crunchbase.com/organization/workato,http://www.workato.com,"Cloud Computing, Data Integration, Marketing Automation, SaaS, Sales Automation","Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Software",Workato is an enterprise automation platform that helps organizations work faster and smarter without compromising governance and security.,"Workato is an intelligent automation platform designed to automate work in businesses. It enables business and IT to integrate their apps and automate complex business workflows with security and governance. It helps businesses create powerful, business-critical integrations between cloud apps in minutes.  Founded on 2013, Workato is trusted by top brands as well as its growing innovators. It is headquartered in Mountain View, California.",https://linkedin.com/company/workato,Unicorn,https://twitter.com/workato,https://facebook.com/workato,72
SalesLoft,https://www.crunchbase.com/organization/salesloft,http://salesloft.com,"B2B, Email, Internet, SaaS, Sales, Sales Automation, Software","Information Technology, Internet Services, Messaging and Telecommunications, Other, Sales and Marketing, Software","SalesLoft is a sales engagement platform that assists sales professionals in customer communication, pipeline building, and managing deals.","SalesLoft won 3-time #1 Best Place to Work in Atlanta, #6 Best Places to Work by Glassdoor, Inc. Best Workplaces 2020,  #10 Best Company Culture by Comparably, and Great Place to Work by Fortune. David Cummings, Kyle Porter, Rob Forman, and Tim Dorr co-founded and headquartered it in Atlanta, Georgia in 2011.",http://www.linkedin.com/company/salesloft,"Pledge 1%, Unicorn",http://twitter.com/salesloft,http://www.facebook.com/SalesLoft,91
Pipefy,https://www.crunchbase.com/organization/pipefy,http://www.pipefy.com,"Information Technology, SaaS, Sales Automation, Software, Task Management","Information Technology, Sales and Marketing, Software","Pipefy specializes in the fields of process management, workflow, process automation, and task management.","Pipefy specializes in the fields of process management, workflow, process automation, and task management. Through a simple Kanban-style interface companies can achieve process excellence without the need for IT, technical skills, or professional services. Its fully customizable platform helps teams attain higher levels of productivity and efficiency by setting clear execution standards for every step of each process. Pipefy was founded in 2015 by Alessio Alionço, a former mergers and acquisitions consultant. Its headquarters is based in San Francisco in California.",https://www.linkedin.com/company/pipefy/,,https://twitter.com/pipefy,https://www.facebook.com/pipefy,214
Intercom,https://www.crunchbase.com/organization/intercom,http://www.intercom.com,"Apps, CRM, Customer Service, Marketing Automation, Messaging, SaaS, Sales Automation, Software","Apps, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Sales and Marketing, Software","Conversational Relationship Platform helping businesses build customer relationships through personalized, messenger-based experiences.","Intercom is a Conversational Relationship Platform (CRP) that helps businesses build better customer relationships through personalized, messenger-based experiences. It’s the only platform that delivers conversational experiences across the customer journey, with solutions for Conversational Marketing, Conversational Customer Engagement and Conversational Support. Intercom is bringing a messenger-first experience to all business-to-customer communication, powering 500 million conversations per month and connecting 4 billion unique end users worldwide across its more than 30,000 paying customers, including Atlassian, Sotheby’s and New Relic.The company was founded in 2011 in San Francisco by Eoghan McCabe, Des Traynor, Ciaran Lee and David Barrett, with the mission to make internet business personal. Intercom was valued at $1.275 billion in 2018 and has secured $241 million in funding from investors including Kleiner Perkins, Bessemer Venture Partners and Social Capital.",http://www.linkedin.com/company/2491343,Unicorn,http://twitter.com/intercom,http://www.facebook.com/intercominc,529
Pipedrive,https://www.crunchbase.com/organization/pipedrive,https://www.pipedrive.com,"CRM, Marketing Automation, SaaS, Sales Automation, Software","Information Technology, Sales and Marketing, Software",Pipedrive is the first CRM platform developed from the salesperson’s point-of-view.,"Founded in 2010, Pipedrive is the first CRM platform developed from the salesperson’s point-of-view. Inspired by proven methods of experienced salespeople, Pipedrive engineers developed a platform that helps salespeople and teams focus on learning and repeating their most effective process to close deals. By bringing together tools and data, the platform focuses sales professionals on fundamentals to advance deals through their pipelines. Pipedrive helps to provide management and sales teams with more timely, detailed, and accurate sales reporting and revenue projections. Today, Pipedrive is helping more than 90,000 sales teams in more than 150 countries to get more qualified leads into their pipelines and take quicker action on the most promising deals.",http://www.linkedin.com/company/1876917,,http://twitter.com/pipedrive,http://www.facebook.com/pipedrive,546
Seismic,https://www.crunchbase.com/organization/seismic-software,http://seismic.com,"Analytics, Enterprise Software, Machine Learning, Marketing Automation, Sales Automation","Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Software",Seismic is a sales enablement and marketing orchestration platform that improves close rates & delivers larger deals for sales teams.,"Seismic’s leading sales enableSeismic is the leading global sales and marketing enablement solution, improving close rates, and delivering larger deals for sales while increasing marketing’s impact on the bottom line. Large enterprises use Seismic to increase sales productivity through the automatic distribution of relevant information and personalized content to reps for any buyer interaction. Powerful content controls and visibility into usage ensures brand integrity and reduces risk. Seismic’s machine learning and analytics capabilities continuously improve the entire enablement process for large enterprises, increasing the ROI of sales content and tying it directly to revenue. Headquartered in San Diego and with more than 300 employees across the globe, Seismic is privately held by its executive team and investment firms General Atlantic, JMI Equity, and Jackson Square Ventures.",http://www.linkedin.com/company/seismic-software,Unicorn,http://twitter.com/SeismicSoftware,http://www.facebook.com/seismicsoftware,"1,039"
UserTesting,https://www.crunchbase.com/organization/usertesting-com,http://www.usertesting.com,"Consumer Research, Market Research, Marketing Automation, Product Management, SaaS, Sales Automation, Software","Data and Analytics, Design, Information Technology, Other, Sales and Marketing, Software",UserTesting is an on-demand human insight platform designed to improve customer insights.,"UserTesting is an on-demand human insights platform that empowers organizations to make timely, customer-centric business decisions with confidence. With UserTesting, brands can target their exact customer audience, readily create and execute studies, and engage in live conversations to better understand, capture, and spotlight meaningful reactions and responses. Easily package these human insights into a video reel and share them across the organization to make more informed decisions that influence the customer experience and increase brand loyalty and revenue.",http://www.linkedin.com/company/564709,,http://twitter.com/usertesting,http://www.facebook.com/UserTestingcom,"1,058"
Bigtincan,https://www.crunchbase.com/organization/bigtincan,http://www.bigtincan.com,"Analytics, Artificial Intelligence, Desktop Apps, E-Learning, Machine Learning, Mobile Apps, Productivity Tools, Sales Automation, Software, Training","Apps, Artificial Intelligence, Data and Analytics, Education, Information Technology, Mobile, Other, Sales and Marketing, Science and Engineering, Software","Sell Smarter, Learn Faster, and Win More with the industry’s leading AI-powered Sales Enablement Automation Platform.","Bigtincan (ASX:BTH)  helps sales and service teams increase win rates and customer satisfaction.  The company’s mobile, AI-powered sales enablement automation platform features the industry’s premier user experience that empowers reps to more effectively engage with customers and prospects and encourages team-wide adoption.  Leading brands including AT&T, ThermoFisher, Merck, ANZ Bank and others rely on Bigtincan to enhance sales productivity at every customer interaction.  With global sales and marketing headquartered in Boston, Bigtincan also has offices across EMEA, Australia and Asia.   ",https://www.linkedin.com/company/275237/,,http://twitter.com/bigtincan,http://www.facebook.com/bigtincan,"1,194"
Cogito,https://www.crunchbase.com/organization/cogito-corp,http://www.cogitocorp.com,"Artificial Intelligence, CRM, Customer Service, Machine Learning, Sales Automation, Software","Artificial Intelligence, Data and Analytics, Information Technology, Other, Professional Services, Sales and Marketing, Science and Engineering, Software",Cogito enhances the emotional intelligence of phone professionals by applying behavioral science through artificial intelligence.,"Cogito is a computer service company that enhances the emotional intelligence of phone professionals by applying behavioral science through artificial intelligence and machine learning. Its software evaluates hundreds of behavioral signals through voice to provide live conversation coaching for agents and a real-time measure of customer experience for every call.   It was founded in 2007 and is headquartered in Boston, Massachusetts.",http://www.linkedin.com/company/cogito-corp-,,http://twitter.com/CogitoCorp,https://www.facebook.com/cogitocorporation,"1,312"
