Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,http://www.crowdstrike.com,"Cyber Security, Network Security, SaaS, Security","Information Technology, Privacy and Security, Software",CrowdStrike is a cybersecurity technology firm pioneering cloud delivered next-generation endpoint protection and services.,"CrowdStrike is a cybersecurity technology firm pioneering next-generation endpoint protection, delivered as a single integrated cloud-based solution. CrowdStrike’s Falcon platform stops breaches by detecting all attacks types, even malware-free intrusions, providing five-second visibility across all current and past endpoint activity while reducing cost and complexity for customers. CrowdStrike’s Falcon platform is delivered via the security industry’s only 100% native cloud architecture, integrated with 24/7 managed hunting capabilities and in-house threat intelligence and incident response teams. CrowdStrike’s unique Threat Graph harnesses the cloud to instantly analyze data from billions of endpoint events across a global crowdsource community, allowing detection and prevention of attacks based on patented behavioral pattern recognition technology.",https://www.linkedin.com/company/crowdstrike/,Exited Unicorn,http://twitter.com/CrowdStrike,https://www.facebook.com/CrowdStrike,43
Cloudflare,https://www.crunchbase.com/organization/cloudflare,http://www.cloudflare.com,"Ad Server, Advertising, Analytics, Enterprise Software, Security, Web Hosting","Advertising, Data and Analytics, Internet Services, Privacy and Security, Sales and Marketing, Software",Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online.,"Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online. Its online platforms include Cloudflare CDN that distributes content around the world to speed up websites, Cloudflare optimizer that enables web pages with ad servers and third-party widgets to download Snappy software on mobiles and computers, CloudFlare security that protects websites from a range of online threats including spam, SQL injection, and DDOS, Cloudflare analytics that gives insight into website’s traffic including threats and search engine crawlers, Keyless SSL that allows organizations to keep secure sockets layer (SSL) keys private, and Cloudflare applications that help its users install web applications on their websites. Lee Holloway, Matthew Prince, and Michelle Zatlyn founded Cloudflare in 2009, with its headquarters in San Francisco in California.",https://www.linkedin.com/company/cloudflare-inc-,Exited Unicorn,http://twitter.com/cloudflare,http://www.facebook.com/Cloudflare,48
Lacework,https://www.crunchbase.com/organization/lacework,https://www.lacework.com/,"Cloud Security, Compliance, Security, Software","Information Technology, Privacy and Security, Professional Services, Software",Lacework is a security platform for cloud generation that provides automated threat defense and intrusion detection for cloud workloads.,"Lacework is a security platform for cloud generation that provides automated threat defense and intrusion detection for cloud workloads. Its platform automates every aspect of security, including configuration assessment, behavior monitoring, anomaly, and threat detection as well as incident investigation and provides continuous monitoring of all cloud components such as workloads, application, processes, containers, machines, users, and accounts that enable security teams to protect data and workloads in the cloud and maintain continuous compliance. The company was founded in 2015 and is based in Mountain View, California.",https://www.linkedin.com/company/lacework/,Unicorn,https://www.twitter.com/laceworkinc,https://www.facebook.com/laceworkinc,51
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,http://www.goldmansachs.com/,"Banking, Finance, Financial Services, Security, Venture Capital","Financial Services, Lending and Investments, Privacy and Security","Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.","The Goldman Sachs Group, Inc. provides investment banking, securities, and investment management services, as well as financial services to corporations, financial institutions, governments, and high-net-worth individuals worldwide. Its Investment Banking segment offers financial advisory services, including advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions. The company’s Institutional Client Services segment provides client execution services, such as fixed income, currency, and commodities client execution related to making markets in interest rate products, credit products, mortgages, currencies, and commodities; and equities related to making markets in equity products, as well as executes and clears institutional client transactions on stock, options, and futures exchanges. This segment also engages in securities services business providing financing, securities lending, and other brokerage services to institutional clients, including hedge funds, mutual funds, pension funds, and foundations. Its Investing and Lending segment originates longer-term loans; and invests in debt securities, loans, public and private equity securities, real estate, consolidated investment entities, distressed assets, currencies, commodities, and power generation facilities. The company’s Investment Management segment provides investment products and services, as well as offers wealth advisory services, including portfolio management and financial counseling, and brokerage and other transaction services. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.",http://www.linkedin.com/company/goldman-sachs,,http://twitter.com/goldmansachs,https://www.facebook.com/goldmansachs,77
StackRox,https://www.crunchbase.com/organization/stackrox,http://www.stackrox.com,"Cloud Computing, Cloud Security, Enterprise Software, Security","Information Technology, Internet Services, Privacy and Security, Software","StackRox is a Kubernetes-native security platform for cloud-native applications, containers, serverless, and Kubernetes.","StackRox helps enterprises secure their containers and Kubernetes environments at scale. StackRox delivers a Kubernetes-native container security platform that enables security and DevOps teams to enforce their security and compliance policies across the entire container life cycle, from build to deploy to runtime. The StackRox Kubernetes Security Platform integrates with existing DevOps and security tools, enabling teams to quickly operationalize container and Kubernetes security. StackRox customers span cloud-native companies, Global 2000 enterprises, and government agencies. StackRox is privately held and headquartered in Mountain View, California.",https://www.linkedin.com/company/stackrox/,,https://twitter.com/stackrox,https://www.facebook.com/GoStackRox/,88
FireEye,https://www.crunchbase.com/organization/fireeye,https://www.fireeye.com/,"Cyber Security, Network Security, Security","Information Technology, Privacy and Security",FireEye is an intelligence-led security company that protects customers using innovative technology and expertise from the front lines.,"FireEye is a cyber security company that combines the automation of technology with unparalleled frontline human expertise, including industry-recognized services and nation-state grade threat intelligence. On the front lines of cyber attacks every day, FireEye has unrivaled real-time knowledge of the global threat landscape spanning more than two decades, gathered by hundreds of highly experienced threat researchers, platform engineers, malware analysts, intelligence analysts, and investigators, as well as a global network of best-in-class business partners. This unique understanding of how organizations combat cyber attacks guides the products FireEye builds. Working as a seamless, scalable extension of customer security operations, FireEye offers a unified platform called Helix that integrates and analyzes the data from security assets to offer real answers about the threats that matter. With innovative security technologies, nation-state grade threat intelligence, and world-renowned Mandiant consultants, FireEye eliminates the complexity and burden of cyber security for organizations struggling to prepare for, respond to, and remediate cyber attacks.",https://www.linkedin.com/company/fireeye,Exited Unicorn,https://twitter.com/fireeye,https://www.facebook.com/FireEye,109
iboss,https://www.crunchbase.com/organization/iboss,https://www.iboss.com,"Cloud Computing, Cyber Security, Network Security, Security, Software","Information Technology, Internet Services, Privacy and Security, Software","iboss is a cloud security company that provides network security as a service, delivered in the cloud, as a complete SaaS offering.","iboss has created the first and only web gateway as a service specifically designed to solve the challenge of securing distributed organizations. Built for the cloud, the iboss Distributed Gateway Platform leverages an elastic, cloud-based node architecture that provides advanced security for today’s decentralized organizations with more financial predictability. Users are always connected to iboss cloud, regardless of device or location, to ensure all Internet traffic is secured for compliance, web filtering, malware defense, and data loss at all times. iboss was founded in 2003 and is based in Boston, MA, USA.",https://www.linkedin.com/company/iboss,,https://twitter.com/ibosscloud,https://www.facebook.com/ibosscloud/,123
FLIR Systems,https://www.crunchbase.com/organization/flir-systems,http://www.flir.com,"Electronics, Image Recognition, Manufacturing, Security","Consumer Electronics, Data and Analytics, Hardware, Manufacturing, Privacy and Security, Software","FLIR Systems designs, manufactures, and markets technology solutions that focus on thermal imaging and infrared camera systems.","FLIR Systems primarily designs, manufactures, and markets thermal imaging and infrared camera systems in the U.S. and internationally. Its Thermography division offers products for commercial and industrial applications, where temperature measurement is a primary requirement. The Commercial Vision Systems division caters to security, automotive, marine, airborne, and first responder markets.  The company was founded in 1978 and is headquartered in Wilsonville, Oregon.",http://www.linkedin.com/company/flir-systems,,https://twitter.com/FLIRJobs,https://www.facebook.com/FLIR/,165
Snyk,https://www.crunchbase.com/organization/snyk,https://snyk.io/,"Developer Tools, Open Source, Security, Software","Privacy and Security, Software",Snyk is a developer of security analysis tools used to identify open-source vulnerabilities.,"Snyk helps software-driven organizations find and fix vulnerabilities in open source dependencies and container images. The company is a developer-first security company that helps organizations use open-source code and stay secure. The startup provides a tool that is used by developers to scan their code for vulnerable open-source components. Most enterprise applications incorporate open-source components and consequently are vulnerable to any security exploits that may be hiding in those files. Snyk’s tool flags exploits and gives developers tips on how to fix them. Developers can plug the tool into the existing code editors in which they write their applications and receive alerts about security issues directly inside the interface. The vulnerability alerts that Snyk generates are drawn from an internal database of software security flaws. In 2015, Snyk was launched by Guy Podjarny, Danny Grander, and Assaf Hefetzbased in London, England.",https://www.linkedin.com/company/snyk,Unicorn,https://www.twitter.com/snyksec,https://www.facebook.com/snyksec,251
Tanium,https://www.crunchbase.com/organization/tanium,http://www.tanium.com,"Enterprise Software, Information Technology, SaaS, Security, Software","Information Technology, Privacy and Security, Software",Tanium is a security and systems management platform allowing real-time data collection at an enterprise scale.,"Tanium is a security and systems management platform that allows real-time data collection at an enterprise scale. It provides enterprise and government organizations with tools to secure, control, and manage millions of endpoints across the enterprise within seconds. The platform allows security and IT operations teams to get access to visibility and accurate information on the state of endpoints at all times to protect against modern-day disruptions and realize new levels of business resilience. Tanium was founded by David Hindawi and Orion Hindawi in 2007 and is headquartered in Kirkland, Washington, United States.",https://www.linkedin.com/company/tanium,Unicorn,https://twitter.com/Tanium,,270
