Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
SEMrush,https://www.crunchbase.com/organization/semrush,https://www.semrush.com,"Analytics, Content Marketing, Digital Marketing, Market Research, SaaS, Search Engine, Semantic Search, SEO, Social Media Marketing, Software","Data and Analytics, Design, Internet Services, Sales and Marketing, Software",SEMrush is a an online visibility management and content marketing SaaS platform.,"SEMrush is online visibility management and content marketing SaaS platform that ensures businesses get measurable results from online marketing. Trusted by more than 5,000,000 marketing professionals, SEMrush offers insights and solutions for companies in any industry to build, manage, and measure campaigns across all marketing channels.  With 40+ tools for search, content, social media and market research in the platform, data for more than 140 countries, seamless integration with Google and task management platforms, SEMrush is now a must-have solution for all companies who are serious about online.",https://www.linkedin.com/company/semrush,,https://twitter.com/semrush,https://www.facebook.com/SEMrush,"1,413"
Reputation.com,https://www.crunchbase.com/organization/reputation-com,http://www.reputation.com,"Analytics, Enterprise Software, Internet, Reputation, SaaS, SEO, Social Media","Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software","Reputation.com provides solutions for tracking and improving online reviews, social media, and local search visibility for businesses.","Reputation.com delivers an Online Reputation Management (ORM) platform for large enterprises with hundreds or thousands of locations. The platform provides a 360-degree view of online reputation and allows clients to manage online reviews, social media, business listings, and customer surveys. Its advanced analytics and reporting capabilities deliver valuable operational insights that help clients be more efficient, deliver better service and drive traffic, visits, and revenue. Businesses can also gain valuable insights at the local level that will give it the information needed to make operational changes to maximize customer retention and revenue. Reputation.com was founded on 2006 and is headquartered in Redwood City, California.",https://www.linkedin.com/company/reputation-com,,http://twitter.com/Reputation_Com,http://www.facebook.com/reputation.com,"1,593"
Bloomreach,https://www.crunchbase.com/organization/bloomreach,http://www.bloomreach.com,"Big Data, CMS, E-Commerce, Enterprise Software, Machine Learning, Natural Language Processing, Semantic Search, SEO, Software","Artificial Intelligence, Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Sales and Marketing, Software",The leader in commerce experience™,"Bloomreach is the leader in commerce experience™. Its flagship product, brX, is the only digital experience platform built specifically for brands, retailers and B2B companies who want to grow their revenue online while delivering each of their customers a premium, personalized experience. brX combines content management capabilities with market-leading, commerce-specific, AI-driven search, merchandising and personalization in one flexible, API-first next generation platform.  Bloomreach serves over 300 companies globally including Albertsons, Staples, Bosch, Puma, FC Bayern Munchen and Marks & Spencer. Bloomreach has a global ecosystem of certified partners and market-leading commerce platforms, including Accenture Interactive, BORN, commercetools, EPAM, IBM iX, Salesforce, SAP, valtech, and Wunderman Thompson Commerce.  For more information, visit Bloomreach.com and follow our news on Twitter @Bloomreach_tm or on LinkedIn at http://www.linkedin.com/company/bloomreach.",https://www.linkedin.com/company/bloomreach/,,http://twitter.com/bloomreach_tm,http://www.facebook.com/bloomreach,"2,222"
BentoBox,https://www.crunchbase.com/organization/bentobox,http://getbento.com/,"Apps, Mobile, Restaurants, SEO, Software","Apps, Food and Beverage, Internet Services, Mobile, Sales and Marketing, Software","BentoBox empowers restaurants to own their presence, profits, and relationships, directly through their website.","BentoBox develops a mobile operations platform for restaurants to automate tasks such as updating menus and social media, promoting private events, sharing press, and selling gift cards. Its solution offers search engine optimization, social media and newsletter sign-up, and one-click reservations.  BentoBox disrupts third-party services that come between the restaurant and the guest. It also puts the restaurant first and offers tools that drive high-margin revenue directly through the restaurant’s website. Krystle Mobayeni and Pierre Drescher founded BentoBox on August 1, 2013, and it is based in New York City.",https://www.linkedin.com/company/bentobox/,,https://twitter.com/bentoboxnyc,https://www.facebook.com/BentoBoxNYC/,"3,064"
Simpli.fi,https://www.crunchbase.com/organization/simpli-fi,http://www.simpli.fi,"Ad Exchange, Advertising, Auctions, Search Engine, Semantic Search, SEO","Advertising, Commerce and Shopping, Internet Services, Sales and Marketing",Simpli.fi is a demand side platform transforming unstructured data elements to valuable factors that aid in decision making.,"Simpli.fi is an advertising technology company that simplifies digital advertising through the use of unstructured data. Their In.finity™ Programmatic Marketing Platform enables marketers to use unstructured data to extract unlimited value from real-time bidding (RTB) advertising exchanges. With In.finity, advertisers can target, bid, optimize and report at the data element level. Founded in 2010, Simpli.fi has experience explosive growth with a 242% compound annual growth rate with more than 50,000 successful advertising campaigns launched through the In.finity platform.",http://www.linkedin.com/company/801567,,http://twitter.com/simpli_fi,https://www.facebook.com/Simpli.fiLocalizedProgrammatic,"3,697"
BrightEdge,https://www.crunchbase.com/organization/brightedge,http://www.brightedge.com,"Analytics, Content, Enterprise Software, Search Engine, SEO","Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Software","BrightEdge, an SEO platform delivering an uplifted ROI, enables marketers to increase revenue from organic search.","BrightEdge is the essential content marketing platform that transforms online content into tangible business results such as traffic, revenue and engagement. BrightEdge's S3 platform is powered by a sophisticated big data analysis engine and is the only company capable of web-wide, real-time measurement of content engagement across all digital channels, including search, social and mobile. BrightEdge 8,500+ brands include 3M, Microsoft, Netflix and Nike. The company is based in San Mateo, CA with offices in New York City, Chicago, and London.",http://www.linkedin.com/company/brightedge,,http://twitter.com/brightedge,http://www.facebook.com/seoplatform,"4,053"
Conductor,https://www.crunchbase.com/organization/conductor,http://www.conductor.com,"Advertising, Content Marketing, Digital Media, SaaS, Search Engine, SEO","Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software","Conductor is a content intelligence platform that enables marketers to create great content, drive qualified traffic, and increase ROI.","Conductor is the world's leading organic marketing company. Our content intelligence platform, Conductor Searchlight, generates customer intent insights that lead to compelling content, increased traffic, and higher organic marketing ROI.  Conductor's technology enables marketers to understand their prospective customers' intent by revealing the trends and topics they are searching for at every phase of purchase process. Customizable dashboards and workflows guide marketers through the content creation process, empowering them to continuously measure, refine, and demonstrate the effectiveness of their SEO and content marketing efforts. Conductor's forward-thinking customers include global brands like Citibank and FedEx, emerging leaders like Birchbox and JustFab, and leading agencies like iProspect and Acronym. In December 2019, Conductor spun out of WeWork and is now an independent company.",http://www.linkedin.com/company/conductor-inc.,,http://twitter.com/conductor,http://www.facebook.com/Conductor,"4,455"
Percolate,https://www.crunchbase.com/organization/percolate,http://percolate.com,"Analytics, Asset Management, Content, Content Marketing, Enterprise Software, Project Management, SEO, Social Media","Administrative Services, Data and Analytics, Financial Services, Internet Services, Media and Entertainment, Other, Sales and Marketing, Software",Percolate is a content marketing platform offering solutions to introduce visibility into the marketing process.,"Percolate's complete web and mobile marketing software increases productivity, elevates your brand and helps you generate more sales. From governance, planning and content creation to audience acquisition, customer management and analytics, Percolate unites your brand, your data and your stories across every team, location, integrated system and customer interaction.",http://www.linkedin.com/company/percolate-inc,,http://twitter.com/percolate,http://www.facebook.com/percolate,"4,616"
A10 Networks,https://www.crunchbase.com/organization/a10-networks,http://www.a10networks.com,"Cloud Computing, Hardware, Security, SEO, Virtualization, Web Hosting","Hardware, Information Technology, Internet Services, Privacy and Security, Sales and Marketing, Software","A10 Networks offers solutions for accelerating web application delivery, bandwidth management and network identity issues.","A10 Networks provides appliances for accelerating web application delivery, bandwidth management and network identity issues  The three appliance families are: AX Series - server load balancing and web application delivery EX Series - quality of service and link load balancing ID Series - includes password management, IP-to-ID translation, RADIUS and more.",http://www.linkedin.com/company/a10networks,,http://twitter.com/A10Networks,http://www.facebook.com/pages/San-Jose/A10-Networks/133959183559,"6,900"
Botify,https://www.crunchbase.com/organization/botify,https://www.botify.com/,"E-Commerce, SaaS, SEO, Software","Commerce and Shopping, Internet Services, Sales and Marketing, Software",Botify is the first unified suite of applications assisting enterprise SEO stakeholders in each phase of the organic search process.,"Botify is the first unified suite of applications assisting enterprise SEO stakeholders in each phase of the organic search process including technical SEO, content and real keywords. Often referred to by our customers as the “advanced version of Google Search Console”, Botify is giving SEO stakeholders the data, tools, and diagnostics necessary to create and maintain high quality digital assets for search engines and voice assistants. As a new standard in organic search analytics, Botify is now used by hundreds of leading international companies across industries including e-travel (Expedia, Luxury Retreats, Odigeo), e-commerce (Jet.com, Macy’s, Farfetch, Zalando), media (Axel Springer, Condé Nast, Refinery29), marketplace  (eBay, RetailMeNot, Monster), and digital agencies (Merkle, iProspect, GroupM).",https://www.linkedin.com/company/botify/,,https://twitter.com/botify,https://www.facebook.com/botify/,"7,130"
