Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
project44,https://www.crunchbase.com/organization/project44,http://www.project44.com/,"Developer APIs, Enterprise Software, Freight Service, SaaS, Shipping, Supply Chain Management, Transportation","Software, Transportation",project44 is a provider of an advanced supply chain visibility platform for shippers and third-party logistics firms.,"project44 is an advanced visibility platform for shippers and third-party logistics firms. project44 connects, automates and provides visibility into key transportation processes to accelerate insights and shorten the time it takes to turn those insights into actions. Leveraging the power of the project44 cloud-based platform, organizations are able to increase operational efficiencies, reduce costs, improve shipping performance, and deliver an exceptional Amazon-like experience to their customers. Connected to over 175,000 carriers worldwide and having comprehensive coverage for all ELD and telematics devices on the market, project44 supports all transportation modes and shipping types, including Parcel, Final-Mile, Less-than-Truckload, Volume Less-than-Truckload, Truckload, Rail, Intermodal and Ocean.",https://www.linkedin.com/company/project-44,,https://twitter.com/freightpipes,https://www.facebook.com/project44Visibility/,168
CloudTrucks,https://www.crunchbase.com/organization/cloudtrucks,https://cloudtrucks.com/,"Apps, Freight Service, Logistics, Shipping, Transportation","Apps, Software, Transportation",CloudTrucks offers a virtual trucking carrier application designed to reduce operating costs for truck drivers.,"CloudTrucks develops a virtual trucking carrier application designed to reduce operating costs for truck drivers. The platform helps to manage and book loads from brokers and shippers, offer instant payments after load delivery, and access to cheap insurance options, enabling truck owners and operators to strategize their schedule and design a revenue-maximizing driving program. The company was founded in 2019 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/cloudtrucks/,,https://twitter.com/CloudTrucks,https://www.facebook.com/cloudtruckshq/,212
Flock Freight,https://www.crunchbase.com/organization/flock-freight,https://www.flockfreight.com/,"Freight Service, Logistics, Shipping, Software, Transportation","Software, Transportation",Flock Freight uses algorithmic pooling technology to allow less-than-truckload (LTL) shippers to share trailer space in one full truckload.,"Flock Freight is reimagining and reinventing the freight industry by relentlessly eliminating inefficiency and waste through algorithmic pooling. Working at the intersection of cutting-edge technology and human-centric logistics management, Flock Freight tailors its shipping experience to meet your business’s needs. Flock Freight seamlessly pools any freight to find the perfect route, avoiding terminals and risky offloads so that a shipment travels safely and directly to its destination, damage-free. The result: on-time delivery with every shipment—guaranteed. With venture capital from Google Ventures and SignalFire, Flock Freight is one of the largest startups in San Diego, California. The company's team is obsessed with aggressively growing its customer base, constantly improving the technology platform, and delivering a superior customer experience.  Flock Freight aims to fundamentally change the $60 billion LTL freight industry across North America with FlockDirect—one pooled shipment at a time.",https://www.linkedin.com/company/flock-freight,Emerging Unicorn,https://twitter.com/flockfreight,https://www.facebook.com/flockfreight/,600
Tive,https://www.crunchbase.com/organization/tive,https://tive.co/,"Enterprise Software, Shipping, Software, Supply Chain Management","Software, Transportation",Tive develops a hardware and software platform designed to track the conditions of shipments.,"Tive is a Boston-based startup that helps companies take the surprises out of their supply chains through true end-to-end visibility. It is the easiest way for companies to manage their supply chain – and get results. Unlock unparalleled insight and enhanced visibility. They help companies improve efficiency and meet regulatory requirements by providing an end-to-end sensor solution to visualize, optimize, and monitor operations in real-time.",https://www.linkedin.com/company/tiveinc/,,https://twitter.com/tiveinc,,765
Shippo,https://www.crunchbase.com/organization/shippo,https://goshippo.com,"B2B, Developer APIs, E-Commerce, Logistics, Shipping, Supply Chain Management","Commerce and Shopping, Other, Software, Transportation",Shippo is a multi-carrier shipping API and web app that helps businesses navigate the complexities of shipping.,"Shippo is a multi-carrier shipping API and web app. E-commerce businesses, marketplaces, and platforms are able to connect to multiple shipping carriers around the world from one API and dashboard, through Shippo. Businesses can get shipping rates, print labels, automate international documents, track shipments, and facilitate returns. The company processes millions of shipments per month for more than 35,000 customers. Businesses are able to instantly access multiple shipping carriers for real-time rates, shipping labels, international paperwork, package tracking, and return logistics. Shippo was founded in 2013 and is headquartered in San Francisco, California.",http://www.linkedin.com/company/4991283,Pledge 1%,http://twitter.com/goshippo,http://www.facebook.com/goshippo,823
DASH Systems,https://www.crunchbase.com/organization/dash-systems-inc,http://www.dashshipping.com,"Aerospace, Air Transportation, Freight Service, Logistics, Mechanical Engineering, Shipping","Science and Engineering, Transportation",DASH Systems is a tech company developing hardware and software to enable precision airdrop deliveries.,"DASH Systems is a Los Angeles based technology company developing hardware and software to enable precision airdrop deliveries. They take a commercial airplane, open the door, and autonomously release and land packages within a helipad-size area. Its technology allows commercial cargo to be safely delivered in remote, rural, or previously inaccessible areas, quickly and affordably.",https://www.linkedin.com/company/dash-systems/,,https://twitter.com/DASHSystems,https://www.facebook.com/DASHShipping/,833
Transfix,https://www.crunchbase.com/organization/transfix,http://transfix.io/,"B2B, Logistics, SaaS, Shipping, Supply Chain Management, Transportation","Other, Software, Transportation","Transfix is a leading transportation solutions provider, combining tech & a best in class carrier network to reshape the future of freight.","Transfix is a leading transportation solutions provider whose digital brokerage capabilities and logistics software offerings are helping reshape the future of freight. The company combines deep industry expertise and a best in class carrier network with cutting edge technology. The result? Competitive pricing, superior service and reliability, and unmatched intelligence for optimizing the supply chain from start to finish. Today, the world’s most recognized brands rely on Transfix’s trusted carrier network, including six of the top ten retailers and five of the ten largest food and beverage brands in America. Transfix was named one of Forbes’ “Next Billion-Dollar Startups” and is headquartered in the heart of New York City. For more information, visit www.transfix.io.",https://www.linkedin.com/company/transfix/,,http://twitter.com/transfixio,http://facebook.com/transfixio,"1,009"
ShipBob,https://www.crunchbase.com/organization/shipbob,http://www.shipbob.com/,"E-Commerce, Logistics, Mobile, SaaS, Shipping, Software","Commerce and Shopping, Mobile, Software, Transportation",ShipBob is a technology company that fulfills e-commerce orders for direct-to-consumer brands.,"ShipBob is a technology company that fulfills e-commerce orders for direct-to-consumer brands. As an end-to-end fulfillment solution, ShipBob provides warehousing and package delivery in 1-2 business days, with a network of fulfillment centers across the US. Its software combines order and inventory management, customer communication, predictive insights, and optimized shipping for online merchants. ShipBob’s software is also fully integrated with e-commerce platforms, including eBay, Shopify, Amazon, Magento, and many more. Based in Chicago, Illinois, ShipBob was founded in 2014 by [Divey Gulati](http://www.crunchbase.com/person/divey-gulati) and [Dhruv Saxena](http://www.crunchbase.com/person/dhruv-saxena).",,,http://twitter.com/LoveShipBob,http://www.facebook.com/Loveshipbob,"1,522"
Narvar,https://www.crunchbase.com/organization/narvar,http://www.narvar.com,"E-Commerce, Retail, SaaS, Shipping, Supply Chain Management","Commerce and Shopping, Software, Transportation","Narvar is a customer experience platform that helps retailers inspire long-term customer loyalty, at all steps of the post-purchase journey.","Narvar is a customer experience platform that helps retailers inspire long-term customer loyalty, at all steps of the post-purchase journey. It helps retailers inspire loyalty beyond reason.  As an enterprise-grade customer experience platform serving 500+ retailers like Sephora, Patagonia, Home Depot, Gap, and Bose, Narvar enables seamless post-purchase experiences that retain, engage, and delight customers — from cart to doorstep, and beyond. With effortless order tracking, proactive communications, and seamless returns, Narvar applies machine learning across billions of interactions to simplify the everyday lives of consumers.  The company was established in 2012 and is based in San Francisco, California.",https://www.linkedin.com/company/narvar,,https://twitter.com/narvarinc,https://www.facebook.com/NarvarInc/,"1,731"
Deliverr,https://www.crunchbase.com/organization/deliverr,https://deliverr.com,"Delivery, Internet, Shipping","Administrative Services, Internet Services, Transportation",Deliverr provides shipping services for e-commerce businesses.,"Deliverr provides shipping services for e-commerce businesses. It helps the online marketplace to meet shipping standards, avoiding late shipment penalties for orders. The company is driven by a mission to enable any seller, regardless of size, to delight its customers with fast and cost-effective fulfillment. It was founded in 2017 and is based in San Francisco, California.",https://www.linkedin.com/company/deliverr-inc/,,https://twitter.com/DeliverrInc,https://www.facebook.com/deliverrinc,"1,942"
