Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
PlayVS,https://www.crunchbase.com/organization/playvs,https://www.playvs.com/,"Computer, eSports, Gaming, PC Games","Consumer Electronics, Gaming, Hardware, Sports",PlayVS is an operator of an eSports platform used to organize competitions in eSports on behalf of high school.,PlayVS is an operator of an eSports platform used to organize competitions in eSports on behalf of high school. Its platform offers to organize online tournaments and wagers for cash and prizes and helps to play and stay up-to-date on high school e-sports programs that enable teen gamers to form teams at their high schools to compete with players from other schools and the battle for titles at state championships.,https://www.linkedin.com/company/playversus/,,https://twitter.com/playvs,https://www.facebook.com/playvscom/,84
ShotTracker,https://www.crunchbase.com/organization/shottracker,http://shottracker.com,"Analytics, Basketball, Software, Sports","Data and Analytics, Software, Sports",ShotTracker makes sensor-based technology that automatically captures basketball statistics in real-time during practices and games.,"ShotTracker makes sensor-based technology that automatically captures basketball statistics in real-time during practices and games. At ShotTracker, they improve the performance of competitive athletes by bringing elite-level analytics to the masses. Their latest innovation, ShotTracker TEAM, captures real-time practice and game stats for basketball teams, and it's affordable for teams at every level of play.",https://www.linkedin.com/company/shottracker-inc.,,https://twitter.com/shottracker,http://www.facebook.com/ShotTracker,115
DraftKings,https://www.crunchbase.com/organization/draftkings,http://www.draftkings.com,"Fantasy Sports, Gaming, Online Games, Sports","Gaming, Sports",DraftKings provides online daily and weekly fantasy sports contests for cash prizes in major sports.,"DraftKings provides online daily and weekly fantasy sports contests for cash prizes in major sports in the United States and Canada. It offers daily leagues for fantasy football, baseball, basketball, hockey, golf, college football, and college basketball. The company's Sportsbook offers mobile and retail betting for major U.S. and international sports and operates in the United States pursuant to regulations in Colorado, Indiana, Iowa, Mississippi, New Hampshire, New Jersey, New York, Pennsylvania, and West Virginia.  DraftKings was founded in 2012 and is based in Boston, Massachusetts, USA.",http://www.linkedin.com/company/draftkings-inc-,Exited Unicorn,http://www.twitter.com/DraftKings,http://www.facebook.com/DraftKings,163
Lime,https://www.crunchbase.com/organization/limebike,https://www.li.me/,"Cycling, Last Mile Transportation, Mobile Apps, Ride Sharing, Transportation","Apps, Mobile, Software, Sports, Transportation",Lime helps people move around their cities in an affordable and convenient way while eliminating their carbon footprint.,"Lime aims to provide a sustainable solution to the first and last mile transportation problem by helping people move around their cities in an affordable and convenient way while eliminating their carbon footprint. The company empowers future generations to change their behavior so we can save this planet together. From the electric scooter to the e-assist and pedal bike, experience the excitement of Lime’s smart mobility fleet.",https://www.linkedin.com/company/limebike/,Unicorn,https://twitter.com/limebike,https://www.facebook.com/limebike/,207
Hipcamp,https://www.crunchbase.com/organization/hipcamp,http://www.hipcamp.com,"Content, Content Discovery, Marketplace, Outdoors","Commerce and Shopping, Content and Publishing, Media and Entertainment, Sports",Hipcamp unlocks access to private land for camping and outdoor recreation.,"Hipcamp unlocks access to private land for camping and outdoor recreation. It is a mission-driven marketplace where people can list, discover, and book campsites and accommodations on private and public land. Whether it’s finding a scenic spot to pitch a tent or planning a nature-filled getaway, Hipcamp is the go-to guide to getting outside. Hipcamp creates new revenue streams for landowners such as farmers, ranchers, and vintners, which supports them to conserve their land and keep it wild. By unlocking access and simplifying the camping experience, Hipcamp is democratizing, and enhancing the experience of getting outside, inspiring more people to enjoy and protect our world. The company was founded in 2013 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/hipcamp/,,https://twitter.com/hipcamp,https://www.facebook.com/hipcamp,219
Fanatics,https://www.crunchbase.com/organization/fanatics,http://www.fanaticsinc.com,"E-Commerce, Fashion, Manufacturing, Retail, Shopping, Sporting Goods, Sports","Clothing and Apparel, Commerce and Shopping, Design, Manufacturing, Sports","Fanatics designs, manufactures and distributes high-quality fan gear and jerseys across retail channels.","Fanatics design, manufacture, and distribute high-quality fan gear and jerseys across retail channels, better serving the real-time expectations of leagues, teams, fans, and retailers in today’s mobile-first, on-demand culture.",http://www.linkedin.com/company/68543,Unicorn,http://twitter.com/Fanatics,http://www.facebook.com/Fanatics,518
FanDuel,https://www.crunchbase.com/organization/fanduel,http://www.fanduel.com,"Fantasy Sports, Gaming, Sports","Gaming, Sports",FanDuel offers fantasy sports with daily games for real money.,"FanDuel, launched in July 2009, is the undisputed leader in the one-week fantasy sports industry. Offering fantasy sports for NFL, MLB, NBA and NHL FanDuel targets the 30+ million adult fantasy sports players in North America.  Players draft fantasy sports teams at any time of the season in head-to-head or multi-player contests, paying an entry fee for each contest and vie for cash prizes. In 2013 the company awarded over $150m in prizes and is on course to award over $400m in 2014. The company currently has over 100 employees and is headquartered in New York.",http://www.linkedin.com/company/fanduel,Exited Unicorn,http://twitter.com/fanduel,http://www.facebook.com/fanduel,654
Zwift,https://www.crunchbase.com/organization/zwift,http://www.zwift.com,"Content, Cycling, Fitness, Mobile","Media and Entertainment, Mobile, Sports",Zwift operates an online fitness platform used to transform monotonous solo indoor cycling into dynamic and social adventures.,"Zwift is a provider of an interactive fitness platform used to transform monotonous solo indoor cycling and running workouts into dynamic and social adventures. Its platform connects users to physical indoor trainers so that cyclists can pedal inside while immersed in any number of virtual landscapes on a screen in front of them that enable users to join in rides together with friends. Zwift uses gaming technology to bring the outdoor experience indoors, making at-home exercise fun, and engaging. It promotes social experience by connecting cyclists and runners in 3D computer-generated platform. Users of the Zwift platform interact, train, and compete together by wirelessly pairing a bike trainer or treadmill to the Zwift app, to power their in-game avatars. Zwift was launched in 2014 by Alarik Myrin, Eric Min, Jon Mayfield, and Scott Barger and is headquartered in Long Beach, California.",https://www.linkedin.com/company/zwift,Unicorn,https://twitter.com/GoZwift,https://www.facebook.com/gozwift,868
Peloton,https://www.crunchbase.com/organization/peloton-interactive,http://www.onepeloton.com,"Cycling, Fitness, Hardware","Hardware, Sports",Peloton is an interactive fitness platform reinventing fitness with live and on-demand boutique studio classes.,"Peloton is revolutionizing the fitness industry by merging high-design with modern technology to provide access to live and on-demand fitness group classes led by elite NYC instructors. With instant access to classes, performance tracking metrics, and a motivating real-time leaderboard, Peloton is changing the way people get fit through a comprehensive and socially connected experience that makes every workout both efficient and addicting. By merging hardware, software, and content, the company creates the most unique, efficient, and addicting workout experience on the market. Peloton is sold online and in its growing number of showrooms across the country. The company was founded in 2012 and is headquartered in New York.",http://www.linkedin.com/company/2658876,Exited Unicorn,https://twitter.com/onepeloton,http://www.facebook.com/OnePeloton,"1,066"
AMC Entertainment Holdings,https://www.crunchbase.com/organization/amc-entertainment-holdings,https://www.amctheatres.com,"Film, Film Production, Leisure, Loyalty Programs, Media and Entertainment, Mobile Apps, Recreation, Subscription Service, Theatre","Apps, Community and Lifestyle, Media and Entertainment, Mobile, Other, Sales and Marketing, Software, Sports, Video",AMC Theatres is a movie exhibition company that operates a theater chain that aims to provide a high-quality experience to its viewers.,"AMC Theatres is a movie exhibition company that operates a theater chain that aims to provide a high-quality experience to its viewers. The company experiments in the exhibition industry by utilizing its signature power-recliner seats; delivering upgraded food and beverage choices; generating guest engagement through its loyalty and subscription programs, website, and mobile apps; offering large format experiences, and playing a wide variety of content including the latest releases and independent programming. It offers approximately 960 theatres and 10,700 screens to 200 million guests annually. With innovative amenities and a focus on providing an array of movies in the best theatre environment, AMC is recognized as an industry leader and an iconic destination. The Leawood, Kansas-headquartered company was established in 1920 by Edward, Maurice, and Barney Durwood.",http://www.linkedin.com/company/amc-theatres,,http://twitter.com/AMCTheatres,http://www.facebook.com/amctheatres,"1,435"
