Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Blendoor,https://www.crunchbase.com/organization/blendoor,http://www.blendoor.com/,"Analytics, Apps, Mobile, Recruiting, SaaS, Staffing Agency","Administrative Services, Apps, Data and Analytics, Mobile, Professional Services, Software","Blendoor is a computer networking company that specializes in recruiting, SaaS, Mobile, and People Analytics.","Blendoor is a computer networking company that specializes in recruiting, SaaS, Mobile, and People Analytics. It features a mobile-based application platform that specializes in people analytics that migrates candidates sourced from partners and universities and presented to recruiters without a name, photo or dates.  The company was founded in 2014 and headquartered in San Francisco, California.",https://www.linkedin.com/company/blendoor,,https://twitter.com/blendoor,https://www.facebook.com/blendoorapp,"2,180"
NextStep,https://www.crunchbase.com/organization/nextstep-e7b2,http://nextstep.careers/,"Education, Human Resources, Staffing Agency, Training","Administrative Services, Education",NextStep is an information technology company that provides training and job placement for workers via mobile application platform.,"NextStep is an information technology company that provides training and job placement for workers via mobile application platform. It features a mobile and web-based platform that enables its users to manage staff accordingly on their accurate positions.  The company was founded in 2018 and headquartered in Seatle, Washington.",https://www.linkedin.com/company/nextstephealthcarecareers/,,https://twitter.com/nextsteptweets,https://www.facebook.com/nextstephealthcarecareers/,"2,315"
Pymetrics,https://www.crunchbase.com/organization/pymetrics,http://pymetrics.com,"Artificial Intelligence, Intelligent Systems, Neuroscience, Recruiting, Software, Staffing Agency","Administrative Services, Artificial Intelligence, Biotechnology, Data and Analytics, Professional Services, Science and Engineering, Software",Pymetrics develops neuroscience-based assessment and prediction technology for staffing services.,"Pymetrics develops neuroscience-based assessment and prediction technology to transform the way companies hire, retain, and develop their employees. It offers cognitive and emotional assessment solutions; and a personalized and dynamic recommendation engine for recruiting/hiring, retaining, and developing talent.  Frida E. Polli and Julie Yoo founded Pymetrics in September 2013. Its headquarters is in New York City.",http://www.linkedin.com/company/2714872,,http://twitter.com/pymetrics,http://www.facebook.com/pymetrics,"3,054"
Wonolo,https://www.crunchbase.com/organization/wonolo,http://wonolo.com,"Local, Marketplace, Staffing Agency","Administrative Services, Commerce and Shopping, Sales and Marketing",Wonolo is an on-demand staffing platform for businesses to fill their immediate labor needs.,"Wonolo is an on-demand staffing platform that is changing the way businesses find talent for their immediate labor needs. Everyday, we are creating flexible opportunities for individuals to make extra income, learn new skills, and change their lives. At the same time, we are saving companies money by connecting them with talented people within minutes. Wonolo provides a broad range of jobs from warehouse, delivery, and merchandising, to event staffing and admin roles and is currently available in NorCal, SoCal, NY/NJ/PA, Chicago, Dallas, Nashville, Atlanta, and Phoenix. Backed by leading investors including Sequoia Capital, Bain Capital Ventures, DAG Ventures, PivotNorth, Base 10, AMN Healthcare, Wonolo is a rapidly growing tech startup with great traction and growth opportunities. If you are passionate about truly impacting people's lives, building an amazing community of people who want to change the status quo of making work flexible, and disrupting a $100B+ market (contingent labor), we are interested in talking to you! We value hard work, accountability, humility, initiative, and transparency. We live by these values and hire accordingly.  Wonolo is a Great Place to Work-Certified company for delivering a consistently high-trust experience for all employees. We value diversity and are committed to creating an inclusive work environment. We provide equal employment opportunities for all applicants and employees. The company is headquartered in San Francisco, California, and has a second headquarters in Nashville, Tennessee.",http://www.linkedin.com/company/wonolo,,http://twitter.com/Wonolo,http://www.facebook.com/wonoloapp,"3,162"
VNDLY,https://www.crunchbase.com/organization/vndly,https://vndly.com/,"Cloud Management, Human Resources, Recruiting, SaaS, Software, Staffing Agency","Administrative Services, Information Technology, Internet Services, Professional Services, Software",VNDLY offers a vendor management SaaS platform that helps manage contingent workforce needs.,"Vndly provides a cloud-native vendor management technology platform for companies to manage the entire non-employee engagement lifecycle from talent acquisition to training to payment and offboarding. The platform is composed of four modules: contingent workforce management, statement of work (SOW) management, independent contractor (IC) compliance, and total talent acquisition.",https://www.linkedin.com/company/vndly/,,https://twitter.com/vndly,https://www.facebook.com/vndly.inc/,"5,410"
AHEAD,https://www.crunchbase.com/organization/ahead-2,http://thinkahead.com/,"Cloud Computing, Information Technology, Software, Staffing Agency, Virtualization","Administrative Services, Hardware, Information Technology, Internet Services, Software",AHEAD is a solutions-based company that helps clients move to an optimized IT service delivery model.,"AHEAD is a solutions-based company that helps clients move to an optimized IT service delivery model. The company creates business value through true data center innovation, transformation, and optimization of processes and technology. AHEAD serves large commercial and enterprise clients across verticals that include healthcare, financial services, manufacturing, and retail.",http://www.linkedin.com/company/ahead_2,,http://twitter.com/ThinkAheadIT,https://www.facebook.com/thinkaheadit,"5,605"
Appcast,https://www.crunchbase.com/organization/appcast-io,http://www.appcast.io,"Advertising, Advertising Platforms, B2B, Employment, Human Resources, Internet, Recruiting, Staffing Agency","Administrative Services, Advertising, Internet Services, Other, Professional Services, Sales and Marketing",Appcast is a job advertising platform that enables employers to promote their open positions.,"Appcast is a first-of-its-kind programmatic job advertising platform that enables employers to promote their open positions across thousands of job and consumer sites on a 'pay-per-applicant' basis.  With a robust network of job and consumer sites to which applicant openings are posted, Appcast allows talent acquisition leaders to focus their recruitment advertising budgets more efficiently by charging only when a job application is completed on a employer’s corporate career site.   Appcast brings advanced programmatic online ad buying to the HCM market. Above and beyond the pay-per-applicant pricing model, Appcast.io’s ‘rules-based buying’ engine, ensures budget dollars are focused exclusively on hard-to-fill or critical vacancies that need applications.  In addition, employers have the ability to set ad budgets by month or day, job, job function, and business unit.  Launched in January 2014 out of StartDate Labs, Appcast already counts over 200 employers in retail, healthcare, technology, manufacturing, hospitality, and packaged goods as clients.",https://www.linkedin.com/company/appcast-io,,https://twitter.com/appcast_io,https://www.facebook.com/appcast.io,"5,764"
IntelyCare,https://www.crunchbase.com/organization/intelycare,https://www.intelycare.com/,"Health Care, Medical, Staffing Agency","Administrative Services, Health Care",IntelyCare is the intelligent workforce management solution for post-acute healthcare facilities.,"IntelyCare offers a digital workforce augmentation platform that combines a gig-model application with advanced data science to optimize staff resources and close the widening gap between workforce supply and demand. IntelyCare is revolutionizing the antiquated healthcare staffing market, filling nursing shifts at three times the industry average and giving post-acute facilities the tools to predict and manage staffing needs. The company’s engaging mobile app empowers nursing professionals with access to flexible, on-demand work opportunities, reducing burnout and attrition while increasing productivity.",https://www.linkedin.com/company/intelycare/,,https://twitter.com/intelycare,https://www.facebook.com/IntelyCare/,"5,910"
Bluecrew,https://www.crunchbase.com/organization/bluecrew,https://www.bluecrewjobs.com/,"Human Resources, Recruiting, Staffing Agency","Administrative Services, Professional Services",Bluecrew is Your On-Demand Staffing Solution,"BlueCrew is an on-demand staffing platform for temporary workers. They are looking to change the future of work by adding transparency and automation to the staffing of blue collar positions. They are the best platform to quickly fill short term, low complexity positions with high quality candidates. They offer theircustomers the flexibility of a mobile-based staffing platform, with the benefits of the legal protections from a traditional w2 staffing model.",https://www.linkedin.com/company/bluecrew,,https://twitter.com/bluecrewjobs,https://www.facebook.com/Bluecrewjobs,"6,708"
OneWire,https://www.crunchbase.com/organization/onewire,http://www.onewire.com,"Finance, FinTech, Human Resources, Recruiting, Staffing Agency","Administrative Services, Financial Services, Professional Services",OneWire is a recruiting technology and solutions company for the financial services industry.,"OneWire makes hiring faster and easier for the financial services industry. If you’re a financial services professional, we give you the competitive edge you need to find your next career. Candidates can confidentially search and apply to jobs, join employer talent communities and stay open to new opportunities. If you’re a financial services firm hiring, we’re a one-stop hiring shop that offers recruitment solutions across all budgets and bandwidths. Employers can post jobs, search resumes, use our talent marketplace (Matchbook.io) or partner with our executive search team to find exceptional talent.",https://www.linkedin.com/company/onewire/,,http://twitter.com/OneWiretweets,http://www.facebook.com/OneWire/48518805895,"10,109"
