Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Cruise,https://www.crunchbase.com/organization/cruise,http://www.getcruise.com,"Automotive, Autonomous Vehicles, Robotics, Software, Transportation","Hardware, Science and Engineering, Software, Transportation","Cruise builds self-driving vehicles that safely connects people to the places, things, and experiences they care about.","Cruise is building the world’s most advanced self-driving vehicles to safely connect people with the places, things, and experiences they care about. Cruise autonomous vehicles are on the road in San Francisco navigating some of the most challenging and unpredictable driving environments, because the best way to bring self-driving technology to the world is to expose it to the same unique and complex traffic scenarios human drivers face every day.",https://www.linkedin.com/company/cruise-automation-inc-/,,https://twitter.com/cruise,https://www.facebook.com/cruiseautomation/,23
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,https://www.spacex.com/,"Aerospace, Manufacturing, Space Travel, Transportation","Manufacturing, Science and Engineering, Transportation","SpaceX is an aviation and aerospace company that designs, manufactures, and launches advanced rockets and spacecraft.","Space Exploration Technologies is a space-transportation startup company founded by Elon Musk. SpaceX designs, manufactures, and launches advanced rockets and spacecraft. SpaceX develops crew and cargo capsules, engines, cryogenic tank structures, avionics, equipment, guidance, and control software. The company is developing the partially reusable launch vehicles Falcon 1 and Falcon 9. Founded in 2002, Space Exploration Technologies is headquartered in Hawthorne, California.",https://www.linkedin.com/company/spacex/,Unicorn,https://twitter.com/SpaceX,https://www.facebook.com/Space-X-2006330642950821/,78
Waymo,https://www.crunchbase.com/organization/waymo,http://www.waymo.com/,"Automotive, Autonomous Vehicles, Robotics, Sensor, Software, Transportation","Hardware, Science and Engineering, Software, Transportation",Waymo improves transportation by developing self-driving technology developed in Google’s labs.,"Waymo stands for a new way forward in mobility. it is a self-driving technology company with a mission to make it safe and easy for people and things to move around. Waymo improves transportation by building software and sensor technology developed in Google’s labs since 2009. In October 2015, they achieved the world’s first fully self-driving trip on public roads, in a car without a steering wheel or pedals. They refine Waymo technology through one billion miles of simulation testing each year, and the cars have self-driven over two million miles on public roads across four U.S. cities. It was founded in 2009 and is located in Mountain View, California.",https://www.linkedin.com/company/waymo/,Unicorn,https://twitter.com/Waymo,https://www.facebook.com/Waymo,83
Zoox,https://www.crunchbase.com/organization/zoox,https://www.zoox.com/,"Autonomous Vehicles, Robotics, Transportation","Hardware, Science and Engineering, Software, Transportation",Zoox is an AI robotics company that provides mobility as-a-service and self-driving car services.,"Zoox is a California based robotics company founded by Tim Kentley-Klay and Dr. Jesse Levinson to create autonomous mobility. Operating at the intersection of design, computer science, and electro-mechanical engineering, Zoox is a multidisciplinary team working to imagine and build an advanced mobility experience that will support the future needs of urban mobility for both people and the environment.",https://www.linkedin.com/company/zoox-inc/,Exited Unicorn,https://www.twitter.com/zoox,https://www.facebook.com/zooxlife/,154
project44,https://www.crunchbase.com/organization/project44,http://www.project44.com/,"Developer APIs, Enterprise Software, Freight Service, SaaS, Shipping, Supply Chain Management, Transportation","Software, Transportation",project44 is a provider of an advanced supply chain visibility platform for shippers and third-party logistics firms.,"project44 is an advanced visibility platform for shippers and third-party logistics firms. project44 connects, automates and provides visibility into key transportation processes to accelerate insights and shorten the time it takes to turn those insights into actions. Leveraging the power of the project44 cloud-based platform, organizations are able to increase operational efficiencies, reduce costs, improve shipping performance, and deliver an exceptional Amazon-like experience to their customers. Connected to over 175,000 carriers worldwide and having comprehensive coverage for all ELD and telematics devices on the market, project44 supports all transportation modes and shipping types, including Parcel, Final-Mile, Less-than-Truckload, Volume Less-than-Truckload, Truckload, Rail, Intermodal and Ocean.",https://www.linkedin.com/company/project-44,,https://twitter.com/freightpipes,https://www.facebook.com/project44Visibility/,168
Lime,https://www.crunchbase.com/organization/limebike,https://www.li.me/,"Cycling, Last Mile Transportation, Mobile Apps, Ride Sharing, Transportation","Apps, Mobile, Software, Sports, Transportation",Lime helps people move around their cities in an affordable and convenient way while eliminating their carbon footprint.,"Lime aims to provide a sustainable solution to the first and last mile transportation problem by helping people move around their cities in an affordable and convenient way while eliminating their carbon footprint. The company empowers future generations to change their behavior so we can save this planet together. From the electric scooter to the e-assist and pedal bike, experience the excitement of Lime’s smart mobility fleet.",https://www.linkedin.com/company/limebike/,Unicorn,https://twitter.com/limebike,https://www.facebook.com/limebike/,207
CloudTrucks,https://www.crunchbase.com/organization/cloudtrucks,https://cloudtrucks.com/,"Apps, Freight Service, Logistics, Shipping, Transportation","Apps, Software, Transportation",CloudTrucks offers a virtual trucking carrier application designed to reduce operating costs for truck drivers.,"CloudTrucks develops a virtual trucking carrier application designed to reduce operating costs for truck drivers. The platform helps to manage and book loads from brokers and shippers, offer instant payments after load delivery, and access to cheap insurance options, enabling truck owners and operators to strategize their schedule and design a revenue-maximizing driving program. The company was founded in 2019 and is headquartered in San Francisco, California.",https://www.linkedin.com/company/cloudtrucks/,,https://twitter.com/CloudTrucks,https://www.facebook.com/cloudtruckshq/,212
Uber,https://www.crunchbase.com/organization/uber,http://www.uber.com,"Mobile Apps, Public Transportation, Ride Sharing, Transportation","Apps, Mobile, Software, Transportation","Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.","Uber develops, markets, and operates a ridesharing mobile application which allows consumers to submit a trip request that is routed to crowd-sourced partner drivers. Its smartphone application connects drivers with people who need a ride. Its application enables users to arrange and schedule transportation and/or logistics services with third-party providers. They take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world. It also provides  Windows Phone App,  iPhone App, Blackberry App, and Android App. Uber serves customers in North, Central, and South Americas as well as Europe, the Middle East, Africa, and the Asia Pacific. [Garrett Camp](/person/garrett-camp), [Oscar Salazar](/person/oscar-salazar), and [Travis Kalanick](/person/travis-kalanick) founded UberCab in March 2009 that became Uber Technologies in October 2010, with its headquarters in San Francisco in California and an engineering center in Bengaluru in India as well as a regional office in Singapore.",https://www.linkedin.com/company/uber-com/,Exited Unicorn,http://twitter.com/uber,,246
Joby Aviation,https://www.crunchbase.com/organization/joby-aviation,http://www.jobyaviation.com/,"Aerospace, Air Transportation, Manufacturing, Transportation","Manufacturing, Science and Engineering, Transportation",Joby Aviation is an aerospace transportation company developing electric aircrafts.,"Joby Aviation develops a new generation of electric personal aircraft created to revolutionize personal mobility. Its strength is in composite airframe design and fabrication, aerodynamic analysis, high-performance electric motor development, and cutting-edge battery pack design, enabling clients to create a paradigm shift in transportation with safe, quiet, fast, and affordable electric vertical takeoff.",https://www.linkedin.com/company/joby-aviation/,Unicorn,https://twitter.com/jobyaviation,https://www.facebook.com/JobyAviation/,253
Bird,https://www.crunchbase.com/organization/bird,https://www.bird.co/,"Electric Vehicle, Last Mile Transportation, Mobile, Mobile Apps, Ride Sharing, Transportation","Apps, Mobile, Software, Transportation",Bird designs a vehicle sharing platform that provides affordable transportation solutions to communities across the world.,"Bird designs a vehicle sharing platform that provides affordable transportation solutions to communities across the world. The company's platform coordinates with cities to provide citizens with access to shared personal electric vehicles that can be picked up and dropped off anywhere, enabling users to receive sustainable and environment-friendly local transport.",https://www.linkedin.com/company/birdapp/,Unicorn,https://twitter.com/birdride,https://www.facebook.com/bird/,312
