Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
Goldman Sachs,https://www.crunchbase.com/organization/goldman-sachs,http://www.goldmansachs.com/,"Banking, Finance, Financial Services, Security, Venture Capital","Financial Services, Lending and Investments, Privacy and Security","Goldman Sachs is a multinational financial services firm providing securities, and investment banking and management services.","The Goldman Sachs Group, Inc. provides investment banking, securities, and investment management services, as well as financial services to corporations, financial institutions, governments, and high-net-worth individuals worldwide. Its Investment Banking segment offers financial advisory services, including advisory assignments with respect to mergers and acquisitions, divestitures, corporate defense, risk management, and restructurings and spin-offs; and underwriting services comprising public offerings and private placements of a range of securities, loans and other financial instruments, and derivative transactions. The company’s Institutional Client Services segment provides client execution services, such as fixed income, currency, and commodities client execution related to making markets in interest rate products, credit products, mortgages, currencies, and commodities; and equities related to making markets in equity products, as well as executes and clears institutional client transactions on stock, options, and futures exchanges. This segment also engages in securities services business providing financing, securities lending, and other brokerage services to institutional clients, including hedge funds, mutual funds, pension funds, and foundations. Its Investing and Lending segment originates longer-term loans; and invests in debt securities, loans, public and private equity securities, real estate, consolidated investment entities, distressed assets, currencies, commodities, and power generation facilities. The company’s Investment Management segment provides investment products and services, as well as offers wealth advisory services, including portfolio management and financial counseling, and brokerage and other transaction services. The Goldman Sachs Group, Inc. was founded in 1869 and is headquartered in New York, New York.",http://www.linkedin.com/company/goldman-sachs,,http://twitter.com/goldmansachs,https://www.facebook.com/goldmansachs,77
Silver Lake,https://www.crunchbase.com/organization/silver-lake,http://www.silverlake.com,"Finance, Financial Services, FinTech, Information Technology, Venture Capital","Financial Services, Information Technology, Lending and Investments",Silver Lake is a global technology investment firm focused solely on making large-scale investments in leading technology companies.,"Silver Lake is a global technology investment firm focused solely on making large-scale investments in leading technology companies. They are partners to world-class management teams who seek to use their capital and expertise to build and extend their market leadership. seeks to formulate its investments to enable growth and frequently employs conservative capital structures designed to drive aggressive investment in new initiatives, innovation, and business expansion.  Their core investment thesis is that the technology industries represent an extraordinary yet under-exploited target for large-scale private investments. The firm also seeks to cultivate proprietary or specialized investment opportunities not typically available to generalist investors. It devotes its full scope of talent and intellectual capital to the singular mission of investing in the world’s leading technology, technology-enabled, and related growth businesses. Silver Lake was established in 1999 by David Roux, Glenn Hutchins, Jim Davidson, and Roger McNamee and is based in Menlo Park, California.",https://www.linkedin.com/company/silver-lake-partners/,,https://twitter.com/silverlake_news,,231
Techstars,https://www.crunchbase.com/organization/techstars,https://www.techstars.com/,"Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments",Techstars is the global platform for investment and innovation.,"Techstars helps entrepreneurs succeed. Through the Techstars Worldwide Entrepreneur Network, founders and their teams connect with other entrepreneurs, experts, mentors, alumni, investors, community leaders, and corporate partners who will help their companies grow.  Techstars operates four divisions: Techstars Startup Programs, Techstars Mentorship-Driven Accelerator Programs, Techstars Corporate Innovation Partnerships, and the Techstars Venture Capital Fund. Techstars Mentorship-Driven Accelerator Program supercharges success and Techstars Startup Programs inspire, educate and connect entrepreneurs. Techstars Venture Capital Fund invests in the most innovative and disruptive Techstars companies to fuel their success. Techstars Corporate Innovation Partnerships helps brands create world-changing products and services. Techstars accelerator portfolio includes more than 1,000 companies with a market cap of $8.1 billion. www.techstars.com",https://www.linkedin.com/company/techstars/,"Crunchbase Venture Program, Pledge 1%",https://twitter.com/techstars,https://www.facebook.com/techstars,239
SeedInvest,https://www.crunchbase.com/organization/seedinvest,https://www.seedinvest.com/,"Association, Crowdfunding, Funding Platform, Venture Capital","Financial Services, Lending and Investments, Other",SeedInvest is an equity crowdfunding platform that connects investors with startups.,"SeedInvest is a equity crowdfunding platform that provides investors with access to highly vetted startup investment opportunities. The SeedInvest network contains over 15,000 accredited investors, including hundreds of family offices and institutions. SeedInvest typically invests between $500,000 - $5 million as part of a syndicate.",http://www.linkedin.com/company/seedinvest,Crunchbase Venture Program,http://twitter.com/seedinvest,http://www.facebook.com/seedinvest,279
CircleUp,https://www.crunchbase.com/organization/circleup-growth-partners,https://circleup.com/equity/,"Finance, Financial Services, FinTech, Lending, Venture Capital","Financial Services, Lending and Investments","CircleUp is the investment platform providing capital and resources to innovative, early-stage consumer brands .","CircleUp is the investment platform providing capital and resources to innovative, early-stage consumer brands with a modern, scalable approach to private markets. CircleUp is comprised of internally-managed equity funds, a credit program, and an Insights & Connections team - all powered by Helio, CircleUp's proprietary machine learning platform. Helio collects and analyzes billions of data points to evaluates 1.3 million consumer businesses and predict future business success.",https://www.linkedin.com/company/circleup,,https://twitter.com/circleup,https://www.facebook.com/CircleUp/,527
Republic,https://www.crunchbase.com/organization/republic-co,http://republic.co,"Blockchain, Crowdfunding, Cryptocurrency, Finance, Financial Services, Venture Capital","Financial Services, Lending and Investments, Other, Payments, Software",Republic is an investment crowdfunding platform that allows users to easily invest in private companies.,Republic is an investment platform where everyone can invest as little as $10 in cutting-edge startups.,https://www.linkedin.com/company/republic.co,,https://www.twitter.com/joinrepublic,https://www.facebook.com/joinrepublic,532
SixThirty,https://www.crunchbase.com/organization/sixthirty,http://www.sixthirty.co/,"Cyber Security, Finance, Financial Services, FinTech, InsurTech, Venture Capital","Financial Services, Information Technology, Lending and Investments, Privacy and Security","SixThirty is a global venture capital firm focused on investing in late seed stage FinTech, InsurTech, and Cyber Security companies.","SixThirty is a global venture capital fund that operates a go-to-market program for B2B FinTech, InsurTech & Cybser Security startups.  SixThirty invests in and helps grow between 8 - 12 early-stage (generally Seed - Series A) companies each year, providing funding, mentorship, and connections. Learn more about the SixThirty investment process at https://sixthirty.co/apply/. SixThirty's mission is to find the most innovative ideas in enterprise financial technology, insurance technology, and cyber security across the globe, and work with like-minded corporate investors and partners to mentor and grow them into great businesses.",https://www.linkedin.com/company/sixthirty-global-fintech-seed-fund/,Crunchbase Venture Program,https://twitter.com/SixThirty_630ft,https://www.facebook.com/sixthirtyaccelerator/,"1,298"
"Hercules Capital, Inc.",https://www.crunchbase.com/organization/herculescapital,http://www.htgc.com/,"Commercial Lending, Financial Services, FinTech, Venture Capital","Financial Services, Lending and Investments","Hercules Capital, a California-based company, lends to technology, life sciences, and sustainable technology companies.","Hercules is the largest non-bank lender to venture capital-backed companies at all stages of development in a broadly diversified variety of technology, life sciences, and sustainable and renewable technology industries. With over a decade of experience in venture debt, Hercules is uniquely positioned to quickly create innovative financing solutions that perfectly fit within a company's existing capital structure and map to its business objectives. Recognized as the industry leader, Hercules understands the flexibility these types of companies need and has the experience to work closely with them, even through challenging times, to help them reach critical milestones. Hercules' deep sector expertise, geographic presence and its strong capital base have made Hercules the lender of choice for more than 480 innovative companies.",https://www.linkedin.com/company/hercules-technology-growth-capital/,Crunchbase Venture Program,,,"1,400"
Accel,https://www.crunchbase.com/organization/accel,http://www.accel.com,"Finance, Online Portals, Venture Capital","Financial Services, Internet Services, Lending and Investments",Accel is an early and growth-stage venture capital firm that powers a global community of entrepreneurs.,"Accel is an early and growth-stage venture capital firm that powers a global community of entrepreneurs. Accel backs entrepreneurs who have what it takes to build a world-class, category-defining business.  The company brings more than three decades of experience in building and supporting companies. Accel’s vision for entrepreneurship and business enables it to identify and invest in the companies that will be responsible for the growth of next-generation industries. Accel-backed companies include Atlassian, Braintree, Cloudera, DJI, Dropbox, Dropcam, Etsy, Facebook, Flipkart, Lookout Security, MoPub, Qualtrics, Slack, Spotify, Supercell, Vox Media, and others. Arthur Patterson and Jim Swartz founded it in Palo Alto, California in 1983.",https://www.linkedin.com/company/accel-vc/,Crunchbase Venture Program,http://twitter.com/accel,http://www.facebook.com/accel,"1,915"
Veritas Capital,https://www.crunchbase.com/organization/veritas-capital,http://www.veritascapital.com,"Banking, Finance, Financial Exchanges, Financial Services, Venture Capital","Financial Services, Lending and Investments",Veritas Capital is a private equity investment firm that invests in companies that provide critical products and services.,"Veritas Capital is a private equity investment firm that invests in companies that provide critical products and services to governments worldwide. Since its founding, Veritas has been involved as the lead investor in transactions totaling more than $8 billion in value and currently has over $8.8 billion of assets under management.  The firm was founded in 1992 and headquartered in New York, United States.",https://www.linkedin.com/company/veritas-capital,,,,"2,047"
